name,period,date,book,desc,image
Adam and Eve,BC,4004,Torah; Bible,"Adam is the first man created by God Himself. (Genesis 1:26 KJV) And God said, Let us make man in our image, after our likeness…” The Lord molded a man from the dust and gave him the breath of life, thus he became a living body with a soul (Genesis 2:7 KJV ). God then placed “man” in the Garden of Eden wherein he was commissioned to name and post authority to all living creatures. As for the Biblical timeline, this marks the beginning of mankind at 4004according to Bishop Ussher’s chronology found in the King James Bible. Eve was created using one of Adam’s ribs by god and they were giving life in the garden of eden, their one rule was to not eat the apples. The 3rd chapter of Genesis tells us the story of how the serpent tempted Eve to eat the fruit from the forbidden tree. Eve found the fruit good and shared this with Adam. This action was the first disobedience recorded in the Bible. (Genesis 3:1-24 KJV) After disobeying God, Adam and Eve were cast out from the garden of Eden. Adam and Eve bear children – Cain, Abel, and Seth. (Genesis 4:1-26)",1.png
Cain and Abel,BC,3874,Torah; Bible,"Time came when Cain and Abel presented their offerings before the Lord. Cain offered fruits from the ground, while Abel offered selected fat firstlings from his sheep. The Lord God respected Abel’s offering but did not accept Cain’s. This made Cain’s countenance fall and his jealousy grew as time passed. One day, Cain invited Abel over to his field and slew him there thinking that his crime would be concealed (Genesis 4:3-8 KJV). Due to his actions, Cain was banished and fled to the land of Nod, east of Eden. Though he was cast out from the land where he shed his brother’s blood, God’s mercy was still with Cain. God gave Cain a mark for protection saying that who ever slays him, vengeance will be sevenfold (Genesis 4:9-16 KJV).",2.png
Seth,BC,3875,Torah; Bible,"He was born when Adam was a hundred and thirty years old. It is said that Seth was born to replace Abel, who Cain slew (Genesis 4:25 KJV). In Hebrew, Seth is equated to “set” or appointed. Since Cain killed Abel, God gave Adam a third son whose descendants would bring the Lord’s name (Genesis 4:26 KJV).",3.png
Enoch,BC,3769,Torah; Bible,"Enos or Enosh (1 Chronicles 1:1 KJV), which means “mortal man” in Hebrew, is the eldest son of Seth, and Adam and Eve’s grandson. He was born when Seth was one hundred and five years old (Genesis 5:6 KJV). It was mentioned in Genesis 4:26 KJV, that Seth had a son and named him Enos, then began men to call upon the name of the Lord.",4.png
Cainan,BC,3679,Torah; Bible,"Cainan or Kenan (1Chronicle 1:2 KJV) is the eldest son of Enos. He was born when Enos was ninety years old (Genesis 5:9 KJV). Cainan came from the Hebrew word Kainan which means “their smith”.",5.png
Mahalaleel,BC,3609,Torah; Bible,"Mahalaleel was born when Cainan was seventy years old (Genesis 5:12 KJV). It is believed that the name Mahalaleel means “praise of God”. Mahalaleel, the son of Cainan, is the fourth generation from Adam in the line of Seth‘s descendants.",6.png
Jared,BC,3544,Torah; Bible,"Jared, is the first son born of Mahalaleel at the age of sixty five (Genesis 5:15 KJV). The name Jared came from Hebrew origin which means “descent” or “descendant”.",7.png
Enoch,BC,3382,Torah; Bible,"The name Enoch or Henoch (1 Chronicles 1:3 KJV) came from Hebrew origin that means “dedicated”. Enoch was the first son of Jared. He was born when Jared reached one hundred and sixty-two years old (Genesis 5:18). It was also mentioned in Genesis 5:22 that Enoch walked with God after he begat Methuselah. Three hundred years later the Bible says that Enoch skipped death. His body was never to be found after three hundred and sixty years of existence because God was pleased with his life (Hebrews 11:5 KJV). Further, the book of Jude also mentions that Enoch prophesied the coming of the Lord with His ten thousand saints (Jude 1:14 KJV).",8.png
Methuselah,BC,3317,Torah; Bible,"Methuselah is the eldest son of Enoch recorded in the Bible (Genesis 5:21 KJV) At the age of one hundred eighty-seven, Methuselah begat Lamech (Genesis 5:25 KJV). He lived for another seven hundred eighty-two years after he begat Lamech and had other sons and daughters (Genesis 5:26 KJV).",9.png
Lamech,BC,3130,Torah; Bible,"Lamech is the first son of Methuselah. Lamech means poor or bringing low. He was born when Methuselah was one hundred and eighty-seven years of age (Genesis 5:26 KJV). Lamech is the eighth generation descendant of Seth from Adam. If we look closely at our Bible Timeline chart, Adam should still be alive until the fifty-eighth year of Lamech’s existence.",10.png
Noah,BC,2948,Torah; Bible,"The name Noah or pronounced Noach comes from a Hebrew verb which means “rest”. Noah is a descendant of Seth. He was born to Lamech when Lamech was one hundred and eighty-two years old (Genesis 5:28 KJV). Adam lived until Lamech was fifty-eight or just one hundred sixty-four years before Noah was born. The Bible describes Noah as a “just man and perfect in his generations”, and says he had even walked with God (Genesis 6:9 KJV). At the age of five hundred, Noah begat Shem, Ham, and Japheth Genesis 5:32 KJV). Genesis chapter 6 tells us that God wants to destroy all living flesh he created and regrets creating them. However, Noah found grace in the eyes of God. (Genesis 6:8 KJV). God then commissioned Noah to build an ark.. Noah built a huge ark exactly as God instructed him and brought with him his sons, wife, his sons’ wives. And a pair of each living creature (Genesis 6:14-22 KJV) and seven of those that are clean beasts, male and female (Genesis 7:2 KJV). After the flood had subsided, Noah planted a vineyard and drank from its wine. He got drunk and was uncovered inside his tent Genesis 9:20 KJV). Ham, the youngest of his sons, saw his father’s nakedness and told his two brothers about this. Shem and Japheth took a garment and walked backwards to avoid seeing their father’s nakedness and approached their father to cover his nakedness (Genesis 9:23 KJV). Noah woke up from his wine and knew what had happened. He cursed Canaan, youngest son of Ham, saying “Cursed be Canaan; a servant of servants shell he be unto his brethren” (Genesis 9:25 KJV). And unto Shem and Japheth, Noah said: “Blessed be the LORD God of Shem, and Canaan shall be his servant. God shall enlarge Japheth, and he shall dwell in the tents of Shem; and Canaan shall be his servant” (Genesis 9:26-27 KJV).",11.png
Shem,BC,2448,Torah; Bible,"Shem or Sem (Luke 3:36 KJV) is one of Noah‘s sons (Genesis 5:32 KJV). From the Hebrew origin, it is believed that the name Shem also means “name”. He is considered to be the eldest since he is always first Whenever the Bible mentions the names of sons the Sons of Noah. After the flood, Noah planted a vineyard and drank from its wine. Getting drunk, Noah was witnessed by Ham, the youngest son, naked inside his tent. Instead of aiding his father, Ham went to his brothers and told what he saw. Shem and Japheth took a garment and approached their father backwards to avoid seeing their father’s nakedness. Noah woke up from the wine and knew what happened. Noah said, “Blessed be the LORD God of Shem, and Canaan shall be his servant. God shall enlarge Japheth, and he shall dwell in the tents of Shem; and Canaan shall be his servant” (Genesis 9:26-27 KJV).",12.png
Ham,BC,2447,Torah; Bible,"Ham, brother of Shem and Japeth, was born when Noah was five hundred years old (Genesis 5:32 KJV). He is also one of those who survived the great flood since he was in the ark with his father. The Biblical Timeline charts Ham’s birth in 2450, when Noah, his father was five hundred years old. The Bible doesn’t say the total number of years of Ham’s existence. The name Ham in Hebrew origin means “warm” or “hot”. In Egypt, Ham means “black”. We have also considered the Egyptian meaning of Ham since Egypt is Mizraim in the Bible and Mizraimis Ham’s son. Ham is the father of Cush, Mizraim, Phut, and Canaan, whom Noah cursed after Ham did not aid his father when he was drunk and naked (Genesis 9:22 KJV). After the flood, Noah planted a vineyard and drank from its wine. Noah got drunk and was naked in his tent. Ham witnessed his father nakedness and told his brother about it. Shem and Japheth walked backwards to their father and covered him. Noah woke up from his drunkenness and knew about what happened. Noah cursed Ham’s youngest son for Ham did not do anything to aid his father.",13.png
Japheth,BC,2446,Torah; Bible,"He was one of the eight people who boarded the ark and survived the great flood (Genesis 7:13 KJV). It is believed that the name Japheth means “wide spreading” or “enlargement.” This may also explain why Noah said that “God shall enlarge Japheth” (Genesis 9:27 KJV). Japheth is the father of Gome, Magog, Madai, Javan, Tubal, Mesech, and Tiras. The number of years Japheth lived is uncertain. However, according to the Timeline of the Bible, Japheth was born around 2450. During the event of Noah’s drunkenness, Japheth and his brother, Shem took a garment with them and covered their father’s nakedness (Genesis 9:23 KJV). When Noah was sober, he pronounced a blessing to both Japheth and Shem, and cursed Canaan, youngest son of Ham.",14.png
