real_name,id,description,image,location,color,scientific_name,order,family,general_name,habitat,food,nesting,behavior,conservation,aab_description
Alder Flycatcher,aldfly,"Small flycatcher, extremely similar to several other species. Prefers clearings and boggy areas, often with patches of alders. Grayish-olive above and pale below with thin white eyering. Wings dark with bold white wingbars. Nearly identical to Willow Flycatcher; once considered the same species. Also compare with Least Flycatcher, which is very similar but has slightly shorter wingtips and a bolder eyering. Best identified by voice: song is a rolling, rough ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/160820341/900,NA,Brown,Empidonax alnorum,Passeriformes,Tyrannidae,Flycatchers,Scrub,Insects,Shrub,Flycatching,Low Concern,"A flycatcher of wet thickets across northern North America, the Alder Flycatcher is a rather indistinct olive-green bird with bold wingbars and a distinctive, raspy song of free-beer! It’s unusual among Empidonax flycatchers for having only an indistinct pale eyering, a trait it shares with the very similar Willow Flycatcher. Alder Flycatchers thrive in open settings such as bogs and beaver ponds, where they sit on high perches and fly out to catch insects from nearby leaves or in midair."
American Avocet,ameavo,"Distinctive large shorebird with a long, thin upturned bill and lean neck. Bold black-and-white wings prominent year-round. Adults in summer have buffy-orange wash on head. Frequents wetlands where it swings its head back-and-forth in shallow water to catch small invertebrates.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64807071/900,NA,Orange,Recurvirostra americana,Charadriiformes,Recurvirostridae,Shorebirds,Marshes,Aquatic Invertebrates,Ground,Probing,Low Concern,"The American Avocet takes elegance to a new level. This long-legged wader glides through shallow waters swishing its slender, upturned bill from side to side to catch aquatic invertebrates. It dons a sophisticated look for summer with a black-and-white body and a rusty head and neck. During the winter the head and neck turn a grayish white, but the bird loses none of its elegance as it forages along coastal waters or rests while standing on one leg."
American Bittern,amebit,"Stocky, brown heron found in marshes and bogs; secretive but occasionally found in the open. Most similar to juvenile night-herons. Note striped neck, plain unspotted wings, and behavior: American Bittern does not typically perch on branches. Varied diet includes fish, frogs, insects, and small mammals. Most active around dawn and dusk flying low over extensive marshes. Listen for its incredible vocalization: a resonant, booming noise produced by air sacs on the neck, ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/37758621/900,NA,Brown,Botaurus lentiginosus,Pelecaniformes,Ardeidae,Herons,Marshes,Fish,Ground,Stalking,Low Concern,"You'll need sharp eyes to catch sight of an American Bittern. This streaky, brown and buff heron can materialize among the reeds, and disappear as quickly, especially when striking a concealment pose with neck stretched and bill pointed skyward. These stealthy carnivores stand motionless amid tall marsh vegetation, or patiently stalk fish, frogs, and insects. They are at their most noticeable in spring, when the marshes resound with their odd booming calls that sounds like the gulps of a thirsty giant."
American Crow,amecro,"Entirely black. Large, long-legged, thick-necked bird with heavy, straight bill. In flight, wings are fairly broad and rounded with wingtip feathers spread like fingers. Short tail, squared off at the end. Very social, sometimes forming noisy flocks in the thousands. Aggressive, often chase away hawks and owls. Common in fields, woods, and cities. Thrives around people.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/59858041/900,NA,Black,Corvus brachyrhynchos,Passeriformes,Corvidae,Crows,Open Woodlands,Omnivore,Tree,Ground Forager,Low Concern,"American Crows are familiar over much of the continent: large, intelligent, all-black birds with hoarse, cawing voices. They are common sights in treetops, fields, and roadsides, and in habitats ranging from open woods and empty beaches to town centers. They usually feed on the ground and eat almost anything—typically earthworms, insects and other small animals, seeds, and fruit; also garbage, carrion, and chicks they rob from nests. Their flight style is unique, a patient, methodical flapping that is rarely broken up with glides."
American Goldfinch,amegfi,"Small finch. Sharply pointed bill is pink in summer, grayish-brown in winter. Small head, long wings, and short, notched tail. Adult males in spring and summer are bright yellow with black forehead and wings. Females are dull yellow below and olive above with two distinct wingbars. In winter, they are drab, buffy-brown. Active and acrobatic. Sometimes in large numbers at feeders or on ground below. Found in weedy fields, cultivated areas, roadsides, orchards, and backyards.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/124706471/900,NA,Yellow,Spinus tristis,Passeriformes,Fringillidae,Finches,Open Woodlands,Seeds,Shrub,Foliage Gleaner,Low Concern,"This handsome little finch, the state bird of New Jersey, Iowa, and Washington, is welcome and common at feeders, where it takes primarily sunflower and nyjer. Goldfinches often flock with Pine Siskins and Common Redpolls. Spring males are brilliant yellow and shiny black with a bit of white. Females and all winter birds are more dull but identifiable by their conical bill; pointed, notched tail; wingbars; and lack of streaking. During molts they look bizarrely patchy."
American Kestrel,amekes,"Petite falcon roughly the same size as Mourning Dove, but with a larger head and wider tail. In flight, note long, narrow wings and square-tipped tail. Often seen perched on telephone wires, along roadsides, in open country with short vegetation and few trees. From a perch or hovering, they usually drop to the ground to snatch small mammals and insects. Nests in cavities. Widespread across the Americas. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70583881/900,"NA,SA",Orange,Falco sparverius,Falconiformes,Falconidae,Falcons,Grasslands,Small Animals,Cavity,Aerial Dive,Low Concern,"North America’s littlest falcon, the American Kestrel packs a predator’s fierce intensity into its small body. It's one of the most colorful of all raptors: the male’s slate-blue head and wings contrast elegantly with his rusty-red back and tail; the female has the same warm reddish on her wings, back, and tail. Hunting for insects and other small prey in open territory, kestrels perch on wires or poles, or hover facing into the wind, flapping and adjusting their long tails to stay in place. Kestrels are declining in parts of their range; you can help them by putting up nest boxes"
American Pipit,amepip,"Slender and drab songbird of open country. Usually grayish above and streaked below, but some lack streaks in breeding season. Distinguished from similar-looking (unrelated) sparrows by thin bill and lanky appearance with long legs. Walks on the ground with jerky motions and frequently bobs tail. Flocks are often heard as they pass overhead or flush from a barren field. Look for flashing white outer tail feathers in flight.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67453361/900,"NA,AS",Brown,Anthus rubescens,Passeriformes,Motacillidae,Pipits,Tundra,Insects,Ground,Ground Forager,Low Concern,"American Pipits are among the very few species of American songbirds that nest in both Arctic tundra and alpine meadows. Although they’re found in the open and are not especially shy, these small birds can still be inconspicuous as they walk briskly through tundra or agricultural fields. They also forage along river and lake shores, much in the manner of a shorebird. If you don’t live in the Arctic or above treeline, look for these birds in winter."
American Redstart,amered,"Adult males are black with bright orange wings, tail, and sides. Much smaller and more active than other black-and-orange birds like orioles. Females and immature males have gray head, olive back, and yellow patches instead of orange. This warbler forages in trees and bushes, habitually flicking its tail and wings to scare up insects. Breeds in deciduous forests (mature and secondary growth). Winters in Central and South America.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64514531/900,NA,Black,Setophaga ruticilla,Passeriformes,Parulidae,Warblers,Forests,Insects,Tree,Foliage Gleaner,Low Concern,"A lively warbler that hops among tree branches in search of insects, the male American Redstart is coal-black with vivid orange patches on the sides, wings, and tail. True to its Halloween-themed color scheme, the redstart seems to startle its prey out of the foliage by flashing its strikingly patterned tail and wing feathers. Females and immature males have more subdued yellow “flash patterns” on a gray background. These sweet-singing warblers nest in open woodlands across much of North America."
American Robin,amerob,"Fairly large songbird with round body, long legs, and longish tail. Gray above with warm orange underparts and blackish head. Hops across lawns and stands erect with its bill often tilted upward. In fall and winter, forms large flocks and gathers in trees to roost or eat berries. Common across North America in gardens, parks, yards, golf courses, fields, pastures, and many other wooded habitats. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60412911/900,NA,Orange,Turdus migratorius,Passeriformes,Turdidae,Thrushes,Open Woodlands,Insects,Tree,Ground Forager,Low Concern,"The quintessential early bird, American Robins are common sights on lawns across North America, where you often see them tugging earthworms out of the ground. Robins are popular birds for their warm orange breast, cheery song, and early appearance at the end of winter. Though they’re familiar town and city birds, American Robins are at home in wilder areas, too, including mountain forests and Alaskan wilderness."
American Wigeon,amewig,"Longer-tailed than Mallard with thinner, pale blue bill. Breeding males have prominent white blaze on forehead and broad green slash behind eye. Look for orangey sides on females. As comfortable grazing on land as dabbling in water. Often steals food from diving ducks as they surface.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60017891/900,NA,Brown,Mareca americana,Anseriformes,Anatidae,Ducks,Lakes and Ponds,Plants,Ground,Dabbler,Low Concern,"Quiet lakes and wetlands come alive with the breezy whistle of the American Wigeon, a dabbling duck with pizzazz. Breeding males have a green eye patch and a conspicuous white crown, earning them the nickname ""baldpate."" Females are brushed in warm browns with a gray-brown head and a smudge around the eye. Noisy groups congregate during fall and winter, plucking plants with their short gooselike bill from wetlands and fields or nibbling plants from the water's surface. Despite being common their populations are declining."
