Latitude,Longitude,Elevation,Distance,Elevation Gain
39.91117000,-74.6204100,37.0,0.0,0.0
39.91117000,-74.6203600,37.0,0.0026498675443168015,0.0
39.91110000,-74.6202600,37.0,0.009824773165294275,0.0
39.91109000,-74.6200900,38.0,0.018860787299221204,1.0
39.91114000,-74.6198300,40.0,0.033066576339792736,3.0
39.91131000,-74.6194800,41.0,0.05502182412740017,4.0
39.91144000,-74.6191500,38.0,0.07468260725134382,7.0
39.91171000,-74.6185400,36.0,0.11200724351912691,9.0
39.91198000,-74.6176900,36.0,0.16076456137397066,9.0
39.91219000,-74.6172100,36.0,0.19005005376533365,9.0
39.91223000,-74.6171700,36.0,0.19353316080516217,9.0
39.91231000,-74.6171100,36.0,0.1999099896362729,9.0
39.91277000,-74.6170800,38.0,0.2317326606945134,11.0
39.91288000,-74.6170100,37.0,0.240189971186648,12.0
39.91310000,-74.6169600,36.0,0.2556197343659773,13.0
39.91341000,-74.6169300,36.0,0.27709759053926847,13.0
39.91392000,-74.6170300,34.0,0.3127314697647321,15.0
39.91397000,-74.6170400,34.0,0.31622654752193924,15.0
39.91430000,-74.6166000,32.0,0.34883938758925404,17.0
39.91464000,-74.6161700,32.0,0.38156771727118816,17.0
39.91497000,-74.6157300,34.0,0.4141803942463633,19.0
39.91480000,-74.6155300,34.0,0.43000132775886685,19.0
39.91481000,-74.6154400,34.0,0.43482062227594603,19.0
39.91475000,-74.6154100,34.0,0.4392606196544692,19.0
39.91468000,-74.6152600,34.0,0.44856554795364245,19.0
39.91464000,-74.6150100,35.0,0.46209940483366096,20.0
39.91465000,-74.6147100,36.0,0.47801281013388863,21.0
39.91477000,-74.6143600,36.0,0.49832971250704916,21.0
39.91508000,-74.6141200,36.0,0.5232402544648888,21.0
39.91528000,-74.6137100,36.0,0.5489899326397878,21.0
39.91556000,-74.6132400,35.0,0.5805278760986611,22.0
39.91565000,-74.6129100,35.0,0.5990885442754055,22.0
39.91584000,-74.6126800,35.0,0.6170021911814653,22.0
39.91600000,-74.6125500,35.0,0.6300280231094919,22.0
39.91617000,-74.6120700,33.0,0.6580458993674295,24.0
39.91624000,-74.6119200,33.0,0.6673506799258138,24.0
39.91612000,-74.6115700,34.0,0.6876672188506793,25.0
39.91616000,-74.6112400,35.0,0.7053721151991216,26.0
39.91618000,-74.6108600,35.0,0.725556995586731,26.0
39.91613000,-74.6105500,34.0,0.7423442927736553,27.0
39.91609000,-74.6103500,33.0,0.7532974102846198,28.0
39.91615000,-74.6098300,33.0,0.7811641269673737,28.0
39.91623000,-74.6093300,35.0,0.8082312612612295,30.0
39.91641000,-74.6089900,36.0,0.830124481183409,31.0
39.91647000,-74.6087900,37.0,0.8415050556919654,32.0
39.91647000,-74.6076500,35.0,0.9019173606953925,34.0
39.91650000,-74.6072800,35.0,0.921634117145427,34.0
39.91651000,-74.6068500,36.0,0.9444316755805594,35.0
39.91651000,-74.6063600,36.0,0.9703983529159419,35.0
39.91654000,-74.6059200,35.0,0.9938073151697355,36.0
39.91721000,-74.6051600,36.0,1.055167270988619,37.0
39.91752000,-74.6047300,37.0,1.0864404040771505,38.0
39.91789000,-74.6044700,38.0,1.1154813823818037,39.0
39.91833000,-74.6043700,37.0,1.146340840706947,40.0
39.91836000,-74.6042700,37.0,1.1520309906790676,40.0
39.91703000,-74.6023200,38.0,1.2903156608390072,41.0
39.91702000,-74.6021100,38.0,1.3014655814656968,41.0
39.91787000,-74.6010900,38.0,1.3812828098436414,41.0
39.91827000,-74.6009400,38.0,1.4100405129724358,41.0
39.91839000,-74.6004900,38.0,1.4352871110445753,41.0
39.91867000,-74.6002200,37.0,1.4593492062689948,42.0
39.91892000,-74.6001500,35.0,1.4770163408439483,44.0
39.91901000,-74.5999700,35.0,1.4884027485443492,44.0
39.91925000,-74.5993900,36.0,1.5233256560518151,45.0
39.91952000,-74.5987000,37.0,1.5643735167704067,46.0
39.91982000,-74.5962700,39.0,1.6947987429685858,48.0
39.91978000,-74.5959400,38.0,1.7125027161573563,49.0
39.91971000,-74.5958800,38.0,1.7182907129953187,49.0
39.91952000,-74.5958200,38.0,1.7317979793161418,49.0
39.91935000,-74.5956100,38.0,1.747978213575451,49.0
39.91917000,-74.5952700,39.0,1.7698707969201446,50.0
39.91887000,-74.5948300,40.0,1.801068445828242,51.0
