distance,Arizona National Scenic Trail,Batona Trail,Benton MacKaye Trail,Big SEKI Loop,Colorado Trail,Continental Divide National Scenic Trail Through the US,John Muir Trail,Laurel Highlands Hiking Trail (Mile 70 - 0),Long Path Trail,New England Trail,North Country National Scenic Trail,Northville,Pacific Crest Trail,Pinhoti Trail,Tahoe Rim Trail,The Appalachian Trail (Georgia to Maine),The Long Trail,The Wonderland Trail,Tuscarora Trail
0,1815.0,36.0,1053.0,1567.0,1683.0,1417.0,1251.0,435.0,54.0,3.0,373.0,319.0,870.0,252.0,2197.0,1127.0,683.0,960.0,387.0
10,2557.0,38.0,960.0,3255.0,2048.0,1404.0,2627.0,805.0,152.0,43.0,399.0,439.0,1028.0,256.0,2638.0,903.0,699.0,1381.0,465.0
20,1724.0,28.0,881.0,1843.0,2236.0,1346.0,2644.0,829.0,158.0,218.0,419.0,607.0,979.0,227.0,2623.0,1013.0,918.0,1461.0,424.0
30,1671.0,14.0,836.0,2577.0,2348.0,1432.0,2752.0,856.0,123.0,242.0,440.0,436.0,1301.0,314.0,2931.0,1015.0,802.0,1174.0,635.0
40,1443.0,18.0,613.0,3532.0,2576.0,1340.0,3026.0,835.0,162.0,107.0,475.0,533.0,1830.0,388.0,2307.0,949.0,803.0,1198.0,665.0
50,1247.0,12.0,563.0,3456.0,3184.0,1391.0,2576.0,724.0,328.0,89.0,464.0,737.0,1608.0,534.0,2275.0,1187.0,544.0,1802.0,252.0
60,1470.0,-,903.0,3145.0,3068.0,1358.0,2830.0,473.0,369.0,136.0,-,748.0,1340.0,412.0,2053.0,1186.0,798.0,1928.0,321.0
70,1649.0,-,892.0,3128.0,3144.0,1356.0,2990.0,-,462.0,125.0,-,663.0,934.0,485.0,2118.0,966.0,634.0,1655.0,663.0
80,1733.0,-,1253.0,3357.0,3597.0,1502.0,2461.0,-,139.0,150.0,-,659.0,983.0,596.0,2403.0,1470.0,405.0,1483.0,579.0
90,1465.0,-,484.0,2447.0,3413.0,1649.0,2923.0,-,193.0,193.0,-,680.0,1312.0,283.0,2309.0,1383.0,1192.0,1327.0,227.0
100,1237.0,-,432.0,2708.0,2906.0,1772.0,2462.0,-,291.0,178.0,-,527.0,1025.0,317.0,2629.0,1336.0,634.0,-,126.0
110,1088.0,-,325.0,3042.0,3294.0,1929.0,2954.0,-,326.0,179.0,-,520.0,1013.0,367.0,2445.0,1607.0,919.0,-,156.0
120,1117.0,-,660.0,3336.0,3592.0,1825.0,3545.0,-,387.0,192.0,-,649.0,1583.0,378.0,2654.0,1188.0,789.0,-,328.0
130,1315.0,-,1016.0,2306.0,2893.0,1923.0,2495.0,-,227.0,209.0,-,580.0,1135.0,389.0,2272.0,1015.0,1117.0,-,621.0
140,2577.0,-,950.0,2280.0,3228.0,1625.0,3585.0,-,637.0,273.0,-,-,1457.0,291.0,2658.0,1032.0,858.0,-,259.0
150,1360.0,-,1078.0,-,3099.0,1827.0,3488.0,-,222.0,361.0,-,-,1710.0,348.0,2589.0,956.0,949.0,-,204.0
160,1335.0,-,1496.0,-,3264.0,2167.0,3141.0,-,608.0,308.0,-,-,2045.0,494.0,2439.0,1300.0,871.0,-,707.0
