HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
33012950,ALL SPICE OIL WONF,*****,*****,5,India,Algeria,
09103020,NAME SWARNA SPICES INDUSTRIES GST ID 3 7ABIPH4331E1ZZ IGST INVOICE NO DATE 140/20-21 DATE 30.11.2020 IGST INVOICE,*****,*****,0.01,India,Algeria,
09109100,ASSORTED SPICES,*****,*****,239,India,Algeria,
84386000,EQUIPMENTS FOR PELLET SNACK FRYING LINE CAPACITY UPTO 250 KGS/HR SPICE FEEDER,*****,*****,1,India,Algeria,
09042211,CHILLI POWDER -760- BAGS SUPPLIER DETAIL S-AL ZAREEN SPICES PRODUCTS 10- A  TATA MILL COMPOUND NEAR ELPHINSTONE BRIDGE PA,*****,*****,19,India,Algeria,
09109912,FENUGREEK SEED AS PER INV GST PURPOSE SODANI SPICE AGRO INDUSTRIES GST NO.08AK JPS7169R1ZW INV NO.487 & 488 DT.08/10/18,*****,*****,46,India,Algeria,
09096230,FENNEL SEEDS / GRAINS FENOUIL  (PACKING IN JUTE BAGS)*  SUPPL DTLS: INV NO. 53 & 54  DT. 14/06/2018 & 15/06/2018 SPICE A,*****,*****,26.01,India,Algeria,
09042211,"RED CHILLY POWDER OM999,SUPPLIER NAME:SH IV SPICES & MASALA MILLS,SUPPLIER GST NO :27AACPG6445P1ZB INV NO.25",*****,*****,6,India,Algeria,
09042211,CHILLI POWDER  PACKING IN PAPER BAGS SUP PLIER DETAILS :- INV NO.ASP/2018 1 250 D ATE 09.03.2018 AL-ZAREEN SPICES PRODUCTS,*****,*****,19,India,Algeria,
09042211,CHILLI POWDER  PACKING IN PAPER BAGS SUP PLIER DETAILS :- INV NO.ASP/2018 1 250 D ATE 09.03.2018 AL-ZAREEN SPICES PRODUCTS,*****,*****,19,India,Algeria,
12119029,"GST PURPOSE ONLY :MGF 1 : SODANI SPICE A GRO INDUSTRIES GST NO.08AKJPS7169R1ZW IN VOICE NO.320 DATE 07/11/2017, MGF 2: RAV",*****,*****,1,India,Algeria,
09109990,SPICES - STARANISE,*****,*****,10,India,Algeria,
09071090,SPICES- LAUNG(CLOVES),*****,*****,20,India,Algeria,
09092190,SPICES- DHANIA CORIANDER,*****,*****,10,India,Algeria,
09109990,SPICES - STARANISE,*****,*****,10,India,Algeria,
09109990,SPICES- JAVITRI,*****,*****,25,India,Algeria,
09109990,SPICES- TARBUJ(MAGAJ),*****,*****,742,India,Algeria,
09109990,SPICES- PIPAL,*****,*****,5,India,Algeria,
09071090,SPICES- LAUNG(CLOVES),*****,*****,20,India,Algeria,
09109990,SPICES- PIPAL,*****,*****,5,India,Algeria,
09109919,SPICES- JEERA,*****,*****,122,India,Algeria,
09109919,SPICES- JEERA,*****,*****,122,India,Algeria,
09109929,SPICES- SOUTH POWDER,*****,*****,25,India,Algeria,
09092190,SPICES- DHANIA CORIANDER,*****,*****,10,India,Algeria,
09109990,SPICES- TARBUJ(MAGAJ),*****,*****,742,India,Algeria,
09109929,SPICES- SOUTH POWDER,*****,*****,25,India,Algeria,
09109990,SPICES- JAVITRI,*****,*****,25,India,Algeria,
09041120,PROCESSED SPICES: BLACK PEPPER 500GL MACHINE CLEANED (STERLIZED) GREEN CARD NO:02644 VALID UP TO 31.03.2019,*****,*****,25,India,Algeria,
09041120,"PROCESSED SPICES : BLACK PEPPER VIETNAMORIGIN,500 G/L MACHINE CLEANED PURITY 99%  [STERLIZED] GREEN CARD NO.02644 VALID",*****,*****,25,India,Algeria,
09041120,"PROCESSED SPICES :  BLACK PEPPER VIETNAMORIGIN,500 G/L FAQ QUALITY [STERLIZED]GREEN CARD NO.02644 VALID 31/03/2019",*****,*****,25,India,Algeria,
09042110,PROCESSED SPICES : (RED CHILLY) CHILLI WHOLE S4 STEMLESS [STERLIZED] GREEN CARDNO.02644 VALID 31/03/2019,*****,*****,13,India,Algeria,
09109929,SPICES -  MEAT MASALA -900 PAC/ 1 SET,*****,*****,1,India,Algeria,
09109929,SPICES -  MEAT MASALA -900 PAC/ 1 SET,*****,*****,1,India,Algeria,
09109929,SPICES - KITCHEN KING - 100 GRMS/PKT - 720 PAC / 1 SET,*****,*****,1,India,Algeria,
09109929,SPICES - DEGHI MIIRCH - 720 PAC / 1 SET,*****,*****,1,India,Algeria,
09109929,SPICES - MEAT MASALA - 720 PAC / 1 SET,*****,*****,1,India,Algeria,
09109929,SPICES - MEAT MASALA - 720 PAC / 1 SET,*****,*****,1,India,Algeria,
09109929,SPICES - MEAT MASALA - 720 PAC / 1 SET,*****,*****,1,India,Algeria,
09109929,SPICES - MEAT MASALA - 720 PAC / 1 SET,*****,*****,1,India,Algeria,
09109929,SPICES - MEAT MASALA - 1080 PAC / 1 SET,*****,*****,1,India,Algeria,
09109929,SPICES - MEAT MASALA - 720 PAC / 1 SET,*****,*****,1,India,Algeria,
09109929,SPICES - MEAT MASALA - 1080 PAC / 1 SET,*****,*****,1,India,Algeria,
09109929,SPICES - MEAT MASALA - 720 PAC / 1 SET,*****,*****,1,India,Algeria,
09109929,SPICES - KITCHEN KING MDH- 180 PAC/SET -100 GRMS /PAC,*****,*****,1,India,Algeria,
09109929,SPICES - KASOORI MEHTI MDH MASALA -120 PAC/SET-100 GRMS/PAC,*****,*****,1,India,Algeria,
09109929,SPICES - MDH GARAM MASALA-360 PAC/SET-100 GRMS/PACS,*****,*****,1,India,Algeria,
84224000,SUVI-200 SACHET PACKING MACHINE FOR SPICES(MASALA) INCLUDING STANDARD ACCESSORIES (L/C NO.145002961 DT.07/12/2014),*****,*****,1,India,Algeria,
