HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09102090,ASSORTED SPICES MASALA MIX 1KG  48 x 1 kgX35CTN=1680NTWT   ;  kg X35CTN=1680NTWT  ,*****,*****,35,India,Angola,
09102090,ASSORTED SPICES MASALA MIX 1KG  48 x 1 kgX35CTN=1680NTWT   ;  kg X35CTN=1680NTWT  ,*****,*****,35,India,Angola,
09109100,SPICE POWDER MIX  120PCX100GMX22CTN=264 NT WT   ;  N T ,*****,*****,22,India,Angola,
09109100,ASSORTED AACHI SPICES POWDER MIX 50GM  INV.No.AM0010300204 Date:20-03-2021 GST No.33AAFCA9813P1ZA  48PC50GMX270CTN=648NTWT   ;  50GM  In vNo.AM0010300204  ;  No. 33AAFCA9813P1ZA  48PC50GMX270CTN=648NTWT  ,*****,*****,270,India,Angola,
09109990,ASSORTED SPICES POWDER MIX  120X100GX38CTN456 NT WT   ;  MIX  120X100GX38CT N456 ,*****,*****,38,India,Angola,
20019000,Assorted Mothers Recipe Pickles-Spices  27AADCD1299G1ZL INV.NO.T-276 DT 23.03.2021  12X150GX75CTN135NT WT ;  Pickles-Spices  2 7AADCD1299G1ZL  ;  23.03.2021   12X150GX75CTN135NT  20019000   HS  Code,*****,*****,75,India,Angola,
09109990,ASSORTED SPICES POWDER MIX  50X100GX59CTN295 NT WT   ;  MIX  50X100GX59CTN 295 ,*****,*****,59,India,Angola,
09109990,ASSORTED SPICES POWDER MIX  120x500gx28ctn=1680 nt wt   ;  MIX  120x500gx28ct n=1680 ,*****,*****,28,India,Angola,
09103030,GOPAL NAMKEENS SPICES TURMERIC POWDER (F P)REST DETAIL AS PER INVOICE,*****,*****,20,India,Angola,
09042211,GOPAL NAMKEENS SPICES HOT CHILI POWDER ( 1KG)REST DETAIL AS PER INVOICE,*****,*****,100,India,Angola,
09092200,GOPAL NAMKEENS SPICES CORIANDER POWDER ( LP)REST DETAIL AS PER INVOICE,*****,*****,100,India,Angola,
09092200,GOPAL NAMKEENS SPICES CORIANDER POWDER ( FP)REST DETAIL AS PER INVOICE,*****,*****,30,India,Angola,
09093200,GOPAL NAMKEENS SPICES CUMIN POWDER (FP)R EST DETAIL AS PER INVOICE,*****,*****,40,India,Angola,
09093200,GOPAL NAMKEENS SPICES CUMIN POWDER (LP)R EST DETAIL AS PER INVOICE,*****,*****,40,India,Angola,
09042211,GOPAL NAMKEENS SPICES HOT CHILI POWDER ( 1KG)REST DETAIL AS PER INVOICE,*****,*****,100,India,Angola,
09042211,GOPAL NAMKEENS SPICES HOT CHILI POWDER ( LP)REST DETAIL AS PER INVOICE,*****,*****,100,India,Angola,
09042211,GOPAL NAMKEENS SPICES HOT CHILI POWDER ( FP)REST DETAIL AS PER INVOICE,*****,*****,5,India,Angola,
09042211,GOPAL NAMKEENS SPICES HOT CHILI POWDER ( LP)REST DETAIL AS PER INVOICE,*****,*****,100,India,Angola,
09092200,GOPAL NAMKEENS SPICES CORIANDER POWDER ( FP)REST DETAIL AS PER INVOICE,*****,*****,30,India,Angola,
09093200,GOPAL NAMKEENS SPICES CUMIN POWDER (FP)R EST DETAIL AS PER INVOICE,*****,*****,40,India,Angola,
09103030,GOPAL NAMKEENS SPICES TURMERIC POWDER (F P)REST DETAIL AS PER INVOICE,*****,*****,20,India,Angola,
09103030,GOPAL NAMKEENS SPICES TURMERIC POWDER (L P)REST DETAIL AS PER INVOICE,*****,*****,80,India,Angola,
09092200,GOPAL NAMKEENS SPICES CORIANDER POWDER ( LP)REST DETAIL AS PER INVOICE,*****,*****,100,India,Angola,
09103030,GOPAL NAMKEENS SPICES TURMERIC POWDER (L P)REST DETAIL AS PER INVOICE,*****,*****,80,India,Angola,
