HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
33019012,SPICE PRODUCTS REPHYLL,*****,*****,25,India,Belgium,
09083120,CARDAMOM - SPICES (PUR.INV.NO.265 DT.12. 10.2020/GST.32AACFP7276M1ZV),*****,*****,500,India,Belgium,
62149090,80% COTTON X 20% SILK WOVEN DIGITALLY PR INTED SCARF WITH 4 SIDE STITCHING-SIZE:1 00X200 CMS COL:9145 /GOLDEN SPICE STYLE:,*****,*****,238,India,Belgium,
69149000,WOODEN CERAMIC SPICE BOX,*****,*****,60,India,Belgium,
57023210,HANDWOVEN 100% POLYPROPYLENE (SPICE PEBB LE BEACH)PACIFIC PEBBLE BEACH(SIZE:70X30 00 70X3100),*****,*****,105.70,India,Belgium,
73269099,HANDICRAFTS OF IRON/SPICE RACK,*****,*****,200,India,Belgium,
57023210,HANDWOVEN 100% POLYPROPLYNE (MAN MADE FI BER RUGS)  SPICE PEBBLE BEACH  SIZE IN C MS70X3000,*****,*****,147,India,Belgium,
73239420,STEAL SPICE BOX(7 PCS)SET,*****,*****,22,India,Belgium,
94038900,OTHER FURNITURE ARTICLES/ SPICE RACK 3 S HELVES,*****,*****,960,India,Belgium,
94038900,OTHER FURNITURE ARTICLES/ SPICE  RACK,*****,*****,240,India,Belgium,
94038900,OTHER FURNITURE ARTICLES/ SPICE RACK,*****,*****,120,India,Belgium,
44151000,WOODEN SPICE BOX,*****,*****,17,India,Belgium,
68022190,ARTICLES OF STONE HANDICRAFTS. Blue/Grey Marble Spice Cellar with Pivoting White Marble Lid,*****,*****,175,India,Belgium,
19041090,SPICED MIXTURE,*****,*****,200,India,Belgium,
12129990,ROOIBOS WITH SPICE - ROOIBOS ORIGINAL 20 ST 1 5GR  20 T/BAGS X 12PKTS X 1.5 GMS EAN SRP 8718452252114 600CTNS,*****,*****,216,India,Belgium,
12129990,ROOIBOS WITH SPICE- ROOIBOS ORIGINAL 20S T 1.5GR  20T/BAGS X 12PKTS X 1.5GMS  240 CTNS,*****,*****,86.40,India,Belgium,
68159990,ART. STONE SPICE KEEPER,*****,*****,2,India,Belgium,
19041090,TAPIOCA CHIPS SPICED,*****,*****,300,India,Belgium,
19041090,SPICED MIXTURE,*****,*****,1900,India,Belgium,
12129990,ROOIBOS WITH SPICE- ROOIBOS ORIGINAL 20S T 1.5GR  20T/BAGS X 12PKTS X 1.5GMS  108 0 CTNS,*****,*****,388.80,India,Belgium,
12129990,ROOIBOS WITH SPICE - ROOIBOS ORIGINAL 20 ST 1 5GR  20T/BAGS X 12PKTS X 1.5GMS EAN SRP 8718452252114  360CTNS,*****,*****,129.60,India,Belgium,
12129990,Rooibos with Spice Rooibos Original 20st 1 5gr 20 T/Bags x 12Pkts x 1.5 Gms EAN SRP8718452252114 720CTNS,*****,*****,259.20,India,Belgium,
12129990,ROOIBOS WITH SPICE - ROOIBOS ORIGINAL 20 ST 1.5GR  20T/BAGS X 12PKTS X 1.5GMS EAN SRP 8718452252114 1320CTNS Reward,*****,*****,475.20,India,Belgium,
12129990,ROOIBOS WITH SPICE - ROOIBOS ORIGINAL 20 ST 1.5GR  20T/BAGS X 12PKTS X 1.5GMS EAN SRP 8718452252114  120CTNS,*****,*****,43.20,India,Belgium,
12129990,ROOIBOS WITH SPICE - ROOIBOS ORIGINAL 20,*****,*****,43.20,India,Belgium,
70200090,ARTWARES HANDICRAFTS GLASS-IRON- SCENTED CANDLE CHRISTMAS BAUBLE SPICED VANILLA GLASS/WAX CHAMPAGNE-U,*****,*****,600,India,Belgium,
12129990,Rooibos with Spice Rooibos Original20st 1 5gr 20 T/Bags x 12Pkts x 1.5 Gms EAN SRP8718452252114 1320CTNS,*****,*****,475.20,India,Belgium,
74199930,TABLE WARE: ENAMEL THAALI SPICE,*****,*****,12,India,Belgium,
19041090,SPICED MIXTURE,*****,*****,1300,India,Belgium,
12129990,ROOIBOS WITH SPICE Rooibos Original 20st 1 5gr  20 T/Bags x 12 Pkts x 1.5 Gms EAN SRP 8718452252114 480CTNS,*****,*****,172.80,India,Belgium,
12129990,ROOIBOS WITH SPICE Rooibos Original 20st 1 5gr  20 T/Bags x 12 Pkts x 1.5 Gms E AN SRP 8718452252114 840CTNS,*****,*****,302.40,India,Belgium,
44219160,INDIAN ARTISTIC HANDICRAFTS - SPICE BOX WOOD (NEW) - LUT ARN NO:AD320319000604K DT:20.03.2019,*****,*****,1,India,Belgium,
44219160,INDIAN ARTISTIC HANDICRAFTS - SPICE TRAY WOOD (NEW) - LUT ARN NO:AD320319000604K DT:20.03.2019,*****,*****,1,India,Belgium,
09109100,SAKTHI RASAM POWDER 200 GMS X 30 (SPICES ),*****,*****,10,India,Belgium,
09109100,SAKTHI SAMBAR POWDER 200 GMS X 30 (SPICE S),*****,*****,15,India,Belgium,
09109100,SAKTHI GARAMMASALA 200 GMS X 30 (SPICES),*****,*****,5,India,Belgium,
09109100,SAKTHI CURRY POWDER 200 GMS X 30 (SPICES ),*****,*****,5,India,Belgium,
69149000,CERAMIC SPICE BOX,*****,*****,30,India,Belgium,
12129990,ROOIBOS WITH SPICE ROOIBOS ORIGINAL 20ST 1 5GR 20 T/BAGS X 12PKTS X 1.5GMS 1320C TNS,*****,*****,475.20,India,Belgium,
19041090,SPICED MIXTURE,*****,*****,1340,India,Belgium,
19041090,TAPIOCA CHIPS SPICED,*****,*****,460,India,Belgium,
12129990,ROOIBOS WITH SPICE ROOIBOS ORIGINAL 20ST 1 5GR 20 T/BAGS X 12PKTS X 1.5GMS 960 C TNS,*****,*****,345.60,India,Belgium,
44219990,ONE WOODEN SPICE BOX(MADE OF JACK WOOD) (WE INTEND TO CLAIM REWARDS UNDER MERCHA NDISE EXPORTS FROM INDIA SCHEME)(MEIS),*****,*****,1,India,Belgium,
44219990,ONE WOODEN SPICE BOX(MADE OF JACK WOOD),*****,*****,1,India,Belgium,
12129990,ROOIBOS WITH SPICE - ROOIBOS ORIGINAL 20 ST 1.5GR  20T/BAGS X 12PKTS X 1.5GMS  12 0 CTNS,*****,*****,43.20,India,Belgium,
09109100,MIXED SPICES POWDER (PAC 150 GRM) WE INT END TO CLAIM REWARDS UNDER MERCHANDISE E XPORTS FROM INDIA SCHEME (MEIS),*****,*****,33.75,India,Belgium,
09109100,MIXED SPICES (PAC 50 GRM) WE INTEND TO C LAIM REWARDS UNDER MERCHANDISE EXPORTS F ROM INDIA SCHEME (MEIS),*****,*****,31.25,India,Belgium,
12129990,ROOIBOS WITH SPICE - ROOIBOS ORIGINAL 20,*****,*****,388.80,India,Belgium,
25161200,ROUGH GRANITE BLOCKS SPICE BLACK,*****,*****,9.56,India,Belgium,
12129990,ROOIBOS WITH SPICE- ROOIBOS ORIGINAL 20S,*****,*****,950.40,India,Belgium,
68029900,ARTICLES OF STONE HANDICRAFTS.Blue/Grey  Marble Spice Cellar with Pivoting  Lid,*****,*****,72,India,Belgium,
68022390,GRANITES SLABS SPICE BLACK 20MM,*****,*****,250,India,Belgium,
68022390,GRANITES SLABS SPICE BLACK FINISH : POL,*****,*****,74.29,India,Belgium,
68022390,GRANITES SLABS W3 SPICE BLACK FINISH : P,*****,*****,121.10,India,Belgium,
12129990,ROOIBOS WITH SPICE - ROOIBOS ORIGINAL 20,*****,*****,302.40,India,Belgium,
12129990,"ROOIBOS WITH SPICE- ROOIBOS ORIGINAL 20S T 1.5GR, 20T/BAGS X 12PKTS X 1.5GMS,480 CTNS",*****,*****,172.80,India,Belgium,
12129990,"ROOIBOS WITH SPICE - ROOIBOS ORIGINAL 20 ST 1.5GR, 20TBX12PKTSX1.5GMS,PKD IN FILT ER PAPER 125MM, 240 CTNS",*****,*****,86.40,India,Belgium,
44151000,WD SPICE BOX,*****,*****,14,India,Belgium,
44151000,WDN SPICE BOX,*****,*****,10,India,Belgium,
12129990,"ROOIBOS WITH SPICE - ROOIBOS ORIGINAL 20 ST 1.5GR, 20T/BAGS X 12PKTS X 1.5GMS, 19 20 CTNS",*****,*****,691.20,India,Belgium,
19059090,VADAGAM SPICES (PUR.INV.NO : GST/114/18- 19 DT.21.08.2018 / GST : 34AALFS2612K1Z5 ),*****,*****,4000,India,Belgium,
09109100,SPICE MIX (MASALA MIX) 55G X 10 X 5,*****,*****,5,India,Belgium,
12129990,"ROOIBOS WITH SPICE ROOIBOS ORIGINAL 20ST 1.5GR, 20T/BAGSX12PKTSX1.5GMS EAN SRP 8 718452252114 480CTNS",*****,*****,480,India,Belgium,
12129990,"ROOIBOS WITH SPICE ROOIBOS ORIGINAL 20ST 1.5GR, 20T/BAGSX12PKTSX1.5GMS EAN SRP 8 718452252114 480CTNS",*****,*****,480,India,Belgium,
44151000,W. SPICE BOX,*****,*****,1,India,Belgium,
12129990,"ROOIBOS WITH SPICE - ROOIBOS ORIGINAL 20 ST 1.5GR, 20TB X 12PKTS X 1.5GMS, 1920 C TNS",*****,*****,1920,India,Belgium,
12129990,"ROOIBOS WITH SPICE-ROOIBOS ORIGINAL 20ST 1.5GR, 20TBX12PKTX1.5GMS, 360 CTN",*****,*****,360,India,Belgium,
