HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
20081990,"4700 INSTANT POPCORN,SEVEN SPICES,30G",*****,*****,240,India,Bhutan,
19053100,SNAPPERS P C INDI SPICE 192 X 28 G CHAIN,*****,*****,5760,India,Bhutan,
85366910,SPICE 3PIN UNI TRAVEL ADP WHITE,*****,*****,50,India,Bhutan,
85366910,SPICE 3 PIN ADAPTOR,*****,*****,300,India,Bhutan,
20081990,"4700 INSTANT POPCORN,SEVEN SPICES,30G",*****,*****,240,India,Bhutan,
85366910,Spice 3pin Uni travel Adp. White,*****,*****,25,India,Bhutan,
73239390,SPICE TABLE WITH 2BS,*****,*****,1,India,Bhutan,
85366910,SPICE 3PIN UNI TRAVEL ADP,*****,*****,200,India,Bhutan,
85361010,SPICE 3 PIN UNI TRAVEL ADP WHITE,*****,*****,10,India,Bhutan,
39249090,AROMA SPICE BOX,*****,*****,72,India,Bhutan,
20081990,P02ISPKA070 ACTII IPC SOUTHERN SPICE 70G,*****,*****,120,India,Bhutan,
20081990,P02ISPKA070 ACTII IPC SOUTHERN SPICE 70G,*****,*****,120,India,Bhutan,
87089900,SPICE FUEL PUMP,*****,*****,1,India,Bhutan,
85366910,SPICE 3 PIN ADAPTOR,*****,*****,300,India,Bhutan,
9093129,JERAGOTA SPICE,*****,*****,30,India,Bhutan,
85366910,SPICE 3PIN UNI TRAVEL ADP WHITE,*****,*****,1800,India,Bhutan,
39241010,SPICE CONTAINER,*****,*****,12,India,Bhutan,
21069099,RB ACTIVE PLUM SPICE 70GM,*****,*****,36,India,Bhutan,
39241090,JP SPICE SOUK BOX,*****,*****,5,India,Bhutan,
39241090,JP SPICE SOUK BOX,*****,*****,5,India,Bhutan,
85361010,SPICE 3-PIN UNIVERAL TRAVEL ADAPTOR,*****,*****,30,India,Bhutan,
64041990,SPICE - 801 LDIES BALLY 4X8 BAR BAR,*****,*****,108,India,Bhutan,
85366910,SPICE 3 PIN UNIT TRAVEL ADP WHITE,*****,*****,20,India,Bhutan,
21069099,RB ACTIVE PLUM SPICE 70GM,*****,*****,36,India,Bhutan,
85365020,SPICE 3 PIN TRAVEL ADAPTOR,*****,*****,100,India,Bhutan,
85366910,SPICE 3 PIN TRAVEL ADAPTER,*****,*****,40,India,Bhutan,
85366910,SPICE 3 PIN TRAVEL ADAPTER,*****,*****,40,India,Bhutan,
64041990,SPICE -601 LADIES BALLY 4X8 BAR BAR,*****,*****,108,India,Bhutan,
69109000,"TILES-SIMPOLO BRAND, TL,EWC-S, SPICE,RGL",*****,*****,35,India,Bhutan,
69109000,"TILES-SIMPOLO BRAND, TL,EWC-P, SPICE, RG",*****,*****,35,India,Bhutan,
64041990,SPICE -601 LADIES BALLY 4X8 BAR BAR,*****,*****,216,India,Bhutan,
85366910,SPICE 3PIN UNI TRAVEL ADP WHITE,*****,*****,1200,India,Bhutan,
85366110,SPICE 3 PIN UNIVERSAL,*****,*****,100,India,Bhutan,
64041990,SPICE -601 LADIE BALLY 4X8 BAR BAR,*****,*****,72,India,Bhutan,
21069099,RB ACTIVE PLUM SPICE 70GM,*****,*****,12,India,Bhutan,
85366910,SPICE 3PIN UNI TRAVEL ADP WHITE,*****,*****,300,India,Bhutan,
85366910,SPICE 3PIN UNI TRAVEL ADP WHITE,*****,*****,600,India,Bhutan,
85366910,SPICE 3PIN UNI TRAVEL ADP WHITE,*****,*****,80,India,Bhutan,
64041990,SPICE -601 LADIES BALLY 4X8 BAR BAR,*****,*****,72,India,Bhutan,
64041990,SPICE -601 LADIES BALLLY 4X8 BAR BAR,*****,*****,24,India,Bhutan,
85361010,GOLDMEDAL 202042 SPICE 3PIN ADAPTOR,*****,*****,435,India,Bhutan,
85366910,SPICE 3PIN UNI TRAVEL ADP WHITE,*****,*****,300,India,Bhutan,
21069099,RB ACTIVE PLUM SPICE 70GM,*****,*****,36,India,Bhutan,
85366910,SPICE 3PIN UNI TRAVEL ADP WHITE,*****,*****,20,India,Bhutan,
19053100,SNAPPERS P C INDI SPICE 96 X 75G DISCOU,*****,*****,4896,India,Bhutan,
70134900,Storewell Revolving Spices Rack,*****,*****,1,India,Bhutan,
64041990,SPICE -601 LADISE BALLY 4*8 BAR BAR,*****,*****,216,India,Bhutan,
21069099,RB ACTIVE PLUM SPICE 70GM,*****,*****,96,India,Bhutan,
85361010,SPICE 3-PIN UNIVERAL TRAVEL ADAPTOR,*****,*****,50,India,Bhutan,
85366910,SPICE 3PIN UNL TRAVEL ADP WHITE,*****,*****,100,India,Bhutan,
