HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
30049011,ROW Tulsi Licorice Spice 25 IB (MEDICAME NTS OF AYURVEDIC SYSTEM),*****,*****,1944,India,Brazil,
73239190,TABLE KITCHEN OR OTHER HOUSEHOLD ARTICLE OF  GLASS GLASS SPICE S/6 ON STAND,*****,*****,180,India,Brazil,
73239190,TABLE KITCHEN OR OTHER HOUSEHOLD ARTICLE OF IRON  ASST. SPICE S/3,*****,*****,200,India,Brazil,
73239190,TABLE KITCHEN OR OTHER HOUSEHOLD ARTICLE OF GLASS  GLASS SPICE S/8 WITH STAND,*****,*****,208,India,Brazil,
73239190,TABLE KITCHEN OR OTHER HOUSEHOLD ARTICLE OF GLASS  GLASS SPICE S/6 W/STAND,*****,*****,180,India,Brazil,
30049011,Tulsi Licorice Spice 25 IB ORGANIC (MEDI CAMENTS OF AYURVEDIC SYSYTEM),*****,*****,1512,India,Brazil,
09021090,Tulsi Licorice Spice Loose 100 IB ORGANI C,*****,*****,5,India,Brazil,
30049011,"Tulsi Licorice Spice 25 IB (MEDICAMENTS OF AYURVEDIC SYSTEM). Invoice Nos: 9027349855, 9027349860, 9027349861",*****,*****,3456,India,Brazil,
73239190,TABLE KITCHEN OR OTHER HOUSEHOLD ARTICLE OF IRON   GLASS SPICE S/6 ON STAND,*****,*****,456,India,Brazil,
73239190,TABLE KITCHEN OR OTHER HOUSEHOLD ARTICLE OF IRON   GLASS SPICE S/8 WITH STAND,*****,*****,400,India,Brazil,
73239190,TABLE KITCHEN OR OTHER HOUSEHOLD ARTICLE OF IRON   ASST. SPICE S/3,*****,*****,840,India,Brazil,
73239190,TABLE KITCHEN OR OTHER HOUSEHOLD ARTICLE OF IRON   GLASS SPICE S/6 W/ STAND,*****,*****,456,India,Brazil,
30049011,Tulsi Licorice Spice 25 IB ORGANIC(MEDIC AMENTS OF  AYURVEDIC SYSYTEM),*****,*****,1404,India,Brazil,
13021919,INDIAN HERBS & SPICES ASHWAGANDHA POWDER,*****,*****,500,India,Brazil,
12119099,INDIAN HERBS & SPICES TRIPHALA POWDER BU,*****,*****,80,India,Brazil,
12119029,INDIAN HERBS & SPICES SHATAVARI POWDER B,*****,*****,80,India,Brazil,
09101210,INDIAN HERBS & SPICES GINGER POWDER BULK,*****,*****,150,India,Brazil,
09062000,INDIAN HERBS & SPICES CINNAMON POWDER BU,*****,*****,800,India,Brazil,
09062000,INDIAN HERBS & SPICES AMALAKI POWDER BUL,*****,*****,80,India,Brazil,
73239190,TABLE KITCHEN OR OTHER HOUSEHOLD ARTICLE OF IRON   S/4 SPICE BOX,*****,*****,2400,India,Brazil,
33019014,AQUA SPICE OLEORESIN TURMERIC,*****,*****,1,India,Brazil,
30049011,Tulsi Licorice Spice 25 IB (Medicaments of Ayurvedic System),*****,*****,3024,India,Brazil,
73239190,TABLE KITCHEN OF OTHER HOUSEHOLD ARTICLE S AND PARTS THEREOF STEEL  ROUND SPICE J AR,*****,*****,432,India,Brazil,
30049011,TULSI LICORICE SPICE 25 IB (MEDICAMENTS OF AYURVEDIC SYSTEM),*****,*****,1620,India,Brazil,
73239190,TABLE KITCHEN OR OTHER HOUSEHOLD ARTICLE S AND PARTS THERE OF S.STEEL ROUND SPICE JAR,*****,*****,1008,India,Brazil,
73269099,HANDICRAFTS OF STAINLESS STEEL ARTWARES - SPICE CANISTER ( SET OF 4 PCS ),*****,*****,306,India,Brazil,
09021090,TULSI LICORICE SPICE LOOSE 100 IB ORGANI C,*****,*****,2,India,Brazil,
30049011,TULSI LICORICE SPICE 25 IB ORGANIC (MEDI CAMENTS OF AYURVEDIC SYSTEM),*****,*****,2700,India,Brazil,
09103020,KRISHNA SPICES (P) LTD BILL NO IND 51 DT 17.11.2018 IND 59 DT 28.11.2018 GST      NO 37AAACK9362LIZI,*****,*****,0.00,India,Brazil,
09021090,TULSI LICORICE SPICE LOOSE 100 IB ORGANI C,*****,*****,2,India,Brazil,
30049011,TULSI LICORICE SPICE 25 IB ORGANIC (MEDI CAMENTS OF AYURVEDIC SYSTEM),*****,*****,2700,India,Brazil,
70109000,GLASSWARE-3 PCS MALAYSIAN SPICE JAR SET,*****,*****,45324,India,Brazil,
55151130,(GSM:190) 65% POLYESTER / 35% VISCOSE BL ENDED WOVEN DYED FABRICS- SUITING- WIDTH 150-152 CMS- QUALITY: SPICE JET  (QTY:9,*****,*****,14284.50,India,Brazil,
09101210,FIVE SPICE PODWER 500 GRM(SHIP STORE MT. TORM GERD),*****,*****,0.50,India,Brazil,
30049011,TULSI LICORICE SPICE 25 IB ORGANIC (MEDI CAMENTS OF AYURVEDIC SYSTEM),*****,*****,648,India,Brazil,
30049011,TULSI LICORICE SPICE 25 IB ORGANIC (MEDI CAMENTS OF AYURVEDIC SYSTEM),*****,*****,648,India,Brazil,
30049011,TULSI LICORICE SPICE 25 IB ORGANIC (MEDI CAMENTS OF AYURVEDIC SYSTEM),*****,*****,648,India,Brazil,
73269099,HANDICRAFTS OF STAINLESS STEEL IRON & GL ASS ARTWARES - SPICE CANISTER ( SET OF 4 PCS ),*****,*****,540,India,Brazil,
33019022,SPICE EXTRACT (CAPSICUM) PACKED IN 6 X 1 6 KG HDPE PAIL IN CARTONS ( WE INTEND TO CLAIM REWARD UNDER MEIS),*****,*****,96,India,Brazil,
30049011,BRZ TULSI LICORICE SPICE 18 IB (MEDICAME NTS OF AYURVEDIC SYSTEM),*****,*****,324,India,Brazil,
09021090,ROW TULSI LICORICE SPICE LOOSE 100 IB,*****,*****,2,India,Brazil,
48237090,PAPER MACHE TEA SPICE BOX,*****,*****,1,India,Brazil,
33019022,SPICE EXTRACT CAPSICUM PACKED IN 6 X 16 KG HDPE PAIL IN CARTONS ( WE INTEND T O CLAIM REWARD UNDER MEIS),*****,*****,96,India,Brazil,
33019022,SPICE EXTRACT CAPSICUM PACKED IN 6 X 1 6KG HDPE PAIL IN CARTONS (WE INTEND TO C LAIM REWARD UNDER MEIS),*****,*****,96,India,Brazil,
12119099,TULSI LICORICE SPICE (18 INFUSION BAGS I N A BOX),*****,*****,324,India,Brazil,
12079930,"PROCESSED SPICES: NIGER SEED, 99% PURE C ROP 2016 (STERLIZED) GREEN CARD NO.02644 VALID 31/03/2019",*****,*****,19,India,Brazil,
12079930,PROCESSED SPICES: NIGER SEED 99 % PURE - CROP 2016  (STERLIZED) GREEN CARD NO.02 644 VALID 31/03/2019,*****,*****,19,India,Brazil,
12079930,"PROCESSED SPICES: NIGER SEED, 99% PURE C ROP 2016 (STERLIZED) GREEN CARD NO.02644 VALID 31/03/2019",*****,*****,19,India,Brazil,
12079930,PROCESSED SPICES: NIGER SEED 99 % PURE - CROP 2016  ( STERLIZED ) GREEN CARD NO. 02644 VALID 31/03/2019,*****,*****,19,India,Brazil,
12079930,PROCESSED SPICES: NIGER SEEDS 99% PURITY ( STERLIZED ) GREEN CARD NO.02644 VALI D 31/03/2019,*****,*****,19,India,Brazil,
09081200,PROCESSED SPICES: NUTMEG BROKEN [STERLIZED] GREEN CARD NO.02644 VALID 31/03/2019,*****,*****,2,India,Brazil,
09081120,PROCESSED SPICES: NUTMEG KERNELS [WITHOUT SHELL] [STERLIZED] GREEN CARD NO.02644VALID 31/03/2019,*****,*****,6,India,Brazil,
09081120,PROCESSED SPICES: NUTMEG KERNELS [WITHOUT SHELL] [STERLIZED] GREEN CARD NO.02644VALID 31/03/2019,*****,*****,6,India,Brazil,
09081200,PROCESSED SPICES: NUTMEG BROKEN [STERLIZED] GREEN CARD NO.02644 VALID 31/03/2019,*****,*****,2,India,Brazil,
73239390,"TABLE,KITCHEN OR OTHER HOUSEHOLD ARTICLES MADE OF STAINLESS STEEL: SPICE CANISTER [SET OF 4 PCS].",*****,*****,1008,India,Brazil,
33019022,SPICE EXTRACT CAPSICUM PACKED IN 5 X 20 KG DRUM IN CARTONS(NCM:1301.90.90) (WEINTEND TO CLAIM REWARDS UNDER MEIS),*****,*****,100,India,Brazil,
73269099,HANDICRAFTS OF STAINLESS STEEL ARTWARES-SPICE CANISTER (SET OF 4 PCS),*****,*****,1188,India,Brazil,
73239990,STAINLESS STEEL UTENSILS: SPICE DISPENSER 6.5X5 CM,*****,*****,200,India,Brazil,
73239390,"TABLE,KITCHEN OR OTHER HOUSEHOLD ARTICLES MADE OF STAINLESS STEEL:  SPICE CANISTER [SET OF 4 PCS].",*****,*****,1584,India,Brazil,
73239990,STAINLESS STEEL UTENSILS: SPICE SET 7X9CM,*****,*****,200,India,Brazil,
73239990,STAINLESS STEEL UTENSILS: SPICE DISPENSER 6.5CM,*****,*****,100,India,Brazil,
09093129,520 BAGS. SPICES CUMIN SEEDS (JIRA) PKDIN PP BAGS ,*****,*****,13,India,Brazil,
09093129,560 BAGS. SPICES CUMIN SEEDS (JIRA) PKDIN PP BAGS 560 BAGS X 25 KGS. CUMIN SEEDS NT.WT: 13832.000 KGS GR.WT: 14000.000,*****,*****,14,India,Brazil,
09093129,560 BAGS. SPICES CUMIN SEEDS (JIRA) PKDIN PP BAGS 560 BAGS X 25 KGS. CUMIN SEEDS NT.WT: 13832.000 KGS GR.WT: 14000.000,*****,*****,14,India,Brazil,
09093129,520 BAGS. SPICES CUMIN SEEDS (JIRA) PKDIN PP BAGS ,*****,*****,13,India,Brazil,
09093129,520 BAGS. SPICES CUMIN SEEDS (JIRA) PKDIN PP BAGS Í,*****,*****,13,India,Brazil,
09093129,560 BAGS. SPICES CUMIN SEEDS (JIRA) PKDIN PP BAGS 560 BAGS X 25 KGS. CUMIN SEEDS NT.WT: 14000.000 KGS GR.WT: 14056.000Í,*****,*****,14,India,Brazil,
09093129,540 BAGS. SPICES CUMIN SEEDS (JIRA) PKDIN JUTE BAGS 540 BAGS X 50 KGS. CUMIN SEEDS NT.WT: 27000.000 KGS GR.WT: 27216.0Í,*****,*****,27,India,Brazil,
