HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,SPICES >> SPICES PKD 170 G BARBECUE SPICES PKD IN PET BOTTLES,*****,*****,20.40,India,Brunei,
09109100,MIX >> SPICE MIX 150 G BIRIYANI SPICE MIX PKD IN PET BOTT,*****,*****,7.20,India,Brunei,
09109100,MIX >> SPICE MIX 150 G KABSA SPICE MIX PKD IN PET BOTTLES,*****,*****,18,India,Brunei,
09109100,MIX >> MIX PKD 140 G SHAWARMA SPICES MIX PKD IN PET BOT,*****,*****,16.80,India,Brunei,
09109100,MIX >> MIX PKD 150 G SEVEN SPICES MIX PKD IN PET BOTTLE,*****,*****,18,India,Brunei,
09109100,SPICES >> SPICES PKD 170 G BARBECUE SPICES PKD IN PET BOTTLES,*****,*****,20.40,India,Brunei,
09109100,MIX >> MIX PKD 140 G SHAWARMA SPICES MIX PKD IN PET BOT,*****,*****,16.80,India,Brunei,
09109100,MIX >> SPICE MIX 150 G SAUDI SPICE MIX PKD IN PET BOTTLES,*****,*****,10.80,India,Brunei,
09109100,MIX >> SPICE MIX 135 G BUKHARI SPICE MIX PKD IN PET BOTTL,*****,*****,6.48,India,Brunei,
09109100,MIX >> SPICE MIX 150 G SAUDI SPICE MIX PKD IN PET BOTTLES,*****,*****,10.80,India,Brunei,
09109100,MIX >> SPICE MIX 135 G BUKHARI SPICE MIX PKD IN PET BOTTL,*****,*****,6.48,India,Brunei,
09109100,MIX >> MIX PKD 150 G SEVEN SPICES MIX PKD IN PET BOTTLE,*****,*****,18,India,Brunei,
09109100,MIX >> SPICE MIX 150 G KABSA SPICE MIX PKD IN PET BOTTLES,*****,*****,18,India,Brunei,
09109100,MIX >> SPICE MIX 150 G STEW SPICE MIX PKD IN PET BOTTLES,*****,*****,10.80,India,Brunei,
09109100,MIX >> SPICE MIX 150 G BIRIYANI SPICE MIX PKD IN PET BOTT,*****,*****,7.20,India,Brunei,
09109100,MIX >> SPICE MIX 150 G STEW SPICE MIX PKD IN PET BOTTLES,*****,*****,10.80,India,Brunei,
33012950,SPICES >> COOKING OIL  SPICES OIL NES - 1LT X 20,*****,*****,200,India,Brunei,
33012950,SPICES >> COOKING OIL  SPICES OIL NES - 1LT X 15,*****,*****,750,India,Brunei,
33012950,SPICES >> COOKING OIL  SPICES OIL NES - 1LT X 12,*****,*****,384,India,Brunei,
