HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
73239190,Table Kitchen and other Household Article and Parts there of Iron - ASST. COL. SPICE BOX S-4 PCS IN COLOUR BOX ;  Articl e  ;  S PICE ,*****,*****,1200,India,Chile,
09042229,ALL SPICES   JAMAICAN PEPPER  ,*****,*****,100,India,Chile,
20081920,FOOD PRODUCT SNACKS MAKHANA INDIAN SPICE,*****,*****,300,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (MAN GAL BUTTER CHICKEN/CHICKEN TIKKA/ROGANJO SH/TANDOORI CHICKEN/MEAT/KITCHEN KING MA,*****,*****,97.20,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (EVE REST DRY MANGO AMCHUR POWDER),*****,*****,12,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (EVE REST TEA MASALA),*****,*****,12,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (GAR AM MASALA),*****,*****,125,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (EVE REST SHAHI BIRYANI PULAV/ CHICKEN/ SAMBH AR/ GARAM MASALA CURRY POWDER),*****,*****,90,India,Chile,
09109919,OTHER SPICES N.E.S. (EVEREST FENUGREEK L EAVES),*****,*****,9,India,Chile,
94032090,IRON FURNITURE (SPICE RACK ),*****,*****,30,India,Chile,
94032090,IRON FURNITURE (SPICE RACK ),*****,*****,30,India,Chile,
09041190,SPICE- CHOTI ELAICHI POWDER,*****,*****,3,India,Chile,
09041190,SPICE- GARAM MASALA,*****,*****,35,India,Chile,
09041190,SPICE- SAMBHAR MASALA,*****,*****,25,India,Chile,
09041190,SPICE- CHOTI ELAICHI,*****,*****,2,India,Chile,
09041190,SPICE- ACHAR MIX,*****,*****,20,India,Chile,
09041190,SPICE- ANARDANA SABUT,*****,*****,10,India,Chile,
09041190,SPICE- KASHMIRI MIRCH,*****,*****,70,India,Chile,
09041190,SPICE- RED COLOUR,*****,*****,1.20,India,Chile,
09041190,SPICE- SAUNF BARIK,*****,*****,5,India,Chile,
09041190,SPICE- PIPAL,*****,*****,5,India,Chile,
09041190,SPICE- HING,*****,*****,2,India,Chile,
09041190,SPICE- YELLOW COLOUR,*****,*****,1.20,India,Chile,
09041190,SPICE- ANARDANA POWDER,*****,*****,5,India,Chile,
09041190,SPICE- DHANIA,*****,*****,25,India,Chile,
09041190,SPICE- AMCHOOR POWDER,*****,*****,10,India,Chile,
09041190,SPICE- DHANIA SABUT,*****,*****,15,India,Chile,
09041190,SPICE- KALA NAMAK,*****,*****,20,India,Chile,
09041190,SPICE- KASOORI METHI,*****,*****,10,India,Chile,
09041190,SPICE- KESAR(1 GM),*****,*****,0.00,India,Chile,
09041190,SPICE- SAUNF,*****,*****,5,India,Chile,
09041190,SPICE- FIVE STAR,*****,*****,3,India,Chile,
09041190,SPICE- EMLI,*****,*****,5,India,Chile,
09041190,SPICE- JAIPHAL,*****,*****,4,India,Chile,
09041190,SPICE- LAL MIRCH POWDER,*****,*****,5,India,Chile,
09041190,SPICE- CHAT MASALA,*****,*****,40,India,Chile,
09041190,SPICE- CHIRONJI,*****,*****,2,India,Chile,
09041190,SPICE- CHANA MASALA,*****,*****,20,India,Chile,
09041190,SPICE- PILLI MIRCH,*****,*****,20,India,Chile,
09041190,SPICE- KITCHAN KING,*****,*****,10,India,Chile,
09041190,SPICE- PAV BHAJI MASALA,*****,*****,5,India,Chile,
09041190,SPICE- BARI ELAICHI,*****,*****,10,India,Chile,
09041190,SPICE- JAVITRI,*****,*****,5,India,Chile,
09041190,SPICE- METHI DANA,*****,*****,5,India,Chile,
09041190,SPICE- SARSO DANA,*****,*****,5,India,Chile,
09041190,SPICE- GREEN COLOUR,*****,*****,1.20,India,Chile,
09041190,SPICE- HALDI POWDER,*****,*****,15,India,Chile,
09041190,SPICE- SAUNTH PWD,*****,*****,2,India,Chile,
09041190,SPICE- TEJ PATTA,*****,*****,2,India,Chile,
09041190,SPICE- AJWAIN,*****,*****,5,India,Chile,
09041190,SPICE- JEERA POWDER,*****,*****,20,India,Chile,
09093200,SEMILLA COMINO MOLIDO 30ST NATU|AKAY SPICES PRIVATE LIMITED|EN BOLSA DE 25 KILOS| ESPECIAS DE CONSUMO ALIMENTO TRITURADA ACONDICIONADA EN BOLSA|9000 KILOS,*****,*****,9000,India,Chile,
09041200,"PIMIENTA BLANCA|AKAY SPICES|1411003|EN POLVO| ESPECIAS Y CONDIMENTOS PARA CONSUMO, ACONDICIONADOEN BOLSAS DE 25 KG.|2000 KILOS",*****,*****,2000,India,Chile,
09103000,"CURCUMA MOLIDA|AKAY SPICES PRIVATE LIMITED|1X25 KILOS| ESPECIAS CONDIMENTOS, DE USO ALIMENTICIO, ACOND.EN CAJA|100 KILOS",*****,*****,100,India,Chile,
09041200,"PIMIENTA NEGRA|AKAY SPICES|EN POLVO| ESPECIAS Y CONDIMENTOS PARA CONSUMO, ACONDICIONADOEN BOLSAS DE 25 KG.|2975 KILOS",*****,*****,2975,India,Chile,
09092200,SEMILLA CILANTRO MOLIDO 30ST NA|AKAY SPICES PRIVATE LIMITED|ENVASE DE 40 KILO| ESPECIAS DECONSUMO ALIMENTO TRITURADA ACONDICIONADA EN BOLSA|1000 KILOS,*****,*****,1000,India,Chile,
73239190,TABLE KITCHEN OR OTHER HOUSEHOLD ARTICLE OF IRON   S/4 SPICE BOX,*****,*****,792,India,Chile,
70109000,GLASS JAR 120ML SPICE,*****,*****,100,India,Chile,
70109000,GLASS JAR 120ML SPICE,*****,*****,100,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (EVE REST MASALA) (PAV BHAJI/PUNJABI CHHOLE/C HICKEN/GARAM/SAMBHAR MASALA  CURRY POWDE,*****,*****,108,India,Chile,
09109919,OTHER SPICES N.E.S. (BAY LEAVES),*****,*****,1,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (GAR AM MASALA),*****,*****,90,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (MAN GAL MASALA) (BIRYANI PULAO/CHANA/KITCHEN KING/TANDOORI CHICKEN/MEAT/ACHARI CHOST,*****,*****,100.80,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (MAN GAL MASALA) (SUPREME TEA/AMCHUR POWDER),*****,*****,25.20,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (MAN GAL MASALA) (RAJMAH/BUTTER CHICKEN/KHEEM A/ROGANJOSH/PAO BHAJI MASALA),*****,*****,57.60,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (MOT HERS RECIPE READY TO COOKMIX),*****,*****,59.20,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (MTR SPICE SAMBHAR POWDER),*****,*****,42,India,Chile,
09041200,PIMIENTA BLANCA|AKAY SPICES|EN POLVO| PARA CONSUMO ACONDICIONADO EN BOLSAS|2000 KILOS,*****,*****,2000,India,Chile,
09093200,COMINO|AKAY SPICES|MOLIDO| ESPECIAS DE CONSUMO ALIMENTO ACONDICIONADO EN BOLSAS|9000 KILOS,*****,*****,9000,India,Chile,
09041200,PIMIENTA NEGRA|AKAY SPICES|EN POLVO| PARA CONSUMO ACONDICIONADO EN BOLSAS|3000 KILOS,*****,*****,3000,India,Chile,
09092200,CILANTRO|AKAY SPICES|MOLIDO|ESPECIAS DE CONSUMO ALIMENTOTRITURADA ACONDICIONADA EN BOLSA|1000 KILOS,*****,*****,1000,India,Chile,
57029990,CARPET AND OTHER ASPERINV.HANDWOVEN JUTE RUGS ASPERINV-BLEACHED / CATHAY SPICE SIZE IN CMS 300X400,*****,*****,24,India,Chile,
57029990,CARPET AND OTHER ASPERINV.HANDWOVEN JUTE RUGS ASPERINV-BLEACHED / CATHAY SPICE SIZE IN CMS 200X300,*****,*****,12,India,Chile,
12074090,40 BAGS WHITE NATURAL SESAME SEEDS PKD 2 5 KG PACK.SUP.AMAZON SPICES PLTD GSTIN:2 4AALCA8746R1ZT INV 666/19-20 DT24-10-19,*****,*****,1,India,Chile,
09041200,PIMIENTA BLANCA MOLIDA 50ST NATURAL|AKAY SPICES PRIVATE LIMITED|ENVASE 40 X 25KG| ESPECIASDE CONSUMO ALIMENTO TRITURADAACONDICIONADA EN BOLSA|1000 KG,*****,*****,1000,India,Chile,
09041200,PIMIENTA NEGRA MOLIDA 50ST NATURAL|AKAY SPICES PRIVATE LIMITED|ENVASE 120 X 25KG| ESPECIASDE CONSUMO ALIMENTO TRITURADAACONDICIONADA EN BOLSA|3000 KG,*****,*****,3000,India,Chile,
09092200,SEMILLA CILANTRO MOLIDO 30ST NATURAL|AKAY SPICES PRIVATE LIMITED|ENVASE 80 X 25KG| ESPECIAS DE CONSUMO ALIMENTO TRITURADA ACONDICIONADA EN BOLSA|2000 KG,*****,*****,2000,India,Chile,
09093200,SEMILLA COMINO MOLIDO 30ST NATURAL|AKAY SPICES PRIVATE LIMITED|ENVASE 320 X 25KG| ESPECIAS DE CONSUMO ALIMENTO TRITURADA ACONDICIONADA EN BOLSA|2000 KG,*****,*****,8000,India,Chile,
09041100,PIMIENTA|AKAY SPICES|BLANCA|DENTERA| PARA CONSUMO HUMANO|ENVASES DE 200 GR|0.600000 KILO,*****,*****,0.60,India,Chile,
32041600,COLORANTE REACTIVO|SPICE INDUSTRIA QUIMICA LTDA|10831720970|DRIMAREN AMARILLO CL-2| PARA USO INDUSTRIA TEXTIL|450 KN,*****,*****,450,India,Chile,
09092200,"CILANTRO|AKAY SPICES|1911009|EN PLVO| ESPECIAS Y CONDIMENTOS PARACONSUMO, ACONDICIONADO EN BOLSAS DE 25 KG.|2000 KILOS",*****,*****,2000,India,Chile,
09041200,"PIMIENTA BLANCA|AKAY SPICES|1211010|EN POLVO| ESPECIAS Y CONDIMENTOS PARA CONSUMO, ACONDICIONADOEN BOLSAS DE 25 KG.|4000 KILOS",*****,*****,4000,India,Chile,
09041200,"PIMIENTA BLANCA|AKAY SPICES|1411003|EN POLVO| ESPECIAS Y CONDIMENTOS PARA CONSUMO, ACONDICIONADOEN BOLSAS DE 25 KG.|2000 KILOS",*****,*****,2000,India,Chile,
09093200,"COMINO|AKAY SPICES|1511009|EN POLO|ESPECIAS Y CONDIMENTOS PARA CONSUMO, ACONDICIONADO EN BOLSASDE 25 KG.|6000 KILOS",*****,*****,6000,India,Chile,
09041200,"PIMIENTA NEGRA|AKAY SPICES|1211010|EN POLVO| ESPECIAS Y CONDIMENTOS PARA CONSUMO, ACONDICIONADOEN BOLSAS DE 25 KG.|4000 KILOS",*****,*****,4000,India,Chile,
09041200,"PIMIENTA BLANCA|AKAY SPICES|1411003|EN POLVO| ESPECIAS Y CONDIMENTOS PARA CONSUMO, ACONDICIONADOEN BOLSAS DE 25 KG.|1875 KILOS",*****,*****,1875,India,Chile,
09092200,"CILANTRO|AKAY SPICES|1911009|EN POLVO| ESPECIAS Y CONDIMENTOS PARACONSUMO, ACONDICIONADO EN BOLSAS DE 25 KG.|2000 KILOS",*****,*****,2000,India,Chile,
09093200,"COMINO|AKAY SPICES|1511009|EN POLVO|ESPECIAS Y CONDIMENTOS PARA CONSUMO, ACONDICIONADO EN BOLSAS DE 25 KG.|6000 KILOS",*****,*****,6000,India,Chile,
73239390,SPICE BOX (UTENSIL) STEEL,*****,*****,10,India,Chile,
73239390,SPICE BOX (UTENSIL) STEEL,*****,*****,10,India,Chile,
09109929,OTHER POWDER OF OTHER SPICES N.E.S. AS P ER INVOICE,*****,*****,1,India,Chile,
94036000,Ashtray with bowl spice (EXHIBITION GOOD S ),*****,*****,66,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (BAD SHAH MASALA) ; CH. 9,*****,*****,108,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (GAR AM MASALA) ; CH. 9,*****,*****,126,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (BAD SHAH MASALA) ; CH. 9,*****,*****,12,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (BAD SHAH MASALA) ; CH. 9,*****,*****,96,India,Chile,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (BAD SHAH MASALA) ; CH. 9,*****,*****,96,India,Chile,
09109939,OTHER SPICES N.E.S. (BADSHAH FENUGREEK L EAVES) CH.9,*****,*****,9,India,Chile,
22084011,75 CASES OF WILD TIGER INDIA SPICED RUM PKG:12X700 ML WITH 38% ALC EXPORT UNDER LUT,*****,*****,75,India,Chile,
44151000,WOODEN CARVED SPICE BOX LONG,*****,*****,1,India,Chile,
