HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09096139,FENNEL SEED   SPICE   MACHINE CLEAN 99%. NEW CROP 2021 EACH BAG 25 KGS NETT & 25.060 KGS GROSS IN PP BAG PKD AS PER INV. ;  N EW  ;  25.0 60 ,*****,*****,27,India,China,
09096139,FENNEL SEED   SPICE   MACHINE CLEAN 99%. NEW CROP 2021 EACH BAG 25 KGS NETT & 25.060 KGS GROSS IN PP BAG PKD AS PER INV. ;  N EW  ;  25.0 60 ,*****,*****,27,India,China,
21069060,"CAJUN SPICE BLEND. INV. Nos: 5101102848 ,  5101102842",*****,*****,5,India,China,
21069060,"CAJUN SPICE BLEND. INV. Nos: 5101102853 ,  5101102846 ,  5101102845",*****,*****,20,India,China,
21069060,"CAJUN SPICE BLEND FLAVOR. INV. Nos: 5101102848 ,  5101102842",*****,*****,5,India,China,
09096139,INDIA FENNEL CROP 2021   SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,27,India,China,
09096139,INDIA FENNEL CROP 2021   SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,27,India,China,
09096139,INDIA FENNEL CROP 2021   SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,54,India,China,
09096139,INDIA FENNEL CROP 2021   SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,27,India,China,
09096139,INDIA FENNEL CROP 2021   SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,27,India,China,
09096139,INDIAN FENNEL CROP 2021  SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,54,India,China,
09096139,INDIAN FENNEL CROP 2021  SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,54,India,China,
09096139,FENNEL   SPICE  ,*****,*****,54000,India,China,
09096139,FENNEL   SPICE  ,*****,*****,54000,India,China,
09096139,INDIAN FENNEL CROP 2021  SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,27,India,China,
09096139,INDIA FENNEL CROP 2021  SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,54,India,China,
09096139,INDIAN FENNEL CROP 2021  SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,27,India,China,
09096139,INDIA FENNEL CROP 2021  SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,54,India,China,
09096139,INDIA FENNEL CROP 2021   SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,54,India,China,
09096139,INDIA FENNEL CROP 2021   SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,54,India,China,
09096139,INDIA FENNEL CROP 2021   SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,27,India,China,
09096139,INDIA FENNEL CROP 2021   SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,27,India,China,
09096139,INDIA FENNEL CROP 2021   SPICE   SINGAPORE99 SIEVED MOISTURE BELOW 8% ; SINGAPORE 99 ,*****,*****,54,India,China,
12119099,HOLARRHENA PUBESCENS   BACK SPICE  ,*****,*****,6615,India,China,
09096139,"FENNEL SEED   SPICE  , MACHINE CLEAN 99%,N",*****,*****,108,India,China,
09096139,"FENNEL SEED   SPICE  , MACHINE CLEAN 99%,N",*****,*****,108,India,China,
33019022,AQUA SPICE CAPSICUM   OLEORESIN CAPSICUMW-S   ; CAPSICUM W-S  ,*****,*****,40,India,China,
33019022,AQUA SPICE CAPSICUM   OLEORESIN CAPSICUM,*****,*****,40,India,China,
09109100,SPICE MIX- J TYPE,*****,*****,2,India,China,
09109100,SPICE MIX J TYPE,*****,*****,8000,India,China,
09096139,INDIA FENNEL CORP 2021   SPICE   SINGAPORE99 MOISTURE BELOW 8% ;  SINGAPORE 99 ,*****,*****,54,India,China,
09042110,DRY RED CHILLIES STEM CUT DELUXE QUALITYNEW CROP-SUSHMA SPICES GSTIN NO:36AMZPP 5568P1ZL INV. NO:1 & 2 DT:20.04.2021 ;  QUALITY NEW ,*****,*****,30,India,China,
09042211,SPICES ASSORTED MASALA POWDER,*****,*****,70,India,China,
09096139,FENNEL SEED   SPICE   MACHINE CLEAN 99%.2020 CROP EACH BAG 25 KGS NETT & 25.060 KGS GROSS IN PP BAG AS PER INV. ;  99%.20 20  ;  KG S ,*****,*****,27,India,China,
09096139,FENNEL SEED   SPICE   MACHINE CLEAN 99%.2020 CROP EACH BAG 25 KGS NETT & 25.060 KGS GROSS IN PP BAG AS PER INV. ;  99%.20 20  ;  KG S ,*****,*****,27,India,China,
09109100,SPICE MIX J TYPE 150 CARTON,*****,*****,3000,India,China,
09109100,SPICE MIX J TYPE 1 CARTON,*****,*****,2,India,China,
09042211,ASSORTED SPICES POWDER,*****,*****,61,India,China,
09101190,OTHER SPICES  NES BAY LEAF (TEJ PATTA) S PICES BOARD CERTICATE NO ML/REG/14710/20 17 VALID UP TO 31/12/2020,*****,*****,9,India,China,
03061720,Frozen Headless Shell On Vannamei Shrimp s. Size 31/40  300 Ctns Spices: Litopena eus Vannamei  Other Than AFD,*****,*****,3240,India,China,
03061720,Frozen Headless Shell On Vannamei Shrimp s. Size 21/25  900 Ctns Spices: Litopena eus Vannamei  Other Than AFD,*****,*****,9720,India,China,
03061720,Frozen Headless Shell On Vannamei Shrimp s. Size 26/30  400 Ctns Spices: Litopena eus Vannamei  Other Than AFD,*****,*****,4320,India,China,
09109100,SPICE MIX- J TYPE 1 CARTON,*****,*****,2,India,China,
09109100,SPICE MIX- J TYPE 150 CARTON,*****,*****,3000,India,China,
03061720,Frozen Headless Shell On Vannamei Shrimp s. Size 21/25  1600 Ctns Spices: Litopen aeus Vannamei  Other Than AFD,*****,*****,17280,India,China,
03061720,Frozen Headless Shell On Vannamei Shrimp s. Size 21/25  400 Ctns Spices: Litopena eus Vannamei  Other Than AFD,*****,*****,4320,India,China,
03061720,Frozen Headless Shell On Vannamei Shrimp s. Size 26/30  800 Ctns Spices: Litopena eus Vannamei  Other Than AFD,*****,*****,8640,India,China,
03061720,Frozen Headless Shell On Vannamei Shrimp s. Size 16/20  400 Ctns Spices: Litopena eus Vannamei  Other Than AFD,*****,*****,4320,India,China,
58109290,T02D31-DTM SPICE - EMBROIDERED TASSEL FR INGES MADE OF 100% ORGANZA FABRIC CORD F OR LADIES DRESS,*****,*****,51,India,China,
090002,"LIJJAT PAPAD,MDH BLENDED MASALA,TEA, GITS INSTANT MIX  WHEAT FLOUR AND SPICES & FOODSTUFFS.AND GENERAL MERCHANDISE.",*****,*****,751,India,China,
09109100,SPICE MIX J TYPE 50 CARTON,*****,*****,1000,India,China,
09109100,SPICE MIX  J TYPE 1 CARTON,*****,*****,2,India,China,
19059090,SNACKS NAMKEEN MELODY AND SPICES,*****,*****,61,India,China,
19021900,SPICES JEERA AJWAIN CATCH BRAND,*****,*****,17,India,China,
07136000,PULSES/ SPICES/ TEA,*****,*****,1,India,China,
09109100,SPICE MIX- J TYPE 50 CARTON,*****,*****,1000,India,China,
09109100,Garam Masala 25 Kgs x 24 Ctns. SPICES PA CKED IN CONSUMER PACK,*****,*****,24,India,China,
21039040,109 CTN MIX HOT SPICES (SEASONING) PKD I N ALU-550G X 20 P X 0 L X 109 CTN X 11.0 0 KGS = 1199 KGS,*****,*****,1199,India,China,
21039040,76 CTN MIX REGULAR SPICES (SEASONING) PK D IN ALU-525G X 20 P X 0 X 76 CTN X 10.5 0 KGS = 798 KGS,*****,*****,798,India,China,
09109100,SPICE MIX J TYPE 35 CARTON,*****,*****,700,India,China,
09109100,Garam Masala 25 Kgs x 73 Ctns. SPICES PA CKED IN CONSUMER PACK,*****,*****,73,India,China,
09109100,Garam Masala 25 Kgs x 73 Ctns. SPICES PA,*****,*****,73,India,China,
090002,"LIJJAT PAPAD,MDH BLENDED MASALA,TEA, GITS INSTANT MIX  WHEAT FLOUR AND SPICES & FOODSTUFFS.AND GENERAL MERCHANDISE.",*****,*****,791,India,China,
