HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
44151000,CARVED SPICE BOX,*****,*****,2,India,Colombia,
44151000,CARVED SPICE BOX,*****,*****,2,India,Colombia,
33019029,OLEORESIN ALL SPICE PACKED IN 20 X 1 KG ALUMINIUM CAN IN 4 CARTON,*****,*****,20,India,Colombia,
09093129,"PROCESSED SPICES:[JIRA]CUMIN SEEDS,97% P URITY, [STERLIZED] GREEN CARD NO.02644 V ALID 31/03/2019",*****,*****,14,India,Colombia,
68022390,POLISHED GRANITE SLABS - SPICE BLACK (SI ZE: 200 UP X 65-90 CM X 2 CM),*****,*****,418.28,India,Colombia,
68022390,POLISHED GRANITE RANDOM SLABS SPICE BLAC,*****,*****,190.37,India,Colombia,
09109929,"SPICES AND CONDIMENTS, GARAM MASALA",*****,*****,15,India,Colombia,
13019044,SPICES - BLACK PEPPER 100 GM,*****,*****,25,India,Colombia,
13019044,SPICES - HEENG 10 GM,*****,*****,10,India,Colombia,
13019044,SPICES - DAL MAKHNI MASALA 100GM,*****,*****,25,India,Colombia,
13019044,SPICES - CHICKEN MASALA 100GM,*****,*****,150,India,Colombia,
13019044,SPICES -  HALDI 100 GM,*****,*****,200,India,Colombia,
13019044,SPICES - SHAHI PANEER MASALA 100 GM,*****,*****,25,India,Colombia,
13019044,SPICES - CHANA MASALA 100GM,*****,*****,25,India,Colombia,
13019044,SPICES - CHAT MASALA 100GM,*****,*****,25,India,Colombia,
13019044,SPICES - SHAHI PANEER MASALA 100 GM,*****,*****,25,India,Colombia,
13019044,SPICES - MIRCH 100 GM,*****,*****,20,India,Colombia,
13019044,SPICES - MIRCH 100 GM,*****,*****,20,India,Colombia,
13019044,SPICES - DAL MAKHNI MASALA 100GM,*****,*****,25,India,Colombia,
13019044,SPICES - CHICKEN MASALA 100GM,*****,*****,150,India,Colombia,
13019044,SPICES -  MEAT MASALA 100 GM,*****,*****,100,India,Colombia,
13019044,SPICES - BLACK PEPPER 100 GM,*****,*****,25,India,Colombia,
13019044,SPICES - ZEERA POWDER 100 GM,*****,*****,25,India,Colombia,
13019044,SPICES - CHAT MASALA 100GM,*****,*****,25,India,Colombia,
13019044,SPICES - GARAM MASALA 100GM,*****,*****,50,India,Colombia,
13019044,SPICES - GARAM MASALA 100GM,*****,*****,50,India,Colombia,
13019044,SPICES - ZEERA POWDER 100 GM,*****,*****,25,India,Colombia,
13019044,SPICES - CHANA MASALA 100GM,*****,*****,25,India,Colombia,
13019044,SPICES - HEENG 10 GM,*****,*****,10,India,Colombia,
13019044,SPICES -  MEAT MASALA 100 GM,*****,*****,100,India,Colombia,
13019044,SPICES -  HALDI 100 GM,*****,*****,200,India,Colombia,
