HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
62052090,100% COTTON WOVEN MENS LONG SLEEVE SHIRT 2022 TANDOORI SPICE - ORDER NO. 9000065523 INCENSE- ORDER NO. 900006 ;  SHIR T  ;  900006 5523 ,*****,*****,420,India,Denmark,
62052090,100% COTTON WOVEN MENS LONG SLEEVE SHIRT 2022 TANDOORI SPICE - ORDER NO. 9000065523 INCENSE- ORDER NO. 900006 ;  SHIR T  ;  900006 5523 ,*****,*****,685,India,Denmark,
44219190,HANDICRAFTS OF MANGO WOOD- SPICE RACK 6HOLES ;  6 HOLES,*****,*****,80,India,Denmark,
09109990,ORGANIC MIX SPICES   DRY     DETAILEDED AS PER INV.   WE INTEND TO CLAIM REWARDS UNDER   RODTEP   SCHEME ; PE R ; U NDER ,*****,*****,55.20,India,Denmark,
09109100,MTR SPICED CHUTNEY POWDER 6 X 12 X 200G,*****,*****,10,India,Denmark,
09109100,ASSORTED SPICES & FOODSTUFFS PACK IN VARIOUS PACKAGING MATERIALS EVEREST CHAATMASALA 120 X 100G ;  V ARIOUS  ;  CHAAT MASALA ,*****,*****,30,India,Denmark,
09109100,ASSORTED SPICES & FOODSTUFFS PACK IN V,*****,*****,30,India,Denmark,
09109100,MTR SPICED CHUTNEY POWDER 6 X 12 X 200G,*****,*****,10,India,Denmark,
09092190,ASSORTED SPICES & FOODSTUFFS PACK IN VARIOUS PACKAGING MATERIALS CORRIANDER   DHANIA   SEEDS 6 X 750G ;  V ARIOUS  ;    D HANIA   ,*****,*****,151,India,Denmark,
08045040,ASSORTED SPICES & FOODSTUFFS PACKED IN V ARIOUS PACKAGING MATERIALS ALPHONSO MANG O PULP 6 X 850G,*****,*****,800,India,Denmark,
09109100,ASSORTED SPICES & FOODSTUFFS PACKED IN V ARIOUS PACKAGING MATERIALS EVEREST CHAAT MASALA 120 X 100G,*****,*****,25,India,Denmark,
09109100,MTR SPICED CHUTNEY POWDER 30 X 200G,*****,*****,10,India,Denmark,
09109100,ASSORTED SPICES & FOODSTUFFS PACKED IN V ARIOUS PACKAGING MATERIALS EVEREST CHAAT MASALA 120 X 100G,*****,*****,10,India,Denmark,
44219990,WOODEN SPICE TRAY,*****,*****,3,India,Denmark,
44219990,WOODEN SPICE TRAY,*****,*****,3,India,Denmark,
33019029,MIXTURE OF OLEORESIN (CHILLI SPICE OLEOR ESIN) - 17 DRUMS,*****,*****,255,India,Denmark,
09109100,MTR SPICED CHUTNEY POWDER 30 X 200G,*****,*****,3,India,Denmark,
44219990,ARTWARES OF MANGO WOOD/ 8 HOLES SPICE RA CK,*****,*****,48,India,Denmark,
33019029,CHILLI SPICE OLEORESIN - 11 DRUMS,*****,*****,165,India,Denmark,
33019029,SPICE OLEORESIN - 5 DRUMS,*****,*****,50,India,Denmark,
33019029,SPICE OLEORESIN (SPICE EXTRACT) - 5 DRUM S,*****,*****,50,India,Denmark,
03061790,"Raw Vannamei PD Pulled Vein Shrimp 1st G rade  size 41/50 Brand: ""ALIJED"" Spices: LITOPENAEUS VANNAMEI (Other than AFD)",*****,*****,5940,India,Denmark,
03061790,"Raw Vannamei PD Pulled Vein Shrimp 1st G rade  size 61/70 Brand: ""ALIJED"" Spices: LITOPENAEUS VANNAMEI (Other than AFD)",*****,*****,3456,India,Denmark,
03061790,"Raw Vannamei PD Pulled Vein Shrimp 1st G rade  size 51/60 Brand: ""ALIJED"" Spices: LITOPENAEUS VANNAMEI (Other than AFD)",*****,*****,5184,India,Denmark,
03061790,"Raw Vannamei PD Pulled Vein Shrimp 1st G rade  size 71/90 Brand: ""ALIJED"" Spices: LITOPENAEUS VANNAMEI (Other than AFD)",*****,*****,2700,India,Denmark,
73269099,IRON SPICE GRINDR SMALL,*****,*****,12,India,Denmark,
33019029,SPICE OLEORESIN (SPICE EXTRACT) - 5 DRUM S,*****,*****,125,India,Denmark,
09109100,SPICES BMC MOMO MASALA 100 GM,*****,*****,5,India,Denmark,
33019029,SPICE EXTRACT (WE INTEND TO CLAIM REWARD,*****,*****,50,India,Denmark,
73269099,IRON ARTICLES LUSIA PLATTERS-SPICE SET/3,*****,*****,8,India,Denmark,
63049990,"OTHER MADE UPS:- 60% WOOL, 15% NYLON & 2 5% ACRYLIC THROW MOHAIR, SPICE - 130X170 CM BUMBLE",*****,*****,576,India,Denmark,
21069099,ASSORTED SPICES & FOODSTUFFS PACKED IN V ARIOUS PACKAGING MATERIALS - HALDIRAM AL L IN ONE,*****,*****,10,India,Denmark,
09109100,BARBEQUE SPICE MIX(FOOD FLAVORING MATERI 96 CARTON,*****,*****,576,India,Denmark,
09109100,MEXICO SPICE 349 CTN(WE INTEND TO CLAI M REWARDS UNDER EXPORTS FROM INDIA SCHEME MEIS)(LUT/BOND NO37/LUTPVR /2017),*****,*****,2094,India,Denmark,
09109100,MEXICO SPICE 349 CARTON)WE INTEND TO CL AIM REWARDS UNDER EXPORTS FROM INDIA SCH EME MEIS(LUT/BOND NO 37/LUT/PVR/2017),*****,*****,2094,India,Denmark,
44219990,HANDICRAFT MANGO WOOD ASSORTED SPICE BOX 100% WOOD,*****,*****,4,India,Denmark,
09109100,SHAWARMA SPICE MIX(FOOD FLAVORING MATERI 96 CARTON,*****,*****,576,India,Denmark,
09109100,BARBEQUE SPICE MIX(FOOD FLAVORING MATERI 192 CARTON,*****,*****,1152,India,Denmark,
