HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
21039040,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS -  BEEF TOPPING SEASONING D170696,*****,*****,360,India,Egypt,
21039040,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS ZINGER MARINADE D171187,*****,*****,800,India,Egypt,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS ZINGER BATTER D 171189,*****,*****,2000,India,Egypt,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS ZINGER PREDUST BREADER D171188,*****,*****,10500,India,Egypt,
09023020,TEA - EARL GREY SPICED BLACK TEA,*****,*****,360,India,Egypt,
09023020,TEA - CARDAMOM SPICED,*****,*****,360,India,Egypt,
09023020,TEA - VANILLA SPICED CHAI TEA,*****,*****,360,India,Egypt,
21039040,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS BLENDS BLEND B (BLEND B 500) D110354,*****,*****,7015,India,Egypt,
21039040,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS BLEND A (BLEND M 500) D110353,*****,*****,6005.11,India,Egypt,
980033,ASSORTED SPICES - CUMIN SEEDS,*****,*****,1040,India,Egypt,
980033,ASSORTED SPICES - CUMIN SEEDS,*****,*****,1040,India,Egypt,
980033,ASSORTED SPICES - CUMIN SEEDS,*****,*****,1040,India,Egypt,
980033,ASSORTED SPICES - CUMIN SEEDS,*****,*****,1040,India,Egypt,
980033,ASSORTED SPICES - CUMIN SEEDS,*****,*****,1040,India,Egypt,
980033,ASSORTED SPICES - CUMIN SEEDS,*****,*****,1040,India,Egypt,
20060000,DRIED AMLA WITH SPICES(PROD JULY 2020 EXP JUNE 2021),*****,*****,100,India,Egypt,
20060000,DRIED AMLA WITH SPICES (PROD JULY 2020 EXP JUNE 2021),*****,*****,100,India,Egypt,
21039040,FOOD SEASONING INGREDIENTS (FOOD PRODUCT S) AND SPICE BLENDS  BLEND A (BLEND M 50 0) D110353,*****,*****,4500.59,India,Egypt,
21039040,FOOD SEASONING INGREDIENTS (FOOD PRODUCT S) AND SPICE BLENDS BLEND B (BLEND B 500 ) D110354,*****,*****,8006.25,India,Egypt,
21039040,FOOD SEASONINGS / INGREDIENTS (FOOD PROD UCTS) & SPICE BLENDS BEEF TOPPING SEASON ING D170696  (26 NOS),*****,*****,260,India,Egypt,
090002,"MIXED HERBS,SPICES & TAMARIND POWDER",*****,*****,714,India,Egypt,
090002,"MIXED HERBS,SPICES & TAMARIND POWDER",*****,*****,714,India,Egypt,
090002,"MIXED HERBS,SPICES & TAMARIND POWDER",*****,*****,714,India,Egypt,
21039040,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE BLENDS   BLEND A (BLEND M 500) D110353,*****,*****,7003.80,India,Egypt,
21039040,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE BLENDS   BLEND B (BLEND B 500) D110354,*****,*****,6008.50,India,Egypt,
09109100,50 CTN BLACKENING CAJUN SPICE MIX PKD IN 1KG X 10 PKTS X 1 CTN 50.00 X 10.0000 = 500.000 KGS,*****,*****,500,India,Egypt,
21039040,FOOD SEASONINGS / INGREDIENTS (FOOD PROD UCTS) & SPICE BLENDS BEEF TOPPING SEASON ING D170696  (26 NOS),*****,*****,260,India,Egypt,
21039090,FOOD SEASONINGS INGREDIENTS  (FOOD PRODU CTS)  AND SPICE AND BLENDS  ZINGER MARIN ADDE D 171187 B NO GFI201910 4212,*****,*****,660,India,Egypt,
21039090,FOOD SEASONINGS INGREDIENTS  (FOOD PRODU CTS)  AND SPICE AND BLENDS  ZINGER PREDU ST BREADER D171188 B NO GFI201910 4211,*****,*****,11000,India,Egypt,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS)  AND SPICE AND BLENDS  ZINGER BATTER D171189 B NO GFI201910 4212,*****,*****,2000,India,Egypt,
21039040,FOODS SEASONINGS/INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS BEEF TOPPING SEASO NING D170696 (130 KGS:13 NOS),*****,*****,130,India,Egypt,
090002,"MIXED HERBS,SPICES & TAMARIND POWDER",*****,*****,714,India,Egypt,
090002,"MIXED HERBS,SPICES & TAMARIND POWDER",*****,*****,714,India,Egypt,
090002,"MIXED HERBS,SPICES & TAMARIND POWDER",*****,*****,714,India,Egypt,
21039040,FOODS SEASONINGS/INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS BEEF TOPPING SEASO NING D170696 (130 KGS:13 NOS),*****,*****,130,India,Egypt,
33019022,(TAX INV NO. 007/19-20 DT. 10.05.2019) ( GSTIN NO. 33AEYPV5312C1ZC MFG: SOUTHERN SPICES AND EXTRACTS),*****,*****,0.00,India,Egypt,
21039040,FOODS SEASONINGS/INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS BLEND A (BLEND M 5 00) D110353(7003.8 KGS:540 NOS),*****,*****,7003.80,India,Egypt,
21039040,FOODS SEASONINGS/INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS BLEND B (BLEND B 5 00) D110354(6008.5 KGS:394 NOS),*****,*****,6008.50,India,Egypt,
21023000,FOODS SEASONINGS/INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS YGB TRADITIONAL BO H DOUGH BLEND D151795(1242 KGS: 115 NOS),*****,*****,1242,India,Egypt,
09081120,SPLR.STAR SPICES.GSTIN.32AOPPJ9846N2Z3.I NV.B2B/004/11.6. 005/18.6.19MATHA SPICE. GSTIN.32ABGFM4215J1ZH.B2B 98/11.6.19.,*****,*****,0.00,India,Egypt,
33019022,(GSTIN NO.33AEYPV5312C1ZC  MFG:SOUTHERN SPICES AND EXTRACTS),*****,*****,0.00,India,Egypt,
09061110,SPICES PACKED IN PLASTIC POUCH AS PER SI ON-E43 -CINNAMON STICK FLAT-(10.000KGS/C TNS-1 X 10 KG),*****,*****,150,India,Egypt,
09109100,SPICES PACKED IN PLASTIC POUCH AS PER SI ON-E43 -CURRY POWDER-(25.000 KGS/CTNS-1 X 25 KG),*****,*****,60,India,Egypt,
09103020,SPICES PACKED IN PLASTIC POUCH AS PER SI ON-E43 -TURMERIC WHOLE-(25.000 KGS/CTNS- 1 X 25 KG),*****,*****,120,India,Egypt,
09093129,SPICES PACKED IN PLASTIC POUCH AS PER SI ON-E43 -CUMIN SEEDS-(25.000 KGS/CTNS-1 X 25 KG),*****,*****,60,India,Egypt,
09093129,"SPICES PACKED IN PLASTIC POUCH AS PER SI ON-E43 -CUMIN SEEDS-""WE INTEND TO CLAIM REWARDS UNDER MERCHANDISE EXPORTS FROM I",*****,*****,190,India,Egypt,
09042211,SPICES PACKED IN PLASTIC POUCH AS PER SI ON-E43 -CHILLI POWDER-(25.000 KGS/CTNS-1 X 25 KG),*****,*****,80,India,Egypt,
21039040,FOODS SEASONINGS/INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS BEEF TOPPING SEASO NING D170696 (180 KGS:18 NOS),*****,*****,180,India,Egypt,
09023020,EARL GREY SPICED CHAI TEA,*****,*****,252,India,Egypt,
09023020,CARDAMOM SPICED CHAI TEA,*****,*****,252,India,Egypt,
09023020,TURMERIC SPICED HERBAL TEA TISANE,*****,*****,792,India,Egypt,
09109100,36 CTN BLACKENING CAJUN SPICE MIX PKD IN 1KG X 10 PKTS X 1 CTN 36.00 X 10.0000 = 360.000 KGS,*****,*****,360,India,Egypt,
21023000,FOODS SEASONINGS/INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS YGB TRADITIONAL BO H DOUGH BLEND D151795 (1242 KGS: 115 NOS,*****,*****,1242,India,Egypt,
980033,ASSORTED SPICES - CUMIN SEEDS,*****,*****,1040,India,Egypt,
980033,ASSORTED SPICES - CUMIN SEEDS,*****,*****,1040,India,Egypt,
980033,ASSORTED SPICES - CUMIN SEEDS,*****,*****,1040,India,Egypt,
980033,ASSORTED SPICES - CUMIN SEEDS,*****,*****,1040,India,Egypt,
980033,ASSORTED SPICES - CUMIN SEEDS,*****,*****,1040,India,Egypt,
980033,ASSORTED SPICES - CUMIN SEEDS,*****,*****,1040,India,Egypt,
21039040,FOOD SEASONINGS  INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS BLEND B BLEND B 50 0 D110354,*****,*****,7015,India,Egypt,
21039040,FOOD SEASONINGS  INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS BLEND A BLEND M 50 0 D110353,*****,*****,6005.11,India,Egypt,
21039040,FOOD SEASONINGS/INGREDIENTS (FOOD PRODU CTS) & SPICE BLENDS BEEF TOPPING SEASON ING D170696(200 KGS:20 NOS),*****,*****,200,India,Egypt,
21039090,FOOD SEASONINGS  INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS ZINGER BATTER D171 189,*****,*****,2500,India,Egypt,
21039090,FOOD SEASONINGS  INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS ZINGER PREDUST BRE ADER D171188,*****,*****,3000,India,Egypt,
21039090,FOOD SEASONINGS  INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS ZINGER MARINADE D1 71187,*****,*****,800,India,Egypt,
09042211,SUPPLIER NAME: SHIV SPICES AND MASALA MI,*****,*****,0.00,India,Egypt,
09042211,SUP. DETAILS:  SHIV SPICES & MASALA MILL S  GSTIN: 27AACPG6445P1ZB  INV NO. 140A 140B 140C 140D 140E 140F,*****,*****,0.00,India,Egypt,
09081120,SUPPLER NAME:GENUINE SPICES  (GSTN NO.32 AAKFG8160D1M) INV NO:-8E452,*****,*****,0.00,India,Egypt,
09042211,SUPPLIER NAME: SHIV SPICES MASALA & MILL S  (GSTN NO.27AACPG6445P1ZB) INV NO:134A 134B  134C & 134D,*****,*****,0.00,India,Egypt,
12119029,ASSELIO SORTEX (LEPIDIUM SATIVUM) PKNG:2 5 KG N/S HDPE BAG SUPPLIER GSTIN: 08AKJP S7169R1ZW TAX INV NO 677 SODANI SPICE AG,*****,*****,21,India,Egypt,
09042211,SUPPLIER NAME: SHIV SPICES & MASALA MILL,*****,*****,0.00,India,Egypt,
09103030,MASALA SPICE 100 GRM(SHIP STORE MV.APL A,*****,*****,3,India,Egypt,
19059090,PAPADAMS SPICE 200 GRM(SHIP STORE MV.APL,*****,*****,40,India,Egypt,
09109100,SPICE BOARD POWDER,*****,*****,13,India,Egypt,
21039040,FOOD SEASONINGS  INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS BLEND B (BLEND B 5 00),*****,*****,6008.50,India,Egypt,
21039040,FOOD SEASONINGS  INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS BLEND A (BLEND M 5 00),*****,*****,7003.80,India,Egypt,
21039040,FOOD SEASONINGS  INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS BLEND A (BLEND M 5 00),*****,*****,7003.80,India,Egypt,
21039040,FOOD SEASONINGS  INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS BLEND B (BLEND B 5 00),*****,*****,6008.50,India,Egypt,
09109100,12 CTN BLACKENING CAJUN SPICE MIX PKD IN 1KG X 10 PKTS X 1 CTN 12 X 10.0000 = 12 0.000 KGS,*****,*****,12,India,Egypt,
09109912,"FENUGREEK SEED SORTEX PKNG:25 KGS N/S HD PE BAG,SUPPLIER GST IN:08AKJPS7169R1ZW,T AX INV.NO.375,377 : SODANI SPICE AGRO IN",*****,*****,48,India,Egypt,
09081120,SUPPLR-GREEN SPICES/INV.NO.GS/18-19/165/ 08.06.2018/GSTIN-32BIMPD8440E1ZJ - 1020 KGS,*****,*****,0.01,India,Egypt,
09109100,12 CTN BLACKENING CAJUN SPICE MIX PKD IN 1KG X 10 PKTS X 1 CTN 12 X 10.0000 = 12 0.000 KGS,*****,*****,12,India,Egypt,
12079940,GARCINIA CAMBOGIA PCODE : 390(MS SPICE T RADING CO. Inv no.43 dt.01.03.2018 GSt:2 9APHPS0124D1Z4),*****,*****,0.50,India,Egypt,
09109913,"DILL SEED  SPLIT PACKING:25 KGS N/S HDPE BAG supplier tax invoiceno.167, GST IN; 08AKJPS7169R1ZW   sodani spice agro ind",*****,*****,26,India,Egypt,
49011010,"EDUCATIONAL PRINTED BOOKS  :- INTRODUCTI ON TO SPICES, PLANTATION",*****,*****,3,India,Egypt,
09109100,24 CTN BLACKENING CAJUN SPICE MIX PKD IN 1KG X 10 PKTS X 1 CTN 24 X 10.0000 = 24 0.000 KGS,*****,*****,24,India,Egypt,
09109913,"DILL SEED  SPLIT PACKING:25 KGS N/S HDPE BAG supplier tax invoiceno.167, GST IN; 08AKJPS7169R1ZW   sodani spice agro ind",*****,*****,26,India,Egypt,
09103030,TURMERIC POWDER  PACKING IN PAPER BAGS S UPPLIERS DETAILS :-  INV NO. ASP/2018/01 4  DT. 10.04.2018 AL -ZAREEN SPICES PROD,*****,*****,20,India,Egypt,
09103030,TURMERIC POWDER  PACKING IN PAPER BAGS S UPPLIERS DETAILS :-  INV NO. ASP/2018/01 4  DT. 10.04.2018 AL -ZAREEN SPICES PROD,*****,*****,20,India,Egypt,
12119099,PAEONIA OFFICINALIS (UDSALIB) P.C.NO.507 4(MS SPICE TRADING CO. Inv no.43 dt.01.0 3.2018 GST no.29APHPS0124D1Z4),*****,*****,1,India,Egypt,
12079940,GARCINIA CAMBOGIA P.C.NO.390(MS SPICE TR ADING CO.Inv no.43 dt.01.03.2018 GST no. 29APHPS0124D1Z4),*****,*****,1,India,Egypt,
09042211,"SUPPLIER NAME: Shiv spices and masala mi lls GSTIN:27AACPG6445P1ZB, INV NO:1",*****,*****,1,India,Egypt,
09042211,"SUPPLIER NAME: Shiv spices and masala mi lls GSTIN:27AACPG6445P1ZB, INV NO:1",*****,*****,1,India,Egypt,
33013099,TASTYKAN CURRY MILD ( SPICE OLEORESIN MI X),*****,*****,5,India,Egypt,
21039040,FOOD SEASONINGS INGREDIENTS FOOD PRODUCT S AND SPICE BLENDS SPICE BLEND A (SPICE MIX M 500) D110353,*****,*****,6485,India,Egypt,
21039040,FOOD SEASONINGS INGREDIENTS FOOD PRODUCT S AND SPICE BLENDS SPICE BLEND B (SPICE MIX M 500) D110354,*****,*****,7015,India,Egypt,
09109911,"SUPPLIER NAME : SODANI SPICE AGRO INDUST RIES, MADHYA PRADESH GST NO.08AKJPS7169R 1ZW, INV NO 967 (ASPERINV)",*****,*****,1,India,Egypt,
33021010,FOOD FLAVOURS - 20422951 SPICE BLEND FLA VOUR 2382CC (01 JERRY CAN CONTAINING 30. 00 KGS OF FOOD FLAVOUR PACKED IN 01 WOOD,*****,*****,30,India,Egypt,
