HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,SHAJAH BUTTER CHICKEN MASALA 120X50GM(BA KERS SPICES & INGREDIENTS PVT LTD:33AAEC B6010E1ZE:INV:BSI/2651),*****,*****,12000,India,Fiji,
09109100,SHAJAH TANDOORI MASALA 120X50GM (BAKERS SPICES & INGREDIENTS PVT LTD:33AAECB6010 E1ZE:INV:BSI/2651),*****,*****,12000,India,Fiji,
09109100,MALAY CHICKEN BIRYANI MIX(SHAJAH BRAND)1 20X60GM(BAKERS SPICES & INGREDIENTS PVT LTD:33AAECB6010E1ZE:INV:BSI/2651),*****,*****,24000,India,Fiji,
09109100,SINDHI BIRYANI MASALA (SHAJAH BRAND)120X 60GM (BAKERS SPICES & INGREDIENTS PVT LT D:33AAECB6010E1ZE:INV:BSI/2651),*****,*****,12000,India,Fiji,
09109100,TEA MASALA (BAKERS BRAND)120X40GM (BAKER S SPICES & INGREDIENTS PVT LTD:33AAECB60 10E1ZE:INV:BSI/2651),*****,*****,240,India,Fiji,
09109929,INDIAN SPICES (TAMALPATRA(TAJPAN),*****,*****,50,India,Fiji,
09109100,SHAJAH BUTTER CHICKEN MASALA(120X50G((BA KERS SPICES & INGREDIENTS PVT LTD:33AAEC B6010E1ZE:INV:BSI/2296),*****,*****,3600,India,Fiji,
09109100,SHAJAH SINDHI BIRYANI MASALA 120X60GM(BA KERS SPICES & INGREDIENTS PVT LTD:33AAEC B6010E1ZE:INV:BSI/2296),*****,*****,2400,India,Fiji,
09109100,SHAJAH TANDOORI MASALA 120X50GM (BAKERS SPICES & INGREDIENTS PVT LTD:33AAECB6010 E1ZE:INV:BSI/2172),*****,*****,3000,India,Fiji,
09109100,MALAY CHICKEN BIRYANI MIX (SHAJAH BRAND) 120X60GM(BAKERS SPICES & INGREDIENTS PV T LTD:33AAECB6010E1ZE:INV:BSI/2172),*****,*****,12000,India,Fiji,
09109100,TEA MASALA ( Bakers Brand) 120X40GM (BAK ERS SPICES & INGREDIENTS PVT LTD:33AAECB 6010E1ZE:INV:BSI/1920),*****,*****,240,India,Fiji,
09109919,MOTHER RECEIPE SPICES,*****,*****,1440,India,Fiji,
09109919,MOTHER RECEIPE SPICE,*****,*****,360,India,Fiji,
09109919,MOTHER RECEIPE SPICES,*****,*****,80,India,Fiji,
09109919,MOTHER RECEIPE SPICES,*****,*****,80,India,Fiji,
09109919,MOTHER RECEIPE SPICES,*****,*****,136,India,Fiji,
09109100,SHAJAH TANDOORI MASALA 120X50GM (BAKERS SPICES&INGREDIENTS PVT LTD:33AAECB6010E1 ZE:INV:BSI/1549),*****,*****,6000,India,Fiji,
09109100,MALAY CHICKEN BIRYANI MIX (SHAJAH BRAND) 120X60GM (BAKERS SPICES&INGREDIENTS PVT LTD:33AAECB6010E1ZE:INV:BSI/1549),*****,*****,6000,India,Fiji,
09109100,SHAJAH SINDHI BIRYANI MASALA (E)120X60GM (BAKERS SPICES&INGREDIENTS PVT LTD:33AAE CB6010E1ZE:INV:BSI/1549),*****,*****,12000,India,Fiji,
39241090,Spice Jar & Pickle Container Set 72 PCS,*****,*****,1224,India,Fiji,
09109100,Malay Chicken Biryani Mix(Shajah Brand)( BAKERS SPICES&INGREDIENTS PVT LTD GSTIN: 33AAYPM6715E1ZG INV NO:BSI/871),*****,*****,12000,India,Fiji,
84386000,POTATO CHIPS PRODUCTION MACHINE  CAPACIT Y 300 KG / HR CONSISTING OF SPICES FEEDE R,*****,*****,1,India,Fiji,
09042211,CHILLI POWDER 25 KGS(GANDHI SPICES PVT L TD:24AAACG7809G1ZR:INV:2021T1/3460),*****,*****,1.63,India,Fiji,
