HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,MTR SPICED CHUTNEY POWDER 30 X 200G,*****,*****,10,India,Finland,
21069099,ASSORTED SPICES & FOODSTUFFS PACK IN VARIOUS PACKAGING MATERIALS MTR BADAM DRINK 36 X 200G ;  V ARIOUS  ;  DRI NK ,*****,*****,20,India,Finland,
09109100,MEAT CURRY SPICE MIX   BLENDED SPICES & C,*****,*****,360,India,Finland,
09109100,FISH CURRY SPICE MIX   BLENDED SPICES & C,*****,*****,360,India,Finland,
09109100,SHAHI PANEER SPICE MIX   20G X 2     BLENDE,*****,*****,360,India,Finland,
09109100,APRICOT GINGER CHUTNEY   BLENDED SPICES &,*****,*****,160,India,Finland,
09109100,DAL MAKHANI SPICE MIX   30G X 2     BLENDED,*****,*****,360,India,Finland,
09109100,ASSORTED SPICE MIX - PROMO   BLENDED SPIC,*****,*****,180,India,Finland,
09109100,BUTTER CHICKEN SPICE MIX   BLENDED SPICE,*****,*****,360,India,Finland,
09109100,CHICKEN TIKKA MASALA SPICE MIX   BLENDED,*****,*****,360,India,Finland,
09109100,PANEER BUTTER MASALA SPICE MIX   BLENDED,*****,*****,360,India,Finland,
09109100,CHAT MASALA SPICE MIX   BLENDED SPICES &,*****,*****,280,India,Finland,
09109100,RAITA MASALA SPICE MIX   BLENDED SPICES &,*****,*****,350,India,Finland,
09109100,CHICKEN KORMA SPICE MIX   BLENDED SPICES,*****,*****,360,India,Finland,
09109100,BARBEQUE CHICKEN SPICE MIX   BLENDED SPIC,*****,*****,360,India,Finland,
09109100,ITALIA SEASONING   BLENDED SPICES & CHUTN,*****,*****,210,India,Finland,
09109100,CHICKEN CURRY SPICE MIX   BLENDED SPICES,*****,*****,360,India,Finland,
09109100,BIRYANI MASALA SPICE MIX   BLENDED SPICES,*****,*****,360,India,Finland,
09109100,TEA MASALA SPICE MIX   BLENDED SPICES & C,*****,*****,350,India,Finland,
09109100,HOT MANGO RELISH   BLENDED SPICES & CHUTN,*****,*****,160,India,Finland,
09109100,CHILLI GARLIC CHUTNEY   BLENDED SPICES &,*****,*****,160,India,Finland,
09109100,RAJMA MASALA SPICE MIX   30G X 2     BLENDE,*****,*****,360,India,Finland,
09109100,CHILLI CHICKEN SPICE MIX   BLENDED SPICES,*****,*****,360,India,Finland,
09109100,CHICKEN CURRY SPICE MIX,*****,*****,360,India,Finland,
09109100,CHICKEN TIKKA MASALA SPICE MIX,*****,*****,360,India,Finland,
09109100,PANEER BUTTER MASALA SPICE MIX,*****,*****,360,India,Finland,
09109100,FISH CURRY SPICE MIX   BLENDED SPICES & C,*****,*****,360,India,Finland,
09109100,PANEER BUTTER MASALA SPICE MIX   BLENDED,*****,*****,360,India,Finland,
09109100,HOT MANGO RELISH   BLENDED SPICES & CHUTN,*****,*****,160,India,Finland,
09109100,CHILLI GARLIC CHUTNEY   BLENDED SPICES &,*****,*****,160,India,Finland,
09109100,APRICOT GINGER CHUTNEY   BLENDED SPICES &,*****,*****,160,India,Finland,
09109100,RAJMA MASALA SPICE MIX   30G X 2     BLENDE,*****,*****,360,India,Finland,
09109100,DAL MAKHANI SPICE MIX   30G X 2     BLENDED,*****,*****,360,India,Finland,
09109100,CHICKEN KORMA SPICE MIX   BLENDED SPICES,*****,*****,360,India,Finland,
09109100,BARBEQUE CHICKEN SPICE MIX   BLENDED SPIC,*****,*****,360,India,Finland,
09109100,CHICKEN TIKKA MASALA SPICE MIX   BLENDED,*****,*****,360,India,Finland,
09109100,MEAT CURRY SPICE MIX   BLENDED SPICES & C,*****,*****,360,India,Finland,
09109100,BIRYANI MASALA SPICE MIX   BLENDED SPICES,*****,*****,360,India,Finland,
09109100,TEA MASALA SPICE MIX   BLENDED SPICES & C,*****,*****,350,India,Finland,
09109100,RAITA MASALA SPICE MIX   BLENDED SPICES &,*****,*****,350,India,Finland,
09109100,ASSORTED SPICE MIX - PROMO   BLENDED SPIC,*****,*****,180,India,Finland,
09109100,CHILLI CHICKEN SPICE MIX   BLENDED SPICES,*****,*****,360,India,Finland,
09109100,MEAT CURRY SPICE MIX,*****,*****,360,India,Finland,
09109100,FISH CURRY SPICE MIX,*****,*****,360,India,Finland,
09109100,BIRYANI MASALA SPICE MIX,*****,*****,360,India,Finland,
09109100,CHAT MASALA SPICE MIX,*****,*****,280,India,Finland,
09109100,RAITA MASALA SPICE MIX,*****,*****,350,India,Finland,
09109100,RAJMA MASALA SPICE MIX   30G X 2  ,*****,*****,360,India,Finland,
09109100,ASSORTED SPICE MIX - PROMO,*****,*****,180,India,Finland,
09109100,BUTTER CHICKEN SPICE MIX,*****,*****,360,India,Finland,
09109100,SHAHI PANEER SPICE MIX   20G X 2  ,*****,*****,360,India,Finland,
09109100,TEA MASALA SPICE MIX,*****,*****,350,India,Finland,
09109100,DAL MAKHANI SPICE MIX   30G X 2  ,*****,*****,360,India,Finland,
09109100,CHILLI CHICKEN SPICE MIX,*****,*****,360,India,Finland,
09109100,CHICKEN KORMA SPICE MIX,*****,*****,360,India,Finland,
09109100,BARBEQUE CHICKEN SPICE MIX,*****,*****,360,India,Finland,
09109100,BUTTER CHICKEN SPICE MIX   BLENDED SPICE,*****,*****,360,India,Finland,
09109100,CHICKEN CURRY SPICE MIX   BLENDED SPICES,*****,*****,360,India,Finland,
09109100,SHAHI PANEER SPICE MIX   20G X 2     BLENDE,*****,*****,360,India,Finland,
09109100,CHAT MASALA SPICE MIX   BLENDED SPICES &,*****,*****,280,India,Finland,
09109100,ITALIA SEASONING   BLENDED SPICES & CHUTN,*****,*****,210,India,Finland,
09109929,ASSORTED SPICES & FOODSTUFFS PACK IN VARIOUS PACKAGING MATERIALS SCHEZWAN H S CHICKEN CURRY MASALA 48 X 50G BATCH NO ;  V ARIOUS ,*****,*****,10,India,Finland,
09109100,CHICKEN TIKKA MASALA SPICE MIX,*****,*****,360,India,Finland,
09109100,MEAT CURRY SPICE MIX,*****,*****,360,India,Finland,
09109100,BIRYANI MASALA SPICE MIX,*****,*****,360,India,Finland,
09109100,RAJMA MASALA SPICE MIX   30G X 2  ,*****,*****,360,India,Finland,
09109100,CHILLI CHICKEN SPICE MIX,*****,*****,360,India,Finland,
09109100,BARBEQUE CHICKEN SPICE MIX,*****,*****,360,India,Finland,
09109100,CHICKEN CURRY SPICE MIX,*****,*****,360,India,Finland,
09109100,FISH CURRY SPICE MIX,*****,*****,360,India,Finland,
09109100,SHAHI PANEER SPICE MIX   20G X 2  ,*****,*****,360,India,Finland,
09109100,TEA MASALA SPICE MIX,*****,*****,350,India,Finland,
09109100,RAITA MASALA SPICE MIX,*****,*****,350,India,Finland,
09109100,DAL MAKHANI SPICE MIX   30G X 2  ,*****,*****,360,India,Finland,
09109100,ASSORTED SPICE MIX - PROMO,*****,*****,180,India,Finland,
09109100,CHICKEN KORMA SPICE MIX,*****,*****,360,India,Finland,
09109100,BUTTER CHICKEN SPICE MIX,*****,*****,360,India,Finland,
09109100,PANEER BUTTER MASALA SPICE MIX,*****,*****,360,India,Finland,
09109100,CHAT MASALA SPICE MIX,*****,*****,280,India,Finland,
09109914,ASSORTED SPICES & FOODSTUFFS PACK IN VARIOUS PACKAGING MATERIALS AJWAIN SEEDS 6 X 1KG ;  V ARIOUS ,*****,*****,30,India,Finland,
09109100,ASSORTED SPICES & FOODSTUFFS PACKED IN V ARIOUS PACKAGING MATERIALS EVEREST CHAAT MASALA 120 X 100G,*****,*****,20,India,Finland,
44151000,TEAK WOOD W/C SPICE BOX BIG,*****,*****,5,India,Finland,
44219990,TEAK WOOD TIKKA (SPICE) BOX,*****,*****,10,India,Finland,
09042211,CHILLI POWDER 5X5KG ( GANDHI SPICES PVT LTD :24AAACG7809G1ZR : 1920T1/2723,*****,*****,0.63,India,Finland,
73239990,"SPICE BOXES, ASSORTED PLATES, TEA FILTER CANE, SPOONS, TAWA, FRYING PAN AND SPOO NS, TABLA AND BASE, COOKER, CARDS AND KA",*****,*****,55,India,Finland,
09103030,SPICE HALDI POWDER LOOSE (100GM/PCS),*****,*****,1000,India,Finland,
09109100,SPICE (SABJI MASALA)(100GM/PCS),*****,*****,1250,India,Finland,
25010090,SPICE (BLACK SALT)(200GM/PCS),*****,*****,5160,India,Finland,
09109100,SPICE (MEATSPECIAL)(100GM/PCS),*****,*****,650,India,Finland,
09109100,SPICE GARAM MASALA (100GM/PCS),*****,*****,2440,India,Finland,
09109100,SPICE DRYMANGO POWDER (KHATAI)(100GM/PCS ),*****,*****,1250,India,Finland,
09109919,SPICE  METHI WHOLE (100GM/PCS),*****,*****,900,India,Finland,
09103030,SPICE  HALDI POWDER (500GM/PCS),*****,*****,1504,India,Finland,
09109100,SPICE (CHICKEN  MASALA)(100GM/PCS),*****,*****,1850,India,Finland,
25010090,SPICE (BLACK SALT)(100GM/PCS),*****,*****,10100,India,Finland,
09109100,SPICE (KITCHEN KING MASALA) (100GM/PCS),*****,*****,1260,India,Finland,
09109100,SPICE  FISH MASALA (50GM/PCS),*****,*****,1200,India,Finland,
09109100,SPICE BIRYANI PULAV MASALA (50GM/PCS),*****,*****,1200,India,Finland,
09062000,SPICE DALCHINI POWDER (80GM/PCS),*****,*****,8520,India,Finland,
09109912,SPICE KASURI METHI (50GM/PCS),*****,*****,1600,India,Finland,
