HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
21039040,VERUSENAGA PODI   GROUND NUT SPICE MIX  ,*****,*****,36,India,France,
21039040,IDLI KARAM POWDER   IDLI-SPICE MIX  ,*****,*****,36,India,France,
21039040,NALLA KARAM POWDER   RICE & SNACKS SPICE,*****,*****,36,India,France,
21039040,NUVVULA PODI   SESAME SPICE MIX  ,*****,*****,36,India,France,
21039040,IDLI KARAM POWDER   IDLI-SPICE MIX  ,*****,*****,36,India,France,
21039040,KANDI PODI   REDGRAM SPICE MIX  ,*****,*****,36,India,France,
21039040,NALLA KARAM POWDER   RICE & SNACKS SPICE,*****,*****,36,India,France,
21039040,NUVVULA PODI   SESAME SPICE MIX  ,*****,*****,36,India,France,
21039040,VERUSENAGA PODI   GROUND NUT SPICE MIX  ,*****,*****,36,India,France,
21039040,KANDI PODI   REDGRAM SPICE MIX  ,*****,*****,36,India,France,
33074100,"FRUITS & SPICE BIG INCENSE 8"" 12 STICKS",*****,*****,100,India,France,
09109990,INDIAN ORIGIN VADOUVAN SPICE MIX,*****,*****,2,India,France,
20049000,100% NATURAL VADOUVAM OF INDIAN MADE   MIXED OF DRY SPICES : MUSTRAD SEED  CARAWAY FENNEL TURMERIC FENUGREEK SESAME   ;    MI XED  ;  CARAWA Y ,*****,*****,100,India,France,
98049000,GROCERY - SPICES -   VARIOUS     PERSONAL AND HOUSEHOLD ITEMS   ;  A ND ,*****,*****,202,India,France,
73239390,STAINLESS STEEL ROUND SPICES BOX KITCHENMASALA DABBA  9 INCH   MADE OF STAINLESSSTEEL   ;  KITCHEN MASALA  ;  STAINLESS ; STEEL  ,*****,*****,9,India,France,
39231010,PLASTIC EMPTY ROUND SHAP SPICE RACK 8 JAR   MADE OF PLASTIC   ;  JA R ,*****,*****,10,India,France,
39231020,PLASTIC EMPTY ROUND SHAP SPICE RACK 12 JAR   MADE OF PLASTIC   ;  J AR ,*****,*****,10,India,France,
39231010,PLASTIC EMPTY ROUND SHAP SPICE RACK 16 JAR   MADE OF PLASTIC   ;  J AR ,*****,*****,10,India,France,
20049000,100% NATURAL VADOUVAM OF INDIAN MADE   MIXED OF DRY SPICES : MUSTRAD SEED  CARAWAY FENNEL TURMERIC FENUGREEK SESAME   ;    MI XED  ;  CARAWA Y ,*****,*****,70,India,France,
09109100,ASSORTED TRADITIONAL SPICES,*****,*****,33,India,France,
09109100,CHICKEN SPICE POWDER,*****,*****,300,India,France,
98049000,GROCERY - SPICES -   VARIOUS     PERSONAL A,*****,*****,202,India,France,
44151000,WOODEN SPICE BOX,*****,*****,5,India,France,
73239490,STAINLESS STEEL UTENSILS HANDPAINTED ENAMEL ITEMS :- STAINLESS STEEL SPICE CONTAINER ;  ENA MEL  ;  CONTA ; INER,*****,*****,12,India,France,
44151000,WOODEN SPICE BOX,*****,*****,1,India,France,
09101210,  Curry spice powders  Nawabi Mutton Biryani Masala   Spice Blend for Rice and MeatCasserole    AS PER INV. & PKG   ; Birya ni ; Meat Casserole    AS ,*****,*****,72,India,France,
09101210,  Curry spice powders  Mutton Qorma Masala  Spice Blend for Meat Gravy    AS PER INV.& PKG   ; Masala   Spice ; INV. & ,*****,*****,48,India,France,
09101210,  Curry spice powders  Mutton Masala Masala   Spice Blend for Mutton Gravy    AS PERINV. & PKG   ; Masal a ; PER INV. ,*****,*****,120,India,France,
09101210,  Curry spice powders  Mutton Curry Masala  Spice Blend for Meat Curry    AS PER INV.& PKG   ; Masala   Spice ; INV. & ,*****,*****,120,India,France,
09101210,  Curry spice powdersMirchi Ka Salan Masala   Spice Blend for Banana Pepper Curry  AS PER INV. & PKG ; Mas ala ; Curry   AS ,*****,*****,48,India,France,
09101210,  Curry spice powders  Kadhai Gosht Masala  Spice Blend for Panfried Meat    AS PERINV. & PKG   ; Masala   Spice ; PER INV. ,*****,*****,48,India,France,
09101210,  Curry spice powders  Haleem Masala   Spice Blend for Wheat and Meat Dish    AS PERINV. & PKG   ;   Spic e ; PER INV. ,*****,*****,48,India,France,
09101210,  Curry spice powders  Fish Fry Masala   Spice Blend for Fish Fry    AS PER INV. & PKG   ;   Sp ice ; PKG ;   ,*****,*****,48,India,France,
09101210,  Curry spice powders  Chicken Masala   Spice Blend for Chicken Gravy    AS PER INV. &PKG   ;   Spi ce ; & ; PKG  ,*****,*****,120,India,France,
09101210,  Curry spice powders  Chicken Biryani Masala  Spice Blend for Rice and Chicken Casserole    AS PER INV. & PKG   ; Mas ala  Spice ; Cas serole    AS ,*****,*****,120,India,France,
09101210,  Curry spice powders  Butter Chicken Masala   Spice Blend for Butter Chicken    AS PER INV. & PKG   ; Masa la ; P ER ,*****,*****,120,India,France,
09101210,  Curry spice powders  Bombay Mutton Biryani Masala   Spice Blend for Rice and Mutton Casserole    AS PER INV. & PKG   ; Birya ni ; Mutt on ,*****,*****,72,India,France,
09101210,  Curry spice powders  Bombay Chiken Biryani Masala   Spice Blend for Rice and Chicken Casserole    AS PER INV. & PKG   ; Birya ni ; Chic ken ,*****,*****,72,India,France,
09101210,  Curry spice powders  Shahi Basmati KheerMix   Blend for Rice and Milk Dessert    AS PER INV. & PKG   ; Kheer Mix ; Dessert    A S ,*****,*****,36,India,France,
09101210,  Curry spice powders  Sufiyani Chicken Biryani Masala   Spice Blend for Rice and Chicken Casserole    AS PER INV. & PKG   ; Bi ryani ; C hicken ,*****,*****,24,India,France,
09101210,  Curry spice powders  Vegetable Biryani Masala   Spice Blend for Rice and Vegetables Casserole    AS PER INV. & PKG   ; M asala ; Vegetabl es ,*****,*****,120,India,France,
09101210,  Curry spice powders  Tandoori Chicken Masala   Spice Blend for Grilled Chicken    AS PER INV. & PKG   ; Ma sala ; Chicken    A S ,*****,*****,120,India,France,
09101210,  Curry spice powdersPatthar Ka Gosht Masala   Spice Blend for Pan Roasted Steaks  AS PER INV. & PKG ; Ma sala ; Steaks   AS ,*****,*****,24,India,France,
09101210,  Curry spice powders  Nehari Paya Masala  Spice Blend for Trotters Broth    AS PERINV. & PKG   ; Masala   Spice ; PER INV. ,*****,*****,48,India,France,
09101210,  Curry spice powders  Hyderabadi Sheer Khurma Mix   Blend for Milk and VermicelliDessert    AS PER INV. & PKG   ; Kh urma ; Vermicelli Dessert    AS ,*****,*****,36,India,France,
09101210,  Curry spice powders  Dum Ka Chicken Masala   Spice Blend for Baked Chicken    AS PER INV. & PKG   ; Masa la ; PE R ,*****,*****,72,India,France,
09101210,  Curry spice powders  Chilli Chicken Masala   Spice Blend for Chilli Chicken    AS PER INV. & PKG   ; Masa la ; P ER ,*****,*****,72,India,France,
09101210,  Curry spice powders  Chicken Qorma Masala   Spice Blend for Meat Gravy    AS PER INV. & PKG   ; Masal a ; IN V ,*****,*****,48,India,France,
09101210,  Curry spice powders  Chicken ManchurianMasala   Spice Blend for Chicken Manchurian    AS PER INV. & PKG   ; Manchurian Masala ; Manchuri an    AS ,*****,*****,48,India,France,
09101210,  Curry spice powders  Chicken Curry Masala   Spice Blend for Chicken Curry    AS PERINV. & PKG   ; Masal a ; PER INV. ,*****,*****,120,India,France,
09101210,  Curry spice powders  Bagare Baigan Masala   Spice Blend for Egg Plant Curry    AS PER INV. & PKG   ; Masal a ; P ER ,*****,*****,24,India,France,
09101210,  Curry spice powders  Apollo Fish Masala  Spice Blend for Apollo Fish    AS PER INV.& PKG   ; Masala   Spice ; INV. & ,*****,*****,48,India,France,
09101210,  Curry spice powders  Sindhi Chiken Biryani Masala   Spice Blend for Rice and Chicken Casserole    AS PER INV. & PKG   ; Birya ni ; Chic ken ,*****,*****,48,India,France,
09101210,  Curry spice powders  Vegetable Manchurian Masala   Spice Blend for Vegetable Manchurian    AS PER INV. & PKG   ; Manchuria n ; Manc hurian    AS ,*****,*****,48,India,France,
09101210,  Curry spice powders  Sufiyani Mutton Biryani Masala   Spice Blend for Rice and Mutton Casserole    AS PER INV. & PKG   ; Bir yani ; Mu tton ,*****,*****,24,India,France,
09101210,  Curry spice powders  Nawabi Chiken Biryani Masala   Spice Blend for Rice and Chicken Casserole    AS PER INV. & PKG   ; Birya ni ; Chic ken ,*****,*****,72,India,France,
