HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,ASSORTED SPICE,*****,*****,618,India,Georgia,
09109100,ASSORTED SPICE,*****,*****,618,India,Georgia,
09109929,SPICE MIX BUTTER CHICKEN SUHANA 50GMS,*****,*****,1,India,Georgia,
09109929,SPICE MIX CHIKEN BRIYANI 50GMS,*****,*****,1,India,Georgia,
09109929,SPICE MIX CHICKEN TANDOORI SUHANA 50GMS,*****,*****,1,India,Georgia,
09109929,SPICE MIX MUTTON GRAVY SUHANA 50GMS,*****,*****,1,India,Georgia,
09109929,SPICE MIX CHICKEN TANDOORI SUHANA 50GMS,*****,*****,36,India,Georgia,
09109929,SPICE MIX MUTTON GRAVY SUHANA 50GMS,*****,*****,36,India,Georgia,
09109929,SPICE MIX SHAHI PANEER SUHANA 50GMS,*****,*****,1,India,Georgia,
09109929,SPICE MIX SHAHI PANEER SUHANA 50GMS,*****,*****,36,India,Georgia,
09109929,SPICE MIX BUTTER CHICKEN SUHANA 50GMS,*****,*****,36,India,Georgia,
09109929,SPICE MIX CHIKEN BRIYANI 50GMS,*****,*****,36,India,Georgia,
09109929,SPICE MIX CHICKEN GRAVY SUHANA 50GMS,*****,*****,36,India,Georgia,
09109929,SPICE MIX CHICKEN GRAVY SUHANA 50GMS,*****,*****,1,India,Georgia,
09109100,ASSORTED SPICE,*****,*****,992,India,Georgia,
09109990,INDIAN SPICE 200 GM,*****,*****,1069,India,Georgia,
09109990,INDIAN SPICE 1 KG,*****,*****,50,India,Georgia,
09109990,INDIAN SPICE,*****,*****,4800,India,Georgia,
09109990,INDIAN SPICE 100 GM,*****,*****,1363,India,Georgia,
09109990,INDIAN SPICE 50 GM,*****,*****,3450,India,Georgia,
09109990,INDIAN SPICE,*****,*****,900,India,Georgia,
19023010,MAGGI MASALA-SPICE,*****,*****,384,India,Georgia,
09109990,ASSORTED SPICE,*****,*****,970.50,India,Georgia,
09103030,PROCESSED SPICES: TURMERIC POWDER[STERLI ZED] GREEN CARD NO.02644 VALID 31/03/201 9,*****,*****,15,India,Georgia,
17011410,SPICES POWDER ( 25 KGS EACH ),*****,*****,500,India,Georgia,
17011410,MIX SPICES ( 30 KGS EACH ),*****,*****,300,India,Georgia,
09024040,TEA BAGS TURMERIC SPICE TEA,*****,*****,5000,India,Georgia,
09024090,TEA BAGS TURMERIC SPICE TEA,*****,*****,5000,India,Georgia,
09024040,TEA BAGS TURMERIC SPICE TEA,*****,*****,5000,India,Georgia,
09103090,MIX SPICES,*****,*****,10,India,Georgia,
09103090,MIX SPICES,*****,*****,10,India,Georgia,
09109100,MIX-SPICES,*****,*****,5,India,Georgia,
09109100,MIX-SPICES,*****,*****,5,India,Georgia,
09109100,MIX-SPICES,*****,*****,5,India,Georgia,
09103090,MIX SPICES,*****,*****,10,India,Georgia,
09109990,ASSORTED SPICE,*****,*****,900.50,India,Georgia,
09109929,ASSORTED SPICES DIFFERENT TYPE M/O MDH,*****,*****,69,India,Georgia,
09109929,PROCESSED SPICES: CURRY POWDER [STERLIZE D] GREEN CARD NO.02644 VALID 31/03/2019,*****,*****,5.50,India,Georgia,
09109929,PROCESSED SPICES: CURRY POWDER [STERLIZE D] GREEN CARD NO.02644 VALID 31/03/2019,*****,*****,5.50,India,Georgia,
09109929,PAANI PURI DRY SPICE,*****,*****,21.60,India,Georgia,
09083140,20 BAGS:PROCESSED SPICES: CARDAMOM 7 TO 8 MM GOOD [STERLIZED] GREEN CARD NO.0264 4 VALID 31/03/2019 EACH 25.50KG GRS/25KG,*****,*****,0.50,India,Georgia,
09071010,PROCESSED SPICES: CLOVES [STERLIZED] GREEN CARD NO.02644 VALID 31/03/2019,*****,*****,2,India,Georgia,
09109100,SPICES - CHANA MASALA (100 GRMS)-180 PACK,*****,*****,1,India,Georgia,
09109100,SPICES - CHAT MASALA (100 GRMS)-180 PACKS,*****,*****,1,India,Georgia,
09109100,SPICES - CORIANDER POWDER (1KGS)-24 PACKS,*****,*****,2,India,Georgia,
09109100,SPICES - KITCHEN KING MASALA (100 GRMS)-1,*****,*****,1,India,Georgia,
09109100,SPICES - GARAM MASALA (100 GRMS)-360 PACK,*****,*****,2,India,Georgia,
09109100,SPICES - KASURI METHI (100 GRMS)-180 PACK,*****,*****,3,India,Georgia,
09109100,SPICES - CHICKEN MASALA (100 GRMS)-360 PA,*****,*****,2,India,Georgia,
09109100,SPICES- PUDINA CHUTNEY POWDER(100GRMS)-18,*****,*****,1,India,Georgia,
09109990,SPICES,*****,*****,1500,India,Georgia,
09109990,SPICES,*****,*****,1500,India,Georgia,
09109990,SPICES,*****,*****,1500,India,Georgia,
09109990,SPICES,*****,*****,1500,India,Georgia,
09109990,SPICES,*****,*****,1500,India,Georgia,
09109990,OTHER SPICES-GARLIK POWDER,*****,*****,10,India,Georgia,
09109990,OTHER SPICES-CUMIN SEED,*****,*****,30,India,Georgia,
09109990,OTHER SPICES-ONION POWDER,*****,*****,10,India,Georgia,
09109990,OTHER SPICES-GINGER POWDER,*****,*****,10,India,Georgia,
09109990,OTHER SPICES-FEENAL SEEDS,*****,*****,10,India,Georgia,
09109990,OTHER SPICES-CARDMOM,*****,*****,15,India,Georgia,
09109990,OTHER SPICES-DAL CHINI,*****,*****,20,India,Georgia,
09109990,OTHER SPICES-BLACK PAPER,*****,*****,25,India,Georgia,
09109990,OTHER SPICES-CLOVE,*****,*****,15,India,Georgia,
44219060,WOODEN SPICES BOX-PART OF DOMESTIC DECORARTICLES FOR TABLE/KITCHEN WARE WOODENHANDICRAFTS ARTICLES,*****,*****,56,India,Georgia,
09042221,ASSORTED SPICE,*****,*****,3705,India,Georgia,
09101130,PROCESSED SPICES: GINGER WHOLE GRINDINGQUALITY [STERLIZED] GREEN CARD NO.02644VALID 31/03/2019,*****,*****,1,India,Georgia,
09101130,PROCESSED SPICES: GINGER WHOLE GRINDINGQUALITY [STERLIZED] GREEN CARD NO.02644VALID 31/03/2019,*****,*****,1,India,Georgia,
09109990,OTHER SPICES- ZEERA (50X200GM),*****,*****,10,India,Georgia,
09109990,OTHER SPICES- ILACHI (100X20GM),*****,*****,2,India,Georgia,
09109990,OTHER SPICES- ILACHI (100X20GM),*****,*****,2,India,Georgia,
09109990,OTHER SPICES- CINNAMON POWDER (50X100GM),*****,*****,5,India,Georgia,
09042219,CURRY SPICES 100GM,*****,*****,408,India,Georgia,
09042219,ASSORTED SPICES 100GM,*****,*****,408,India,Georgia,
09042211,KASHMIRI CHILI SPICES 100GM,*****,*****,204,India,Georgia,
09042219,KITCHEN KING SPICES 100GM,*****,*****,204,India,Georgia,
44219060,WOODEN SPICES BOX-PART OF DOMESTIC DECORARTICLES FOR TABLE/KITCHEN WARE WOODENHANDICRAFTS ARTICLES,*****,*****,56,India,Georgia,
09042219,FISH SPICES 100GM,*****,*****,408,India,Georgia,
09042219,TANDOORI SPICE 100GM,*****,*****,204,India,Georgia,
09042219,CHICKEN SPICES 100GM,*****,*****,408,India,Georgia,
44219060,WOODEN SPICES BOX-WOODEN HANDICRAFTS ARTICLES,*****,*****,84,India,Georgia,
09109100,"ASSORTED SPICE-VEGETABLE SPICE,BLACK PEPPER,MANGO POWDER,CHICKEN SPICE ETC.",*****,*****,4063.20,India,Georgia,
