HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09101290,BLENDED SPICES 35 BOX,*****,*****,35,India,Germany,
64035111,ADULT SHOES  - Made out of  Cow Suede wax Bronzy - Cathay Spice  - ARTICLE : DAKOTA ;  wa x  ;  DAK ; OTA,*****,*****,1,India,Germany,
09103030,Turmeric Powder- Indian spices powdered,*****,*****,1000,India,Germany,
76151029,GRINDER   ALUMINIUM SPICE   56 MM,*****,*****,1800,India,Germany,
09042219,CRUSHED OTHER FRUITS OF GENUS CAPSICUM  SPICES   CHILLIES ;  CAPSICUM   SPICES   ,*****,*****,1000,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,72,India,Germany,
09109990,SPICES   25 GM X 240 PCS X 1 CTN  ,*****,*****,12,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,18,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,54,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,342,India,Germany,
09109990,SPICES   500 GM X 24 PCS X 1 CTN  ,*****,*****,480,India,Germany,
09109990,SPICES   500 GM X 24 PCS X 1 CTN  ,*****,*****,60,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,270,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,180,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,54,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,54,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,252,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,90,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,270,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,180,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,324,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,180,India,Germany,
09109990,SPICES   500 GM X 24 PCS X 1 CTN  ,*****,*****,600,India,Germany,
09109990,SPICES   500 GM X 24 PCS X 1 CTN  ,*****,*****,24,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,54,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,270,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,126,India,Germany,
09109990,SPICES   500 GM X 24 PCS X 1 CTN  ,*****,*****,240,India,Germany,
09023020,Turmeric Spiced Herbal Tea Tisane,*****,*****,96,India,Germany,
09023020,Vanilla Spiced Chai Tea   100 TB  ,*****,*****,56,India,Germany,
09023020,Vanilla Spiced Chai Tea,*****,*****,36,India,Germany,
96140000,ARTISTIC ALUMINIUM ARTICLES   HANDICRAFTS -ALUMINIUM SPICE GRINDER   40MM-4 PART  Lexman International GST NO.24AHOPP209 ;    HANDICRAFTS   ;  PART   Lexman ,*****,*****,1000,India,Germany,
96140000,ARTISTIC ALUMINIUM ARTICLES   HANDICRAFTS -ALUMINIUM SPICE GRINDER   63MM-2 PART  Lexman International GST NO.24AHOPP209 ;    HANDICRAFTS   ;  PART   Lexman ,*****,*****,300,India,Germany,
96140000,ARTISTIC ALUMINIUM ARTICLES   HANDICRAFTS -ALUMINIUM SPICE GRINDER   90MM-4 PART  Lexman International GST NO.24AHOPP209 ;    HANDICRAFTS   ;  PART   Lexman ,*****,*****,100,India,Germany,
96140000,ARTISTIC ALUMINIUM ARTICLES   HANDICRAFTS -ALUMINIUM SPICE GRINDER   60MM-4 PART ;    HANDICRAFTS  ,*****,*****,303,India,Germany,
09109100,MIXED SPICES POWDER   PAC 50 GRM   WE INTEND TO CLAIM REWARDS UNDER RODTEP SCHEME ;  INTE ND ,*****,*****,6.25,India,Germany,
09109100,MIXED SPICES POWDER   PAC 150 GRM   WE INTEND TO CLAIM REWARDS UNDER RODTEP SCHEME ;  INT END ,*****,*****,31.50,India,Germany,
09023020,Pumpkin Spiced Herbal Tea,*****,*****,180,India,Germany,
09109100,BUTTER CHICKEN MASALA SPICE MIX,*****,*****,150,India,Germany,
09109100,KORMA  MASALA SPICE MIX,*****,*****,240,India,Germany,
09109100,CREAMY CHICKEN  SPICE MIX,*****,*****,240,India,Germany,
09109100,PANEER BUTTER MASALA SPICE MIX,*****,*****,240,India,Germany,
09109100,CHICKEN  TIKKA MASALA SPICE MIX,*****,*****,150,India,Germany,
09023020,Turmeric Spice Herbal Tea   15 TB  ,*****,*****,540,India,Germany,
33012950,ESSENTIAL OIL ALL SPICE OIL,*****,*****,50,India,Germany,
09023020,Vanilla Spiced Chai Tea   100 TB  ,*****,*****,168,India,Germany,
09109100,PUNJABI CHICKEN MASALA SPICE MIX,*****,*****,240,India,Germany,
09109100,DAL MAKHANI MASALA SPICE MIX,*****,*****,80,India,Germany,
09109100,PANEER TIKKA MASALA SPICE MIX,*****,*****,240,India,Germany,
09109100,PANEER BUTTER MASALA SPICE MIX,*****,*****,280,India,Germany,
09109100,FISH CURRY MASALA SPICE MIX,*****,*****,120,India,Germany,
09109100,LEMON HERB CHICKEN SPICE MIX,*****,*****,240,India,Germany,
09109100,TANDOORI CHICKEN MASALA SPICE MIX,*****,*****,240,India,Germany,
09023020,Assam Spice Chai,*****,*****,96,India,Germany,
09023020,Turmeric Spiced Soft Case,*****,*****,336,India,Germany,
09109100,35PKTS X 100GM  MDH SAMPLE OF SPICES   FOC   ;    FO C  ,*****,*****,1,India,Germany,
09103030,SPICES POWDER 100 GM,*****,*****,20,India,Germany,
09109990,HERBAL PRODUCTS-SORIG MEEN-NA   SPICE  ,*****,*****,10,India,Germany,
39269071,PLASTIC SPICE GRINDER   ART NO.15326  ,*****,*****,1200,India,Germany,
39269071,PLASTIC SPICE GRINDER   ART NO.15327  ,*****,*****,1200,India,Germany,
39269071,PLASTIC SPICE GRINDER   ART NO.15328  ,*****,*****,1200,India,Germany,
39269049,PLASTIC SPICE GRINDER   ART NO.15425  ,*****,*****,2206,India,Germany,
39269071,PLASTIC SPICE GRINDER   ART NO.15325  ,*****,*****,818,India,Germany,
76169990,Aluminum Spice Grinder,*****,*****,500,India,Germany,
76169990,Aluminum Spice Grinder,*****,*****,500,India,Germany,
39249090,Article made Of PP-HOMOPOLYMER grade Othr Houshold And toilt Artcls Of Plstcs Nes UPPDATERA spice rack 20x50 anthracite ; Oth r ; Ne s  39249090 HS Code,*****,*****,2520,India,Germany,
09023020,ASSAM SPICE CHAI [PACK] [1 UNIT = 0.200GM.] ; 0.200 GM.],*****,*****,336,India,Germany,
09023020,DOUBLE SPICE MASALA CHAI [PACK] [1 UNIT= 0.200 GM.] ; UNIT = ,*****,*****,384,India,Germany,
09023020,TURMERIC SPICE HERBAL TEA   30 TB   [PACK][1 UNIT = 0.060 GM.] ; [PACK] [1 ,*****,*****,234,India,Germany,
09023020,VANILLA SPICED CHAI TEA [PACK] [1 UNIT =0.060 GM.] ; = 0.060 ,*****,*****,216,India,Germany,
09023020,MANGO SPICE ICED TEA [PACK] [1 UNIT = 0.200 GM.] ; 0. 200 ,*****,*****,50,India,Germany,
09023020,FENNEL SPICE CHAI [PACK] [1 UNIT = 0.200GM.] ; 0.200 GM.],*****,*****,24,India,Germany,
39249090,Article made Of PP-HOMOPOLYMER grade Othr Houshold And toilt Artcls Of Plstcs Nes UPPDATERA spice rack 20x50 anthracite- ; Oth r ; Ne s  39249090   HS  Code,*****,*****,2240,India,Germany,
09109990,SPICES   100 GM X 100 PCS X 1 CTN  ,*****,*****,100,India,Germany,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,288,India,Germany,
09109990,SPICES   500 GM X 24 PCS X 1 CTN  ,*****,*****,60,India,Germany,
09109990,SPICES   20 GM X 240 PCS X 1 CTN  ,*****,*****,115.20,India,Germany,
09109990,SPICES   400 GM X 24 PCS X 1 CTN  ,*****,*****,96,India,Germany,
09109990,SPICES   60 GM X 60 PCS X 1 CTN  ,*****,*****,57.60,India,Germany,
09109100,CHICKEN TIKKA MASALA SPICE MIX,*****,*****,240,India,Germany,
39249090,Article made Of PP-HOMOPOLYMER grade Othr Houshold And toilt Artcls Of Plstcs Nes UPPDATERA spice rack 20x50 anthracite ; Oth r ; Ne s  HSN Code :39249090,*****,*****,2240,India,Germany,
09109100,KORMA MASALA SPICE MIX,*****,*****,240,India,Germany,
09109100,CREAMY CHICKEN SPICE MIX,*****,*****,240,India,Germany,
09109100,PANEER BUTTER MASALA SPICE MIX,*****,*****,52,India,Germany,
09109100,BUTTER CHICKEN MASALA SPICE MIX,*****,*****,320,India,Germany,
39249090,Article made Of PP-HOMOPOLYMER grade Othr Houshold And toilt Artcls Of Plstcs Nes UPPDATERA spice rack 20x50 anthracite- ; Oth r ; Ne s  HSN 39249090,*****,*****,2240,India,Germany,
21039040,IDLI KARAM POWDER   IDLI-SPICE MIX   21039040  HSN  Code,*****,*****,36,India,Germany,
21039040,KANDI PODI   REDGRAM SPICE MIX   21039040  HSN  Code,*****,*****,54,India,Germany,
21039040,NUVVULA PODI   SESAME SPICE MIX   21039040  HSN  Code,*****,*****,36,India,Germany,
21039040,NALLA KARAM POWDER   RICE & SNACKS SPICEMIX   ; SPICE MIX   21039040  HSN  Code,*****,*****,36,India,Germany,
21039040,VERUSENAGA PODI   GROUND NUT SPICE MIX   21039040  HSN  Code,*****,*****,36,India,Germany,
