HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109990,SPICES   DABELI MASALA  250 GRM  ,*****,*****,6,India,Ghana,
48114100,DOUBLE SIDED SPICING TAPE -TESA 50658pv42 DS-Non Woven ;  50658pv4 2 ,*****,*****,90,India,Ghana,
09024040,INDIAN BLACK TEA WITH SPICE - TEA BAGS -DETAILEDED AS PER INV.   E.SEAL   ; - DETAILEDED ,*****,*****,596.40,India,Ghana,
84223000,Fully Automatic Form Fill Seal Machinefor spices PACKing alongwith accessories and SPARE PARTS MFG BY-CROWN INDUSTRIES   ; Machine for ; accessorie s  HS  84223000,*****,*****,2,India,Ghana,
09042229,ASSORTED INDIAN SPICES,*****,*****,350,India,Ghana,
09101290,ASSORTED INDIAN SPICES,*****,*****,350,India,Ghana,
09109100,BLENDED SPICES,*****,*****,84,India,Ghana,
09109100,KITCHEN SPICES-FOR PERSONAL USE.OTH. DET,*****,*****,4,India,Ghana,
09109100,ASSORTED INDIAN SPICES,*****,*****,350,India,Ghana,
09042229,ASSORTED INDIAN SPICES,*****,*****,350,India,Ghana,
09109100,BLENDED SPICES,*****,*****,132,India,Ghana,
70109000,SPICE JAR SQUARE 1000GM,*****,*****,24,India,Ghana,
70109000,SPICE JAR SQUARE 500GM,*****,*****,24,India,Ghana,
48114100,DOUBLE SIDED SPICING TAPE -TESA 50658pv4 2 DS-Non Woven,*****,*****,216,India,Ghana,
22084011,250 CASES OF WILD TIGER INDIA SPICED RUM PKG: 12X750 ML WITH 40% ALC/VOL EXPORT UNDER LUT,*****,*****,250,India,Ghana,
09096149,SPICES ASSORTED POWDER/SEED,*****,*****,13,India,Ghana,
09041190,SPICES ASSORTED POWDER,*****,*****,13,India,Ghana,
09109100,ASSORTED SPICES,*****,*****,43,India,Ghana,
12075090,ASSORTED INDIAN SPICES,*****,*****,250,India,Ghana,
09103030,GOPAL NAMKEENS E SPICES TURMERIC POWDER( 1 KG) REST DETAIL AS PER INVOICE,*****,*****,60,India,Ghana,
09093200,GOPAL NAMKEENS E SPICES CUMIN POWDER(LP) REST DETAIL AS PER INVOICE,*****,*****,60,India,Ghana,
09042211,GOPAL NAMKEENS E SPICES HOT CHILLI POWDE R(FP) REST DETAIL AS PER INVOICE,*****,*****,50,India,Ghana,
09103030,GOPAL NAMKEENS E SPICES TURMERIC POWDER( LP) REST DETAIL AS PER INVOICE,*****,*****,60,India,Ghana,
09042211,GOPAL NAMKEENS E SPICES KASHMIRI CHILLI POWDER(1 KG) REST DETAIL AS PER INVOICE,*****,*****,60,India,Ghana,
09042211,GOPAL NAMKEENS E SPICES KASHMIRI CHILLI POWDER(FP)  REST DETAIL AS PER INVOICE,*****,*****,30,India,Ghana,
09092200,GOPAL NAMKEENS E SPICES CORIANDER POWDER (LP) REST DETAIL AS PER INVOICE,*****,*****,100,India,Ghana,
09092200,GOPAL NAMKEENS E SPICES CORIANDER POWDER (FP) REST DETAIL AS PER INVOICE,*****,*****,50,India,Ghana,
09042211,GOPAL NAMKEENS E SPICES KASHMIRI CHILLI POWDER(LP) REST DETAIL AS PER INVOICE,*****,*****,60,India,Ghana,
09103030,GOPAL NAMKEENS E SPICES TURMERIC POWDER( FP) REST DETAIL AS PER INVOICE,*****,*****,50,India,Ghana,
