HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
44219990,OTHER ARTICLES MADE OF WOOD SQUARE SPICE BOXES,*****,*****,25,India,Greece,
44219990,OTHER ARTICLES MADE OF WOOD ROUND SPICES BOXES,*****,*****,50,India,Greece,
44219990,OTHER ARTICLES MADE OF WOOD SQUARE SPICE,*****,*****,25,India,Greece,
44219990,OTHER ARTICLES MADE OF WOOD ROUND SPICES,*****,*****,50,India,Greece,
09109100,ALL SPICE WHOLE PKD IN PAPER BAG,*****,*****,40,India,Greece,
44219990,MANGO WOOD SPICE BOX SQUARE,*****,*****,20,India,Greece,
44219990,MANGO WOOD PRODUCTS MANGO WOOD SPICE BOX TRIANGLE SHAPE,*****,*****,20,India,Greece,
44219990,MANGO WOOD SPICE BOX ROUND SHAPE,*****,*****,20,India,Greece,
94036000,UNSOLICITED GIFT FROM INDIVIDUAL TO INDI VIDUAL MANUAL SPICE GRINDER,*****,*****,1,India,Greece,
20019000,LIME SPICED PICKLE  (800 G X 12) BRAND P ACKED IN HDPE JAR,*****,*****,20,India,Greece,
20019000,LIME SPICED PICKLE 800 G X 12 BRAND PACKED IN PLASTIC JAR,*****,*****,20,India,Greece,
84807100,FOUR CAVITIES FULLY AUTO FLIP TOP CAP MO ULD TO PRODUCE 63MM TWIST OFF NECK CAP F OR SPICES.,*****,*****,1,India,Greece,
84807900,FOUR CAVITIES FULLY AUTO FLIP TOP CAP MO ULD TO PRODUCE 63MM TWIST OFF NECK CAP F OR SPICES.,*****,*****,1,India,Greece,
73239390,STAINLESS STEEL KITCHEN AND OTHER HOUSEH OLD ARTICLES AND PARTS THEREOF -SPICE SH AKER 4 mm HOLE,*****,*****,720,India,Greece,
73239390,STAINLESS STEEL KITCHEN AND OTHER HOUSEH OLD ARTICLES AND PARTS THEREOF -SPICE SH AKER 2.5 mm,*****,*****,1440,India,Greece,
84807900,FOUR CAVITIES FULLY AUTO FLIP TOP CAP MO ULD TO PRODUCE 63MM TWIST OFF NECK CAP F OR SPICES.,*****,*****,1,India,Greece,
73239390,STAINLESS STEEL KITCHEN AND OTHER HOUSEH OLD ARTICLES AND PARTS THEREOF - SPICE S HAKER 4MM HOLE WITH PLASTIC CAP,*****,*****,864,India,Greece,
73239390,STAINLESS STEEL KITCHEN AND OTHER HOUSEH OLD ARTICLES AND PARTS THEREOF - SPICE S HAKER 2MM HOLE WITH PLASTICS CAP 7 X 9.5,*****,*****,864,India,Greece,
84807900,FOUR CAVITIES FULLY AUTO FLIP TOP CAP MO ULD TO PRODUCE 63 MM TWIST OFF NECK CAP FOR SPICES.,*****,*****,1,India,Greece,
44151000,WOODEN SPICE BOX,*****,*****,2,India,Greece,
39235010,63 MM TWISTOFF CAP FOR SPICES WITH SEAL INSIDE COLOR:TOMATO RED,*****,*****,96000,India,Greece,
39235010,63 MM TWISTOFF CAP FOR SPICES WITH SEAL INSIDE COLOR:TOMATO RED,*****,*****,100000,India,Greece,
68022390,GRANITE RANDOM BIG SLABS 3CM SPICE BLACK POLISHED,*****,*****,35.21,India,Greece,
68022390,GRANITE RANDOM BIG SLABS 2CM SPICE BLACK POLISHED,*****,*****,71.05,India,Greece,
