HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
13019044,OLEORESION OF CHILLI SPICES EXTRACT (ANN ATTO PAPRIKA OLEORESIN ),*****,*****,40,India,Iran,
33019029,OLEORESION OF SPICES EXTRACT,*****,*****,160,India,Iran,
33019029,OLEORESION OF SPICES EXTRACT MUSTARD,*****,*****,160,India,Iran,
13019044,OLEORESION OF CHILLI SPICES EXTRACT,*****,*****,40,India,Iran,
33019029,OLEORESION OF SPICES EXTRACT,*****,*****,160,India,Iran,
13019044,OLEORESION OF CHILLI SPICES EXTRACT,*****,*****,40,India,Iran,
33019029,OLEORESION OF SPICES EXTRACT OLEORESIN MUSTARD,*****,*****,160,India,Iran,
13019044,OLEORESION OF CHILLI SPICES EXTRACT ,*****,*****,40,India,Iran,
84386000,EQUIPMENTS FOR PELLET SNACK FRYING LINE CAPACITY UPTO 250 KGS/HR SPICE FEEDER WI TH SCARF TRAY,*****,*****,1,India,Iran,
98059000,SPICE MIX MASALA ASST.MEAT CHICKEN TANDO,*****,*****,10,India,Iran,
21039090,SPICE MIX MASALA ASST.MEAT CHICKEN TANDO,*****,*****,10,India,Iran,
21069099,NOTIFY2:SPICE STAR FOOD STUFF TRADING LL,*****,*****,1,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GARAM MASALA FISH MASALA 10 PKT OF 10 (SHIP STORE M.V.OEL EMIRATES)",*****,*****,10,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GRAM MASALA,FISH MASALA 10  PKT OF 1 K(SHIP STORE MV.OEL TRANSWORLD)",*****,*****,2,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GARAM MASALA FISH MASALA 10 PKT OF 10 (SHIP STORE M.V.OEL EMIRATES)",*****,*****,10,India,Iran,
09103020,"SUPPLIER: KRISHNA SPICES (P) LTD. GSTIN NO.37AAACK9362L1Z1  INV.NO.INDT55 DT 25. 11.2018,INDT56 DT 25.11.2018,INDT57 DT 2",*****,*****,0.01,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GRAM MASALA,FISH MASALA 10 PKT OF 1 K(SHIP STORE MV.OEL TRANSWORLD)",*****,*****,2,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GARAM MASALA FISH MASALA 10 PKT OF 10 (SHIP STORE M.V.OEL EMIRATES)",*****,*****,10,India,Iran,
09103020,"SUPPLIER: KRISHNA SPICES (P) LTD. GSTIN NO.37AAACK9362L1Z1  INV.NO.INDT 46 DT 04 .11.2018,INV.NO.INDT 47 DT 04.11.2018,",*****,*****,0.01,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GRAM MASALA,FISH MASALA 10 PKT OF 1 K(SHIP STORE MV.OEL TRANSWORLD)",*****,*****,2,India,Iran,
09103020,"KRISHNA SPICES (P) LTD TAX INVOICE NO : INDT42 DT 01/11/2018,INDT43 DT 02/11/201 8,INDT44 DT 03/11/2018,INDT45 DT 04/1120",*****,*****,0.01,India,Iran,
09103020,"SUPPLIER: KRISHNA SPICES (P) LTD. GSTIN NO.37AAACK9362L1Z1  INV.NO.INDT40, DT13. 10.2018, INDT41 DT.15.10.2018,INDT39 DT1",*****,*****,0.01,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GRAM MASALA,FISH MASALA 10 PKT OF 1 K(SHIP STORE MV.OEL TRANSWORLD)",*****,*****,2,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GARAM MASALA FISH MASALA 10 PKT OF 10 (SHIP STORE M.V.OEL EMIRATES)",*****,*****,10,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GRAM MASALA,FISH MASALA 10 PKT OF 1 K(SHIP STORE MV.OEL TRANSWORLD)",*****,*****,2,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GARAM MASALA FISH MASALA 10 PKT OF 10 (SHIP STORE M.V.OEL EMIRATES)",*****,*****,10,India,Iran,
09103020,"SHAIKH AFSAR SHAIKH MOINODDIN GST NO.27E LUPS5951R2ZK BILL NO34 & 35 DT 29.09.201 8, & 37 DT  04.10.2018. KRISHNA SPICES (",*****,*****,0.01,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GRAM MASALA,FISH MASALA 10 PKT OF 1 K(SHIP STORE MV.OEL TRANSWORLD)",*****,*****,2,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GARAM MASALA FISH MASALA 10 PKT OF 10 (SHIP STORE M.V.OEL EMIRATES)",*****,*****,10,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GRAM MASALA,FISH MASALA 10 PKT OF 1 K(SHIP STORE MV.OEL TRANSWORLD)",*****,*****,2,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GARAM MASALA FISH MASALA 10 PKT OF 10 (SHIP STORE M.V.OEL EMIRATES)",*****,*****,10,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GRAM MASALA,FISH MASALA 10 PKT OF 1 K(SHIP STORE MV.OEL TRANSWORLD)",*****,*****,2,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GARAM MASALA FISH MASALA 10 PKT OF 10 (SHIP STORE M.V.OEL EMIRATES)",*****,*****,10,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GRAM MASALA,FISH MASALA 10 PKT OF 1 K(SHIP STORE MV.OEL TRANSWORLD)",*****,*****,2,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GARAM MASALA FISH MASALA 10 PKT OF 10 (SHIP STORE M.V.OEL EMIRATES)",*****,*****,10,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GARAM MASALA FISH MASALA 10 PKT OF 10 (SHIP STORE M.V.OEL EMIRATES)",*****,*****,10,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GRAM MASALA,FISH MASALA 10 PKT OF 1 K(SHIP STORE MV.OEL TRANSWORLD)",*****,*****,2,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GARAM MASALA FISH MASALA 10 PKT OF 10 (SHIP STORE M.V.OEL EMIRATES)",*****,*****,10,India,Iran,
09103090,PROFORMA INVOICE  NO. 491/018 DTD  07.03 .2018 SUPP NAME: KRISHNA SPICES (P) LTD. INVOICE NO.INDT20 DT. 27.06.2018  GST.N,*****,*****,0.01,India,Iran,
21039090,"SPICE MIX MASALA ASST.MEAT CHICKEN TANDO RI,PAV BHAJI,GRAM MASALA,FISH MASALA 10 PKT OF 1 K(SHIP STORE MV.OEL TRANSWORLD)",*****,*****,2,India,Iran,
09103090,SUPPLIER NAME: KRISHNA SPICES (P) LTD . INV.NO.INDT7 DT.28.05.2018  GST.NO.37AAA CK9362L1ZI,*****,*****,0.01,India,Iran,
09103020,"SUPPLIER: HITECH SPICES,KHALJIPET-516203 , KADAPA,ANDHRA PRADESH,INDIA,GSTIN NO.3 7AAJFH5848L1ZQ, INV NO.14 DT. 24.05.2018",*****,*****,0.00,India,Iran,
09042211,"CHILLI POWDER  SUPPLIER DETAIL INVOICE N O ASP/20181 216 DT.29.01.2018 AL-ZAREEN SPICE PRODUCTS,10 A TATA MILL COMPOUND,",*****,*****,68,India,Iran,
09042211,SUPPLIER NAME: SHIV SPICES & MASALA MILL S.  INV NO: 82 GST.NO.27AACPG6445P1ZB,*****,*****,0.00,India,Iran,
