HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
19041090,Tapioca Chips Spiced,*****,PARAYIL EXPORTS,64.80,India,Ireland,
16052900,SPICED AND FRIED SHRIMP,*****,*****,78,India,Ireland,
09109990,SPICES 100 GM X 60 PCS,*****,*****,600,India,Ireland,
09109990,SPICES 6 GM X 1920 PCS,*****,*****,57.60,India,Ireland,
09109990,SPICES 1 KG X 6 PCS,*****,*****,450,India,Ireland,
09011129,COFFEE WITH SPICE MIX  200 GM,*****,*****,225,India,Ireland,
09109990,EASY >> EASY TO COOK SPICE MIXES ASSORTED,*****,*****,4320,India,Ireland,
09109110,MIXTURES OF DIFFERENT TYPES OF SPICES   (EXCL. CRUSHED OR GROUND)  ,*****,*****,NA,India,Ireland,
09109190,CRUSHED OR GROUND MIXTURES OF DIFFERENT TYPES OF SPICES,*****,*****,NA,India,Ireland,
09109991,"SPICES ,  NEITHER CRUSHED NOR GROUND   (EXCL. PEPPER OF THE GENUS PIPER ,  FRUIT OF THE GENUS CAPSICUM OR OF THE GENUS PIMENTA ,  VANILLA ,  CINNAMON ,  CINNAMONTREE FLOWERS ,  CLOVES 'WHOLEFRUIT' ,  CLOVE STEMS ,  NUTMEG ,  MACE ,  CARDAMOMS ,  SEEDS OF ANISE ,  BADIAN ,  FENNEL ,  C",*****,*****,0,India,Ireland,
12099999,"SEEDS ,  FRUIT AND SPORES ,  FOR SOWING   (EXCL. LEGUMINOUS VEGETABLES AND SWEETCORN ,  COFFEE ,  TEA ,  MAT+ AND SPICES ,  CEREALS ,  OIL SEEDS AND OLEAGINOUS FRUITS ,  BEETS ,  FORAGE PLANTS ,  VEGETABLE SEEDS ,  FOREST-TREE SEEDS AND SEEDS OF PLANTS CULTIVATED MAINLY FOR FLOW",*****,*****,NA,India,Ireland,
21039030,"AROMATIC BITTERS OF AN ALCOHOLIC STRENGTH OF >= 44 , 2% BUT <= 49 , 2% VOL CONTAINING >= 1 , 5% BUT <= 6% BY WEIGHT OF GENTIAN ,  SPICES AND VARIOUS INGREDIENTS AND >= 4% BUT <= 10% OF SUGAR ,  IN CONTAINERS HOLDING <= 0 , 5 L",*****,*****,240,India,Ireland,
69111000,"TABLEWARE AND KITCHENWARE ,  OF PORCELAIN OR CHINA   (EXCL. ORNAMENTAL ARTICLES ,  POTS ,  JARS ,  CARBOYS AND SIMILAR RECEPTACLES FOR THE CONVEYANCE OR PACKING OF GOODS ,  AND COFFEE GRINDERS AND SPICE MILLS WITH RECEPTACLES MADE OF CERAMICS AND WORKING PARTS OF MET",*****,*****,NA,India,Ireland,
09109999,"SPICES ,  CRUSHED OR GROUND   (EXCL. PEPPER OF THE GENUS PIPER ,  FRUIT OF THE GENUS CAPSICUM OR OF THE GENUS PIMENTA ,  VANILLA ,  CINNAMON ,  CINNAMONTREE FLOWERS ,  CLOVE 'WHOLEFRUIT' ,  CLOVE STEMS ,  NUTMEG ,  MACE ,  CARDAMOMS ,  SEEDS OF ANISE ,  BADIAN ,  FENNEL ,  CORIANDER , ",*****,*****,NA,India,Ireland,
19041090,TAPIOCA >> TAPIOCA CHIPS TAPIOCA CHIPS SPICED,*****,*****,41.40,India,Ireland,
09109110,MIXTURES OF DIFFERENT TYPES OF SPICES   (EXCL. CRUSHED OR GROUND)  ,*****,*****,NA,India,Ireland,
69111000,"TABLEWARE AND KITCHENWARE ,  OF PORCELAIN OR CHINA   (EXCL. ORNAMENTAL ARTICLES ,  POTS ,  JARS ,  CARBOYS AND SIMILAR RECEPTACLES FOR THE CONVEYANCE OR PACKING OF GOODS ,  AND COFFEE GRINDERS AND SPICE MILLS WITH RECEPTACLES MADE OF CERAMICS AND WORKING PARTS OF MET",*****,*****,NA,India,Ireland,
09109991,"SPICES ,  NEITHER CRUSHED NOR GROUND   (EXCL. PEPPER OF THE GENUS PIPER ,  FRUIT OF THE GENUS CAPSICUM OR OF THE GENUS PIMENTA ,  VANILLA ,  CINNAMON ,  CINNAMONTREE FLOWERS ,  CLOVES 'WHOLEFRUIT' ,  CLOVE STEMS ,  NUTMEG ,  MACE ,  CARDAMOMS ,  SEEDS OF ANISE ,  BADIAN ,  FENNEL ,  C",*****,*****,NA,India,Ireland,
