HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09103020,  ASSORTED SPICE   TURMERIC FINGER GOOD GRADE ;  GR ADE,*****,*****,8,India,Israel,
09061110,ORGANIC SPICES CINNAMON TBC,*****,*****,100,India,Israel,
09042110,  ASSORTED SPICE   BIRD EYE CHILLI,*****,*****,1.32,India,Israel,
09109929,  ASSORTED SPICE   CURRY POWDER BELOW 5PPB,*****,*****,8,India,Israel,
07122000,  ASSORTED SPICE   WHITE ONION FLAKES,*****,*****,1.99,India,Israel,
12075090,  ASSORTED SPICE  YELLOW MUSTARD SEEDS,*****,*****,3.35,India,Israel,
09042110,  ASSORTED SPICE   BIRD EYE CHILLI,*****,*****,1.62,India,Israel,
09109929,  ASSORTED SPICE   CURRY POWDER BELOW 5PPB,*****,*****,8,India,Israel,
07122000,  ASSORTED SPICE   WHITE ONION FLAKES,*****,*****,1.99,India,Israel,
12075090,  ASSORTED SPICE  YELLOW MUSTARD SEEDS,*****,*****,4,India,Israel,
09061110,ORGANIC SPICES CINNAMON TBC,*****,*****,100,India,Israel,
33029011,ALL SPICE FRAGRANCE OIL,*****,*****,2,India,Israel,
09042110,CHILLI S17 STEMLESS GENUS CAPSICUM   SPICES CHILLIES   WE INTEND TO CLAIM RoDTEP  ;    SPIC ES ,*****,*****,575,India,Israel,
09041130,WHOLE BLACK PEPPER JUMBO-ETO TREATED SUPLR: HEMANAND SPICES GSTIN: 32ACFPK6011J 1ZZ INV.: LSG5-21-22 DT:21.04.2021 ;  SUP LR: ,*****,*****,500,India,Israel,
09041190,WHOLE BLACK PEPPER HUSK-ETO TREATED SUPLR: GREEN SPICES COMPANY INV.: 007 DT:17. 04.2021 GSTN:32ALVPM7638N1Z7 ;  SUPL R: ,*****,*****,3000,India,Israel,
09081120,WHOLE IND.NUTMEG ABCD PREMIUM SHELLED ETO TREATED SUP:GENUINE AGRO SPICES GSTN: 32AASFG7764P2ZG INV.GST-GASF-29DT21-4-21 ;  ET O ,*****,*****,1000,India,Israel,
09042219,CHILLI GROUND 50-60000 SHU OTHER FRUITSOF GENUS CAPSICUM   SPICES   CHILLIES   WEINTEND TO CLAIM RoDTEP   ;  FRUITS OF  ;    WE INTEND ,*****,*****,3850,India,Israel,
09042110,CHILLI S4 STEMLESS GENUS CAPSICUM   SPICES   CHILLIES   WE INTEND TO CLAIM RoDTEP   ;    SPICE S   ,*****,*****,3000,India,Israel,
09042219,CHILLI GROUND 30-40000 SHU OTHER FRUITSOF GENUS CAPSICUM   SPICES   CHILLIES   WEINTEND TO CLAIM RoDTEP   ;  FRUITS OF  ;    WE INTEND ,*****,*****,4000,India,Israel,
09042219,CHILLI CRUSHED 30-400000 SHU OTHER FRUITS OF GENUS CAPSICUM SPICES   CHILLIES  WE INTEND TO CLAIM RoDTEP   ;  FRUIT S ,*****,*****,9000,India,Israel,
09081120,WHOLE INDIAN NUTMEG JUMBO SHELLED ETO TREATED SUPLR: GENUINE AGRO SPICES GSTN: 32AASFG7764P2ZG INV.GST-GASF-28DT:21-4-21 ;  TR EATED  ;  3 2AASFG7764P2ZG ,*****,*****,500,India,Israel,
73269099,IRON HANGING SPICE RACK P.C. 73269099   HS  Code,*****,*****,12,India,Israel,
07122000,  ASSORTED SPICE  ONION FLAKES WHITE,*****,*****,1.99,India,Israel,
07122000,  ASSORTED SPICE  ONION POWDER WHITE,*****,*****,2,India,Israel,
09042211,  ASSORTED SPICE  CHILLI POWDER   L  ,*****,*****,0.50,India,Israel,
09042211,  ASSORTED SPICE   CHILLI POWDER   E  ,*****,*****,5,India,Israel,
09109913,  ASSORTED SPICE  DILL SEEDS,*****,*****,4,India,Israel,
09083190,ORGANIC SPICES CLOVE TBC,*****,*****,80,India,Israel,
09096230,ORGANIC SPICES FENNEL TBC,*****,*****,240,India,Israel,
09041190,ORGANIC SPICES BLACK PEPPER TBC,*****,*****,50,India,Israel,
09083290,ORGANIC SPICES CARDAMON TBC,*****,*****,40,India,Israel,
09109990,ORGANIC SPICES STAR ANISE TBC,*****,*****,60,India,Israel,
09109990,DIPLOMATIC GOODS- EMPTY BOXES & SPICES   ,*****,*****,70,India,Israel,
09109990,DIPLOMATIC GOODS- EMPTY BOXES & SPICES   ,*****,*****,70,India,Israel,
74199930,BRASS ARTICLES SPICE BOX SAMPLE,*****,*****,3,India,Israel,
09101120,DRY GINGER NUGC SMAL ETO TREATED SUPLR: HARNAHALLI SPICES 53/1 KHADER MANSION SH IMOGA GSTIN: 29AAGFH7497A1Z4  INV:00248,*****,*****,5000,India,Israel,
09096210,STAR ANISE  SUPLR:HEM SPICES C-43  APMC MARKET-I  PHASE-II  VASHI  NAVI MUMBAI - 400703  GSTN: 27BXBPK3780Q1ZU INV:7407,*****,*****,320,India,Israel,
09109990,DIPLOMATIC GOODS- EMPTY BOXES & SPICES (,*****,*****,70,India,Israel,
44199090,Mango and Acacia Wood-Sample for Tal Coh ave (Spice Box,*****,*****,15,India,Israel,
09042110,(ASSORTED SPICES) BIRD EYE CHILLI,*****,*****,1.84,India,Israel,
09103020,(ASSORTED SPICES)TURMERIC FINGER,*****,*****,6,India,Israel,
09103030,(ASSORTED SPICES) TURMERIC POWDER,*****,*****,8,India,Israel,
09041190,WHOLE BLACK PEPPER HUSK-ETO TREATED SUPL R: GREEN SPICES COMPANY  GSTIN: 32ALVPM7 638N1Z7 INV:106 DT:22/01/2021,*****,*****,3,India,Israel,
09081120,WHOLE INDIAN NUTMEG JUMBO SHELLED ETO TR EATED SUPPLR GENUINE AGRO SPICES(FIRM) G STIN 32AASFG7764P2ZG INV 174 DT:09-01-21,*****,*****,0.40,India,Israel,
09109990,DIPLOMATIC GOODS- SPICE BOXES (PACKAGES,*****,*****,100,India,Israel,
09041190,WHOLE BLACK PEPPER HUSK-ETO TREATED SUPL R: HEMANAND SPICES  GSTIN: 32ACFPK6011J1 ZZ INV: LSG109/20-21 DT:22/12/2020,*****,*****,3000,India,Israel,
09041130,WHOLE BLACK PEPPER JUMBO-ETO TREATED SUP LR: HEMANAND SPICES  GSTIN: 32ACFPK6011J 1ZZ INV: LSG110/20-21 DT:22/12/2020,*****,*****,1450,India,Israel,
09081120,WHOLE INDIAN NUTMEG MEDIUM SHELLED ETO T REATED SUPPLR GENUINE AGRO SPICES GSTIN 32AASFG7764P2ZG INV. 116 DT 31/10/2020,*****,*****,1000,India,Israel,
09083110,WHOLE CARDAMOM 7-8MM BOLD GOOD COLOUR.SU PLR.GREEN VALLY SPICES GSTIN:32AISPA1383 L1Z6.INV.NO.GVSC500/01.12.2020,*****,*****,2000,India,Israel,
09081120,WHOLE INDIAN NUTMEG JUMBO ETO TREATED.SU PLR.GENUINE AGRO SPICES(FIRM)GSTIN:32AAS FG7764P2ZG.INV.NO.136/20.11.2020,*****,*****,500,India,Israel,
09081120,WHOLE INDIAN NUTMEG MEDIUM ETO TREATED.S UPLR.GENUINE AGRO SPICES(FIRM)GSTIN:32AA SFG7764P2ZG.INV.NO.136/20.11.2020,*****,*****,3000,India,Israel,
09081120,WHOLE INDIAN NUTMEG PREMIUM ABCD ETO TRE ATED.SUPLR.GENUINE AGRO SPICES(FIRM)GSTI N:32AASFG7764P2ZG.INV.NO.136/20.11.2020,*****,*****,1000,India,Israel,
73239390,STAINLESS STEEL CUTLERY  TABLE & KITCHEN WARE & OTHER HOUSEHOLD ARTICLES WITH OR WITHOUT HANDLE - SPICES SHAKER,*****,*****,1200,India,Israel,
09081120,SUPPLIER GENUINE AGRO SPICES (FIRM) GST: 32AASFG7764P2ZG INV NO 116 DT 31.10.202 0,*****,*****,0.00,India,Israel,
09083110,WHOLE CARDAMOM 7-8MM BOLD GOOD COLOUR SU PPLIER GREEN VALLEY SPICES GST 32AISPA13 83L1Z6 INV NO. GVSC451 DT. 04.11.2020,*****,*****,1,India,Israel,
09041190,WHOLE BLACK PEPPER HUSK ETO TREATED SUPP LIER HEMANAND SPICES GST 32ACFPK6011J1ZZ INV NO. LSG90/20-21 DT 04.11.2020,*****,*****,3,India,Israel,
09061110,ORGANIC CINNAMON TBC (ORGANIC SPICES & H ERBS IN BULK),*****,*****,200,India,Israel,
09083190,ORGANIC CLOVE TBC (ORGANIC SPICES & HERB S IN BULK),*****,*****,50,India,Israel,
12119019,ORGANIC LIQUORICE TBC (ORGANIC SPICES & HERBS IN BULK),*****,*****,105,India,Israel,
09042219,CHILLI CRUSHED 30-400000SHU   CRUSHEDOTH ERFRUITSOFGENUSCAPSICUM(SPICES)CHILLIES( PKDINNEWHDPEBAGS)WECLAIMREWARDSUNDERMEIS,*****,*****,5000,India,Israel,
09042219,CHILLI POWDER 50-60000SHU   GROUNDOTHERF RUITSOFGENUSCAPSICUM(SPICES)CHILLIES(PKD INNEWHDPEBAGS)WECLAIMREWARDSUNDERMEIS,*****,*****,4000,India,Israel,
09042219,CHILLI POWDER 30-40000SHU   GROUNDOTHERF RUITSOFGENUSCAPSICUM(SPICES)CHILLIES(PKD INNEWHDPEBAGS)WECLAIMREWARDSUNDERMEIS,*****,*****,4000,India,Israel,
09109919,ASSORTED SPICES PKD IN CONSUMER PKG UP T O 1 KG (AS PER INVOICE),*****,*****,20,India,Israel,
09109929,ASSORTED SPICES POWDER(GOODS ARE PURCH. GST OF0.1%FROM SUPPL. GST NO.27AAACK6855 A1ZP INV.NO.2020-21/525 DT:29.08.20),*****,*****,199,India,Israel,
09109929,(ASSORTED SPICE)CURRY POWDER,*****,*****,6,India,Israel,
09101290,PROCESSED (ASSORTED SPICE)GINGER SLICE ( STERLIZED) GREEN CARD NO.20965 VALID 31. 3.2024,*****,*****,4,India,Israel,
09042110,(ASSORTED SPICE)BIRD EYE CHILLI,*****,*****,3,India,Israel,
09042219,CHILLI CRUSHED 30-400000SHU   CRUSHEDOTH ERFRUITSOFGENUSCAPSICUM(SPICES)CHILLIES( PKDINNEWHDPEBAGS)WECLAIMREWARDSUNDERMEIS,*****,*****,5000,India,Israel,
09042219,CHILLI POWDER 30-40000SHU   GROUNDOTHERF RUITSOFGENUSCAPSICUM(SPICES)CHILLIES(PKD INNEWHDPEBAGS)WECLAIMREWARDSUNDERMEIS,*****,*****,5000,India,Israel,
09042219,CHILLI POWDER 50-60000SHU   GROUNDOTHERF RUITSOFGENUSCAPSICUM(SPICES)CHILLIES(PKD INNEWHDPEBAGS)WECLAIMREWARDSUNDERMEIS,*****,*****,3000,India,Israel,
09109929,ASSORTED SPICES POWDER(GOODS ARE PURCH. GST OF0.1%FROM SUPPL. GST NO.27AAACK6855 A1ZP INV.NO.2020-21/395DT:30.07.20,*****,*****,50,India,Israel,
07139090,DRIED LEGUMINOUS VEGETABLES SPICES & RED,*****,*****,810,India,Israel,
09041190,WHOLE BLACK PEPPER HUSK-ETO TREATED SUPL R: HEMANAND SPICES  GSTIN: 32ACFPK6011J1 ZZ INV: LSG32/20-21,*****,*****,3,India,Israel,
09109929,ASSSORTED SPICES POWDER(GOODS ARE PURCH.  GST OF0.1%FROM SUPPL. GST NO.27AAACK685 5A1ZP INV.NO.226/20-21DT:27.06.20),*****,*****,209,India,Israel,
09041190,WHOLE BLACK PEPPER HUSK-ETO TREATED SUPL R: HEMANAND SPICES  GSTIN: 32ACFPK6011J1 ZZ INV: LSG8/20-21,*****,*****,2,India,Israel,
09083110,WHOLE CARDAMOM 7 TO 8 MM BOLD GOOD COLOU R SUPLR : GREEN VALLEY SPICES GSTIN :- 3 2AISPA1383L1Z6 INV. GVSC29.,*****,*****,1,India,Israel,
09083110,WHOLE CARDAMOM 8 MM BOLD GOOD COLOUR SUP LR : GREEN VALLEY SPICES GSTIN :- 32AISP A1383L1Z6 INV. GVSC29.,*****,*****,0.50,India,Israel,
09041190,280 BAG WHOLE BLACK PEPPER HUSK-ETO TREA TED SUPLR: HEMANAND SPICES  GSTN: 32ACFP K6011J1ZZ INV.NO:LSG200/19-20,*****,*****,7,India,Israel,
09042219,CHILLI POWDER 30-40K   GROUNDOTHERFRUITS OFGENUSCAPSICUM(SPICES)CHILLIES(PKDINNEW HDPEBAGS)WECLAIMREWARDSUNDERMEIS,*****,*****,7000,India,Israel,
09042110,CHILLIES S17 STEMLESS   GENUS CAPSICUM ( SPICES)(PKD IN NEW HDPE BAGS)WECLAIMREWA RDSUNDERMEIS,*****,*****,3000,India,Israel,
09042219,CHILLI POWDER 50-60K   GROUNDOTHERFRUITS OFGENUSCAPSICUM(SPICES)CHILLIES(PKDINNEW HDPEBAGS)WECLAIMREWARDSUNDERMEIS,*****,*****,2000,India,Israel,
09042219,CHILLI CRUSHED 30-40K   CRUSHEDOTHERFRUI TSOFGENUSCAPSICUM(SPICES)CHILLIES(PKDINN EWHDPEBAGS)WECLAIMREWARDSUNDERMEIS,*****,*****,2000,India,Israel,
09109929,ASSORTED SPICES PKD IN CONSUMER PKG UP T O 1 KG ( AS PER INVOICE),*****,*****,155,India,Israel,
44219990,OTHER ARTICLES OF WOOD i.e. WOODEN SPICE,*****,*****,30,India,Israel,
09041190,WHOLE BLACK PEPPER HUSK-ETO TREATED  SUP LR: HEMANAND SPICES  GSTN: 32ACFPK6011J1 ZZ  INV. NO. LSG162/19-20,*****,*****,4,India,Israel,
09103030,[ASSORTED SPICE] TURMERIC POWDER,*****,*****,10,India,Israel,
09109912,[ASSORTED SPICE] FENUGREEK SEEDS,*****,*****,8,India,Israel,
09109929,[ASSORTED SPICE] CURRY POWDER,*****,*****,8,India,Israel,
09109929,ASSORTED SPICES POWDER PKD IN CONSUMER P KG UP TO 1 KG (SUPPLIER GST NO.27AAACK68 55A1ZP  TAX INV.NO.15831 DT:30.12.19),*****,*****,92,India,Israel,
09042219,CHILLI POWDER 30-40K   GROUNDOTHERFRUITS OFGENUSCAPSICUM(SPICES)CHILLIES(PKDINNEW HDPEBAGS)WECLAIMREWARDSUNDERMEIS,*****,*****,8000,India,Israel,
09042110,CHILLIES S17 STEMLESS   GENUS CAPSICUM ( SPICES)(PKD IN NEW HDPE BAGS)WECLAIMREWA RDSUNDERMEIS,*****,*****,3000,India,Israel,
09042219,CHILLI POWDER 50-60K   GROUNDOTHERFRUITS OFGENUSCAPSICUM(SPICES)CHILLIES(PKDINNEW HDPEBAGS)WECLAIMREWARDSUNDERMEIS,*****,*****,2000,India,Israel,
09042219,CHILLI CRUSHED 30-40K   CRUSHEDOTHERFRUI TSOFGENUSCAPSICUM(SPICES)CHILLIES(PKDINN EWHDPEBAGS)WECLAIMREWARDSUNDERMEIS,*****,*****,2000,India,Israel,
09042110,CHILLIES S17 STEMLESS   GENUS CAPSICUM ( SPICES)(PKD IN NEW HDPE BAGS)WECLAIMREWA RDSUNDERMEIS,*****,*****,3000,India,Israel,
09042219,CHILLI CRUSHED 30-40K   CRUSHEDOTHERFRUI TSOFGENUSCAPSICUM(SPICES)CHILLIES(PKDINN EWHDPEBAGS)WECLAIMREWARDSUNDERMEIS,*****,*****,2000,India,Israel,
