HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109990,"SPICES ,(VEGETABLE MASALA) 50 GRAM (DETA",*****,*****,2172,India,Italy,
09109990,"SPICES ,(MASALA FOR DESSERT) 30 GRAM (DE",*****,*****,1926,India,Italy,
09109990,"SPICES ,(MANGSHAR KALIA MASALA) 30 GRAM",*****,*****,1926,India,Italy,
63026090,GAMCHHA BATH TOWEL-SPICE RED-1 PC COLOR:SPICE RED,*****,*****,16.94,India,Italy,
63026090,GAMCHHA HAND TOWEL-SPICE RED-1 PC COLOR:SPICE RED,*****,*****,8.23,India,Italy,
63026090,GAMCHHA FACE TOWEL-SPICE RED- PC COLOR:SPICE RED,*****,*****,3.65,India,Italy,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Italy,
70109000,EMPTY GLASS BOTTLES 80 ML MONTE SPICE JA R,*****,*****,4532.88,India,Italy,
44199090,WOODEN DECORATIVE ITEMS - SPICE/TEA BOX,*****,*****,8,India,Italy,
44199090,TABLEWARE AND KITCHENWARE OF MANGO WOOD- SPICE/TEA BOX  WITHOUT LID AND PARTITION,*****,*****,504,India,Italy,
33074100,INCENSE STICKS-50PK INCENSE STICK-50 STI CK fr(VANILLA BREEZE BUBBLE GUM LIME&GIN GER ORANGE&GINGER CINNAMON SPICE LAVENDE,*****,*****,10800,India,Italy,
34060010,SCENTED WAX CANDLE-70 GR ROUND(VAN LAV J AS & FRS SPICE GING & LIME TALC),*****,*****,10800,India,Italy,
34060010,SCENTED WAX CANDLE-YANKEE-60gms 3%(VANIL LA BREEZE BUBBLE GUM LIME&GINGER ORANGE& GINGER CINNAMON SPICE LAVENDER),*****,*****,2832,India,Italy,
70109000,EMPTY GLASS BOTTLES 80 ML MONTE SPICE JA R,*****,*****,24930.84,India,Italy,
70109000,EMPTY GLASS BOTTLES 80 ML MONTE SPICE JA R,*****,*****,24930.84,India,Italy,
12119070,100%ORGANIC MINT INCL.LEAVES (ALL SPICES ) (PEPPERMINT LEAVES-TBC),*****,*****,68.90,India,Italy,
33074100,INCENSE STICKS - ASTRAL (SANDALWOOD ROSA CEDAR HEALING JASMINE AMBRA MEDITATION SPICE PALASANTO) 20/10 ST/IN PRINTED BOX,*****,*****,470,India,Italy,
34060010,SCENTED WAX CANDLE - Shrink Sleeve WINTE R SPICE - SHRINK SLEEVE - 119/WS-1001,*****,*****,2400,India,Italy,
34060010,SCENTED WAX CANDLE - Shrink Sleeve WINTE R SPICE - SHRINK SLEEVE - 119/WS-1001,*****,*****,2400,India,Italy,
57029910,CARPETS AND OTHER ASPERINV:HANDWOVEN COTTON RUGS ASPERINV:NATURAL/CATHAY SPICE SZ IN CMS 60X90,*****,*****,64.80,India,Italy,
57029910,CARPETS AND OTHER ASPERINV:HANDWOVEN COTTON RUGS ASPERINV:NATURAL/CATHAY SPICE SZ IN CMS 60X180,*****,*****,86.40,India,Italy,
57029910,CARPETS AND OTHER ASPERINV:HANDWOVEN COTTON RUGS ASPERINV:NATURAL/CATHAY SPICE SZ IN CMS 70X240,*****,*****,100.80,India,Italy,
09083220,TRADE SAMPLES/INDIAN SPICES-Cardamom  (a s per inv & pkg),*****,*****,13,India,Italy,
33019029,SPICE PRODUCT - OREGANO OLEORESIN,*****,*****,15,India,Italy,
09109929,SPICES VEGETABLE MASALA DETAILS AS PER I NVOICE.,*****,*****,1692,India,Italy,
09109929,SPICES MANGSHAR KALIA MASALA DETAILS AS PER INVOICE.,*****,*****,726,India,Italy,
09109929,SPICES MASALA FOR DESSERT DETAILS AS PER INVOICE.,*****,*****,486,India,Italy,
68022390,POLISHED GRANITE SLABS SPICE BLACK 3 CM POLISHED,*****,*****,422.83,India,Italy,
68029300,SPICE BLACK POLISHED COFFEE BROWN LEATHE R RANDOM SLABS 3CM,*****,*****,241.33,India,Italy,
68029300,SPICE BLACK POLISHED COFFEE BROWN POLISH ED RANDOM SLABS 3CM,*****,*****,43.29,India,Italy,
68029300,SPICE BLACK POLISHED RANDOM SLABS 2CM,*****,*****,277.33,India,Italy,
68029300,SPICE BLACK POLISHED RANDOM SLABS 3CM,*****,*****,95.55,India,Italy,
68029300,SPICE BLACK POLISHED RANDOM SLABS 3CM,*****,*****,195.77,India,Italy,
68029300,SPICE BLACK POLISHED RANDOM SLABS 2CM,*****,*****,143.85,India,Italy,
68022390,POLISHED GRANITE SLABS SPICE BLACK RANDO M SLABS 3CM,*****,*****,284.76,India,Italy,
68022390,POLISHED GRANITE SLABS SPICE BLACK RANDO,*****,*****,284.76,India,Italy,
70109000,EMPTY GLASS BOTTLES 80 ML MONTE SPICE JA R,*****,*****,24930.84,India,Italy,
68022390,POLISHED GRANITE SLABS SPICE BLACK RANDO M SLABS 2CM,*****,*****,418.83,India,Italy,
70109000,EMPTY GLASS BOTTLES-80 ML MONTE SPICE JA R - JT510 (OTHER DETAILS AS PER INVOICE),*****,*****,39270,India,Italy,
70109000,EMPTY GLASS BOTTLES-80 ML MONTE SPICE JA R - JT510 (OTHER DETAILS AS PER INVOICE),*****,*****,246840,India,Italy,
44151000,WOODEN SPICE BOX,*****,*****,1,India,Italy,
44201000,PORCELAIN & MDF SPICE BOX,*****,*****,4,India,Italy,
68029300,GRANITE SLABS SPICE BLACK ROUGH SLABS 2C M (THIRD PARTY INV NO ;RFSEZ192000616 DT ;20.01.2020),*****,*****,161.82,India,Italy,
68029300,GRANITE SLABS SPICE BLACK ROUGH SLABS 2C,*****,*****,161.82,India,Italy,
68029300,GRANITE SLABS SPICE BLACK ROUGH SLABS 2C,*****,*****,161.82,India,Italy,
68029300,GRANITE SLABS SPICE BLACK ROUGH SLABS 2C,*****,*****,161.82,India,Italy,
68029300,GRANITE SLABS SPICE BLACK ROUGH SLABS 2C,*****,*****,161.82,India,Italy,
