HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09024040,"BLACK TEA WITH SPICES, Golden Victoria C",*****,*****,1440,India,Ivory Coast,
09109100,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,10,India,Ivory Coast,
09093200,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,12,India,Ivory Coast,
09109100,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,132,India,Ivory Coast,
09042211,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,48,India,Ivory Coast,
09042211,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,48,India,Ivory Coast,
09042211,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,48,India,Ivory Coast,
09093200,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,12,India,Ivory Coast,
09093200,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,20,India,Ivory Coast,
09103030,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,125,India,Ivory Coast,
09109100,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,10,India,Ivory Coast,
09109100,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,132,India,Ivory Coast,
09092200,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,37.50,India,Ivory Coast,
09109100,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,197.50,India,Ivory Coast,
09109100,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,7.50,India,Ivory Coast,
09042211,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,350,India,Ivory Coast,
09109100,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,132,India,Ivory Coast,
09109100,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,10,India,Ivory Coast,
09093200,SPICES/CURRY MASALA IN CONSUMER PACKING,*****,*****,12,India,Ivory Coast,
09109100,"MASALA >> PURI MASALA PANI PURI MASALA , DRY MANGO POWDER ,  SPICE",*****,*****,60,India,Ivory Coast,
09109100,SPICES >> ASSORTED SPICES,*****,*****,113,India,Ivory Coast,
09109100,SPICES >> ASSORTED SPICES,*****,*****,113,India,Ivory Coast,
39249090,RODTEP >> Spice Container 1041-42-43 Set    We intendto claim RoDTEP scheme as applicable     ;  intend to ,*****,*****,24,India,Ivory Coast,
73239390,"SERIES >> Furniture Fitting -Door Hardware-Spice Pull-Out Cargo Series W134  "" ;  P ull-Out ",*****,*****,20,India,Ivory Coast,
73239390,SERIES >> FURNITURE FITTING-DOOR HARDWARE-Spice Pull-Out Cargo Series W234 ;  Pu ll-Out ,*****,*****,1,India,Ivory Coast,
09042211,SPICES >> NIRLON SPICES NL Nirlon Spices,*****,*****,17,India,Ivory Coast,
09042211,SPICES >> NIRLON SPICES NL Nirlon Spices,*****,*****,17,India,Ivory Coast,
09109100,SPICES >> Assorted Spices,*****,*****,112,India,Ivory Coast,
09109100,SPICES >> Assorted Spices,*****,*****,112,India,Ivory Coast,
09109929,MASALA >> MASALA SPRINKLERS OTHER SPICES Dahi Masala Sprinklers ...,*****,*****,5,India,Ivory Coast,
09109929,SPICES >> SPICES BLACK OTHER SPICES Black Paper Sprinklers ....,*****,*****,2,India,Ivory Coast,
09109929,MASALA >> MAGIC MASALA OTHER SPICES Magic Masala Grinders ....,*****,*****,2,India,Ivory Coast,
09109929,MASALA >> CHAT MASALA OTHER SPICES Chat Masala Sprinklers ....,*****,*****,10,India,Ivory Coast,
09109990,SPICES >> SPICES VARIOUS TYPES Catch Hing .... Oth,*****,*****,60,India,Ivory Coast,
33029011,FLAOVURING >> HERBAL FLAOVURING SSM-HERBAL FLAOVURING MIX CONTAINING HERBS AND SPICES ;  HER BS ,*****,*****,900,India,Ivory Coast,
09109100,SPICES >> ASSORTED SPICES,*****,*****,186,India,Ivory Coast,
09023020,WAGH >> WAGH BAKARI WAGH BAKARI SPICE TEA 250 GRM + 1 MULTYPURPOSE BOX FREE ;  MULTY PURPOSE ,*****,*****,22,India,Ivory Coast,
09109100,MASALA >> SPICES MASALA ASSORTED SPICES- MASALA 60 GRM PACKING,*****,*****,484,India,Ivory Coast,
09093200,SPICES >> ASSORTED SPICES. 118 CTN   DETAILEDED AS PERINV. AND PACKING LIST   ;  PER DOCUMENT  ,*****,*****,118,India,Ivory Coast,
21023000,BLEND >> DOUGH BLEND FOOD SEASONINGS-INGREDIENTS   FOOD PRODUCTS   & SPICE BLENDS PAN 2.0 DOUGH BLEND D180226   506.25 KGS :50 NOS   ;  PRODUC TS    ;  D 180226 ,*****,*****,506.25,India,Ivory Coast,
