HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,SPICES ITES : DETAILED AS PER INV. AND,*****,*****,1,India,Japan,
09109100,SPICES ITES : DETAILED AS PER INV. AND,*****,*****,1,India,Japan,
09093129,SPICES-CUMIN SEEDS   FREE TRADE SAMPLE  ,*****,*****,1,India,Japan,
09109100,SPICES-CHICKEN CURRY MASALA   FREE TRADE,*****,*****,1,India,Japan,
09109100,SPICES-GARAM MASALA   FREE TRADE SAMPLE  ,*****,*****,1,India,Japan,
09092200,SPICES-CORIANDER POWDER   FREE TRADE SAMP,*****,*****,1,India,Japan,
09103030,SPICES-TURMERIC POWDER   FREE TRADE SAMPL,*****,*****,1,India,Japan,
09042211,SPICES-RED CHILLI POWDER   FREE TRADE SAM,*****,*****,1,India,Japan,
09083190,SPICES-GREEN CARDAMOM 8MM   FREE TRADE SA,*****,*****,1,India,Japan,
09109990,OTHER SPCES N E S SPICES   1 KG X 10 PCS  ,*****,*****,10,India,Japan,
09109990,OTHER SPCES N E S SPICES   250 GM X 101 PCS   ;  P CS  ,*****,*****,50.50,India,Japan,
09109990,OTHER SPCES N E S SPICES   500 GM X 26 PCS   ;  PC S  ,*****,*****,520,India,Japan,
09109990,OTHER SPICES N E S DRY MINT LEAVES   100GM X 30 PCS   ;    100 GM ,*****,*****,99,India,Japan,
09109990,OTHER SPCES N E S SPICES   250 GM X 50 PCS   ;  PC S  ,*****,*****,600,India,Japan,
09109990,OTHER SPCES N E S SPICES   250 GM X 80 PCS   ;  PC S  ,*****,*****,100,India,Japan,
09109990,OTHER SPCES N E S SPICES   500 GM X 11 PCS   ;  PC S  ,*****,*****,5.50,India,Japan,
09109990,OTHER SPCES N E S SPICES   500 GM X 30 PCS   ;  PC S  ,*****,*****,90,India,Japan,
09109990,OTHER SPICES N E S CURRY LEAF   100 GM X14 PCS   ;  X 14 ,*****,*****,1.40,India,Japan,
09109990,OTHER SPICES N E S CURRY LEAF   100 GM X25 PCS   ;  X 25 ,*****,*****,95,India,Japan,
09109990,OTHER SPCES N E S SPICES   1 KG X 21 PCS  ,*****,*****,21,India,Japan,
09109990,OTHER SPCES N E S SPICES   100 KG X 60 PCS   ;  PC S  ,*****,*****,120,India,Japan,
09109990,OTHER SPCES N E S SPICES   500 GM X 40 PCS   ;  PC S  ,*****,*****,100,India,Japan,
09109990,OTHER SPCES N E S SPICES   500 GM X 50 PCS   ;  PC S  ,*****,*****,50,India,Japan,
09109990,OTHER SPICES N E S FENNEL SEED   500 GM X12 PCS   ;  X 12 ,*****,*****,6,India,Japan,
09109990,OTHER SPICES N E S FENNEL SEED   500 GM X40 PCS   ;  X 40 ,*****,*****,440,India,Japan,
09093129,CUMIN SEEDS - INDIAN SPICES CROP 2020   COMMERCIAL INV. NO. 43002452 DATED. 15.06.2021   ;    C OMMERCIAL  ;  15 ; .06.2021  ,*****,*****,25000,India,Japan,
09093129,CUMIN SEEDS - INDIAN SPICES CROP 2020   COMMERCIAL INV. NO. 43002452 DATED. 15.06.2021   ;    C OMMERCIAL  ;  15 ; .06.2021  ,*****,*****,25000,India,Japan,
21039040,MIX SPICE WHOLE   100GM X 80  ,*****,*****,13,India,Japan,
21039040,MIX SPICE WHOLE   100GM X 80  ,*****,*****,13,India,Japan,
09109100,"""Mixtures referred to in Note1  b   to this Chapter-RECIPE SPICES   100gmX180pkt  "" ;  th is  ;    100gmX180pkt   ; """,*****,*****,5610,India,Japan,
09109100,"""Mixtures referred to in Note1  b   to this Chapter-RECIPE SPICES   100gmX180pkt  "" ;  th is  ;    100gmX180pkt   ; """,*****,*****,5610,India,Japan,
09103020,INDIAN SPICES CROP 2021 PRODUCT:TURMERICQUALITY:M-F   DOUBLE CLEANED   ITEM CODE:062625   PKG:BAGS   WE CLAIM RODTEP SCHEME ;  PRODUCT:TURMERIC QUALITY:M-F  ;  CODE: 062625 ,*****,*****,200,India,Japan,
