HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
20059900,VEGETABLE SNACKS-TERRA SWEET POTATO SPICED 120G ME ;  SPIC ED ,*****,*****,128,India,Jordan,
09042211,CHILLY POWDER 15KG  SUPPLIER NAME: INDIAN SPICE TRADERS GST IN NO.32AYIPT2065N1Z0  INV. NO.IST2122-107 DT.06.07.2021 ;  INDIA N  ;  NO.32AYIPT2065N1Z 0 ,*****,*****,3000,India,Jordan,
69101000,CERAMIC SANITARYWARES SPICE   ONEPIECE   003   AS PER INV.   ;  0 03 ,*****,*****,5,India,Jordan,
69101000,CERAMIC SANITARYWARES SPICE   ONEPIECE   003   AS PER INV.   ;  0 03 ,*****,*****,5,India,Jordan,
20059900,VEGETABLE SNACKS-TERRA SPICED SWEET 30GME MULTIPACKS 4X6 ;  30G ME  HSN Code :20059900,*****,*****,168,India,Jordan,
20059900,VEGETABLE SNACKS-TERRA SWEET POTATO SPICED 120G ME ;  SPIC ED  HSN Code :20059900,*****,*****,192,India,Jordan,
44199090,INDIAN HANDICRAFTS- WOODEN SPICE BOX HS:44199090,*****,*****,80,India,Jordan,
69101000,CERAMIC SANITARYWARE  SPICE HAFL PED SETWHITE & IVORY     TOTAL PKGS 404     TOTAL S ET 202   ;  SET WHITE ,*****,*****,202,India,Jordan,
21039040,MIX HOT SPICES-1KG X 10PX1 X CTN1488.000 X 1014880KG ;  CTN1488.00 0  21039040   HS Code,*****,*****,14880,India,Jordan,
21039040,MIX REGULAR SPICES-1KG X 10PX1 X CTN600.000 X 106000 KG ;  CTN600 .000  21039040   HS Code,*****,*****,6000,India,Jordan,
09109990,ARABIC MIXED SPICES POWDER   PKD IN FOODGRADE POUCHES   ;  FOOD GRADE ,*****,*****,512,India,Jordan,
20059900,VEGETABLE SNACKS - Terra Spiced sweet 30,*****,*****,254,India,Jordan,
09109100,SEA FOOD SPICES PKD IN FOOD GRADE POUCHE S,*****,*****,256,India,Jordan,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - FLOUR BREADER D180459,*****,*****,36000,India,Jordan,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - HOT AND SPICY MARINADE D180458A,*****,*****,4000,India,Jordan,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - FLOUR BREADER D180459,*****,*****,35000,India,Jordan,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - TANDOORI FLAV A GLAZE D200638,*****,*****,760,India,Jordan,
