HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
33019090,EXTRACT OF NATURAL SPICE  OLEORESIN ONIO,*****,*****,5,India,Kazakhstan,
33019029,EXTRACT OF NATURAL SPICE  OLEORESIN BASI,*****,*****,2,India,Kazakhstan,
33019029,EXTRACT OF NATURAL SPICE  OLEORESIN GARL,*****,*****,30,India,Kazakhstan,
33012947,EXTRACT OF NATURAL SPICE   GARLIC OIL MF,*****,*****,15,India,Kazakhstan,
33019023,EXTRACT OF NATURAL SPICE OLEORESIN CORIA,*****,*****,40,India,Kazakhstan,
33019014,EXTRACT OF NATURAL SPICE OLEORESIN TERME,*****,*****,5,India,Kazakhstan,
33019013,EXTRACT OF NATURAL SPICE OLEOR BLACK PEP,*****,*****,40,India,Kazakhstan,
33019017,EXTRACT OF NATURAL SPICE OLEORESIN NUTMEG,*****,*****,40,India,Kazakhstan,
33012935,EXTRACT OF NATURAL SPICE BLACK PEPPER OI,*****,*****,20,India,Kazakhstan,
33019029,EXTRACT OF NATURAL SPICE OLEORESIN GARLI,*****,*****,200,India,Kazakhstan,
33012947,EXTRACT OF NATURAL SPICE GARLIC OIL MF,*****,*****,40,India,Kazakhstan,
33019029,EXTRACT OF NATURAL SPICE OLEORESIN PAPRI,*****,*****,20,India,Kazakhstan,
33019022,EXTRACT OF NATURAL SPICE OLEORESIN CAPSI,*****,*****,130,India,Kazakhstan,
33019014,EXTRACT OF NATURAL SPICE OLEORESIN TERME,*****,*****,5,India,Kazakhstan,
33019013,EXTRACT OF NATURAL SPICE OLEOR BLACK PEP,*****,*****,40,India,Kazakhstan,
33019023,EXTRACT OF NATURAL SPICE OLEORESIN CORIA,*****,*****,40,India,Kazakhstan,
33019029,EXTRACT OF NATURAL SPICE OLEORESIN PAPRI,*****,*****,20,India,Kazakhstan,
33019029,EXTRACT OF NATURAL SPICE OLEORESIN GARLI,*****,*****,200,India,Kazakhstan,
33019017,EXTRACT OF NATURAL SPICE OLEORESIN NUTME,*****,*****,40,India,Kazakhstan,
33019022,EXTRACT OF NATURAL SPICE OLEORESIN CAPSI,*****,*****,130,India,Kazakhstan,
33012935,EXTRACT OF NATURAL SPICE BLACK PEPPER OI,*****,*****,20,India,Kazakhstan,
33012947,EXTRACT OF NATURAL SPICE GARLIC OIL MF,*****,*****,40,India,Kazakhstan,
09109990,INDIAN SPICES,*****,*****,60,India,Kazakhstan,
33019029,EXTRACT OF NATURAL SPICES OLEORESIN,*****,*****,10,India,Kazakhstan,
33019023,EXTRACT OF NATURAL SPICES OLEORESIN,*****,*****,5,India,Kazakhstan,
33019015,EXTRACT NATURAL SPICES OLEORESIN,*****,*****,5,India,Kazakhstan,
33019029,EXTRACT OF NATURAL SPICES OLEORESIN,*****,*****,10,India,Kazakhstan,
33019029,EXTRACT OF NATURAL SPICES OLEORESIN,*****,*****,20,India,Kazakhstan,
33012932,EXTRACT OF NATURAL SPICES OLEORESIN,*****,*****,5,India,Kazakhstan,
33012947,EXTRACT OF NATURAL SPICES OLEORESIN,*****,*****,1,India,Kazakhstan,
09109990,INDIA SPICES,*****,*****,7,India,Kazakhstan,
09109990,INDIA SPICES,*****,*****,7,India,Kazakhstan,
09024040,CARE SPICE GREEN TEA ASHWAGANDHA 2.5 G E XP,*****,*****,1000,India,Kazakhstan,
