HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
30049011,ROW Tulsi Licorice Spice 25 IB ORGANIC MEDICAMENTS OF AYURVEDIC SYSTEM   ;   MEDICAMENTS ,*****,*****,60,India,Kenya,
09109100,SPICES PACK IN PLASTIC POUCH 5G X 288SCH PER BOX   SPICE CURRY POWDER   OTHER DETAILEDED AS PER INV. & PL ;  288 SCH  ;  D ETAILS ,*****,*****,9500,India,Kenya,
33019017,SPICES NETMEG   REST DETAILEDED AS PER INV.   ;  INVOI CE  ,*****,*****,520,India,Kenya,
33019017,SPICES NETMEG   REST DETAILEDED AS PER INV.   ;  INVOI CE  ,*****,*****,520,India,Kenya,
09109100,SPICES PACK IN PLASTIC POUCH 5G X 288SCH PER BOX   SPICE CURRY POWDER   OTHER DETAILEDED AS PER INV. & PL ; 288 SCH ; D ETAILS ,*****,*****,9500,India,Kenya,
15122990,SPICES GROCERIES OIL ASSORTED AS PER ATTACHED EDIBLE OILS ASSORTED DETAILED AS PERLIST ;  ATT ACHED  ;  PER LIST,*****,*****,7,India,Kenya,
09109990,SPICES GROCERIES OIL ASSORTED AS PER ATTACHED SPICES ASSORTED DETAILED AS PER LIST ;  ATT ACHED ,*****,*****,30,India,Kenya,
11029090,SPICES GROCERIES OIL ASSORTED AS PER ATTACHED GROCERIES ASSORTED DETAILED AS PER LIST ;  ATT ACHED  ;  L IST,*****,*****,64,India,Kenya,
39241090,TABLEWARE KITCHENWARE OTHER HOUSEHOLD ARTICLES KITCHENWARE PRODUCTS SPICE RACK 12PCS 6-CTN 39241090 HSN ,*****,*****,552,India,Kenya,
39241090,TABLEWARE KITCHENWARE OTHER HOUSEHOLD ARTICLES KITCHENWARE PRODUCTS SPICE RACK 12PCS 6-CTN HSN Code :39241090,*****,*****,552,India,Kenya,
09109919,KOLHAPURI SPICE MIX MASALA,*****,*****,0.45,India,Kenya,
73239390,SS KITCHEN BASKETS AND PARTS THEREOF OFIRON AND STEEL CABINET SPICE RACK ECSRSB15519 ;  OF IRON  ;  ECSRS B15519 HS :73239390,*****,*****,12,India,Kenya,
84798200,SPICE COATING MACHINE,*****,*****,1,India,Kenya,
84798200,SPICE COATING MACHINE,*****,*****,1,India,Kenya,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (MAN GAL MASALA),*****,*****,104.40,India,Kenya,
09109100,OTHER POWDER OF OTHER SPICES N.E.S. (MAN GAL ANARDANA POWDER),*****,*****,36,India,Kenya,
09109100,GARAM MASALA(MIXED SPICES POWDER) (AS PE R INVOICE),*****,*****,200,India,Kenya,
44151000,WOODEN SPICE BOX,*****,*****,5,India,Kenya,
98030000,UNSOLICITED GIFT FROM INDIVIDUAL TO INDI VIDUAL- INDIAN MIX SPICES,*****,*****,1,India,Kenya,
98030000,UNSOLICITED GIFT FROM INDIVIDUAL TO INDI VIDUAL- INDIAN MIX SPICES,*****,*****,1,India,Kenya,
39241090,TABLE   KITCHEN  OR  OTHER HOUSEHOLD  AR TICLES J236 SPICE RACK 12PCS 6/CTN,*****,*****,300,India,Kenya,
09042211,GOPAL NAMKEENS E SPICES HOT CHILLI POWDE R (LP)POUCH REST DETAIL AS PER INVOICE,*****,*****,50,India,Kenya,
09103030,GOPAL NAMKEENS E SPICES TURMERIC POWDER (1 KG)POUCH REST DETAIL AS PER INVOICE,*****,*****,50,India,Kenya,
09092200,GOPAL NAMKEENS E SPICES CORIANDER POWDER (1 KG)POUCH REST DETAIL AS PER INVOICE,*****,*****,10,India,Kenya,
09042211,GOPAL NAMKEENS E SPICES HOT CHILLI POWDE R (1 KG)POUCH REST DETAIL AS PER INVOICE,*****,*****,50,India,Kenya,
09042211,GOPAL NAMKEENS E SPICES KASHMIRI CHILLI POWDER (LP)POUCH REST DETAIL AS PER INVO ICE,*****,*****,50,India,Kenya,
09092200,GOPAL NAMKEENS E SPICES CORIANDER POWDER (FP)POUCH REST DETAIL AS PER INVOICE,*****,*****,5,India,Kenya,
