HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
20059900,VEGETABLE SNACKS - TERRA SWEET POTATO SPICED 120G ME ;  SP ICED ,*****,*****,160,India,Kuwait,
09101290,100G CHUKKU MIX POWDER PKD IN PET BOTTLEMIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS ;  BOTTLE MIXTURE  ;  PRO ; DUCTS,*****,*****,100,India,Kuwait,
09109100,SPICES MASALA POWDER & PASTE - Spice - Puliyogare Powder 200g-Exp.ML ;  P uliyogare ,*****,*****,288,India,Kuwait,
09109100,SPICES MASALA POWDER & PASTE - Spice - Spiced Chutney Powder 200g-Ex.ML ;  S piced ,*****,*****,300,India,Kuwait,
09109100,SPICES MASALA POWDER & PASTE - Spice - Sambar Powder 200g-Export ;  S ambar ,*****,*****,96,India,Kuwait,
09109100,100G BIRIYANI MASALA POWDER PKD IN DUPLEX PAPER CTN MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS ;  DUPLE X  ;  TH E ,*****,*****,288,India,Kuwait,
09109100,100G CHICKEN 65 MASALA POWDER PKD IN DUPLEX PAPER CTN MIXTURE OF TWO OR MORE OFTHE SPICE PRODUCTS ;  DUP LEX  ;  OF THE ,*****,*****,417.60,India,Kuwait,
09109100,100G CHICKEN BIRIYANI MASALA POWDER PKDIN DUPLEX PAPER CTN MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS ;  PKD IN  ;  MO RE ,*****,*****,360,India,Kuwait,
09109100,125G SPICY CHICKEN MASALA POWDER PKD INDUPLEX PAPER CTN MIXTURE OF TWO OR MOREOF THE SPICE PRODUCTS ;  IN DUPLEX  ;  MORE OF ,*****,*****,112.50,India,Kuwait,
09109100,180G DHAKKA MASALA POWDER PKD IN PET BOTTLE MIXTURE OF TWO OR MORE OF THE SPICEPRODUCTS ;  BOT TLE  ;  SPICE ; PRODUCTS,*****,*****,90,India,Kuwait,
09109100,60G BOMBAY BIRYANI MIX PKD IN DUPLEX PAPER CTN MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS ;  PAP ER  ;  SPI CE ,*****,*****,86.40,India,Kuwait,
21039010,400G GINGER GARLIC PASTE PKD IN GLASS BOTTLE MIXTURE OF TWO OR MORE OF THE SPICEPRODUCTS ;  BO TTLE  ;  SPICE ; PRODUCTS,*****,*****,1440,India,Kuwait,
09109100,150G TANDOORI SPICE MIX PKD IN PET BOTTL,*****,*****,32.40,India,Kuwait,
09109100,SPICES MASALA POWDER & PASTE - Spice - Rasam Powder 200g -Exp. ML ;  R asam ,*****,*****,96,India,Kuwait,
09101290,150G CHUKKU MIX PKD IN DUPLEX PAPER CTNMIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS ;  CTN MIXTURE  ;  PROD ; UCTS,*****,*****,240,India,Kuwait,
09109100,135G FISH FRY MASALA POWDER PKD IN DUPLEX PAPER CTN MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS ;  DUPLE X  ;  TH E ,*****,*****,162,India,Kuwait,
09109100,150G TANDOORI SPICE MIX PKD IN PET BOTTLE MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS ;  BOTTL E  ;  PR ; ODUCTS,*****,*****,32.40,India,Kuwait,
09109100,200G OMANI MASALA POWDER PKD IN PET BOTTLE MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS ;  BOTT LE  ;  P ; RODUCTS,*****,*****,80,India,Kuwait,
09109100,50G BIRIYANI MASALA POWDER PKD IN DUPLEXPAPER CTN MIXTURE OF TWO OR MORE OF THESPICE PRODUCTS ;  DUPLEX PAPER  ;  THE SPICE ,*****,*****,36,India,Kuwait,
09041200,BLACK PEPPER POWDER PRODUCT CODE 14127 MIXED SEASONING POWDER  SPICE & HERBS   ;   MIXED ,*****,*****,40,India,Kuwait,
21039040,BLACKENED SEASONING PRODUCT CODE 23007 MIXED SEASONING POWDER  SPICE & HERBS   ;   MIXED ,*****,*****,10,India,Kuwait,
21039040,BURGER FRY SEASONING PRODUCT CODE 23016  MIXED SEASONING POWDER  SPICE & HERBS   ;  23016   MIXED ,*****,*****,40,India,Kuwait,
07129050,OREGANO   HERB   PRODUCT CODE 14110   MIXEDSEASONING POWDER  SPICE & HERBS   ;    MIXED SEASONING ,*****,*****,10,India,Kuwait,
09042211,CRUSHED RED CHILLY PRODUCT CODE 14101G5H  MIXED SEASONING POWDER  SPICE & HERBS   ;  14101G5H   MIXED ,*****,*****,40,India,Kuwait,
21039040,LIME CHIPOTLE SEASONING PRODUCT CODE 23005   MIXED SEASONING POWDER  SPICE & HERBS   ;  230 05  ;  HERB ; S  ,*****,*****,70,India,Kuwait,
21039040,TOPICAL SEASONING PRODUCT CODE 23018   MIXED SEASONING POWDER  SPICE & HERBS   ;    MI XED ,*****,*****,30,India,Kuwait,
09109100,100G CHILLI CHICKEN MASALA POWDER PKD INDUPLEX PAPER CTN MIXTURE OF TWO OR MOREOF THE SPICE PRODUCTS ;  IN DUPLEX  ;  MORE OF ,*****,*****,108,India,Kuwait,
09109100,100G MADRAS SAMBAR POWDER PKD IN DUPLEXPAPER CTN MIXTURE OF TWO OR MORE OF THESPICE PRODUCTS ;  DUPLEX PAPER  ;  THE SPICE ,*****,*****,144,India,Kuwait,
09109100,180G DHAKKA MASALA POWDER PKD IN PET BOTTLE MIXTURE OF TWO OR MORE OF THE SPICEPRODUCTS ;  BOT TLE  ;  SPICE ; PRODUCTS,*****,*****,90,India,Kuwait,
09109100,200G BAHRAINI MASALA POWDER PKD IN PET BOTTLE MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS ;  B OTTLE  ;  SPIC E ,*****,*****,80,India,Kuwait,
09109100,50G CHETTINADU VEGITABLE MASALA POWDER PKD IN DUPLEX PAPER CTN MIXTURE OF TWO ORMORE OF THE SPICE PRODUCTS ;  P KD  ;  OR MORE ,*****,*****,36,India,Kuwait,
09109100,50G CURRY POWDER PKD IN DUPLEX PAPER CTNMIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS ;  CTN MIXTURE  ;  PRO ; DUCTS,*****,*****,90,India,Kuwait,
09109100,50G DAL FRY MASALA POWDER PKD IN DUPLEXPAPER CTN MIXTURE OF TWO OR MORE OF THESPICE PRODUCTS ;  DUPLEX PAPER  ;  THE SPICE ,*****,*****,36,India,Kuwait,
09109100,50G PANIPURI MASALA POWDER PKD IN DUPLEXPAPER CTN MIXTURE OF TWO OR MORE OF THESPICE PRODUCTS ;  DUPLEX PAPER  ;  THE SPICE ,*****,*****,36,India,Kuwait,
09109100,60G HYDERABADI BIRIYANI MIX PKD IN DUPLEX PAPER CTN MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS ;  DUPLE X  ;  TH E ,*****,*****,108,India,Kuwait,
09109100,200G KABSA SPICE MIX POWDER PKD IN PET BOTTLE MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS ;  B OTTLE  ;  SPIC E ,*****,*****,80,India,Kuwait,
