HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,PANEER MAKHANWALA SPICE MIXES 50G X 60,*****,*****,6,India,Kyrgyzstan,
09109100,PANEER TIKKA MASALA SPICE MIXES 50G X 6,*****,*****,6,India,Kyrgyzstan,
09109100,PANEER BUTTER MASALA SPICE MIXES 50G X,*****,*****,12,India,Kyrgyzstan,
09109100,SHAHI PANEER SPICE MIXES 50G X 60 PKTS,*****,*****,6,India,Kyrgyzstan,
09109100,MATAR PANEER SPICES MIXES 50G X 60 PKTS,*****,*****,6,India,Kyrgyzstan,
09042219,SPICES >> GENERAL SPICES LIKE CHICKEN MASALA,*****,*****,35,India,Kyrgyzstan,
09109990,MASALA >> MASALA POWDER   OTHER SPICES   KABAB MASALA POWDER,*****,*****,99,India,Kyrgyzstan,
09109990,MASALA >>   OTHER SPICES   TEA MASALA,*****,*****,190,India,Kyrgyzstan,
09109990,SPICES >> SPICES DHANIYA   OTHER SPICES   DHANIYA POWDER,*****,*****,21,India,Kyrgyzstan,
09109990,SPICES >>   OTHER SPICES   RED CHILLI POWDER,*****,*****,20,India,Kyrgyzstan,
09109990,MASALA >> GARAM MASALA   OTHER SPICES   GARAM MASALA POWDER,*****,*****,53,India,Kyrgyzstan,
09109990,MASALA >> BIRYANI MASALA   OTHER SPICES   BIRYANI MASALA POWDER,*****,*****,99,India,Kyrgyzstan,
09109990,MASALA >> KORMA MASALA   OTHER SPICES   CHICKEN KORMA MASALA POWD,*****,*****,96,India,Kyrgyzstan,
09109990,SPICES >> SPICES FISH   OTHER SPICES   FISH CURRY POWDER,*****,*****,100,India,Kyrgyzstan,
09109990,SPICES >> SPICES JEERA   OTHER SPICES   JEERA POWDER,*****,*****,50,India,Kyrgyzstan,
09109990,SPICES >> SPICES BLACK   OTHER SPICES   BLACK PAPER POWDER,*****,*****,98,India,Kyrgyzstan,
09109990,MASALA >> KORMA MASALA   OTHER SPICES   MUTTON KORMA MASALA POWDE,*****,*****,101,India,Kyrgyzstan,
09109990,MASALA >>   OTHER SPICES   TEA MASALA,*****,*****,190,India,Kyrgyzstan,
09109990,SPICES >> SPICES FISH   OTHER SPICES   FISH CURRY POWDER,*****,*****,100,India,Kyrgyzstan,
09109990,SPICES >>   OTHER SPICES   RED CHILLI POWDER,*****,*****,20,India,Kyrgyzstan,
09109990,SPICES >> SPICES JEERA   OTHER SPICES   JEERA POWDER,*****,*****,50,India,Kyrgyzstan,
09109990,MASALA >> KORMA MASALA   OTHER SPICES   MUTTON KORMA MASALA POWDE,*****,*****,101,India,Kyrgyzstan,
09109990,MASALA >> BIRYANI MASALA   OTHER SPICES   BIRYANI MASALA POWDER,*****,*****,99,India,Kyrgyzstan,
09109990,MASALA >> KORMA MASALA   OTHER SPICES   CHICKEN KORMA MASALA POWD,*****,*****,96,India,Kyrgyzstan,
09109990,MASALA >> GARAM MASALA   OTHER SPICES   GARAM MASALA POWDER,*****,*****,53,India,Kyrgyzstan,
09109990,MASALA >> MASALA POWDER   OTHER SPICES   KABAB MASALA POWDER,*****,*****,99,India,Kyrgyzstan,
09109990,SPICES >> SPICES BLACK   OTHER SPICES   BLACK PAPER POWDER,*****,*****,98,India,Kyrgyzstan,
09109990,SPICES >> SPICES DHANIYA   OTHER SPICES   DHANIYA POWDER,*****,*****,21,India,Kyrgyzstan,
98049000,PERSONAL >> GROCERY - SPICES -   VARIOUS     PERSONAL AND HOUSEHOLD ITEMS   ;  A ND ,*****,*****,63,India,Kyrgyzstan,
09071090,CLOVE >> Clove   Whole    Spice     50gm PACK   DTLS.ASPER DOCUMENT  ;  DTLS.AS PER ,*****,*****,100,India,Kyrgyzstan,
09109990,POWDER >> CORIANDER POWDER Coriander Powder   Spice     100gm PACK   DTLS.AS PER DOCUMENT  ;  DT LS.AS ,*****,*****,219,India,Kyrgyzstan,
09061990,CINNAMON >> Cinnamon   Whole    Spice     50gm PACK   DTLS.AS PER DOCUMENT  ;  DTLS .AS ,*****,*****,219,India,Kyrgyzstan,
09101210,GINGER >> GINGER POWDER Ginger Powder   Spice     100gm PACK   DTLS.AS PER DOCUMENT  ;  DTLS. AS ,*****,*****,365,India,Kyrgyzstan,
09109990,POWDER >> MANGO POWDER Mango Powder   Dried   Spice   100gm PACK DTLS.AS PER DOCUMENT  ;  PACK  ,*****,*****,219,India,Kyrgyzstan,
12074090,SESAME >> White Sesame Whole   Spice     100gm PACK  DTLS.AS PER DOCUMENT  ;  PACK   DTLS.AS ,*****,*****,219,India,Kyrgyzstan,
09096119,STAR >> STAR ANISE Star Anise   Whole    Spice     50gm PACK   DTLS.AS PER DOCUMENT  ;  DT LS.AS ,*****,*****,219,India,Kyrgyzstan,
09109990,SPICE >> Jira   Whole     Spice     100gm PACK   DTLS.AS PER DOCUMENT  ;  DTLS.A S ,*****,*****,219,India,Kyrgyzstan,
25010090,NAMAK >> SAINDHAV NAMAK Saindhav Namak   Spice     100gm PACK   DTLS.AS PER DOCUMENT  ;  DTLS .AS  HS25010090,*****,*****,219,India,Kyrgyzstan,
09109990,SPICE >> Mukhavas Whole   Spice     100gm PACK   DTLS.AS PER DOCUMENT  ;  DTL S.AS ,*****,*****,219,India,Kyrgyzstan,
09083190,CARDAMOM >> Cardamom   Whole    Spice     50gm PACK   DTLS.AS PER DOCUMENT  ;  DTLS .AS ,*****,*****,100,India,Kyrgyzstan,
09109990,MASALA >> MASALA POWDER Gruhswad Kitchen Special Masala Powder   Spice     100gm PACK   DTLS.AS PER DOCUMENT ,*****,*****,219,India,Kyrgyzstan,
09109990,MASALA >> MASALA POWDER Tea Masala Powder   Spice     50gm PACK   DTLS.AS PER DOCUMENT  ;  D TLS.AS ,*****,*****,100,India,Kyrgyzstan,
09109990,MASALA >> CURRY MASALA Curry Masala Powder   Spice     50gm PACK  DTLS.AS PER DOCUMENT  ;  PACK   DTLS.AS ,*****,*****,100,India,Kyrgyzstan,
09109990,MASALA >> MASALA POWDER Fish Masala Powder   Spice     50gm PACK   DTLS.AS PER DOCUMENT ,*****,*****,100,India,Kyrgyzstan,
09109990,POWDER >> METHI POWDER Methi Powder   Spice     100gm PACK   DTLS.AS PER DOCUMENT  ;  DTLS.A S ,*****,*****,365,India,Kyrgyzstan,
09041190,PEPPER >> BLACK PEPPER Black Pepper Powder   Spice     100gm PACK  DTLS.AS PER DOCUMENT  ;  PACK   DTLS.AS ,*****,*****,219,India,Kyrgyzstan,
09109990,MASALA >> GARAM MASALA Garam Masala Powder   Spice     50gm PACK  DTLS.AS PER DOCUMENT  ;  PACK   DTLS.AS ,*****,*****,100,India,Kyrgyzstan,
09109990,SPICE >> Kalonji   Whole     Spice     100gm PACK   DTLS.AS PER DOCUMENT  ;  DTL S.AS ,*****,*****,219,India,Kyrgyzstan,
09109990,MASALA >> MEAT MASALA Meat Masala Powder   Spice     50gm PACK   DTLS.AS PER DOCUMENT ,*****,*****,100,India,Kyrgyzstan,
09109990,MASALA >> BIRYANI MASALA Biryani Masala Powder   Spice     50gm PACK   DTLS.AS PER DOCUMENT  ;  PAC K   ,*****,*****,100,India,Kyrgyzstan,
