HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,BLENDED SPICE POWDERS 10 x 20 x 50 g SPICES PACK IN CONSUMER PACK   8 CTNS   ;  SPI CES ,*****,*****,8,India,Latvia,
30049011,Tulsi Licorice Spice 25 IB ORGANIC (MEDI CAMENTS OF AYURVEDIC SYSTEM),*****,*****,120,India,Latvia,
33019090,ESSENTIAL OILS GURJUN OIL- MLP (SPICES,*****,*****,0.10,India,Latvia,
30049011,Tulsi Licorice Spice 25 IB ORGANIC(MEDIC AMENTS OF AYURVEDIC SYSYTEM),*****,*****,17.10,India,Latvia,
30049011,Tulsi Licorice Spice 25 IB ORGANIC (MEDI,*****,*****,360,India,Latvia,
30049011,Tulsi Licorice Spice 25 IB ORGANIC (MEDI,*****,*****,360,India,Latvia,
09021020,TURMERIC SPICE HERBAL TEA TISANE-15 TB,*****,*****,720,India,Latvia,
09023020,TURMERIC SPICE HERBAL TEA TISANE-15 TB,*****,*****,720,India,Latvia,
30049011,TULSI LICORICE SPICE 25 IB ORGANIC (MEDI CAMENTS OF AYURVEDIC SYSTEM),*****,*****,240,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,7,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,6.50,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (V,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (T,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,6,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (Z,*****,*****,10,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,6.50,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (I,*****,*****,6.50,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICES(,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICES(,*****,*****,7,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,7,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (B,*****,*****,6,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (T,*****,*****,5.50,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (W,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (S,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,5,India,Latvia,
12119099,AYURVEDIC RAW PRODUCTS -HERBS & SPICE (,*****,*****,7,India,Latvia,
