HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,CURRY POWDER SUPP NAME?JAY TULSI SHYAM SPICES SUPP TAX INV. NO?47 DT:17-04-2021 SUPP GST NO-27AMIPM7162R1Z6 ;  S PICES  ;  S UPP ,*****,*****,1,India,Lebanon,
21039040,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - MARINADE D190 654A,*****,*****,3,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CN PREDUST D1 90495,*****,*****,25,India,Lebanon,
21039040,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CW MARINADE D 190498,*****,*****,3,India,Lebanon,
21039040,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CN MARINADE D 190494,*****,*****,1,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CF BREADER CR ISPY D190545,*****,*****,25,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CF BATTER CRI SPY D190544,*****,*****,25,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CT BATTER D19 485,*****,*****,25,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CR BATTER D19 481,*****,*****,30,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CW GLAZE MIX D190499,*****,*****,2,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CN Batter D19 496,*****,*****,25,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CB Batter D19 491,*****,*****,15,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CT PREDUST D1 90484,*****,*****,25,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CT BREADER D1 90486,*****,*****,25,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CR BREADER D1 90482,*****,*****,25,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CR PREDUST D1 90483,*****,*****,25,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CB BREADER D1 90493,*****,*****,15,India,Lebanon,
21039040,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CB MARINADE D 190492,*****,*****,2,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CN BREADER D1 90497,*****,*****,25,India,Lebanon,
21039090,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - CF PREDUST CR ISPY D190543,*****,*****,25,India,Lebanon,
33021090,SPICE BLEND (KETCHUP) PACKED IN 1 X 20 K G HDPE DRUM IN CARTON,*****,*****,20,India,Lebanon,
20059900,VEGETABLE SNACKS SPICED SWEETS CUMIN & P APPER 24 X 30G,*****,*****,252,India,Lebanon,
20059900,VEGETABLE SNACKS SPICED SWEETS CUMIN & P APPER 12 X 120 G,*****,*****,288,India,Lebanon,
09042110,SPICE CHILLIES DRIED WHOLE - 4171,*****,*****,810,India,Lebanon,
09042110,SPICE CHILLIES DRIED WHOLE - 4171,*****,*****,810,India,Lebanon,
21023000,FOODS SEASONINGS/INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS YGB TRADITIONAL BO H DOUGH BLEND D151795 (2160 KGS:200 NOS),*****,*****,2160,India,Lebanon,
