HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
73239390,iron Spice Case - 9 Compartment,*****,*****,6,India,Liberia,
98059000,HALDIRAM >> HALDIRAM SPICED HALDIRAM SPICED COATED FRIED PEANUTS,*****,*****,12,India,Liberia,
98059000,SPICES >> SPICES,*****,*****,6,India,Liberia,
33071010,SHAVING >> SHAVING CREAM OLD SPICE SHAVING CREAM 70GM,*****,*****,1,India,Liberia,
33071010,SHAVING >> SHAVING CREAM OLD SPICE SHAVING CREAM 70GM,*****,*****,1,India,Liberia,
39241090,SPICE >> SPICE STORAGE 4 PCS HS :39241090,*****,*****,288,India,Liberia,
98059000,SPICES >> SPICES,*****,*****,50,India,Liberia,
98059000,SPICES >> SPICES,*****,*****,50,India,Liberia,
09041190,POWDER >> SPICE POWDER KCH SPICE POWDER 1KG Purchase @0.10% GST NO. 32AABCK6542K1ZK BILL NO.AGRO-GST-3326 SUPPLIER NO. KKR AGRO MILLS PVT. L ;  GS T  ;  NO.AGRO-GST- 3326 ,*****,*****,3,India,Liberia,
09109929,"POWDER >> SPICE POWDER TU SPICE POWDER 1KG Purchase @0.10% ,  GST",*****,*****,3,India,Liberia,
09041190,"POWDER >> SPICE POWDER CH SPICE POWDER 500G Purchase @0.10% ,  GS",*****,*****,5,India,Liberia,
09109929,"POWDER >> SPICE POWDER TU SPICE POWDER 500G Purchase @0.10% ,  GS",*****,*****,3,India,Liberia,
09041190,"POWDER >> SPICE POWDER CH SPICE POWDER 1KG Purchase @0.10% ,  GST",*****,*****,3,India,Liberia,
09041190,"POWDER >> SPICE POWDER KCH SPICE POWDER 500G D Purchase @0.10% , ",*****,*****,5,India,Liberia,
09109929,"POWDER >> SPICE POWDER TU SPICE POWDER 200G Purchase @0.10% ,  GS",*****,*****,3,India,Liberia,
09041190,"POWDER >> SPICE POWDER KCH SPICE POWDER 1KG Purchase @0.10% ,  GS",*****,*****,3,India,Liberia,
09041190,SPICE >> SPICE POWDERR CH SPICE POWDERR 400G DC Purchase @0.10,*****,*****,1,India,Liberia,
09041190,POWDER >> SPICE POWDER KCH SPICE POWDER 200G D Purchase @0.10%,*****,*****,3,India,Liberia,
09041190,"POWDER >> SPICE POWDER CH SPICE POWDER 200G Purchase @0.10% ,  G",*****,*****,3,India,Liberia,
09041190,POWDER >> SPICE POWDER CH SPICE POWDER 1KG Purchase @0.10% GSTNO. 32AABCK6542K1ZK BILL NO. AGRO-GST-3326 SUPPLIER NO. KKR AGRO MILLS PVT. LT ;  GST NO.  ;  AGRO-GST-3 326 ,*****,*****,3,India,Liberia,
09041190,POWDER >> SPICE POWDER CH SPICE POWDER 500G Purchase @0.10% GSTNO. 32AABCK6542K1ZK BILL NO. AGRO-GST-3326 SUPPLIER NO. KKR AGRO MILLS PVT. L ;  GS TNO.  ;  AGRO-GST- 3326 ,*****,*****,5,India,Liberia,
09109929,POWDER >> SPICE POWDER TU SPICE POWDER 200G Purchase @0.10% GSTNo. 32AABCK6542K1ZK BILL No. AGRO-GST-3326 SUPPLIER No. KKR AGRO MILLS PVT. L ;  GS TNo.  ;  AGRO-GST- 3326 ,*****,*****,3,India,Liberia,
09109929,"POWDER >> SPICE POWDER TU SPICE POWDER 1KG Purchase @0.10% ,  GST",*****,*****,3,India,Liberia,
09041190,POWDER >> SPICE POWDER KCH SPICE POWDER 500G D Purchase @0.10%GSTNO. 32AABCK6542K1ZK BILL NO. AGRO-G ST-3326 SUPPLIER NO. KKR AGRO MILLS PVT ;  @0.10% GSTNO. ,*****,*****,5,India,Liberia,
09109929,POWDER >> SPICE POWDER TU SPICE POWDER 500G Purchase @0.10% GSTNo. 32AABCK6542K1ZK BILL No. AGRO-GST-3326 SUPPLIER No. KKR AGRO MILLS PVT. L ;  GS TNo.  ;  AGRO-GST- 3326 ,*****,*****,3,India,Liberia,
09041190,POWDER >> SPICE POWDER CH SPICE POWDER 200G Purchase @0.10% G STNO. 32AABCK6542K1ZK BILL NO. AGRO-GST -3326 SUPPLIER NO. KKR AGRO MILLS PVT.,*****,*****,3,India,Liberia,
09041190,SPICE >> SPICE POWDERR CH SPICE POWDERR 400G DC Purchase @0.10% GSTNO. 32AABCK6542K1ZK BILL NO. AGRO -GST-3326 SUPPLIER NO. KKR AGRO MILLS P ;  @0.10 % ,*****,*****,1,India,Liberia,
09041190,"POWDER >> SPICE POWDER KCH SPICE POWDER 500G D Purchase @0.10% , ",*****,*****,5,India,Liberia,
09041190,"POWDER >> SPICE POWDER CH SPICE POWDER 500G Purchase @0.10% ,  GS",*****,*****,5,India,Liberia,
09041190,"POWDER >> SPICE POWDER CH SPICE POWDER 200G Purchase @0.10% ,  G",*****,*****,3,India,Liberia,
09041190,POWDER >> SPICE POWDER KCH SPICE POWDER 200G D Purchase @0.10%,*****,*****,3,India,Liberia,
09041190,"POWDER >> SPICE POWDER KCH SPICE POWDER 1KG Purchase @0.10% ,  GS",*****,*****,3,India,Liberia,
09041190,SPICE >> SPICE POWDERR CH SPICE POWDERR 400G DC Purchase @0.10,*****,*****,1,India,Liberia,
09109929,POWDER >> SPICE POWDER TU SPICE POWDER 1KG Purchase @0.10% GSTNo. 32AABCK6542K1ZK BILL No. AGRO-GST-3326 SUPPLIER No. KKR AGRO MILLS PVT. LT ;  GST No.  ;  AGRO-GST-3 326 ,*****,*****,3,India,Liberia,
09041190,POWDER >> SPICE POWDER KCH SPICE POWDER 200G D Purchase @0.10%GSTNO. 32AABCK6542K1ZK BILL NO. AGRO- GST-3326 SUPPLIER NO. KKR AGRO MILLS PV ;  @0.10% GSTNO. ,*****,*****,3,India,Liberia,
09109929,"POWDER >> SPICE POWDER TU SPICE POWDER 200G Purchase @0.10% ,  GS",*****,*****,3,India,Liberia,
09041190,"POWDER >> SPICE POWDER CH SPICE POWDER 1KG Purchase @0.10% ,  GST",*****,*****,3,India,Liberia,
09109929,"POWDER >> SPICE POWDER TU SPICE POWDER 500G Purchase @0.10% ,  GS",*****,*****,3,India,Liberia,
98059000,GARLIC >> GARLIC JEERA GARLIC-JEERA SPICED PAPAD,*****,*****,40,India,Liberia,
09109100,SPICE >> MAKHANWALA SPICE SUHANA PANEER MAKHANWALA SPICE MIX 50 GM,*****,*****,36,India,Liberia,
09109100,SPICE >> BIRYANI SPICE SUHANA MUTTON BIRYANI SPICE MIX GRAVY 50GM ;  50 GM,*****,*****,72,India,Liberia,
09109100,SPICE >> TANDOORI SPICE SUHANA CHICKEN TANDOORI SPICE 100 GM,*****,*****,36,India,Liberia,
09109100,SPICE >> ALOO SPICE SUHANA KASHMIRI DUM ALOO SPICE MIX 50 GM,*****,*****,36,India,Liberia,
09109100,SPICE >> PANEER SPICE SUHANA MUTTER PANEER SPICE 50 GM,*****,*****,36,India,Liberia,
09109100,SPICE >> BIRYNI SPICE SUHANA CHICKEN BIRYNI SPICE 50 GM,*****,*****,36,India,Liberia,
09109100,SPICE >> FRY SPICE SUHANA FISH FRY SPICE MIX GRAVY 50 GM,*****,*****,36,India,Liberia,
09109100,SPICE >> TIKKA SPICE SUHANA CHICKEN TIKKA SPICE 80 GM,*****,*****,36,India,Liberia,
09109100,SPICE >> TIKKA SPICE SUHANA PANEER TIKKA SPICE MIX 50 GM,*****,*****,36,India,Liberia,
09109100,SPICE >> GRAVY SPICE SUHANA CHICKEN GRAVY SPICE 50 GM,*****,*****,36,India,Liberia,
09109100,SPICE >> BUTTER SPICE SUHANA PANEER BUTTER SPICE 50 GM,*****,*****,36,India,Liberia,
