HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109990,Assorted Spices,*****,*****,500,India,Madagascar,
09109990,Assorted Spices,*****,*****,500,India,Madagascar,
09109990,Assorted Spices,*****,*****,500,India,Madagascar,
09109990,Assorted Spices,*****,*****,500,India,Madagascar,
09109990,Assorted Spices,*****,*****,500,India,Madagascar,
09103030,SPICES TURMARIC FOR HOME USE,*****,*****,5,India,Madagascar,
09103030,SPICES TURMARIC FOR  HOME USE,*****,*****,5,India,Madagascar,
09042219,SPICES  CHILLY FOR HOME  USE,*****,*****,5,India,Madagascar,
09042219,SPICES  CHILLY FOR HOME USE,*****,*****,5,India,Madagascar,
12071010,SPICES MUSTARD SEEDS  RYE SEEDS  FOR H,*****,*****,5,India,Madagascar,
09042219,SPICES  CHILLY FOR HOME USE,*****,*****,5,India,Madagascar,
12071010,SPICES MUSTARD SEEDS RYE SEEDS  FOR HO,*****,*****,5,India,Madagascar,
09042219,SPICES CHILLY FOR HOME USE,*****,*****,5,India,Madagascar,
09042219,SPICES CHILLY FOR HOME USE,*****,*****,5,India,Madagascar,
09042219,SPICES CHILLY FOR HOME USE,*****,*****,5,India,Madagascar,
09103030,SPICES TURMARIC  FOR  HOME  USE,*****,*****,5,India,Madagascar,
12071010,SPICES  (MUSTARD SEEDS ) RYE SEEDS  FOR,*****,*****,5,India,Madagascar,
09103030,SPICES TURMARIC  FOR  HOME  USE,*****,*****,5,India,Madagascar,
09042219,SPICES  CHILLY FOR HOME USE,*****,*****,10,India,Madagascar,
09103030,SPICES TURMARIC FOR HOME USE,*****,*****,5,India,Madagascar,
12071010,SPICES (MUSTARD SEEDS ) RYE SEEDS  FOR H OME USE,*****,*****,5,India,Madagascar,
09042219,SPICES CHILLY FOR HOME USE,*****,*****,5,India,Madagascar,
09042219,SPICES CHILLY FOR HOME USE,*****,*****,5,India,Madagascar,
12071010,SPICES  (MUSTARD SEEDS ) RYE SEEDS  FOR,*****,*****,5,India,Madagascar,
39241090,DINING SPICE RACK (AS PER INVOICE),*****,*****,60,India,Madagascar,
33021010,NANDI INTERNATIONAL BRAND : SPICE BIRYAN I (PACKING: 1CTN=12TRAY X 12 BOTTLE X 28 ML),*****,*****,60,India,Madagascar,
09042211,BLENDED SPICES :Chilli Hathi Flakes 500 Gm   MEIS : 366 Gandhi Spices Pvt. Ltd.: 24AAACG7809G1ZR TAX INV NO:1920T1/4600,*****,*****,25,India,Madagascar,
09109100,BLENDED SPICES:Kitchen King Masala Box 5 0Gm  MEIS No :430 Gandhi Spices Pvt. Ltd .: 24AAACG7809G1ZR TAX INV NO:1920T1/460,*****,*****,50,India,Madagascar,
09092200,BLENDED SPICES: Dhana Powder Special 100g m   MEIS No :400 Gandhi Spices Pvt. Ltd. : 24AAACG7809G1ZR TAX INV NO:1920T1/4600,*****,*****,30,India,Madagascar,
09092200,BLENDED SPICES: Dhana Powder Special 200g m   MEIS No :400 Gandhi Spices Pvt. Ltd. : 24AAACG7809G1ZR TAX INV NO:1920T1/4600,*****,*****,30,India,Madagascar,
09081110,BLENDED SPICES:Nutmeg Whole 20 Kg (Jaifa l)   MEIS : 383 Gandhi Spices Pvt. Ltd.: 24AAACG7809G1ZR TAX INV NO:1920T1/4600,*****,*****,20,India,Madagascar,
09103030,BLENDED SPICES:Turmeric Powder Super 100 Gm  MEIS No : 430 Gandhi Spices Pvt. Ltd .: 24AAACG7809G1ZR TAX INV NO:1920T1/460,*****,*****,30,India,Madagascar,
09109100,BLENDED SPICES :Chhole Masala Box 100 Gm MEIS No : 430 Gandhi Spices Pvt. Ltd.: 24AAACG7809G1ZR TAX INV NO:1920T1/4600,*****,*****,10,India,Madagascar,
09109100,BLENDED SPICES:Garam Masala Box 100Gm MEIS No :430 Gandhi Spices Pvt. Ltd.: 24 AAACG7809G1ZR TAX INV NO:1920T1/4600 DT:,*****,*****,30,India,Madagascar,
09109100,BLENDED SPICES:Pavbhaji Masala Box 100Gm MEIS No :430 Gandhi Spices Pvt. Ltd.: 2 4AAACG7809G1ZR TAX INV NO:1920T1/4600 DT,*****,*****,30,India,Madagascar,
09042211,BLENDED SPICES:Chilli Powder Hathi Pouch 1 kg   MEIS :366 Gandhi Spices Pvt. Ltd .: 24AAACG7809G1ZR TAX INV NO:1920T1/460,*****,*****,100,India,Madagascar,
09041130,BLENDED SPICES :Black Pepper Powder Box 50 Gm  MEIS No :356 Gandhi Spices Pvt. L td.: 24AAACG7809G1ZR TAX INV NO:1920T1/4,*****,*****,20,India,Madagascar,
09109100,BLENDED SPICES:Kitchen King Masala Box 1 00Gm MEIS No :430 Gandhi Spices Pvt. Ltd .: 24AAACG7809G1ZR TAX INV NO:1920T1/460,*****,*****,50,India,Madagascar,
09109100,BLENDED SPICES:Tandoori Masala Pouch 50g m  MEIS No : 430 Gandhi Spices Pvt. Ltd. : 24AAACG7809G1ZR TAX INV NO:1920T1/4600,*****,*****,50,India,Madagascar,
09109929,BLENDED SPICES : -Coriander Cumin Specia l 100Gm   MEIS No :376 Gandhi Spices Pvt . Ltd.: 24AAACG7809G1ZR TAX INV NO:1920T,*****,*****,30,India,Madagascar,
09109912,BLENDED SPICES:Kasuri Methi Box 25Gm  ME IS No :432 Gandhi Spices Pvt. Ltd.: 24AA ACG7809G1ZR TAX INV NO:1920T1/4600 DT:18,*****,*****,20,India,Madagascar,
09041130,BLENDED SPICES :Black Pepper Powder 100 gm   MEIS No :356 Gandhi Spices Pvt. Ltd .: 24AAACG7809G1ZR TAX INV NO:1920T1/460,*****,*****,30,India,Madagascar,
09109100,BLENDED SPICES:Golkeri Mix Masala Pouch 200Gm  MEIS No :430 Gandhi Spices Pvt. L td.: 24AAACG7809G1ZR TAX INV NO:1920T1/4,*****,*****,30,India,Madagascar,
12074090,BLENDED SPICES:Natural Sesame Seeds 25 K g  MEIS No :430 Gandhi Spices Pvt. Ltd.: 24AAACG7809G1ZR TAX INV NO:1920T1/4600,*****,*****,100,India,Madagascar,
09101190,BLENDED SPICES : -Ready Pickle Masala ( 250 Gms X 72 Pkts) MEIS No:430,*****,*****,18,India,Madagascar,
12075010,BLENDED SPICES:Black Mustard Whole 25 Kg MEIS No: 473 Gandhi Spices Pvt. Ltd.: 24AAACG7809G1ZR TAX INV NO:1920T1/4600,*****,*****,100,India,Madagascar,
12075010,BLENDED SPICES:Rye Curia   MEIS No : 474 Gandhi Spices Pvt. Ltd.: 24AAACG7809G1Z R TAX INV NO:1920T1/4600 DT:18.07.2019,*****,*****,20,India,Madagascar,
09042211,BLENDED SPICES:Chilli Kashmiri Box 100 G m   MEIS :366 Gandhi Spices Pvt. Ltd.: 2 4AAACG7809G1ZR TAX INV NO:1920T1/4600 DT,*****,*****,70,India,Madagascar,
09109100,BLENDED SPICES : -Biryani Masala Box 100 Gm MEIS No:430 Gandhi Spices Pvt. Ltd.: 24AAACG7809G1ZR TAX INV NO:1920T1/4600,*****,*****,30,India,Madagascar,
09109100,BLENDED SPICES : -Chicken Masala Box 50 Gm   MEIS No :430 Gandhi Spices Pvt. Ltd .: 24AAACG7809G1ZR TAX INV NO:1920T1/460,*****,*****,30,India,Madagascar,
09109100,BLENDED SPICES:Ginger Powder Box 50Gm  M EIS No :430 Gandhi Spices Pvt. Ltd.: 24A AACG7809G1ZR TAX INV NO:1920T1/4600 DT:1,*****,*****,10,India,Madagascar,
09109100,BLENDED SPICES:Meat Masala Box 100Gm  ME IS No :430 Gandhi Spices Pvt. Ltd.: 24AA ACG7809G1ZR TAX INV NO:1920T1/4600 DT:18,*****,*****,10,India,Madagascar,
09109100,BLENDED SPICES:Tea Masala Box 50Gm  MEIS No : 430 Gandhi Spices Pvt. Ltd.: 24AAA CG7809G1ZR TAX INV NO:1920T1/4600 DT:18.,*****,*****,50,India,Madagascar,
09101190,BLENDED SPICES :Chicken Masala (100 Gms x72Pkts) MEIS No:430,*****,*****,3,India,Madagascar,
09101190,BLENDED SPICES :Chicken Masala (50 Gms x 72 Pkts) MEIS No:430,*****,*****,3,India,Madagascar,
09061990,BLENDED SPICES :Desi Taj (Cinnamon)   ME IS No :376 Gandhi Spices Pvt. Ltd.: 24AA ACG7809G1ZR TAX INV NO:1920T1/4600 DT:18,*****,*****,25,India,Madagascar,
09109929,BLENDED SPICES:Cumin Seeds Powder Box 50 Gm   MEIS No :376 Gandhi Spices Pvt. Ltd .: 24AAACG7809G1ZR TAX INV NO:1920T1/460,*****,*****,50,India,Madagascar,
09109929,BLENDED SPICES : -Cumin Powder 200gm  ME IS No :376 Gandhi Spices Pvt. Ltd.: 24AA ACG7809G1ZR TAX INV NO:1920T1/4600 DT:18,*****,*****,30,India,Madagascar,
09109100,BLENDED SPICES:Tea Masala Box 100Gm  MEI S No : 430 Gandhi Spices Pvt. Ltd.: 24AA ACG7809G1ZR TAX INV NO:1920T1/4600 DT:18,*****,*****,50,India,Madagascar,
09101110,BLENDED SPICES:Secret Garam Masala Box 1 00Gm MEIS No : 430 Gandhi Spices Pvt. Lt d.: 24AAACG7809G1ZR TAX INV NO:1920T1/46,*****,*****,30,India,Madagascar,
09101110,BLENDED SPICES:Secret Garam Masala Box 5 0Gm   MEIS No : 430 Gandhi Spices Pvt. L td.: 24AAACG7809G1ZR TAX INV NO:1920T1/4,*****,*****,30,India,Madagascar,
09101110,BLENDED SPICES:Tandoori Masala Pouch 200 gm  MEIS No : 430 Gandhi Spices Pvt. Ltd .: 24AAACG7809G1ZR TAX INV NO:1920T1/460,*****,*****,100,India,Madagascar,
09101190,BLENDED SPICES : -Ready Pickle Masala (1 25 Gms X 72 Pkts) MEIS No:430,*****,*****,9,India,Madagascar,
09042211,BLENDED SPICES :Chilli Powder Extra Hot 20 kg   MEIS :366 Gandhi Spices Pvt. Ltd .: 24AAACG7809G1ZR TAX INV NO:1920T1/460,*****,*****,100,India,Madagascar,
09061990,BLENDED SPICES :Chilli Powder Resham Kas hmiri 100gm   MEIS No :376 Gandhi Spices Pvt. Ltd.: 24AAACG7809G1ZR TAX INV NO:1,*****,*****,100,India,Madagascar,
09103030,BLENDED SPICES:Turmeric Powder Super 200 Gm  MEIS No : 428 Gandhi Spices Pvt. Ltd .: 24AAACG7809G1ZR TAX INV NO:1920T1/460,*****,*****,30,India,Madagascar,
09109100,BLENDED SPICES :Biryani Masala Box 50 Gm MEIS No:430 Gandhi Spices Pvt. Ltd.: 2 4AAACG7809G1ZR TAX INV NO:1920T1/4600 DT,*****,*****,60,India,Madagascar,
09109100,BLENDED SPICES :Chaat Masala Box 100 Gm MEIS No : 430 Gandhi Spices Pvt. Ltd.: 24AAACG7809G1ZR TAX INV NO:1920T1/4600 D,*****,*****,30,India,Madagascar,
09109100,BLENDED SPICES :Chaat Masala Box 50 Gm M EIS No : 430 Gandhi Spices Pvt. Ltd.: 24 AAACG7809G1ZR TAX INV NO:1920T1/4600 DT:,*****,*****,20,India,Madagascar,
09109100,BLENDED SPICES:Garam Masala Regular 25Kg MEIS No :430 Gandhi Spices Pvt. Ltd.: 24AAACG7809G1ZR TAX INV NO:1920T1/4600,*****,*****,75,India,Madagascar,
09109100,BLENDED SPICES:Meat Masala Box 50Gm  MEI S No :430 Gandhi Spices Pvt. Ltd.: 24AAA CG7809G1ZR TAX INV NO:1920T1/4600 DT:18.,*****,*****,10,India,Madagascar,
09109100,BLENDED SPICES:Panipuri Masala Box 50Gm MEIS No :430 Gandhi Spices Pvt. Ltd.: 2 4AAACG7809G1ZR TAX INV NO:1920T1/4600 DT,*****,*****,30,India,Madagascar,
09109100,BLENDED SPICES:Pavbhaji Masala Box 50Gm MEIS No :430 Gandhi Spices Pvt. Ltd.: 24 AAACG7809G1ZR TAX INV NO:1920T1/4600 DT:,*****,*****,30,India,Madagascar,
09109912,BLENDED SPICES:Kasuri Methi Box 100Gm  M EIS No :432 Gandhi Spices Pvt. Ltd.: 24A AACG7809G1ZR TAX INV NO:1920T1/4600 DT:1,*****,*****,30,India,Madagascar,
09101190,BLENDED SPICES : Butter Chicken Masala ( 50 Gms x72 pkts) MEIS No:430,*****,*****,3,India,Madagascar,
