HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109990,SPICES   100 GM X 160 PCS. X 1 CTN  ,*****,*****,48,India,Malaysia,
09109990,SPICES   50 GM X 120 PCS. X 1 CTN  ,*****,*****,6,India,Malaysia,
09109990,SPICES   6 GM X 1920 PCS. X 1 CTN  ,*****,*****,23.04,India,Malaysia,
09109990,SPICES   100 GM X 120 PCS. X 1 CTN  ,*****,*****,144,India,Malaysia,
22084011,CAPTAIN MORGAN SPICED GOLD 35%  3CTNSX12X1L    BOND.NO:2001531208 DT:05-02-2019 BE9884939-01.02.2019   ;  35%  3CTNSX12X 1L    BOND.NO:2001531208  ;  BE ; 9884939-01.02.2019  ,*****,*****,3,India,Malaysia,
09109100,100G CHANA MASALA POWDER   PKD IN DX   MIX. OF TWO-MORE OF THE SPICE PRDCTS REFD IN NOTE 1   B   OF CHAP 9 ;  MIX .  ;  I N ,*****,*****,72,India,Malaysia,
09109100,100G CHICKEN FRY MASALA POWDER   PKD IN DX   MIX. OF TWO-MORE OF THE SPICE PRDCTSREFD IN NOTE 1   B   OF CHAP 9 ;  D X    ;  PRDCTS REFD ,*****,*****,72,India,Malaysia,
09109100,100G MUTTON BIRIYANI MASALA POWDER   PKDIN DX   MIX. OF TWO-MORE OF THE SPICE PRDCTS REFD IN NOTE 1   B   OF CHAP 9 ;    PKD IN  ;  PRD CTS ,*****,*****,72,India,Malaysia,
09109100,100G PEPPER CHICKEN MASALA POWDER   PKD IN DX   MIX. OF TWO-MORE OF THE SPICE PRDCTS REFD IN NOTE 1   B   OF CHAP 9 ;  I N  ;  PRDC TS ,*****,*****,36,India,Malaysia,
09109100,60G BOMBAY BIRIYANI MIX   PKD IN DX   MIX.OF TWO-MORE OF THE SPICE PRDCTS REFD INNOTE 1   B   OF CHAP 9 ;  MIX. OF  ;  IN NOTE ,*****,*****,64.80,India,Malaysia,
09109100,60G HYDERABADI BIRIYANI MIX   PKD IN DX  MIX. OF TWO-MORE OF THE SPICE PRDCTS REFD IN NOTE 1   B   OF CHAP 9 ;  DX   MIX.  ;  REF D ,*****,*****,108,India,Malaysia,
