HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
70109000,EMPTY GLASS BOTTLES 100 ML GD SPICE JARDB-72 ;  JAR DB-72,*****,*****,428.54,India,Mexico,
39235010,CAPS 42MM SPICE 2 FLIP CAP;PLSTC-PP;SCRW;RED ;  CAP;PLSTC-PP;SCRW ;RED,*****,*****,22,India,Mexico,
09109999,OTHER SPICES,*****,*****,1500,India,Mexico,
09109999,OTHER SPICES,*****,*****,1500,India,Mexico,
09109999,OTHER SPICES,*****,*****,7000,India,Mexico,
09103020,SPICES - 0.15% B   - TERMERIC GRANULES BROKEN  -16+ 40 OT LOT- LOTE 17APR21X1-1 MFG17-04-2021 EXP DT 16.04.2023 ;  BROKEN  -16+ ; 17APR21X 1-1 ,*****,*****,275,India,Mexico,
68159990,ARTICLES OF STONE   OTHERS   MADE OF STONE& WALLNUT WOOD STONE SPICE CANISTER-SM ; STONE &  68159990 HS Code,*****,*****,12,India,Mexico,
39235010,CAPS - 1 BAG 42MM SPICE 2 FLIP CAP PLSTCPP SCRW RED - 2200 PCS   RATE USD 40.00 PER THS   ;  PLSTC PP  39235010HSN  Code,*****,*****,6.28,India,Mexico,
39235010,CAPS - 1 BAG 42MM SPICE 2 FLIP CAP PLSTCPP SCRW RED - 1256 PCS   RATE USD 40 PER THS   ;  PLSTC PP  39235010HSN  Code,*****,*****,11,India,Mexico,
68159990,ARTICLES OF STONE ( OTHERS ) MADE OF STO NE STONE SPICE CANISTER-SM,*****,*****,12,India,Mexico,
09109999,OTHER SPICES,*****,*****,5000,India,Mexico,
09109999,OTHER SPICES,*****,*****,2000,India,Mexico,
09109999,OTHER SPICES,*****,*****,22000,India,Mexico,
70109000,EMPTY GLASS BOTTLES 100 ML GD SPICE JAR DB-72,*****,*****,3888,India,Mexico,
09109999,OTHER SPICES,*****,*****,3000,India,Mexico,
39235010,CAPS 42MM SPICE 2 FLIP CAP  PLASTIC SCREW,*****,*****,1832,India,Mexico,
09109999,OTHER SPICES,*****,*****,4000,India,Mexico,
09109902,OTHER SPICES,*****,*****,3000,India,Mexico,
09109999,OTHER SPICES,*****,*****,199.20,India,Mexico,
09109999,OTHER SPICES,*****,*****,13000,India,Mexico,
73239390,"STAINLESS STEEL UTENSILS, SUGAR/SPICE SH",*****,*****,2016,India,Mexico,
73239390,"STAINLESS STEEL UTENSILS, CHEESE/SPICE S",*****,*****,2016,India,Mexico,
09109999,OTHER SPICES,*****,*****,24000,India,Mexico,
09109999,OTHER SPICES,*****,*****,12000,India,Mexico,
09109999,OTHER SPICES,*****,*****,12000,India,Mexico,
32041630,SO DYES : NOVACRON SPICE RED W-3B BOX 25 KG 1000058463  LOT NO : SW11958Y20,*****,*****,200,India,Mexico,
68159990,ARTICLES OF STONE (OTHERS) MADE OF STONE& SS STONE SPICE CANISTER-SM,*****,*****,6,India,Mexico,
32041630,SO DYES : NOVACRON SPICE RED W-3B BOX 25 KG 1000058463 : LOT NO : SW11958Y20 : CO UNTRY OF ORIGIN GOODS : INDIA,*****,*****,50,India,Mexico,
09109999,OTHER SPICES,*****,*****,7300,India,Mexico,
09109999,OTHER SPICES,*****,*****,13200,India,Mexico,
09109999,OTHER SPICES,*****,*****,12000,India,Mexico,
09109902,OTHER SPICES,*****,*****,82.80,India,Mexico,
09109902,OTHER SPICES,*****,*****,0.92,India,Mexico,
09109902,OTHER SPICES,*****,*****,16.56,India,Mexico,
09109999,OTHER SPICES,*****,*****,24000,India,Mexico,
09109902,OTHER SPICES,*****,*****,6500,India,Mexico,
09109929,BLOODY MARY SPICE MIX,*****,*****,34,India,Mexico,
09109999,OTHER SPICES,*****,*****,5500,India,Mexico,
09109999,OTHER SPICES,*****,*****,516.70,India,Mexico,
09109999,OTHER SPICES,*****,*****,4000,India,Mexico,
09109999,OTHER SPICES,*****,*****,4000,India,Mexico,
09109902,OTHER SPICES,*****,*****,7000,India,Mexico,
09109999,OTHER SPICES,*****,*****,1000,India,Mexico,
09109999,OTHER SPICES,*****,*****,24750,India,Mexico,
09109101,SPICE MIXTURES,*****,*****,20,India,Mexico,
09109101,SPICE MIXTURES,*****,*****,20,India,Mexico,
09109101,SPICE MIXTURES,*****,*****,40,India,Mexico,
09109101,SPICE MIXTURES,*****,*****,40,India,Mexico,
09109101,SPICE MIXTURES,*****,*****,20,India,Mexico,
09109101,SPICE MIXTURES,*****,*****,20,India,Mexico,
09109101,SPICE MIXTURES,*****,*****,20,India,Mexico,
09109101,SPICE MIXTURES,*****,*****,20,India,Mexico,
09109999,OTHER SPICES,*****,*****,60,India,Mexico,
09109101,SPICE MIXTURES,*****,*****,40,India,Mexico,
09109101,SPICE MIXTURES,*****,*****,40,India,Mexico,
09109901,OTHER SPICES,*****,*****,20,India,Mexico,
09109101,SPICE MIXTURES,*****,*****,20,India,Mexico,
09109101,SPICE MIXTURES,*****,*****,40,India,Mexico,
09109999,OTHER SPICES,*****,*****,5000,India,Mexico,
09109999,OTHER SPICES,*****,*****,20000,India,Mexico,
09109999,OTHER SPICES,*****,*****,12000,India,Mexico,
68159990,"ARTICLES OF STONE HANDICRAFTS (OTHERS) M ADE OF STONE, MANGO & WALLNUT WOOD & SS STONE SPICE CANISTER-SM",*****,*****,12,India,Mexico,
09109999,OTHER SPICES,*****,*****,21625,India,Mexico,
09023020,Turmeric Spiced Herbal Tea Tisane,*****,*****,12,India,Mexico,
09023020,Cardmom Spiced Chai Tea,*****,*****,108,India,Mexico,
09023020,Double Spice Masala Chai,*****,*****,12,India,Mexico,
09023020,Double Spiced Masala Chai,*****,*****,24,India,Mexico,
09023020,Turmeric Spiced Herbal Tea Tisane,*****,*****,108,India,Mexico,
09023020,Turmeric Spiced Herbal Tea Tisane,*****,*****,24,India,Mexico,
09109999,OTHER SPICES,*****,*****,11000,India,Mexico,
09109999,OTHER SPICES,*****,*****,2000,India,Mexico,
09109902,OTHER SPICES,*****,*****,2000,India,Mexico,
73239390,"STAIN LESS STEEL UTENSILS.CHEESE/SPICES SHAKER LARGE HOLES SIZE: 7.2X9.8 (""WE IN TEND TO CLAIM REWARDS UNDER MERCHANDISE",*****,*****,2016,India,Mexico,
73239390,"STAIN LESS STEEL UTENSILS. SUGAR/SPICES SHAKER SMALL HOLES SIZE: 7.2X9.8 (""WE IN TEND TO CLAIM REWARDS UNDER MERCHANDISE",*****,*****,2016,India,Mexico,
09109902,OTHER SPICES,*****,*****,2000,India,Mexico,
09109999,OTHER SPICES,*****,*****,2000,India,Mexico,
09109929,KUSUM MASALA CHANDIGAR SPICE MIX 100 PKT S OF 200G IN A CTN,*****,*****,20,India,Mexico,
09109929,KUSUM MASALA AMRITSAR SPICE MIX 100 PKTS OF 200G IN A CTN,*****,*****,20,India,Mexico,
09109929,KUSUM MASALA DELHI SPICE MIX 100 PKTS OF 200G IN A CTN,*****,*****,20,India,Mexico,
09109929,KUSUM MASALA  LONDON SPICE MIX 100 PKTS OF 200G IN A CTN,*****,*****,40,India,Mexico,
09109929,KUSUM MASALA AGRA SPICE MIX 100 PKTS OF 200G IN A CTN,*****,*****,20,India,Mexico,
09109929,KUSUM MASALA CHANDNI CHOWK SPICES MIX 10 0 PKTS OF 200G IN A CTN,*****,*****,20,India,Mexico,
09109929,KUSUM MASALA PUNJAB SPICE MIX 100 PKTS O F 200G IN A CTN,*****,*****,40,India,Mexico,
09109929,KUSUM MASALA AFGANI SPICE MIX 100 PKTS O F 200G IN A CTN,*****,*****,40,India,Mexico,
09109929,KUSUM MASALA LUCKNOW SPICE MIX 100 PKTS OF 200G IN A CTN,*****,*****,20,India,Mexico,
09109929,KUSUM MASALA  KOLHAPUR SPICE MIX 100 PKT S OF 200G IN A CTN,*****,*****,20,India,Mexico,
09109929,KUSUM MASALA INDUS SPICE MIX 100 PKTS OF 200G IN A CTN,*****,*****,40,India,Mexico,
09109929,KUSUM MASALA NORTH INDIAN SPICE MIX 100 PKTS OF 200G IN A CTN,*****,*****,40,India,Mexico,
09109999,OTHER SPICES,*****,*****,24000,India,Mexico,
09109902,OTHER SPICES,*****,*****,3.60,India,Mexico,
09109999,OTHER SPICES,*****,*****,12000,India,Mexico,
09109902,OTHER SPICES,*****,*****,1.20,India,Mexico,
09109902,OTHER SPICES,*****,*****,7000,India,Mexico,
09109999,OTHER SPICES,*****,*****,2500,India,Mexico,
68159990,"ARTICLES OF STONE HANDICRAFTS (OTHERS) M ADE OF STONE, STONE SPICE CANISTER-SM",*****,*****,12,India,Mexico,
09109999,OTHER SPICES,*****,*****,12000,India,Mexico,
09109999,OTHER SPICES,*****,*****,249.50,India,Mexico,
09109999,OTHER SPICES,*****,*****,24000,India,Mexico,
09109902,OTHER SPICES,*****,*****,1000,India,Mexico,
09109902,OTHER SPICES,*****,*****,1075,India,Mexico,
