HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09101120,GINGER WHOLE SUPPLIER. KARNATAKA SPICES TRADING CO. GST No. 29AAIFK4443M1ZU INV . NO.309/2021 310/2021 DT. 29.01.2021,*****,*****,22,India,Morocco,
09101120,GINGER WHOLE SUPPLIER. KARNATAKA SPICES,*****,*****,25,India,Morocco,
09101120,DRY GINGER PKGN25 KG N/S JUTE BAG GSTIN 29AAIFK4443M1ZUBILLNO.288/2021  289/202 1 290/2021 KARNATAKA SPICES TRADING CO.,*****,*****,25,India,Morocco,
21023000,FOOD SEASONINGS INGREDIENTS (FOOD PRODUC TS) AND SPICE AND BLENDS - YGB TRADITION AL DOUGH BLEND D200765,*****,*****,672,India,Morocco,
09101120,DRY GINGER PKGN25 KG N/S JUTE BAG SUPPL IER GSTIN 29AAIFK4443M1ZU BILLNO. 114 1 15 116 M/s.Karnataka Spices Trading Co.,*****,*****,26,India,Morocco,
21023000,FOODS SEASONINGS/INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS YGB TRADITIONAL DO UGH BLEND D151793(155.25 KGS: 15 NOS),*****,*****,155.25,India,Morocco,
21023000,FOODS SEASONINGS/INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS YGB TRADITIONAL BO H DOUGH BLEND D151795(162 KGS: 15 NOS),*****,*****,162,India,Morocco,
21023000,FOODS SEASONINGS/INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS YGB TRADITIONAL BO H DOUGH BLEND D151795(864 KGS: 80 NOS),*****,*****,864,India,Morocco,
09101120,DRY GINGER PKGN 25 KG N/S JUTE BAG (su pplier GST no. 29AAIFK4443M1ZU bill no.5 9/2019 60/2019 Karnataka spices trading,*****,*****,26,India,Morocco,
21023000,FOODS SEASONINGS/INGREDIENTS (FOOD PRODU CTS) AND SPICE BLENDS YGB TRADITIONAL DO UGH BLEND D151793(1035 KGS: 100 NOS),*****,*****,1035,India,Morocco,
