HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09042211,CHILLI POWDER(SPICE BOARD CERTIFICATE NO -ML/REG/S2213/2017 DT:04.05.2018 VALID U P TO 31.03.2021),*****,*****,7250,India,Nepal,
09042211,CHILLI POWDER(SPICES BOARD CERTIFICATE N O:-ML/REG/S2213/2017 DATE:-04/05/2018 VA LID UP TO:-31/03/2021),*****,*****,6250,India,Nepal,
12075090,MUSTARD SPICE BOARD LIC NO.ML/REG/12504/2017 DT. 22/02/2019 VALID UP TO 31/08/2020,*****,*****,26700,India,Nepal,
52081190,PRINT COTTON SPICE JET,*****,*****,808,India,Nepal,
09109100,OREGANO SPICE SPRINKLER,*****,*****,36,India,Nepal,
09109100,PIZZA SPICE SPRINKLER,*****,*****,50,India,Nepal,
84748090,SPICE GRINDING MACHINE,*****,*****,1,India,Nepal,
69074010,QUTONE -SPICE IVORY 96*32 QUARTZ,*****,*****,18,India,Nepal,
33030050,WILD STONE EAU DE PARFUM-FOREST SPICE 50 ML,*****,*****,540,India,Nepal,
33072000,WILD STONE FOREST SPICE 150 ML,*****,*****,1200,India,Nepal,
09109100,PIZZA SPICE MIX,*****,*****,5,India,Nepal,
07129090,DRIED VEGETABLE KACHRI(SPICE BOARS CERTI FICATE NO:- ML/REG/10797/2017 DATE :-07/ 04/2018 VALID UPTO :- 31/03/2021),*****,*****,1530,India,Nepal,
52081190,PRINT COTTON SPICE JET,*****,*****,1504,India,Nepal,
52081190,PRINT COTTON SPICE JET,*****,*****,3974,India,Nepal,
09083230,GREEN CARDMOM HUSK(SPICE BOARD CERTIFICA TE NO:- ML/REG/10797/2017 DATE:-07/04/20 12 VALID UP TO:-31/03/2021),*****,*****,1400,India,Nepal,
09109990,METHI PATTA SUPER (SPICE BOARD CERTIFICA TE NO:- ML/REG/10797/2017 .DATE:-07/04/2 018  VALID UP TO:- 31/03/2021),*****,*****,300,India,Nepal,
33074100,INDIAN PERFUMED INCENSE STICKS LIA SPICE ECONOMY (LISW),*****,*****,250,India,Nepal,
09093129,JEERA (BK KAMDHENU KATTA)(SPICE BOARD CE RTIFICATE NO:-ML/REG/B044/2017 DATE:-04/ 04/2018 VALID UP TO:-31/01/2021),*****,*****,21000,India,Nepal,
73239190,SS KITCHEN WARE SPICE BOX AND RICE STAIN NER,*****,*****,192,India,Nepal,
09042211,SPICE JAR VIVA ITALIA OREGANO SEASON 75G,*****,*****,960,India,Nepal,
09109990,SPICE JAR VIVA ITALIA OREGANO 40G,*****,*****,2880,India,Nepal,
12119094,SPICE JAR VIVA ITALIA ROSEMARY 30G,*****,*****,960,India,Nepal,
09042211,SPICE JAR VIVA ITALIAMIXED HERB 40G,*****,*****,960,India,Nepal,
12119094,SPICE JAR VIVA ITALIA BASIL 30G,*****,*****,960,India,Nepal,
09042211,SPICE JAR VIVA ITALIA CHILLI FLAKES 70G,*****,*****,960,India,Nepal,
21039040,MIX SEASONING SPICES Z-239 10*25 (DETAIL S AS PER INVOICE),*****,*****,7825,India,Nepal,
09109100,CHILI SPICE MARINADE,*****,*****,100,India,Nepal,
33030050,WILD STONE EAU DE PARFUM-FOREST SPICE 50 ML,*****,*****,180,India,Nepal,
