HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
19022090,Assorted Spices 79 Units X 100gX 7.9KgXC,*****,*****,1,India,Netherlands,
09109100,Spice Drop Ginger,*****,*****,1,India,Netherlands,
09109100,Spice Drops Chai Masala,*****,*****,1,India,Netherlands,
09109100,Spice Drops Chai Masala,*****,*****,1,India,Netherlands,
09109100,Spice Drops Cardamom,*****,*****,1,India,Netherlands,
09109100,Spice Drops Cardamom,*****,*****,1,India,Netherlands,
09109100,Spice Drop Lemon Grass,*****,*****,1,India,Netherlands,
09109100,Spice Drop Ginger,*****,*****,1,India,Netherlands,
09109100,Spice Drop Lemon Grass,*****,*****,1,India,Netherlands,
09109100,Spice Drop Ginger,*****,*****,1,India,Netherlands,
09109100,Spice Drop Lemon Grass,*****,*****,1,India,Netherlands,
09109100,Spice Drops Cardamom,*****,*****,1,India,Netherlands,
09109100,Spice Drops Chai Masala,*****,*****,1,India,Netherlands,
09109100,Spice Drop Ginger,*****,*****,1,India,Netherlands,
09109100,Spice Drops Cardamom,*****,*****,1,India,Netherlands,
09109100,Spice Drops Chai Masala,*****,*****,1,India,Netherlands,
09109100,Spice Drop Lemon Grass,*****,*****,1,India,Netherlands,
62052090,100% COTTON WOVEN MENS SHIRT  OR48817 PSI216203  8214 PUMPKIN SPICE ;  PS I216203 ,*****,*****,6663,India,Netherlands,
09109100,SPICE TOMATO RICE POWDER   PACKAGING:36 X100G    AS PER INV. ;  X 100G ,*****,*****,36,India,Netherlands,
09109100,SPICE BISIBELEBATH MASALA   PACKAGING:36X 100G    AS PER INV. ;    PACKAGING:36 X ,*****,*****,36,India,Netherlands,
09109100,SPICE MADRAS SAMBHAR POWDER   PACKAGING:36 X 100G    AS PER INV. ;    PACKAGING:3 6 ,*****,*****,54,India,Netherlands,
09109100,SPICE PULIYOGARE POWDER   PACKAGING:24 X200G    AS PER INV. ;  X 200G ,*****,*****,144,India,Netherlands,
09109100,SPICE SAMBAR POWDER   PACKAGING:24 X 200G   AS PER INV. ;  200G  ,*****,*****,48,India,Netherlands,
09109100,SPICED CHUTNEY POWDER   PACKAGING:30 X 200G    AS PER INV. ;  20 0G ,*****,*****,240,India,Netherlands,
09109100,SPICE LEMON RICE POWDER   PACKAGING:36 X100G    AS PER INV. ;  X 100G ,*****,*****,36,India,Netherlands,
09109100,SPICE MADRAS RASAM POWDER   PACKAGING:36X 100G    AS PER INV. ;    PACKAGING:36 X ,*****,*****,54,India,Netherlands,
09109100,SPICE RASAM POWDER   PACKAGING:24 X 200G   AS PER INV. ;  200G  ,*****,*****,96,India,Netherlands,
30049011,ROW Tulsi Licorice Spice 25 IB ORGANIC   ,*****,*****,240,India,Netherlands,
23091000,PAWFECT NATURES FEAST-FREEZE DRIED FOOD-DOG-FOOD-PUMPKIN SPICE WITH CHICKEN BATCH.NO.J16D20D21 ;  FOOD- DOG-FOOD-PUMPKIN  ;  BATC ; H.NO.J16D20D21,*****,*****,6.40,India,Netherlands,
09109990,EASY TO COOK SPICE MIXES   ASSORTED  ,*****,*****,10080,India,Netherlands,
09109990,SPICES   20 GM X 240 PCS. X 1 CTN  ,*****,*****,24,India,Netherlands,
34060010,SCENTED WAX CANDLE-TEDI-4PACK CANDLE WINTER SPICE ;  WIN TER ,*****,*****,9000,India,Netherlands,
74199930,HANDICRAFT OF BRASS ARTWARE   INDIE GINKO SUGAR & SPICE SPOON S-4 ;  GINK O ,*****,*****,500,India,Netherlands,
94032090,OTHER FURNITURE ARTICLES- SPICE RACK 3 SHELVES ;  S HELVES,*****,*****,240,India,Netherlands,
94032090,OTHER FURNITURE ARTICLES- SPICE RACK,*****,*****,328,India,Netherlands,
23099090,Deli Spice Medu Vada Powder 40 Units X 200gX 8Kg-Ctn ;  2 00gX ,*****,*****,62,India,Netherlands,
09109990,Deli Spice Chicken Masala 60 Units X100gX 6 Kg ;  X100g X ,*****,*****,6,India,Netherlands,
09109990,Deli Spice Meat Masala 60 Units X100gX 6Kg ;  6 Kg,*****,*****,7,India,Netherlands,
09109990,Deli Spice Sabji Masala 60 Units X100gX6 Kg ;  X100gX 6 ,*****,*****,7,India,Netherlands,
21039090,Deli Spice Sweet Lime Pickle 24 Units X350gX 8.4Kg ;  X 350gX ,*****,*****,10,India,Netherlands,
09103030,Deli Spice Red Chillie Powder 12 Units X500g X 6 Kg ;  X 500g ,*****,*****,18,India,Netherlands,
07134000,Deli Spice Toor Lentil 12Units X 1 Kg X12 Kg ;  X 12 ,*****,*****,82,India,Netherlands,
07134000,Deli Spice Chick Peas 12Units X 1 Kg X 12 Kg ;  1 2 ,*****,*****,42,India,Netherlands,
09109990,Deli Spice Briyani Puloa Masala 60 UnitsX100gX 6 Kg ;  Units X100gX ,*****,*****,10,India,Netherlands,
09109990,Deli Spice Pao Bhaji Masala 60 Units X100gX 6 Kg ;  X10 0gX ,*****,*****,7,India,Netherlands,
11063090,Deli Spice Besan   Paper Bag   12 Units X1 Kg X 12 Kg - Ctn ;  X 1 ,*****,*****,101,India,Netherlands,
21039090,Deli Spice Chillie Pickle 24 Units X 300gX 7.2Kg ;  300 gX ,*****,*****,20,India,Netherlands,
09103030,Deli Spice Haldi Powder 16 Units X 500gX 6 Kg ;  500g X ,*****,*****,13,India,Netherlands,
09103030,Deli Spice Black Cardamom 12 Units X 400gX4.8KgXCtn ;  400 gX4.8KgXCtn,*****,*****,5,India,Netherlands,
07134000,Deli Spice Red Lentil 12Units X 1 Kg X 12 Kg ;  1 2 ,*****,*****,82,India,Netherlands,
23099090,Deli Spice Dosa Mix Powder 40 Units X 200gX 8Kg-Ctn ;  20 0gX ,*****,*****,119,India,Netherlands,
23099090,Deli Spice Rice Idli Powder 40 Units X 200gX 8Kg-Ctn ;  2 00gX ,*****,*****,117,India,Netherlands,
09109990,Deli Spice Chaat Masala 60 Units X100gX6 Kg ;  X100gX 6 ,*****,*****,7,India,Netherlands,
09109990,Deli Spice Kitchen King 60 Units X100gX6 Kg ;  X100gX 6 ,*****,*****,7,India,Netherlands,
09109990,Deli Spice Tandoori Chicken Masala 60 Units X100gX 6 Kg ;  Un its ,*****,*****,7,India,Netherlands,
21039090,Deli Spice Lime Pickle 24 Units X 300gX7.2Kg ;  300gX 7.2Kg,*****,*****,20,India,Netherlands,
21039090,Deli Spice Mix Pickle 24 Units X 300gX 7.2Kg ;  7 .2Kg,*****,*****,20,India,Netherlands,
21069099,Sample Box   Rice Papad + Glucon D + Spices + Soya Ganules   22 Units X3.5KgXCtn ;  Spic es ,*****,*****,1,India,Netherlands,
44151000,WOODEN SPICE BOX,*****,*****,112,India,Netherlands,
09109100,Spice-Tomato Rice Powder-100gExp-ML,*****,*****,45,India,Netherlands,
09109100,SPICES MASALA POWDER & PASTE - VangibathPowder 100g ;  Vangibath Powder ,*****,*****,45,India,Netherlands,
09109100,Spice-Lemon Rice Powder-100g Exp-ML,*****,*****,45,India,Netherlands,
09109100,SPICES MASALA POWDER & PASTE -  Spice -Rasam Powder 200g ;  - Rasam ,*****,*****,288,India,Netherlands,
09109100,SPICES MASALA POWDER & PASTE -  Spice -Spiced Chutney Powder 200g-Ex.ML ;  - Spiced ,*****,*****,864,India,Netherlands,
09109100,SPICES MASALA POWDER & PASTE - Spice - Bisibelebath Masala -100g -Exp ;  B isibelebath ,*****,*****,45,India,Netherlands,
09109100,SPICES MASALA POWDER & PASTE - Spice - Madras Sambar Powder - 100g-Exp ;  M adras ,*****,*****,90,India,Netherlands,
09109100,SPICES MASALA POWDER & PASTE - Spice - Rasam Powder - 200g-Exp ;  R asam ,*****,*****,1440,India,Netherlands,
09109100,SPICES MASALA POWDER & PASTE - Spice-Puliyogare Powder 200g-Exp.ML ;  Spice-Pul iyogare ,*****,*****,1440,India,Netherlands,
09092190,ASSORTED SPICES KG   CORRIANDER POWDER &JEERA   ;  & JEERA  ,*****,*****,840,India,Netherlands,
09092190,ASSORTED SPICES KG   CORRIANDER POWDER &JEERA   ;  & JEERA  ,*****,*****,840,India,Netherlands,
09062000,ASSORTED SPICES GM   CINNAMON CRUSHED  ,*****,*****,503,India,Netherlands,
09062000,ASSORTED SPICES GM   CINNAMON CRUSHED  ,*****,*****,503,India,Netherlands,
09109100,SPICES MASALA MIX - EVEREST,*****,*****,20,India,Netherlands,
09109100,SPICES MASALA MIX - EVEREST,*****,*****,17,India,Netherlands,
09109100,SPICES MASALA MIX - EVEREST,*****,*****,3,India,Netherlands,
09109100,SPICES MASALA MIX - MDH,*****,*****,10,India,Netherlands,
19041090,SPICED MIXTURE,*****,*****,420,India,Netherlands,
09022090,TEA - Turmeric Spice Tisane 100g,*****,*****,34,India,Netherlands,
09022090,TEA - Turmeric Spice Tisane 200g,*****,*****,16,India,Netherlands,
09109990,SPICES   60 GM X 60 PCS. X 1 CTN  ,*****,*****,18,India,Netherlands,
09109990,SPICES   20 GM X 240 PCS. X 1 CTN  ,*****,*****,144,India,Netherlands,
13019013,ASSORTED SPICES  FOODSTUFFS & GENERAL ITEMS PACK IN VARIOUS PACKAGING MATERIALS VANDEVI HING 300 X 50G ;  IT EMS  ;  MATERIAL S ,*****,*****,20,India,Netherlands,
21069050,OJASVITA GOLDEN SPICED LATTE 200GRMBATCH NO;GL001-21 ;   BATCH ,*****,*****,50,India,Netherlands,
21069099,ASSORTED SPICES  FOODSTUFFS & GENERAL ITEMS PACK IN VARIOUS PACKAGING MATERIALS HALDIRAM ALL IN ONE 4 X 10 X 200G ;  IT EMS  ;  MATERIAL S ,*****,*****,25,India,Netherlands,
21069099,ASSORTED SPICES & FOODSTUFFS PACK IN VARIOUS PACKAGING MATERIALS MO`PLEEZ - ALL IN ONE 4 X 10 X 150G ;  V ARIOUS  ;  AL L ,*****,*****,20,India,Netherlands,
09101190,"SPICES ,  GINGER",*****,*****,30,India,Netherlands,
34060010,SCENTED WAX CADNLE - TEDI-4PACK CANDLE WINTER SPICE ; W INTER  34060010HSN ,*****,*****,30000,India,Netherlands,
09042211,SPICES KASHMIRI CHILLI POWDER 60x100 G,*****,*****,20,India,Netherlands,
09042211,SPICES RED CHILLI POWDER 2x10x400 G,*****,*****,5,India,Netherlands,
09042211,SPICES RED CHILLI WITH STEM 2x5x200 G,*****,*****,15,India,Netherlands,
09042211,SPICES RED CHILLI WITH STEM 5x400 G,*****,*****,25,India,Netherlands,
09092200,SPICES CORIANDER POWDER 10x1 KG,*****,*****,5,India,Netherlands,
09096139,SPICES FENNEL 10x1 KG,*****,*****,5,India,Netherlands,
09101210,SPICES GINGER 5 KG,*****,*****,30,India,Netherlands,
09103030,SPICES TURMERIC POWDER 10x1 KG,*****,*****,22,India,Netherlands,
09109990,SPICES BAY LEAVES 2x10x50 G,*****,*****,14,India,Netherlands,
09109990,SPICES MIXED SPICES POWDER 6x10x100 G,*****,*****,32,India,Netherlands,
09092200,SPICES CORIANDER POWDER 10x1 KG,*****,*****,5,India,Netherlands,
09071090,SPICES CLOVE 4x20x50 G,*****,*****,6,India,Netherlands,
09042211,SPICES RED CHILLI WITH STEM 4x10x50 G,*****,*****,20,India,Netherlands,
