HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,MIXED SPICES,*****,*****,216,India,New Zealand,
09109914,SPICES POWDER & WHOLE AJWAIN AS INV,*****,*****,140,India,New Zealand,
09109929,PANCH PURAN (MIX OF 5 SPICES) AS INV,*****,*****,40,India,New Zealand,
20011000,PICKLED CUCUMBERS IN GLASS JARS 145x6 20 00 ML PICKLED SWEET SPICED GHERKINS,*****,*****,870,India,New Zealand,
09109100,MIXTURE OF NATURAL SPICES - IMMUNITY BOO,*****,*****,505,India,New Zealand,
34060010,WAX CANDLES - 4 PK WAX TART- SPICED FLOR AL,*****,*****,318,India,New Zealand,
34060010,WAX CANDLES - 4 PK WAX TART- SPICED FLOR AL,*****,*****,24,India,New Zealand,
30049099,IMMUNITY BOOSTER SPICES - MIXTURE OF NAT,*****,*****,505,India,New Zealand,
20011000,GHERKINS(PICKLED FRUITS AND VEGETABLES) SWEET SPICED GHERKINS (EACH 12 JAR PER C ASE),*****,*****,15000,India,New Zealand,
20011000,GHERKINS(PICKLED FRUITS AND VEGETABLES) SWEET SPICED GHERKINS (EACH 12 JAR PER C ASE),*****,*****,8400,India,New Zealand,
09109100,ORG. VATA SPICE MIX VSM292016,*****,*****,1,India,New Zealand,
09109100,ORG. PITTA SPICE MIX PSM288005,*****,*****,1,India,New Zealand,
09109100,ORG KAPHA SPICE MIX KSM235010,*****,*****,1,India,New Zealand,
09109100,REGULAR SPICES POWDER (1 X 450GM X 30PKT,*****,*****,27,India,New Zealand,
09109914,SPICES ITEMS-AJMO SEED (AS PER INV),*****,*****,6,India,New Zealand,
09093129,SPICES IN PKT 500GMS:CUMIN SEEDS (PACKIN G IN KGS:10) (AS PER INVOICE),*****,*****,200,India,New Zealand,
19049000,SPICES IN PKT 500GMS:FRIUMS PIPE MIX COL OUR (PACKING IN KGS:10) (AS PER INVOICE),*****,*****,150,India,New Zealand,
19049000,SPICES IN PKT 500GMS:FRIUMS STAR MIX COL OUR (PACKING IN KGS:10) (AS PER INVOICE),*****,*****,150,India,New Zealand,
21069099,SPICES IN PKT 500GMS:DHANA DAL (PACKING IN KGS:15) (AS PER INVOICE),*****,*****,150,India,New Zealand,
