HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,100G BEEF ULARTHU MASALA POWDER   DX   MIX. OF TWO OR MORE THE SPICES PRDTS REFD IN NOTE 1  B   OF CHP9 ;  MIX .  ;  I N ,*****,*****,7.20,India,Oman,
09109100,100G CHILLI CHICKEN MASALA POWDER   DX   MIX. OF TWO OR MORE THE SPICES PRDTS REFDIN NOTE 1  B   OF CHP9 ;  M IX.  ;  REFD IN ,*****,*****,7.20,India,Oman,
09109100,100G TANDOORI MASALA POWDER   PKD IN DUPLEX PAPER CTN   MIX. OF TWO OR MORE THE SPICES PRDTS REFD IN NOTE 1  B   OF CHP9 ;  DUPL EX  ;  SP ICES ,*****,*****,36,India,Oman,
09109100,160G CHICKEN MASALA POWDER   DX   MIX. OFTWO OR MORE THE SPICES PRDTS REFD IN NOTE 1  B   OF CHP9 ;  OF TWO  ;  NOT E ,*****,*****,1737.60,India,Oman,
09109100,1KG CHICKEN MASALA POWDER   PKD IN PLASTIC POUCH   MIX. OF TWO OR MORE OF THE SPICE PRDTS REFD IN NOTE 1   B   OF CHP9 ;  PLASTI C  ;  SPIC E ,*****,*****,300,India,Oman,
09109100,1KG FISH MASALA POWDER   PKD IN PLASTIC POUCH   MIX. OF TWO OR MORE OF THE SPICE PRDTS REFD IN NOTE 1   B   OF CHP9 ;  P OUCH    ;  P RDTS ,*****,*****,60,India,Oman,
09109100,200G OMANI MASALA POWDER   PKD IN PET BTL  MIX OF TWO OR MORE OF THE SPICES PRDTSREFD IN NOTE 1  B   OF CHP9 ;  BTL   MIX  ;  PRDTS REFD ,*****,*****,40,India,Oman,
09109100,60G ACHAR GOSHT SPICE MIX   PKD IN DUPLEXPAPER CTN   MIX. OF TWO OR MORE THE SPICES PRDTS REFD IN NOTE 1  B   OF CHP9 ;  DUPLEX PAPER  ;  SPIC ES ,*****,*****,8.64,India,Oman,
09109100,60G BOMBAY BIRIYANI MIX   PKD IN DUPLEX PAPER CTN   MIX. OF TWO OR MORE THE SPICESPRDTS REFD IN NOTE 1  B   OF CHP9 ;  P APER  ;  SPICES PRDTS ,*****,*****,12.96,India,Oman,
09109100,100G CHICKEN BIRIYANI MASALA POWDER   PKDIN DX   MIX. OF TWO-MORE OF THE SPICE PDCTS REFD IN NOTE 1  B   OF CHAP.9 ;    PKD IN  ;  PD CTS ,*****,*****,576,India,Oman,
09109100,125G SPICY CHICKEN MASALA POWDER   PKD INDX   MIX. OF TWO-MORE OF THE SPICE PDCTSREFD IN NOTE 1  B   OF CHAP.9 ;  IN DX    ;  PDCTS REFD ,*****,*****,375,India,Oman,
09109100,140G SHAWARMA SPICES   PKD IN PET BTL   MIX. OF TWO-MORE OF THE SPICE PDCTS REFD IN NOTE 1  B   OF CHAP.9 ;  MI X.  ;  I N ,*****,*****,16.80,India,Oman,
09109100,150G CHICKEN CURRY SPICE MIX   PKD IN PETBTL   MIX. OF TWO-MORE OF THE SPICE PDCTS REFD IN NOTE 1  B   OF CHAP.9 ;  PET BTL    ;  PDCT S ,*****,*****,25.20,India,Oman,
09109100,150G TANDOORI SPICE MIX   PKD IN PET BTL  MIX. OF TWO-MORE OF THE SPICE PDCTS REFD IN NOTE 1  B   OF CHAP.9 ;  BTL   MIX.  ;  REF D ,*****,*****,18,India,Oman,
09109100,165G FISH MASALA POWDER   PKD IN DX   MIX.OF TWO-MORE OF THE SPICE PDCTS REFD INNOTE 1  B   OF CHAP.9 ;  MIX. OF  ;  IN NOTE ,*****,*****,1217.70,India,Oman,
09109100,200G KABSA SPICE MIX POWDER   PKD IN PETBTL   MIX. OF TWO-MORE OF THE SPICE PDCTSREFD IN NOTE 1  B   OF CHAP.9 ;  PET BTL    ;  PDCTS REFD ,*****,*****,200,India,Oman,
09109100,60G CHICKEN TIKKA SPICE MIX   PKD IN DX  MIX. OF TWO-MORE OF THE SPICE PDCTS REFDIN NOTE 1  B   OF CHAP.9 ;  DX   MIX.  ;  REFD IN ,*****,*****,21.60,India,Oman,
09109100,60G HYDERABADI BIRIYANI MIX   PKD IN DX  MIX. OF TWO-MORE OF THE SPICE PDCTS REFDIN NOTE 1  B   OF CHAP.9 ;  DX   MIX.  ;  REFD IN ,*****,*****,21.60,India,Oman,
09109100,100G CHANA MASALA POWDER   PKD IN DX   MIX. OF TWO-MORE OF THE SPICE PDCTS REFD INNOTE 1  B   OF CHAP.9 ;  MIX .  ;  IN NOTE ,*****,*****,36,India,Oman,
