HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,MIX SPICES POWDER 1R551120,*****,*****,4000,India,Pakistan,
33049110,Makeup Revolution Ultra Blush Palette Hot Spice QTY216pcs  13g Unit Weight Each,*****,*****,216,India,Pakistan,
63090000,1 DRY SWEET  TAMRIND  DRY SPICES  SHIRT  PANT   SOAP  ZANDU BALAM  TOOTH PAST  HAIR BAND   LADIES WEAR DRESS  LADIES DRESS Quantity 38 PCS WEIGHT 19.6 KG... BRAND ALAS... ORIG,*****,*****,20,India,Pakistan,
09093100,"Dry Spices Cumin Seeds Bombay Bold Jeera, Machine Clean Quantity 900Packages Bags Origin India 100 Weight found 27,210Kg",*****,*****,27210,India,Pakistan,
09042229,NOTIFY 2:SPICE STAR FOODSTUFF TRADING LL C PO BOX NO 65089 OFFICE NO 201  DEIRA DUBAI  U.A.E.,*****,*****,1,India,Pakistan,
09109100,42 CTN CHILLI SPICE MARINADE PKD IN 1 CT N 42 X 12.0000 = 504.000 KGS,*****,*****,504,India,Pakistan,
09109100,42 CTN CHILLI SPICE MARINADE PKD IN 1 CT N 42 X 12.0000 = 504.000 KGS,*****,*****,504,India,Pakistan,
20041000,FROZEN POTATO PRODUCTS / FRENCH FRIES - MASALA FRIES-6 INDIAN SPICES 8X1.5KG=12 KG,*****,*****,308,India,Pakistan,
21069030,FLAVOUR SPICE MIX - D1510162,*****,*****,5000,India,Pakistan,
20041000,FROZEN POTATO PRODUCTS / FRENCH FRIES - MASALA FRIES - 6 INDIAN SPICES 8x1.5 KG = 12 KG,*****,*****,20,India,Pakistan,
20041000,FROZEN POTATO PRODUCTS / FRENCH FRIES - MASALA FRIES-6INDIAN SPICES 8 X1.5KG=12 KG,*****,*****,100,India,Pakistan,
20041000,FROZEN POTATO PRODUCTS / FRENCH FRIES - MASALA FRIES-6 INDIAN SPICES 8X1.5KG=12K G,*****,*****,100,India,Pakistan,
33029011,SPICE ISLAND 81-MIXTURES OF ODORIFEROUS,*****,*****,25,India,Pakistan,
