HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109990,SPICES   100 GM X 105 PCS X 1 CTN  ,*****,*****,10.50,India,Philippines,
09109990,SPICES   100 GM X 110 PCS X 1 CTN  ,*****,*****,11,India,Philippines,
09109990,SPICES   250 GM X 20 PCS X 1 CTN  ,*****,*****,10,India,Philippines,
09109990,SPICES   500 GM X 32 PCS X 1 CTN  ,*****,*****,160,India,Philippines,
09109990,SPICES   100 GM X 100 PCS X 1 CTN  ,*****,*****,50,India,Philippines,
09109990,SPICES   100 GM X 180 PCS X 1 CTN  ,*****,*****,72,India,Philippines,
09109990,SPICES   100 GM X 65 PCS X 1 CTN  ,*****,*****,13,India,Philippines,
09109990,SPICES   200 GM X 70 PCS X 1 CTN  ,*****,*****,14,India,Philippines,
09109990,SPICES   20 GM X 240 PCS. X 1 CTN  ,*****,*****,72,India,Philippines,
09109990,SPICES   100 GM X 180 PCS. X 1 CTN  ,*****,*****,54,India,Philippines,
09109990,SPICES   50 GM X 180 PCS. X 1 CTN  ,*****,*****,9,India,Philippines,
09109990,SPICES   500 GM X 32 PCS. X 1 CTN  ,*****,*****,80,India,Philippines,
09092200,I.O.CORIANDER POWDER   SUP.SHREE SADGURUMASALA SPICES INDS. PVT LTD  GST NO.27AADCS4673B1ZG INV. NO.001241 DT.03.07.21   ;  SADGURU MASALA  ;  NO.27 AADCS4673B1ZG ,*****,*****,4,India,Philippines,
09109923,I.O. KARNAULI   CELERY POWDER    SUP.SHREESADGURU MASALA SPICES INDS. PVT LTD  GST NO.27AADCS4673B1ZG INV. NO.001241 DT.0 ;  POWDER    SUP.SHREE SADGURU  ;  G ST ,*****,*****,10,India,Philippines,
09109927,I.O. MUSTARD POWDER   SUP.SHREE SADGURU MASALA SPICES INDS. PVT LTD  GST NO.27AADCS4673B1ZG INV. NO.001241 DT.03.07.21   ;  M ASALA  ;  NO.27A ADCS4673B1ZG ,*****,*****,12,India,Philippines,
09082200,I.O. MACE POWDER   SUP.SHREE SADGURU MASALA SPICES INDS. PVT LTD  GST NO.27AADCS4673B1ZG INV. NO.001241 DT.03.07.21   ;  MASA LA  ;  NO.27AADC S4673B1ZG ,*****,*****,0.10,India,Philippines,
09109990,OTHER SPICES N E S SPICES   180 GM X 180PCS   ;  180 PCS  ,*****,*****,18,India,Philippines,
09109990,OTHER SPICES N E S SPICES   250 GM X 29 PCS   ;  P CS  ,*****,*****,7.25,India,Philippines,
09109990,OTHER SPICES N E S SPICES   200 GM X 51 PCS   ;  P CS  ,*****,*****,20.40,India,Philippines,
09109990,OTHER SPICES N E S SPICES   500 GM X 12 PCS   ;  P CS  ,*****,*****,90,India,Philippines,
09109990,OTHER SPICES N E S SPICES   500 GM X 20 PCS   ;  P CS  ,*****,*****,150,India,Philippines,
09109990,OTHER SPICES N E S SPICES   100 GM X 97 PCS   ;  P CS  ,*****,*****,9.70,India,Philippines,
09109990,OTHER SPICES N E S SPICES   100 GM X 98 PCS   ;  P CS  ,*****,*****,9.80,India,Philippines,
09109990,OTHER SPICES N E S SPICES   250 GM X 60 PCS   ;  P CS  ,*****,*****,30,India,Philippines,
09109100,Readymix Spices Powder X 72 Pcs,*****,*****,3312,India,Philippines,
09109100,Mix Spices Powder X 144 Pcs,*****,*****,576,India,Philippines,
09109100,"""Mixtures referred to in Note1  b   to this Chapter-SPICE MIX   45gmX72Pkt.  "" ;  th is ",*****,*****,55.44,India,Philippines,
09109100,"""Mixtures referred to in Note1  b   to this Chapter-RECIPE SPICES   100gmX180Pkt.  "" ;  th is  ;    100gmX180Pkt. ;   """,*****,*****,18,India,Philippines,
09109100,"""Mixtures referred to in Note1  b   to this Chapter-RECIPE SPICES   500gmX20Pkt.  "" ;  th is  ;    500gmX20Pkt.   ; """,*****,*****,20,India,Philippines,
09109100,"""Mixtures referred to in Note1  b   to this Chapter-RECIPE SPICES   500gmX20Pkt.  "" ;  th is  ;    500gmX20Pkt.   ; """,*****,*****,20,India,Philippines,
09109100,"""Mixtures referred to in Note1  b   to this Chapter-RECIPE SPICES   100gmX180Pkt.  "" ;  th is  ;    100gmX180Pkt. ;   """,*****,*****,18,India,Philippines,
09109100,"""Mixtures referred to in Note1  b   to this Chapter-SPICE MIX   45gmX72Pkt.  "" ;  th is ",*****,*****,55.44,India,Philippines,
33072000,OLD SPICE WOLFTHORN 17MLX12X4 PESO 79 CODE 82326102 1 407.000   67 536.000 IT   ;  CO DE ,*****,*****,1407,India,Philippines,
09093200,INDIAN ORIGIN CUMIN POWDER   SUP.SHREE SADGURU MASALA SPICES INDUSTRIES PVT LTD. GST NO.27AADCS4673B1ZG  INV. NO.001212 ;  SA DGURU  ;  LTD . ,*****,*****,2,India,Philippines,
09109100,INDIAN ORIGIN CURRY POWDER   SUP.SHREE SADGURU MASALA SPICES INDUSTRIES PVT LTD. GST NO.27AADCS4673B1ZG  INV. NO.001212 ;  SA DGURU  ;  LTD . ,*****,*****,2.50,India,Philippines,
09109990,SPICES   1 KG X 10 PCS X 1 CTN  ,*****,*****,100,India,Philippines,
09109990,SPICES   500 GM X 20 PCS X 1 CTN  ,*****,*****,100,India,Philippines,
