HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
30039011,HERBAL PRODUCTS: KITCHEN KING SPICE,*****,*****,20,India,Poland,
30039011,HERBAL PRODUCTS: KITCHEN KING SPICE,*****,*****,20,India,Poland,
33019090,FRAGRANCE OIL-10ML-WINTER SPICE-21 ;  SPICE- 21,*****,*****,474.30,India,Poland,
34060010,CANDLES FOR DECORATIVE PURPOSE-JAR CANDLE SMALL-120G-WINTERSPICE-21 ;  PURPOSE- JAR  ;  SMALL-120G-WINTER ; SPICE-21,*****,*****,3834.32,India,Poland,
34060010,CANDLES FOR DECORATIVE PURPOSE-JAR CANDLE SMALL-120G-WINTERSPICE-21 ;  PURPOSE- JAR  ;  SMALL-120G-WINTER ; SPICE-21,*****,*****,4213.16,India,Poland,
34060010,SCENTED WAX CANDLE - Shrink Sleeve 70 GMS SHRINK SLEEVE 3% FRAG WINTER SPICE ;  GM S ,*****,*****,7200,India,Poland,
34060010,SCENTED WAX CANDLE - Shrink Sleeve B-97043 SHRINK SLEEVE CHRISTMAS TIME FRAGRANCE orange with spices ;  B-970 43  ;  FRAGRANC E ,*****,*****,6000,India,Poland,
68022390,POLISHED GRANITE SLABS SPICE BLACK 3 CM,*****,*****,40.92,India,Poland,
33074900,Aroma Oil - 10ML FRAGRANCE OIL-SPICED APPLE ;  AP PLE,*****,*****,4848,India,Poland,
39249090,ARTICLE MADE OF PP-HOMOPOLYMER GRADE OTHR HOUSHOLD AND TOILT ARTCLS OF PLSTCS NES UPPDATERA spice rack 20x50 anthracite   ;  OTH R  ;  NE S ,*****,*****,1400,India,Poland,
09023020,EARL GREY SPICED CHAI,*****,*****,72,India,Poland,
09023020,VANILLA SPICED CHAI,*****,*****,72,India,Poland,
09023020,CARDAMOM SPICED CHAI,*****,*****,108,India,Poland,
09023020,LEMON SPICED,*****,*****,24,India,Poland,
09023020,FENNEL SPICED CHAI,*****,*****,4,India,Poland,
39249090,Article made Of PP-HOMOPOLYMER grade Othr Houshold And toilt Artcls Of Plstcs Nes UPPDATERA spice rack 20x50 anthracite- ; Oth r ; Ne s  39249090 HS Code,*****,*****,1960,India,Poland,
09103030,MIX SPICES,*****,*****,420,India,Poland,
33074100,AGARBATTI    INDIAN SPICES,*****,*****,50,India,Poland,
39249090,ARTICLE MADE OF PP-HOMOPOLYMER GRADE OTHR HOUSHOLD AND TOILT ARTCLS OF PLSTCS NES UPPDATERA spice rack 20x50 anthracite ;  OTH R  ;  NE S  39249090  HSN  Code,*****,*****,2520,India,Poland,
20011000,GHERKINS PACK IN VINEGAR IN GLASS JARSOGORKI KORNISZONY Z PRZYPRAWAMI SLOIK 370ML GHERKINS WITH SPICES 370 ML HELCOM ;  JARS OGORKI  20011000  HS  Code,*****,*****,16008,India,Poland,
20011000,GHERKINS PACK IN VINEGAR IN GLASS JARSOGORKI KORNISZONY Z PRZYPRAWAMI SLOIK 370ML GHERKINS WITH SPICES 370 ML ;  JARS OGORKI  HS : 20011000,*****,*****,9600,India,Poland,
09081120,NUTMEG WHOLE  SPICES BOARD REFFERENCE INV. NO:ES-0003-03-2021 DT 20.03.2021 ;  INV OICE ,*****,*****,1150,India,Poland,
68022390,SPICE BLACK GRANITE LEATHER 2CM SLABS HS : 68022390,*****,*****,389.87,India,Poland,
39249090,ARTICLE MADE OF PP-HOMOPOLYMER GRADE OTHR HOUSHOLD AND TOILT ARTCLS OF PLSTCS NES UPPDATERA spice rack 20x50 anthracite ;  OTH R  ;  NE S  39249090HSN ,*****,*****,840,India,Poland,
09103030,SPICES,*****,*****,46,India,Poland,
