HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
20059900,VEGETABLE SNACKS - TERRA SPICED SWEET 30 G ME MULTIPACKS 4 X 6,*****,*****,168,India,Qatar,
09109100,VIJAY VEGETABLE MASALA 100 GM (MTR Trade rs  bill no.350  33ABFFM0756K1Z8 Emmanue l spices  bill no.16  32AAEFE2265R1Z7 Ch,*****,*****,62.40,India,Qatar,
09109100,VIJAY CHICKEN MASALA 01KG(PCH) (Emmanuel spices  bill no.16  32AAEFE2265R1Z7 MTR Traders  bill no.350  33ABFFM0756K1Z8,*****,*****,832,India,Qatar,
09109100,VIJAY MUTTON MASALA 01KG (Emmanuel spice s  bill no. 16  32AAEFE2265R1Z7 MTR Trad ers  bill no. 350  33ABFFM0756K1Z8 Chung,*****,*****,128,India,Qatar,
09109100,VIJAY CURRY POWDER 200GM (Emmanuel spice s  bill no. 16  32AAEFE2265R1Z7 MTR Trad ers  bill no. 350  33ABFFM0756K1Z8,*****,*****,192,India,Qatar,
09109100,100G FISH MASALA POWDER PKD IN DUPLEX PA PER CTN MIXURE OF TWO OR MORE OF SPICE P RODUCTS,*****,*****,396,India,Qatar,
09109100,100G SUPER GARAM MASALA POWDER PKD IN DU PLEX PAPER CTN MIXURE OF TWO OR MORE OF SPICE PRODUCTS,*****,*****,80,India,Qatar,
09109100,100G KABAB MASALA POWDER PKD IN DUPLEX P APER CTN MIXURE OF TWO OR MORE OF SPICE PRODUCTS,*****,*****,72,India,Qatar,
09109100,180G DHAKKA MASALA POWDER PKD IN PET BOT TLE MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS,*****,*****,45,India,Qatar,
09109100,200G KABSA SPICE MIX POWDER PKD IN PET B OTTLE MIXTURE OF TWO OR MORE SPICE PRODU CTS,*****,*****,160,India,Qatar,
09109100,60G BOMBAY BIRYANI MIX PKD IN DUPLEX PAP ER CTN MIXTURE OF TWO OR MORE OF SPICE P RODUCTS,*****,*****,4.32,India,Qatar,
09109100,100G RASAM POWDER PKD IN DUPLEX PAPER CT N MIXTURE OF TWO OR MORE OF SPICE PRODUC TS,*****,*****,36,India,Qatar,
09109100,165G PICKLE POWDER PKD IN DUPLEX PAPER C TN MIXTURE OF TWO OR MORE OF SPICE PRODU CTS,*****,*****,297,India,Qatar,
09109100,100G FISH BIRIYANI MASALA POWDER PKD IN DUPLEX PAPER CTN MIXURE OF TWO OR MORE O F SPICE PRODUCTS,*****,*****,108,India,Qatar,
09109100,100G MEEN MULAKU MASALA POWDER PKD IN DU PLEX PAPER CTN MIXURE OF TWO OR MORE OF SPICE PRODUCTS,*****,*****,7.20,India,Qatar,
09109100,100G CHICKEN FRY MASALA POWDER PKD IN DU PLEX PAPER CTN MIXURE OF TWO OR MORE OF SPICE PRODUCTS,*****,*****,28.80,India,Qatar,
09109100,180G MIX MASALA POWDER PKD PLASTIC POUCH MIXURE OF TWO OR MORE OF SPICE PRODUCTS,*****,*****,8.64,India,Qatar,
09109100,60G SINDHI BIRYANI MIX PKD IN DUPLEX PAP ER CTN MIXTURE OF TWO OR MORE OF SPICE P RODUCTS,*****,*****,25.92,India,Qatar,
09109100,100G CHAT MASALA POWDER PKD IN DUPLEX PA PER CTN MIXTURE OF TWO OR MORE OF SPICE PRODUCTS,*****,*****,1800,India,Qatar,
09109100,100G ALLEPPEY FISH CURRY MASALA POWDER P KD IN DUPLEX PAPER CTN MIXTURE OF TWO OR MORE OF SPICE PRODUCTS,*****,*****,7.20,India,Qatar,
09109100,100G MALABARI KOZHI CURRY MASALA POWDER PKD IN DUPLEX PAPER CTN MIXTURE OF TWO O R MORE OF SPICE PRODUCTS,*****,*****,7.20,India,Qatar,
09109100,60G CHICKEN TIKKA SPICE MIX PKD IN DUPLE X PAPER CTN MIXTURE OF TWO OR MORE OF SP ICE PRODUCTS,*****,*****,21.60,India,Qatar,
52083990,"100% COTTON FABRIC 44"" 2851.55 SQM Q NO COTTON SPICE",*****,*****,2551.50,India,Qatar,
09109100,100G SUPER GARAM MASALA POWEDR PACKED IN PLASTIC POUCH MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS,*****,*****,40,India,Qatar,
09109100,100G MIXTURE OF CHANA MASALA POWDER PACK ED IN DUPLEX PAPER CARTON MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS,*****,*****,540,India,Qatar,
09109100,200G KABSA SPICE MIX POWDER PACKED IN PE T BOTTLE MIXTURE OF TWO OR MORE OF THE S PICE PRODUCTS,*****,*****,48,India,Qatar,
09109100,100 G MUTTON MASALA POWDER PKD IN DUPLEX PAPER CARTON MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS,*****,*****,864,India,Qatar,
09109100,2.5 KG MEAT MASALA POWDER PKD IN PLASTIC BAG MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS,*****,*****,400,India,Qatar,
09109100,100 G MEAT MASALA POWDER PKD IN DUPLEX P APER CARTON MIXTURE OF TWO OR MORE OF TH E SPICE PRODUCTS,*****,*****,36,India,Qatar,
09109100,160 G CHICKEN MASALA POWDER PKD IN DUPLE X PAPER CARTON MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS,*****,*****,768,India,Qatar,
09109100,1 KG CURRY POWDER PKD IN PLASTIC POUCH M IXTURE OF TWO OR MORE OF THE SPICE PRODU CTS,*****,*****,120,India,Qatar,
09109100,100 G KABAB MASALA POWDER PKD IN DUPLEX PAPER CARTON MIXTURE OF TWO OR MORE OF T HE SPICE PODUCTS,*****,*****,180,India,Qatar,
