HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09023020,Masala Chai/ Spiced Tea 125g Tin CanD,*****,*****,1800,India,Russia,
68022390,GRANITE  ARTICLE / ODS / PRODUCT / ITEM SPICE BLACK - LEATHER S,*****,*****,290.75,India,Russia,
68022390,GRANITE  ARTICLE / ODS / PRODUCT / ITEM SPICE BLACK - LEATHER S,*****,*****,78.30,India,Russia,
1207509000,"СЕМЕНА ЖЕЛТОЙ ГОРЧИЦЫ, НЕДРОБЛЕНЫЕ И НЕ МОЛОТЫЕ, НЕ ДЛЯ ПОСЕВА, ДЛЯ РЕАЛИЗАЦИИ НАСЕЛЕНИЮ И УПОТРЕБЛЕНИЯ В ПИЩУ, НЕ СОДЕРЖАТ ГМО. РАСФАСОВАННЫЕ ДЛЯ РОЗНИЧНОЙ ПРОДАЖИ SPICES MUSTARD SEED СРОК ГОДНОСТИ ДО 10/2024- 12 КAPT.KOP. ПО 170 УПАК. Х 100 ГР",*****,*****,0,India,Russia,
1207509000,"СЕМЕНА ЖЕЛТОЙ ГОРЧИЦЫ, НЕДРОБЛЕНЫЕ И НЕ МОЛОТЫЕ, НЕ ДЛЯ ПОСЕВА, ДЛЯ РЕАЛИЗАЦИИ НАСЕЛЕНИЮ И УПОТРЕБЛЕНИЯ В ПИЩУ, НЕ СОДЕРЖАТ ГМО. РАСФАСОВАННЫЕ ДЛЯ РОЗНИЧНОЙ ПРОДАЖИ SPICES MUSTARD SEED СРОК ГОДНОСТИ ДО 10/2024- 12 КAPT.KOP. ПО 170 УПАК. Х 100 ГР",*****,*****,0,India,Russia,
30049011,ORGANIC >> ROW TulsiLicorice Spice 25 IB ORGANIC   M,*****,*****,324,India,Russia,
33012947,GARLIC >> OLEORESIN GARLIC SPICE OF OLEORESIN GARLIC OIL    MANUFACTURING  BY S,*****,*****,30,India,Russia,
33019090,OLEORESIN >> SPICE OF OLEORESIN ONION1002   MANUFACTURING  BY SYN,*****,*****,50,India,Russia,
33019022,OLEORESIN >> OLEORESIN CAPSICUM SPICE OF OLEORESIN CAPSICUM  MANUFACTURING  BY SYNTH,*****,*****,40,India,Russia,
33019024,CUMIN >> OLEORESIN CUMIN SPICE OF OLEORESIN CUMIN  MANUFACTURING  BY SYNTHITE,*****,*****,40,India,Russia,
33019029,OLEORESIN >> OLEORESIN GARLIC SPICE OF OLEORESIN GARLIC    MANUFACTURING  BY SYNTH,*****,*****,300,India,Russia,
33011300,DROPS >> DROPS ORANGE HOLY LAMA DEOS DROPS ORANGE  SPICE EXTR,*****,*****,300,India,Russia,
09109100,SPICES >> FIVE SPICES 50GM,*****,*****,1154,India,Russia,
09109100,SPICE >> SPICE ROYAL SPICE ROYAL   KITCHEN KING   50GM,*****,*****,2467,India,Russia,
09023020,DOCUMENT >> DOCUMENT RODTEP Masala Chai- Spiced Tea     125gm         DETAILEDEDEDAS PER DOCUMENT      RoDTEP ;      DETAILEDEDED AS ,*****,*****,360,India,Russia,
33019090,OLEORESIN >> OLEORESIN ONION SPICE OLEORESIN  ONION 1002  MANUFACTURING  BY SYNTHITE IND LTD KERLA  INV. NO 5201105724   DT.16-8-21 GSTNO.32AADCS5616E1ZQ ;  SYNTH ITE  ;  D T.16-8-21 ,*****,*****,40,India,Russia,
33021090,OLEORESIN >> SPICE OLEORESIN SPICE OLEORESIN FRIED  CHICKEN MASALA  MANUFACTURING  BY SYNTHITE IND LTD KERLA INV.  5201105723  DT.16-8-21 GSTNO.32AADCS5616E1ZQ ;  MF G  ;  5201105 723 ,*****,*****,10,India,Russia,
33012946,CELERY >> OLEORESIN CELERY SPICE OLEORESIN  CELERY OIL  MANUFACTURING  BY SYNTHITE IND LTD KERLA  INV. NO 5201105307   DT.05-8-21 GSTNO.32AADCS5616E1ZQ ;  SYNTH ITE  ;  D T.05-8-21 ,*****,*****,1,India,Russia,
33019090,OLEORESIN >> OLEORESIN ONION SPICE OLEORESIN  ONION 1011  MANUFACTURING  BY SYNTHITE IND LTD  KERLA INV. NO.5201105726 DT.16-8-21 GSTNO.32AADCS5616E1ZQ ;  SYNTH ITE  ;  DT. 16-8-21 ,*****,*****,250,India,Russia,
33012949,TURMERIC >> OLEORESIN TURMERIC SPICE OLEORESIN TURMERIC OIL  MANUFACTURING  BY SYNTHITE IND LTD  KERLA  INV. NO.5201105725DT.16-8-21 GSTNO.32AADCS5616E1ZQ ;  SYNT HITE  ;  NO.5201105725 DT.16-8-21 ,*****,*****,1,India,Russia,
09109990,MASALA >> CHANA MASALA CATCH SPICES CHANA MASALA POWDER 100G,*****,*****,60,India,Russia,
09109990,MASALA >> CHAT MASALA CATCH SPICES CHATPATA CHAT MASALA POWDER,*****,*****,80,India,Russia,
09109990,SPICES >> SPICES BLACK CATCH SPICES BLACK PEPPER POWDER 100G,*****,*****,70,India,Russia,
09109990,MASALA >> SAMBHAR MASALA CATCH SPICES SAMBHAR MASALA POWDER 100G,*****,*****,80,India,Russia,
09109990,MASALA >> MEAT MASALA CATCH SPICES MEAT MASALA POWDER 100 G,*****,*****,80,India,Russia,
09109990,SPICES >> GRINDED SPICES SPHERE MIXTURE OF GRINDED SPICES  BRA,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES JAGDAMBA GRINDED SPICES CINNAMON  IN,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES JAGDAMBA MIXTURE OF GRINDED SPICES  CH,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES SPHERE MIXTURE OF GRINDED SPICES NATU,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES SPHERE MIXTURE OF GRINDED SPICES  ARJ,*****,*****,2,India,Russia,
20079990,FRUIT >> JAGDAMBA FRUIT JAGDAMBA FRUIT JAM AMLA WITH SPICES IN HS :20079990,*****,*****,1,India,Russia,
09109990,SPICES >> INDISUN INDIAN BLACK TEA WITH SPICES A,*****,*****,2,India,Russia,
09109990,SPICES >> INDISUN INDIAN GREEN TEA WITH SPICES A,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES JAGDAMBA MIXTURE OF GRINDED SPICES  BA,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES SPHERE MIXTURE OF GRINDED SPICES  GIN,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES SPHERE MIXTURE OF GRINDED SPICES UNIV,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES JAGDAMBA GRINDED SPICES TURMERIC  IN,*****,*****,2,India,Russia,
09109990,LEAVES >> JAGDAMBA WHOLE SPICES  BAY LEAVES IN,*****,*****,2,India,Russia,
09109990,SPICES >> SPICES ANISE JAGDAMBA WHOLE SPICES ANISE SEEDS  IN,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES SPHERE MIXTURE OF GRINDED SPICES  EXC,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES JAGDAMBA MIXTURE OF GRINDED SPICES KIT,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES JAGDAMBA MIXTURE OF GRINDED SPICES HI,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES SPHERE MIXTURE OF GRINDED SPICES SHAT,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES SPHERE MIXTURE OF GRINDED SPICES TAMA,*****,*****,2,India,Russia,
09109990,SPICES >> SPICES BLACK JAGDAMBA WHOLE SPICES  BLACK PEPPER,*****,*****,2,India,Russia,
09109990,SPICES >> SPICES CUMIN JAGDAMBA WHOLE SPICES  CUMIN IN PLAS,*****,*****,2,India,Russia,
09109990,SPICES >> SPICES CINNAMON JAGDAMBA WHOLE SPICES  CINNAMON IN F,*****,*****,2,India,Russia,
09109990,SPICES >> SPICES BADIAN JAGDAMBA WHOLE SPICES BADIAN SEEDS  IN,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES JAGDAMBA MIXTURE OF GRINDED SPICES  CH,*****,*****,2,India,Russia,
09109990,SPICES >> GRINDED SPICES JAGDAMBA GRINDED SPICES BLACK PEPPER,*****,*****,2,India,Russia,
