HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,100G BIRIYANI MASALA POWDER   PKD IN DX  MIX. OF TWO-MORE OF THE SPICE PDCTS REFDIN NOTE 1  B   OF CHAP.9 ;  DX   MIX.  ;  REFD IN ,*****,*****,720,India,Saudi Arabia,
09109100,100G KABAB MASALA POWDER   PKD IN DX   MIX. OF TWO-MORE OF THE SPICE PDCTS REFD INNOTE 1  B   OF CHAP.9 ;  MIX .  ;  IN NOTE ,*****,*****,360,India,Saudi Arabia,
09109100,150G INDIAN SPICE MIX   PKD IN PET BTL   M,*****,*****,270,India,Saudi Arabia,
09109100,150G FISH SPICE MIX   PKD IN PET BTL   MIX,*****,*****,180,India,Saudi Arabia,
09109100,150G SEVEN SPICES   PKD IN PET BTL   MIX.,*****,*****,126,India,Saudi Arabia,
09109100,135G BUKHARI SPICE MIX   PKD IN PET BTL  ,*****,*****,405,India,Saudi Arabia,
09109100,140G SHAWARMA SPICES   PKD IN PET BTL   MI,*****,*****,134.40,India,Saudi Arabia,
09109100,150G KABSA SPICE MIX   PKD IN PET BTL   MIX. OF TWO-MORE OF THE SPICE PDCTS REFD IN NOTE 1  B   OF CHAP.9 ;  MI X.  ;  I N ,*****,*****,144,India,Saudi Arabia,
09109100,150G SEA FOOD SPICE MIX   PKD IN PET BTL  MIX. OF TWO-MORE OF THE SPICE PDCTS REFD IN NOTE 1  B   OF CHAP.9 ;  BTL   MIX.  ;  REF D ,*****,*****,144,India,Saudi Arabia,
09109100,150G STEW SPICE MIX   PKD IN PET BTL   MIX. OF TWO-MORE OF THE SPICE PDCTS REFD INNOTE 1  B   OF CHAP.9 ;  MIX .  ;  IN NOTE ,*****,*****,126,India,Saudi Arabia,
09109100,135G BUKHARI SPICE MIX   PKD IN PET BTL  MIX. OF TWO-MORE OF THE SPICE PDCTS REFDIN NOTE 1  B   OF CHAP.9 ;  BTL   MIX.  ;  REFD IN ,*****,*****,81,India,Saudi Arabia,
09109100,150G INDIAN SPICE MIX   PKD IN PET BTL   MIX. OF TWO-MORE OF THE SPICE PDCTS REFDIN NOTE 1  B   OF CHAP.9 ;  M IX.  ;  REFD IN ,*****,*****,180,India,Saudi Arabia,
09109100,1KG CHICKEN MASALA POWDER   PKD IN PLASTIC POUCH   MIX. OF TWO-MORE OF THE SPICE PDCTS REFD IN NOTE 1  B   OF CHAP.9 ;  PLASTI C  ;  P DCTS ,*****,*****,2100,India,Saudi Arabia,
09109100,150G SAUDI SPICE MIX   PKD IN PET BTL   MI,*****,*****,180,India,Saudi Arabia,
09109100,150G CHICKEN CURRY SPICE MIX   PKD IN PET,*****,*****,162,India,Saudi Arabia,
09109100,150G MEAT SPICE MIX   PKD IN PET BTL   MIX,*****,*****,90,India,Saudi Arabia,
09109100,150G BIRIYANI SPICE MIX   PKD IN PET BTL  ,*****,*****,216,India,Saudi Arabia,
09109100,150G KABSA SPICE MIX   PKD IN PET BTL   MI,*****,*****,144,India,Saudi Arabia,
09109100,150G SEA FOOD SPICE MIX   PKD IN PET BTL  ,*****,*****,144,India,Saudi Arabia,
09109100,150G STEW SPICE MIX   PKD IN PET BTL   MIX,*****,*****,126,India,Saudi Arabia,
09109100,150G TANDOORI SPICE MIX   PKD IN PET BTL  ,*****,*****,180,India,Saudi Arabia,
