HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109999,OTHER SPICES,NILE HERBAL FOR IMPORT AND EXPORT,*****,1000,Egypt,Mexico,
09109999,OTHER SPICES,*****,KANU KRISHNA CORPORATION,14200,India,Mexico,
09109999,OTHER SPICES,GREENUP FOR IMPORT AND EXPORT,*****,12000,Egypt,Mexico,
09109101,SPICE MIXTURES,*****,KOKUBU GROUP CORP.,36,Japan,Mexico,
09109999,OTHER SPICES,LEBANESE CO. FOR MODERN FOOD INDUSTRY SARL,*****,81.72,Lebanon,Mexico,
09109999,OTHER SPICES,*****,MIAMI INTERNATIONAL TRADERS,5.44,Spain,Mexico,
09109999,OTHER SPICES,*****,*****,81.72,Lebanon,Mexico,
00000000,SPICE MIX,*****,*****,1,N/A,Sri Lanka,
00000000,SPICE MIX,*****,*****,343,N/A,Sri Lanka,
00000000,SPICE MIX,*****,*****,358,N/A,Sri Lanka,
00000000,SPICE MIX,*****,*****,50,N/A,Sri Lanka,
00000000,SPICE MIX,*****,*****,1,N/A,Sri Lanka,
33072090000R,BRAND: OLD SPICE,*****,*****,1176,Mexico,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,1636,Mexico,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,2494,Mexico,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,1698,Mexico,Argentina,
33072010000N,BRAND: OLD SPICE CHAMPION,*****,*****,1,United States,Argentina,
33072010000N,BRAND: OLD SPICE FIJI,*****,*****,1,United States,Argentina,
33072010000N,BRAND: OLD SPICE HAWKRIDGE,*****,*****,1,United States,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,1764,Mexico,Argentina,
33029019900M,BRAND: OLD SPICE BS PURE SP,*****,*****,1,United States,Argentina,
33029019900M,BRAND: OLD SPICE BS FOXCRES,*****,*****,1,United States,Argentina,
33029019900M,BRAND: OLD SPICE BS FIJI,*****,*****,1,United States,Argentina,
33029019900M,BRAND: OLD SPICE BS VIP,*****,*****,1,United States,Argentina,
3307200000,"DESODORANTE, OLD SPICE, 80672189|OLD SPICE AP SPRAY 48HRS OLORBLOCK 93X12|PARA USO HUMANO|PRESENTADO EN CAJAS CON 12 UNIDADES DE 93 GR. C/U|GCAS: 80672189/// OLD SPICE OLOR BLOCKER SPRAY ANTITRANSPIRANTE",*****,*****,210,, N/A ,
3307200000,"OLD SPICE ROLL-ON, OLD SPICE, 80667489|OLD SPICE ROLL ON WOLFTHORN 52GRX12IT|PARA USO HUMANO / OLD SPICE ROLL-ON ANTITRANSPIRANTE Y DESODORANTE|PRESENTADO EN CAJAS DE 12 UNIDADES DE 52 GR. C/U|GCAS: 80667489",*****,*****,7,, N/A ,
9404900000,DO_ 06233739 PEDIDOS_ IMP 631/15 DI_ 7 DE 9 REFERENCIA_ PPS-17. PRODUCTO_ SPICE PODZ WALL,*****,*****,490,South Africa,Colombia,
2103902000,"SAZONADOR EN POLVO PARA COSTILLAS,TGI FRIDAY`S,S/M, | 4/2.5 LBS, SARATOGA RIB SPICE | APTO PARA EL CONSUMO HUMANO (USO EN COCINA) | EN SOBRES DE PLASTICO DE 2.5 LB. | PRODUCT ID: 266544",*****,*****,15,, N/A ,
7013490000,"ESPECIERO, MARCA:GIMAESTAR, MOD.:S/MOD|VIDRIO METAL|USO COMERCIAL|EN CAJA|, ITEM:H3079 ,SPICE RACK, 7PCS",*****,*****,12,, N/A ,
33072090000R,BRAND: OLD SPICE,*****,*****,294,Mexico,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,588,Mexico,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,2352,Mexico,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,1470,Mexico,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,882,Mexico,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,882,Mexico,Argentina,
33072010000N,BRAND: OLD SPICE A. VIP,*****,*****,1,United States,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,2352,Mexico,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,2940,Mexico,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,588,Mexico,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,3528,Mexico,Argentina,
33029090900X,BRAND: OLD SPICE,*****,*****,1,United States,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,294,Mexico,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,882,Mexico,Argentina,
33074100000U,BRAND: HEM INDIAN SPICES,*****,*****,400,India,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,4100,Mexico,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,1176,Mexico,Argentina,
95071000990H,BRAND: WATERDOG|CODE: SPICE 2102|PRESENTACION: UNIDAD,*****,*****,300,China,Argentina,
33072090000R,BRAND: OLD SPICE,*****,*****,196,Mexico,Argentina,
2208900090,CAP MORGAN SPICE GOLD.- SON 28 CAJAS CON 12 BOTELLAS DE 750 C.C. C/U. DEL ITEM 4 DE FACTUR|A 104861288/9616060471.-,*****,*****,28,United Kingdom,Uruguay,
2208900090,CAP MORGAN SPICE GOLD.- SON 8 CAJAS CON 12 BOTELLAS DE 750 C.C. C/U. DEL ITEM 3 DE FACTURA|104984127/9616070139.-,*****,*****,8,United Kingdom,Uruguay,
21069099,SPICED CHUTNEY POWDER 200 GM X 30 PKTS,*****,*****,10,India,South Africa,
09109100,RAJAH MILDLY SPICE BLEND GARBA CURRY PO,*****,*****,18000,India,South Africa,
09109919,S4 TURMERIC SPICE BLEND STEAM STERILISED,*****,*****,18000,India,South Africa,
210690980019,"Whipped Cream, Raw Meatballs Spices",*****,*****,6440,Turkey,South Africa,
30049011,TULSI LICORICE SPICE 25 IB ORGANIC MEDI,*****,*****,240,India,South Africa,
33071010,SHAVING CREAMS BLADES OLD SPICE SHAVI,*****,*****,9.72,India,South Africa,
21039090,OREGANO SPICE SPRINKLER CHUTNEY,*****,*****,5,India,South Africa,
9109900,OSIA MIXED HERBS SPICE,*****,*****,20,Lesotho,South Africa,
9109900,SPICE,*****,*****,17,Lesotho,South Africa,
9109900,OSIA MIXED HERBS SPICE,*****,*****,2,Lesotho,South Africa,
19059000,FOOD STUFF AND GENERAL ITMES.ASSORTED PASTA MOUTH FRESHNER MIXED SPICES DESERT MIX CHIKEN SNACKS ASSORTED CAKES TAWA ETC.DETAILEDED AS PER INV. PACKING LIST,*****,*****,12476,Pakistan,South Africa,
09041120,"Black pepper 500 g-l (25kg-bag), goods used as spices, food, new goods 100% vn",*****,*****,600,Vietnam,South Africa,
09041110,"White pepper 630 g-l (25kg-bag), goods for spices, food, new goods 100% vn",*****,*****,600,Vietnam,South Africa,
09109100,ASSORTED SPICE MIXES,*****,*****,2996.64,Pakistan,South Africa,
73239420,STEEL BELLY SPICE BOX,*****,*****,250,India,South Africa,
09109100,ASSORTED SPICE MIXES,*****,*****,3600.80,Pakistan,South Africa,
09109990,WHOLE AND GRIND SPICES,*****,*****,184,Pakistan,South Africa,
44219990,ACACIA WOOD SPICE BOX 12 POTS,*****,*****,30,India,South Africa,
44219990,ACACIA WOOD SPICE BOX 7 POTS,*****,*****,20,India,South Africa,
44219990,ACACIA WOOD SPICE BOX 6 POTS,*****,*****,60,India,South Africa,
9109900,OSIA MIXED HERBS SPICE,*****,*****,5,Lesotho,South Africa,
701349990000,TOOSY PATTERNED SPICES 190 ML*TOOSY PATTERNED SPICES 190 ML,*****,*****,540,Turkey,South Africa,
701349990000,WINGS SPICE 190 ML*WINGS SPICE 190 ML,*****,*****,540,Turkey,South Africa,
701349990000,WINGS SPICE 210 ML*WINGS SPICE 210 ML,*****,*****,540,Turkey,South Africa,
701349990000,TOOSY SPICE 190 ML*TOOSY SPICE 190 ML,*****,*****,540,Turkey,South Africa,
392410000039,LOLA SPICE SET*LOLA SPICE SET,*****,*****,300,Turkey,South Africa,
701349990000,PEPPER SPICE 190 ML*PEPPER SPICE 190 ML,*****,*****,540,Turkey,South Africa,
9109900,OSIA MIXED HERBS SPICE,*****,*****,100,Lesotho,South Africa,
701349990000,TOOSY SPICE 210 ML*TOOSY SPICE 210 ML,*****,*****,540,Turkey,South Africa,
701349990000,LILY SPICE SET 300 ML*LILY SPICE SET 300 ML,*****,*****,360,Turkey,South Africa,
701349990000,TOOSY SPICE 244 ML*TOOSY SPICE 244 ML,*****,*****,360,Turkey,South Africa,
701349990000,LILY SPICES 300 ML*LILY SPICES 300 ML,*****,*****,1080,Turkey,South Africa,
09109900,Other spices,*****,*****,30,Botswana,South Africa,
09109100,ASSORTED SPICE MIXES,*****,*****,3602.40,Pakistan,South Africa,
09109100,ASSORTED SPICE MIXES,*****,*****,4188.96,Pakistan,South Africa,
9109900,SPICES,*****,*****,50,Lesotho,South Africa,
9109900,SPICES,*****,*****,24,Lesotho,South Africa,
09062000,"Vietnam cinnamon 2% Vo Irradiation (used as a spice, no pharmaceutical), PACKing 25kg-bag. 100% new goods",*****,*****,1120,Vietnam,South Africa,
09062000,"Vietnam powdered cinnamon 3% Vo (used as a spice, does not make pharmaceuticals), PACK with 25kg-bag. 100% new goods",*****,*****,1120,Vietnam,South Africa,
09062000,"Vietnam cinnamon 2% vo (used as a spice, not pharmaceutical), PACKing 25kg-bag. 100% new goods",*****,*****,1120,Vietnam,South Africa,
330210900000,POWDER AROMA (SPICE BLENDERS) (RECIPE 1)(CHICKEN),*****,*****,500,Turkey,South Africa,
73239990,STAINLESS STEEL SOBER PURI SPICE CONTA,*****,*****,713.78,India,South Africa,
73239990,STAINLESS STEEL NEELAM PURI SPICE CONT,*****,*****,634.50,India,South Africa,
09109100,KORMA MASALA SPICE MIX,*****,*****,90,India,South Africa,
09109100,MEAT CURRY SPICE MIX,*****,*****,270,India,South Africa,
09109100,PANEER BUTTER MASALA SPICE MIX,*****,*****,270,India,South Africa,
09109100,BHUNA GOSHT SPICE MIX,*****,*****,90,India,South Africa,
09109100,MEAT CURRY SPICE MIX,*****,*****,270,India,South Africa,
