HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
33029011,ALL SPICE FRAGRANCE OIL,*****,*****,1,India,South Korea,
90002,SPICES,*****,*****,730,India,South Korea,
9109100,MASALA >> BIRYANI MASALA BIRYANI MASALA SPICE POWDER 1kg,*****,*****,15,India,South Korea,
90002,SPICES,*****,*****,735,India,South Korea,
33074100,"INCENSE >> FRUITS & SPICES BIG INCENSE 8"" 10 STICK",*****,*****,300,India,South Korea,
9023020,CHAI >> SPICED CHAI CARDAMOM SPICED CHAI TEA,*****,*****,3,India,South Korea,
9023020,TURMERIC >> TURMERIC SPICED TURMERIC SPICED HERBAL TEA,*****,*****,3,India,South Korea,
9023020,CHAI >> SPICED CHAI VANILLA SPICED CHAI TEA,*****,*****,3,India,South Korea,
9023020,TURMERIC >> TURMERIC SPICED TURMERIC SPICED,*****,*****,3,India,South Korea,
21039040,SPICE >> MEXICAN SPICE MEXICAN SPICE MIX SFG [ P00BX01059 ] SAMPLE FREE OF CHARGE FOR EXPERIMENTAL TRIAL.VALUE FOR CUSTOMS PURPOSE ONLY. ;  SAM PLE  ;  TRIA L.VALUE,*****,*****,75,India,South Korea,
21039040,SPICE >> SPRINKLER SPICE GARLIC SPRINKLER SPICE MIX SFG [ P00BX01281] SAMPLE FREE OF CHARGE FOR EXPERIMENTAL TRIAL.VALUE FOR CUSTOMS PURPOSE ONLY ;  P00BX01 281]  ;  EXPERIMEN TAL,*****,*****,75,India,South Korea,
33074100,"INCENSE >> FRUITS & SPICES BIG INCENSE 8"" 10 STICKPACKET ;  STICK PACKET",*****,*****,30,India,South Korea,
210391,SPICES,*****,*****,550,India,South Korea,
9109100,POWDER >> SPICES POWDER ALL SPICES POWDER  500GR X 80 NOS,*****,*****,80,India,South Korea,
9109100,SPICE >> KORMA SPICE KORMA SPICE   50GR X 320 NOS,*****,*****,320,India,South Korea,
21069099,FREE >> SALES PROMOTION ITEM  FREE OF COST NO COMMERCIAL VALUE  GIFT BOX OF SUHANA ASSORTED SPICES PICKLES - 20 PCS ;  C OMMERCIAL  ;  ASS ORTED,*****,*****,1,India,South Korea,
90002,SPICES,*****,*****,735,India,South Korea,
90002,SPICES,*****,*****,735,India,South Korea,
90002,SPICES,*****,*****,735,India,South Korea,
9093129,CUMIN >> CUMIN SEED ASSORTED SPICES & FOODSTUFF CUMIN SEED,*****,*****,6000,India,South Korea,
9103020,TURMERIC >> FOODSTUFF TURMERIC ASSORTED SPICES & FOODSTUFF TURMERIC,*****,*****,2000,India,South Korea,
9103030,TURMERIC >> TURMERIC GROUND ASSORTED SPICES & FOODSTUFF TURMERIC GROUND ;  GRO UND,*****,*****,1000,India,South Korea,
9093200,CUMIN >> CUMIN GROUND ASSORTED SPICES & FOODSTUFF CUMIN GROUND,*****,*****,1000,India,South Korea,
9092190,CORIANDER >> CORIANDER SEED ASSORTED SPICES & FOODSTUFF CORIANDER SEED ;  SE ED,*****,*****,3000,India,South Korea,
21039090,SPICE >> PICKLING SPICE 150 PP KRAFT BAGS WITH LINER-20 KG -PICKLING SPICE ;  -PICK LING,*****,*****,3000,India,South Korea,
74181022,COPPER >> COPPER SPICE HOME DECORATIVE ARTICLES-COPPER SPICE BO,*****,*****,15,India,South Korea,
9083120,GREEN >> CARDOMOM GREEN CARDOMOM -GREEN  2.5 KG PER BAG-TOTAL 8 BAGS  SPICES BOARD PERMIT NO:ML-REG-14079-2017 DTD:08-06-2020 ;  B AGS  SPICES  ;  NO:ML-REG-14079- 2017,*****,*****,100,India,South Korea,
73239990,COPPER >> COPPER SPICE COPPER SPICE BOX,*****,*****,9,India,South Korea,
9103020,"TURMERIC >> TURMERIC FINGER TURMERIC FINGER   GOOD GRADE     GINGER, SAFFRON, TURMERIC CURCUMA, THYME, BAY LEAVES, CURRY AND OTHER SPICES",*****,*****,18,India,South Korea,
69149000,CERAMIC >> CERAMIC SPICE HANDICRAFT ITEMS MADE OF CERAMIC CERAMICSPICE BOTTLE ;  CERAMIC SPICE ,*****,*****,32,India,South Korea,
69149000,CERAMIC >> CERAMIC WOOD HANDICRAFT ITEMS MADE OF CERAMIC - WOOD- IRON CERAMIC SPICE BOTTLE WITH WOODENSTAND ;  WOOD -  ;  WOODEN STAND,*****,*****,30,India,South Korea,
210391,SPICES,*****,*****,550,India,South Korea,
9103020,"TURMERIC >> TURMERIC CURCUMA TURMERIC WASHED   TURMERIC   CURCUMA   DRY  PKD IN BAGS -  GINGER, SAFFRON, TURMERIC CURCUMA, THYME, BAY LEAVES, CURRY AND OTHER SPICES",*****,*****,18000,India,South Korea,
33019029,SPICE >> SPICE MIX   OHIK LIQUID CONCENTRATE  ,*****,*****,5,India,South Korea,
21039090,SPICE >> PICKLING SPICE 85 BAGS PICKLING SPICE,*****,*****,1.70,India,South Korea,
9103020,"TURMERIC >> TURMERIC CURCUMA TURMERIC WASHED  TURMERIC   CURCUMA  DRY     PKG:IN BAGS    GINGER, SAFFRON, TURMERIC CURCUMA, THYME, BAY LEAVES, CURRY AND OTHER SPICES",*****,*****,18000,India,South Korea,
