HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
21039090,"5 BAGS AL""S BLEND 2.1   SPICE MIX  ",*****,*****,125,India,Spain,
09041130,BLACK PEPPER 200 BAGS MG1 STEAM WASHED SUP:K A RAHIM KAKKATTU SPICES GSTIN:32AUPPK4517M1ZB INV. NO:BB 5 DT 3.6.21 ;  S UP:K  ;  GSTIN:32AUP PK4517M1ZB ,*****,*****,5000,India,Spain,
09109100,PAYA SPICE MIX,*****,*****,1,India,Spain,
09109990,NIHARI SPICE MIX,*****,*****,1,India,Spain,
39249090,ARTCL MADE OF PP-HOMOPLYMR GRADE OTHR HOUSHOLD AND TOILT ARTCLS OF PLSTCS NES UPDATRA SPICE RACK SIZE  20X50   ANTHRACITE ;  HO USHOLD  ;  UP DATRA ,*****,*****,840,India,Spain,
39249090,Article made Of PP-HOMOPOLYMER grade Othr Houshold And toilt Artcls Of Plstcs Nes UPPDATERA spice rack 20x50 anthracite ; Oth r ; Ne s  HS:39249090,*****,*****,1680,India,Spain,
44151000,WOODEN SPICE BOX 44151000  HS  Code,*****,*****,10,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
39249090,ARTICLE MADE OF PP-HOMOPOLYMER GRADE OTHR HOUSHOLD AND TOILT ARTCLS OF PLSTCS NES UPPDATERA spice rack 20x50 anthracite ;  OTH R  ;  NE S  39249090  HSN  Code,*****,*****,560,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
39249090,Article made Of PP-HOMOPOLYMER grade Othr Houshold And toilt Artcls Of Plstcs Nes UPPDATERA spice rack 20x50 anthracite- ;  Oth r  ;  Ne s  39249090  HS  Code,*****,*****,840,India,Spain,
21039090,"5 BAGS AL""S BLEND 2.1   SPICE MIX   HS21039090",*****,*****,125,India,Spain,
73239390,OTHER-TABLE KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS OF STAINLESS STEEL WI RE STAND FOR SPICES BOX HSN Code :73239390,*****,*****,212.84,India,Spain,
39249090,Article made Of PP-HOMOPOLYMER grade Othr Houshold And toilt Artcls Of Plstcs Nes UPPDATERA spice rack 20x50 anthracite- ;  Oth r  ;  Ne s  39249090HSN  Code,*****,*****,280,India,Spain,
34060010,SCENTED WAX CANDLE - Shrink Sleeve SHRINK SLEEVE CINNAMON SPICE ;  SHRIN K  34060010   HSN,*****,*****,5208,India,Spain,
39249090,ARTICLE MADE OF PP-HOMOPOLYMER GRADE OTHR HOUSHOLD AND TOILT ARTCLS OF PLSTCS NES UPPDATERA spice rack 20x50 anthracite ;  OTH R  ;  NE S  39249090   HSN,*****,*****,5600,India,Spain,
33013099,SPICE RESINOID 100293000,*****,*****,10,India,Spain,
44151000,LAL-038534 WOODEN SPICE BOX HSN 44151000,*****,*****,2,India,Spain,
09021020,TURMERIC SPICED HERBAL TEA TISANE,*****,*****,24,India,Spain,
09023020,TURMERIC SPICED HERBAL TEA TISANE,*****,*****,8,India,Spain,
09021020,Cinnamon Spice Chai,*****,*****,24,India,Spain,
09023020,Turmeric Spiced,*****,*****,12,India,Spain,
09023020,TURMERIC SPICED HERBAL TEA TISANE,*****,*****,1,India,Spain,
09101130,FRESH GINGER INDIAN ORIGIN SPICES PACK IN 11 KG BOX OTHER DTL. AS PER INV. . ;  PACKE D ,*****,*****,20,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,11610.86,India,Spain,
70109000,"EMPTY GLASS BOTTLES, 85 ML SPICE JAR - J",*****,*****,249696,India,Spain,
70109000,EMPTY GLASS BOTTLES  85 ML SPICE JAR - J T578,*****,*****,249696,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
09041130,BLACK PEPPER(280BAGSTELLICHERRY TGSEB ST EAM WASHED)SUPP:PEZHUMKATTIL SPICES INV: PKS/KL/42 DT281120 GSTIN32AYSPB5013A1Z5,*****,*****,7000,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
34060010,SCENTED WAX CANDLE - Shrink Sleeve SHRIN K SLEEVE CINNAMON SPICE,*****,*****,5760,India,Spain,
34060010,SCENTED WAX CANDLE - Shrink Sleeve SHRIN K SLEEVE CINNAMON SPICE,*****,*****,2844,India,Spain,
73239390,OTHER-TABLE  KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS OF STAINLESS STEEL WI RE STAND FOR SPICES BOX,*****,*****,106.42,India,Spain,
70109000,ADD SOME SPICE (VINTAGE GLASS JAR) GLASS,*****,*****,40,India,Spain,
21039090,"1 BAGS AL""S BLEND 2.1 (SPICE MIX)",*****,*****,25,India,Spain,
73239390,Spice Rack SS201(Size: 21cmx26cmx11cm) I ncluding: 8 Plastic Clips + 2 Extra 1 se t 250mm Telescopic Slides AS PER INV.,*****,*****,500,India,Spain,
09041130,BLACK PEPPER(160 BAGS JUMBO STEAM WASHED )SUPPLI  SNEHA SPICES GSTIN:32BHSPS6281D 1Z0 INV NO SSCA17/22 9 20,*****,*****,4000,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,22254.16,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
09041130,BLACK PEPPER(280 BAGS MG1 STEAM WASHED)S UPPLIER INV NO SSCA13/7 9 20 GSTIN 32BHS PS6281D1Z0 SNEHA SPICES,*****,*****,7000,India,Spain,
21039090,AL'S BLEND 2.1 (SPICE MIX),*****,*****,25,India,Spain,
21039090,AL'S BLEND 2.1 (SPICE MIX),*****,*****,25,India,Spain,
07129020,SUPPLIER NAME: RADHE FOODS & SPICES INVO ICE NO. BOS/09 DT. 28.07.2020 GSTIN NO.: 24AUAPM9443M1ZA,*****,*****,0.10,India,Spain,
09041130,BLACK PEPPER(160 BAGS TGEB STEAM WASHED) SUPPLIER:GREEN VALLEY SPICES GSTIN:32AIS PA1383L1Z6 INV:GVSC156 DT 2.7.2020,*****,*****,4000,India,Spain,
73239390,OTHER-TABLE  KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS OF STAINLESS STEEL  W IRE STAND FOR  SPICES BOX,*****,*****,108,India,Spain,
33019021,SPICE PROCUCRS - CLOVE BUD OLEORESIN COD E:100263300,*****,*****,6,India,Spain,
33019011,SPICE PROCUCRS - FENUGREEK OLEORESIN COD E:100169100,*****,*****,100,India,Spain,
33019029,SPICE PROCUCRS - MACE OLEORESIN CODE:100 169300,*****,*****,55,India,Spain,
73239390,CUSTOMISED SPICE RACK SB WITH 10INCH SLIDE W274 X D108 X H210,*****,*****,5,India,Spain,
68022310,SPICE BLACK FLAMED  SIZE: 70 X 40 X 2 CM ENTRECALLES (AS PER INV),*****,*****,46.20,India,Spain,
68022310,SPICE BLACK FLAMED  SIZE: 60 X 40 X 2 CM (AS PER INV),*****,*****,187.20,India,Spain,
68022310,SPICE BLACK FLAMED  SIZE: 40 X 17 X 2 CM (AS PER INV),*****,*****,6.12,India,Spain,
68022310,SPICE BLACK FLAMED  SIZE: 60 X 40 X 2 CM ENTRECALLES (AS PER INV),*****,*****,129.60,India,Spain,
68022310,SPICE BLACK FLAMED  SIZE: 70 X 40 X 2 CM (AS PER INV),*****,*****,46.20,India,Spain,
68022310,SPICE BLACK FLAMED  SIZE: 60 X 17 X 2 CM (AS PER INV),*****,*****,6.12,India,Spain,
68022310,SPICE BLACK FLAMED  SIZE: 40 X 17 X 2 CM ENTRECALLES (AS PER INV),*****,*****,6.12,India,Spain,
70109000,EMPTY GLASS BOTTLES-85 ML SPICE JAR - JT 578 (OTHER DETAILS AS PER INV),*****,*****,249696,India,Spain,
70109000,85 ML SPICE JAR - JT578,*****,*****,249696,India,Spain,
70109000,EMPTY GLASS BOTTLES-85 ML SPICE JAR - JT,*****,*****,249696,India,Spain,
21039040,GOAN CHICKEN SPICE MIX FOR KITS 80G *120 80GMS X 120 POUCHES PER CASE,*****,*****,12,India,Spain,
21039040,SHAHI KORMA SPICE MIX FOR KITS 55G*120 5 5GMS X 120 POUCHES PER CASE,*****,*****,20,India,Spain,
21039040,TIKKA MASALA SPICE MIX FOR KITS 80G*120 80GMS X 120 POUCHES PER CASE,*****,*****,30,India,Spain,
70109000,EMPTY GLASS BOTTLES-85 ML SPICE JAR - JT 578 - OTHER DETAILS AS PER INVOICE.,*****,*****,249696,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
09041130,BLACK PEPPER(280 BAGS TGSEB STEAM WASHED ) SUPPLIER:SREEKRISHNA SPICES GSTIN:32BW PPP6304Q1ZW INV NO:7 DT 4.3.2020,*****,*****,7000,India,Spain,
68022310,SPICE BLACK FLAMED SIZE: FREE LENGTH  X 10 X 2 CM   (AS PER INV),*****,*****,25.19,India,Spain,
68022310,SPICE BLACK FLAMED SIZE : FREE LENGTH  X 10 X 3 CM  (AS PER INV),*****,*****,75.36,India,Spain,
68022390,SPICE BLACK FLAMED  2 CM  (AS PER INV),*****,*****,51.27,India,Spain,
68022390,SPICE BLACK FLAMED + BRUSHED  3 CM  (AS PER INV),*****,*****,30.12,India,Spain,
68022390,SPICE BLACK FLAMED + BRUSHED  2 CM  (AS PER INV),*****,*****,59.91,India,Spain,
21039040,PARAMPARA SAUCE MIX SHAHI KORMA SPICE MI X FOR KITS 55G*120    55GMS X120 POUCHES PER CASE [WE INTEND TO CLAIM REWARDS UN,*****,*****,60,India,Spain,
21039040,PARAMPARA SAUCE MIX GOAN CHICKEN SPICE M IX FOR KITS 80gX120 80GMS X120 POUCHES P ER CASE [WE INTEND TO CLAIM REWARDS UNDE,*****,*****,40,India,Spain,
21039040,PARAMPARA SAUCE MIX BUTTER CHICKEN SPICE MIX FOR KITS 80gX120 80GMS X120 POUCHES PER CASE [WE INTEND TO CLAIM REWARDS UN,*****,*****,40,India,Spain,
21039040,PARAMPARA SAUCE MIX: TIKKA MASALA SPICE MIX  FOR KITS 80G*120  80GMS X 120 POUCH ES PER CASE [WE INTEND TO CLAIM REWARDS,*****,*****,80,India,Spain,
09041130,BLACK PEPPER 80 BAGS JUMBO STEAM WASHED SUPPLIER: SNEHA SPICES GSTIN 32BHSPS6281 D1Z0 INV:SSCA34 DT 21.11.19,*****,*****,2,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
39269099,PLASTIC SPICE GRINDER,*****,*****,880,India,Spain,
39269099,PLASTIC SPICE GRINDER,*****,*****,41904,India,Spain,
70109000,EMPTY GLASS BOTTLES 85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
70109000,EMPTY GLASS BOTTLES  85 ML SPICE JAR,*****,*****,23221.73,India,Spain,
09041130,BLACK PEPPER MG1 STEAM WASHED SUPLR.SNEH A SPICES/GSTIN.32BHSPS6281D1Z0.INV.SSCA3 1 DT.27.10.2019,*****,*****,8,India,Spain,
09041130,BLACK PEPPER MALABAR MG1 STEAM WASHED SU PLR.GREEN VALLEY SPICES/GSTIN.32AISPA138 3L1Z6.INV.GVSC226 DT.16.10.2019,*****,*****,10,India,Spain,
