HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
84798200,Spice Mill MC 3621 Blades,*****,*****,48,India,Sri Lanka,
84798200,Screen of 1.5 mm. for Spice Mill MC 3621,*****,*****,2,India,Sri Lanka,
21039040,177 CTN PHI SPICE MIX WITHOUT MSG PKD IN ALU-115 G X 40 P X 1 CTN 177.00 X 4.600 0  814.20 KGS,*****,*****,814.20,India,Sri Lanka,
84798200,Spares for Supplied Spice Grinding Plant / Spice Mill MC 2215 Blades,*****,*****,96,India,Sri Lanka,
84798200,Screen of 2.5 mm for Spice Mill MC 2215,*****,*****,7,India,Sri Lanka,
85094010,PREETHI BRAND MIXER GRINDERS-SPICE - MG 203 SL NO. 2102 3301 TO 3500,*****,*****,200,India,Sri Lanka,
20041000,FROZEN POTATO PRODUCTS/FRENCH FRIES - MA SALA FRIES-6INDIAN SPICES 8X1.5KG12KG,*****,*****,25,India,Sri Lanka,
22084011,KRAKEN SPICED RUM 80PF (6X700ML),*****,*****,6,India,Sri Lanka,
33021090,SPICE MASALA 1 HDP DRUM,*****,*****,10,India,Sri Lanka,
20052000,KETTLE Studio Potato Chips Crushed Papri ka with Exotic Spices (24 * 125g) BATCH NO. EF06A EF02A,*****,*****,75,India,Sri Lanka,
20041000,FROZEN POTATO PRODUCTS/FRENCH FRIES - MA SALA FRIES-6INDIAN SPICES 8X1.5KG=12KG,*****,*****,25,India,Sri Lanka,
09109919,HUL SPICE MIX 790 ETO TREATED MATERIAL C ODE 11068106,*****,*****,2000,India,Sri Lanka,
09109919,HUL SPICE MIX  82te  ETO TREATED MATERIA L CODE 1168121,*****,*****,1000,India,Sri Lanka,
09109919,HUL 790 SPICE MIX ETO TREATED 40 NOS DOU BLE HDPE BAGS of NET 25.00 KGS,*****,*****,1000,India,Sri Lanka,
09109923,SPICE CELERY POWDER STEAM STERILIZED  MA TERIAL CODE : 11002242,*****,*****,1000,India,Sri Lanka,
83024900,545.12.961  SPICE HOLDER PULLOUT GREY 15 0 MM  BOE NO.7432336 DTD. 11.04.2020  DU TY RS. 74422/ 160 PCS* 150 PCS= RS. 6977,*****,*****,150,India,Sri Lanka,
61099010,STYLE 2031B565.604 M BRANDED GRAPHIC TEE PRODUCT COLOUR SPICE LATTE APPAREL COUN TRY OF ORIGIN- CHINA,*****,*****,12,India,Sri Lanka,
09109100,50G CHILLI CHICKEN MASALA POWDER PKD IN DUPLEX PAPER CTN MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS,*****,*****,18,India,Sri Lanka,
09109100,50G BEEF ULARTHU MASALA POWDER PKD IN DU PLEX PAPER CTN MIXTURE OF TWO OR MORE OF THE SPICE PRODUCTS,*****,*****,14.40,India,Sri Lanka,
09109100,50G SAMBAR POWDER PKD IN DUPLEX PAPER CT N MIXTURE OF TWO OR MORE OF THE SPICE PR ODUCTS,*****,*****,3.60,India,Sri Lanka,
09109100,60G BOMBAY BIRYANI SPICE MIX PKD IN DUPL EX PAPER CTN MIXTURE OF TWO OR MORE OF T HE SPICE PRODUCTS,*****,*****,12.96,India,Sri Lanka,
