HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
30049011,ROW Tulsi Licorice Spice 25 IB ORGANIC MEDICAMENTS OF AYURVEDIC SYSTEM   ;   MEDICAMENTS ,*****,*****,60,India,Sweden,
44151000,ACACIA WOOD SPICE BOX   WOODEN ARTICLES  ,*****,*****,6240,India,Sweden,
70200090,HANDICRAFTS MADE OUT OF GLASS ARTWARE -GLASS JAG FOR SUGAR AND SPICE 200 ML   FINISH: CLEAR     STYLE NO: DC02   ;  - GLASS  ;    FI NISH: ,*****,*****,2520,India,Sweden,
70200090,HANDICRAFTS MADE OUT OF GLASS ARTWARE -GLASS JAG FOR SUGAR AND SPICE 1 LTR   FINISH: CLEAR     STYLE NO: DC01   ;  - GLASS  ;    FIN ISH: ,*****,*****,2520,India,Sweden,
33019029,AQUARESIN CHILL SPICE BLEND LOT NO:21051873 ;  NO:21051 873,*****,*****,1,India,Sweden,
73239920,OTHER UTENSILS:= STEEL SPICE BOX,*****,*****,5,India,Sweden,
21039040,NALLA KARAM POWDER   RICE & SNACKS SPICEMIX   ; SPICE MIX   21039040HSN ,*****,*****,18,India,Sweden,
21039040,IDLI KARAM POWDER   IDLI-SPICE MIX   21039040HSN ,*****,*****,18,India,Sweden,
30049011,ROW Tulsi Licorice Spice 25 IB ORGANIC 30049011 HSN ,*****,*****,60,India,Sweden,
44151000,WOODEN ARTICLES ACACIA WOOD SPICE BOX 44151000  HSN  Code,*****,*****,6240,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES GARANT CH AI MASALA 20 T-Bags x 2Gms 15 Pkts-30% RFA 500 CASES,*****,*****,300,India,Sweden,
09109100,TELUGU FOODS IDLI KARAM PODI  LENTIL SPICE MIX POWDER  BOGO   ;  SP ICE ,*****,*****,20,India,Sweden,
09109100,TELUGU FOODS KANDI PODI   LENTIL SPICE MIX POWDER    BOGO   ;  MI X ,*****,*****,20,India,Sweden,
09109100,TELUGU FOODS NALLA KARAM PODI WITH GARLIC   RED CHILLY SPICE MIX    BOGO   ;  GARLI C   ,*****,*****,10,India,Sweden,
09109100,TELUGU FOODS AVISA GINJALU KARAM PODI WITH GARLIC   FLAX SEEDS SPICE MIX    BOGO   ;  WI TH ,*****,*****,10,India,Sweden,
09109100,TELUGU FOODS KOTTIMEERA KARAM PODI WITHGARLIC   CORIANDER SPICE MIX     BOGO   ;  WITH GARLIC ,*****,*****,10,India,Sweden,
09109100,TELUGU FOODS MUNAGA AKU KARAM PODI  DRUTICK LEAVES SPICE POWDER    BOGO   ;  PODI  DRUTI CK ,*****,*****,10,India,Sweden,
09109100,TELUGU FOODS PALLI KARAM PODI WITH GARLIC   PEANUT SPICE MIX     BOGO   ;  GARLI C ,*****,*****,10,India,Sweden,
09109100,TELUGU FOODS PUTNALA KARAM PODI WITH GARLIC   ROASTED DALIA SPICE MIX    BOGO   ;  GAR LIC ,*****,*****,10,India,Sweden,
09109100,TELUGU FOODS PUDINA KARAM PODI WITH GARLIC   MINT SPICE MIX     BOGO   ;  GARL IC ,*****,*****,10,India,Sweden,
09109100,TELUGU FOODS VELLULLI KARAM PODI  GARLICSPICE MIX     BOGO   ;  PODI  GARLIC SPICE ,*****,*****,10,India,Sweden,
09109100,TELUGU FOODS KARIVEPAKU KARAM PODI WITHGARLIC   CURRY LEAVES SPICE MIX     BOGO   ;  WITH GARLIC ,*****,*****,10,India,Sweden,
09109100,TELUGU FOODS KAKARA KARAM PODI WITH GARLIC  KARELA SPICE MIX  BOGO   ;  GARL IC ,*****,*****,10,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES GARANT CH AI MASALA 20 T-Bags x 2Gms 15 Pkts-30% RFA 800 CASES,*****,*****,480,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES GARANT CH AI MASALA 20 T-Bags x 2Gms 15 Pkts-30% RFA 100 CASES,*****,*****,60,India,Sweden,
09109100,SPICES SAMBAR POWDER,*****,*****,3,India,Sweden,
09109929,GOPAL NAMKEENS E SPICES CUMIN CORIANDER POWDER (FP) POUCH REST DETAIL AS PER INV OICE,*****,*****,10,India,Sweden,
09093200,GOPAL NAMKEENS E SPICES CUMIN POWDER (LP )POUCH REST DETAIL AS PER INVOICE,*****,*****,20,India,Sweden,
09042211,GOPAL NAMKEENS E SPICES KASHMIRI CHILLI POWDER (FP)POUCH REST DETAIL AS PER INVO ICE,*****,*****,10,India,Sweden,
09042211,GOPAL NAMKEENS E SPICES HOT CHILLI POWDE R (LP)POUCH REST DETAIL AS PER INVOICE,*****,*****,20,India,Sweden,
09103030,GOPAL NAMKEENS E SPICES TURMERIC POWDER (LP) POUCH REST DETAIL AS PER INVOICE,*****,*****,20,India,Sweden,
09103030,GOPAL NAMKEENS E SPICES TURMERIC POWDER (FP) POUCH REST DETAIL AS PER INVOICE,*****,*****,10,India,Sweden,
09109929,GOPAL NAMKEENS E SPICES CUMIN CORIANDER POWDER (LP) POUCH REST DETAIL AS PER INV OICE,*****,*****,20,India,Sweden,
09093200,GOPAL NAMKEENS E SPICES CUMIN POWDER (FP )POUCH REST DETAIL AS PER INVOICE,*****,*****,10,India,Sweden,
09042211,GOPAL NAMKEENS E SPICES KASHMIRI CHILLI POWDER (LP)POUCH REST DETAIL AS PER INVO ICE,*****,*****,20,India,Sweden,
09042211,GOPAL NAMKEENS E SPICES HOT CHILLI POWDE R (FP)POUCH REST DETAIL AS PER INVOICE,*****,*****,10,India,Sweden,
09092200,GOPAL NAMKEENS E SPICES CORAINDER POWDER (LP)POUCH REST DETAIL AS PER INVOICE,*****,*****,20,India,Sweden,
09092200,GOPAL NAMKEENS E SPICES CORAINDER POWDER (FP)POUCH REST DETAIL AS PER INVOICE,*****,*****,10,India,Sweden,
09042211,GOPAL NAMKEENS E SPICES KASHMIRI CHILLI,*****,*****,20,India,Sweden,
09042211,GOPAL NAMKEENS E SPICES HOT CHILLI POWDE,*****,*****,20,India,Sweden,
09109929,GOPAL NAMKEENS E SPICES CUMIN CORIANDER,*****,*****,20,India,Sweden,
09109929,GOPAL NAMKEENS E SPICES CUMIN CORIANDER,*****,*****,10,India,Sweden,
09093200,GOPAL NAMKEENS E SPICES CUMIN POWDER (LP,*****,*****,20,India,Sweden,
09092200,GOPAL NAMKEENS E SPICES CORAINDER POWDER,*****,*****,10,India,Sweden,
09103030,GOPAL NAMKEENS E SPICES TURMERIC POWDER,*****,*****,20,India,Sweden,
09103030,GOPAL NAMKEENS E SPICES TURMERIC POWDER,*****,*****,10,India,Sweden,
09093200,GOPAL NAMKEENS E SPICES CUMIN POWDER (FP,*****,*****,10,India,Sweden,
09092200,GOPAL NAMKEENS E SPICES CORAINDER POWDER,*****,*****,20,India,Sweden,
09042211,GOPAL NAMKEENS E SPICES KASHMIRI CHILLI,*****,*****,10,India,Sweden,
09042211,GOPAL NAMKEENS E SPICES HOT CHILLI POWDE,*****,*****,10,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES  GARANT  CH AI MASALA 20 T/Bags x 2Gms 15 Pkts-30% RFA  600 CASES,*****,*****,360,India,Sweden,
70132800,BASIC SPICE JAR SET-1000ML,*****,*****,6,India,Sweden,
70132800,BASIC SPICE JAR SET -500ML,*****,*****,6,India,Sweden,
70132800,BASIC SPICE JAR SET-2600ML,*****,*****,4,India,Sweden,
70132800,BASIC SPICE JAR SET-1500ML,*****,*****,4,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES  GARANT  CH AI MASALA 20 T/Bags x 2 Gms 15 Pkts-30% RFA  900 CASES,*****,*****,540,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES  GARANT  CH AI MASALA 20 T/Bags x 2 Gms 15 Pkts-30% RFA  1000 CASES,*****,*****,600,India,Sweden,
09109100,SPICES MASALA POWDER & PASTE Spice - Pul iyogare Powder 200g-Exp.ML (60 CTNS),*****,*****,288,India,Sweden,
09109100,SPICES MASALA POWDER & PASTE Pav Bhaji M asala 100g (15 CTNS),*****,*****,120,India,Sweden,
09109100,SPICES MASALA POWDER & PASTE Spice - Bis ibelebath Masala 100g -Ex.ML (50 CTNS),*****,*****,180,India,Sweden,
09109100,SPICES MASALA POWDER & PASTE Spice - Ras am Powder 200g -Exp. ML (25 CTNS),*****,*****,120,India,Sweden,
09109100,SPICES MASALA POWDER & PASTE Spice - Sam bar Powder 200g-Export (25 CTNS),*****,*****,120,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES -GARANT CHA I MASALA 20T/BagsX2gms x 15pkts-30%RFA 1900 PKT,*****,*****,1140,India,Sweden,
30049011,ROW Tulsi Licorice Spice 25 IB ORGANIC ( MEDICAMANTS OF AYURVEDIC SYSTEM),*****,*****,60,India,Sweden,
09024040,INDIAN BLACK TEA WITH  SPICES -GARANT CH AI MASALA 20T/BagsX2gms x 15pkts-30% RFA 500 CASE,*****,*****,300,India,Sweden,
61044200,LADIES READYMADE GARMENTS - 100% COTTON KNITTED LADIES DRESS SPICED HONEY ASPHAL T,*****,*****,5,India,Sweden,
61044200,LADIES READYMADE GARMENTS - 100% COTTON KNITTED LADIES DRESS SPICED HONEY ASPHAL T,*****,*****,5,India,Sweden,
61061000,LADIES READYMADE GARMENTS - 100% COTTON KNITTED LADIES SHIRT SPICED HONEY LIGHT CHALK ASPHALT,*****,*****,7,India,Sweden,
61061000,LADIES READYMADE GARMENTS - 100% COTTON KNITTED LADIES SHIRT SPICED HONEY LIGHT CHALK ASPHALT,*****,*****,6,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES - GARANT CH AI MASALA 20 T/Bags x 2Gms 15 Pkts-30% RFA  700 CASES,*****,*****,420,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES - TEA BAGS - DETAILS AS PER INVOICE (WE INTEND TO C LAIM REWARDS UNDER MEIS) E.SEAL,*****,*****,1020,India,Sweden,
21039040,IDLI KARAM POWDER (IDLI-SPICE MIX),*****,*****,10.80,India,Sweden,
21039040,NALLA KARAM POWDER (RICE & SNACKS SPICE MIX),*****,*****,10.80,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES-TEA BAGS(DT LS AS PER INV)(WE INTEND TO CLAIM REWARD S UNDER MEIS)(E.SEAL),*****,*****,480,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES-TEA BAGS(DT LS AS PER INV)(WE INTEND TO CLAIM REWARD S UNDER MEIS)(E.SEAL),*****,*****,60,India,Sweden,
11051000,ORGANIC SPICE SATTU 500 GMS(AS PER INV & PKG),*****,*****,14,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES -TEA BAGSDT LS AS PER INV)(WE INTEND TO CLAIM REWARD S UNDER MEIS)(E.SEAL),*****,*****,1500,India,Sweden,
09109990,SPICES MDH CHICKEN MASALA 100GM (CTN 3),*****,*****,54,India,Sweden,
09109990,SPICES MDH KITCHEN KING MASALA 100GM (CT N 3),*****,*****,54,India,Sweden,
09109990,SPICES MDH MEAT CURRY MASALA 100GM  (CTN 5),*****,*****,90,India,Sweden,
09109990,SPICES MDH PAV BHAJI MASALA 100GM (CTN 1 ),*****,*****,18,India,Sweden,
09109990,SPICES MDH KASURI METHI (FENUGREEK LEAVE S) 100GM (CTN 5),*****,*****,30,India,Sweden,
09042211,SPICES MDH CHILLI POWDER (KASHMIRI) 100G M (CTN 3),*****,*****,54,India,Sweden,
09109990,SPICES MDH GARAM MASALA 100GM (CTN 5),*****,*****,90,India,Sweden,
09109990,SPICES MDH RAJMA MASALA 100GM (CTN 2),*****,*****,36,India,Sweden,
09042211,SPICES MDH CHILLI POWDER (DEGGI) 100GM ( CTN 3),*****,*****,54,India,Sweden,
09109990,SPICES MDH CHANA MASALA 100GM (CTN 2),*****,*****,36,India,Sweden,
09109990,SPICES MDH CHUNKY CHAT MASALA 100GM (CTN 3),*****,*****,54,India,Sweden,
48237090,PAPER MACHE TINY SPICE BOX MUD FINISH,*****,*****,2,India,Sweden,
48237090,PAPER MACHE ROUND SPICE HOLDER SET OF 2,*****,*****,2,India,Sweden,
48237090,PAPER MACHE TINY SPICE BOX NATURAL FINISH,*****,*****,2,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES-TEA BAGS(DT LS AS PER INV)(WE INTEND TO CLAIM REWARD S UNDER MEIS)(E.SEAL),*****,*****,4500,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES-TEA BAGS(DT LS AS PER INV)(WE INTEND TO CLAIM REWARD S UNDER MEIS)(E.SEAL),*****,*****,12000,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES-TEA BAGS(DT LS AS PER INV)(WE INTEND TO CLAIM REWARD S,*****,*****,6000,India,Sweden,
09024040,INDIAN BLACK TEA WITH SPICES(TEA BAGS) D ETAILS AS PER INVOICE (WE INTEND TO CLAI M REWARDS UNDER MEIS) E.SEAL,*****,*****,10500,India,Sweden,
09109100,SPICES MASALA POWDER & PASTE  - Pav Bhaj i Masala 100g,*****,*****,14,India,Sweden,
09109100,SPICES MASALA POWDER & PASTE  - Spice - Rasam Powder 200g -Exp. ML,*****,*****,14,India,Sweden,
09109100,SPICES MASALA POWDER & PASTE  -Spice - P uliyogare Powder 200g-Exp.ML,*****,*****,59,India,Sweden,
09109100,SPICES MASALA POWDER & PASTE  - Spice - Spiced Chutney Powder 200g-Ex.ML,*****,*****,24,India,Sweden,
09109100,SPICES MASALA POWDER & PASTE  - Spice - Sambar Powder 200g-Export,*****,*****,69,India,Sweden,
