HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09042211,KRIS BRAND SPICES KRIS RED CHILLI POWDER,*****,*****,6,India,Tanzania,
09109100,KRIS BRAND SPICES KRIS CHICKEN MASALA   A,*****,*****,5,India,Tanzania,
09109990,KRIS BRAND SPICES KRIS MEAT-MUTTON MASAL,*****,*****,4,India,Tanzania,
09109100,KRIS BRAND SPICES KRIS SAMBAR POWDER  AS,*****,*****,5,India,Tanzania,
21039040,KRIS BRAND SPICES KRIS KURA KARAM 250 GM,*****,*****,1,India,Tanzania,
08026200,KRIS BRAND SPICES KRIS GARAM MASALA  AS P,*****,*****,5,India,Tanzania,
09109990,KRIS BRAND SPICES KRIS MEAT-MUTTON MASAL,*****,*****,1,India,Tanzania,
09109100,KRIS BRAND SPICES KRIS RASAM POWDER  AS P,*****,*****,3,India,Tanzania,
21039090,KRIS BRAND SPICES KRIS GINGER GARLIC PAS,*****,*****,1,India,Tanzania,
21039040,KRIS BRAND SPICES KRIS KURA KARAM 500 GM,*****,*****,5,India,Tanzania,
21039040,KRIS BRAND SPICES KRIS KURA KARAM 500 GM,*****,*****,10,India,Tanzania,
21039040,KRIS BRAND SPICES KRIS KURA KARAM 250 GM,*****,*****,4,India,Tanzania,
09042211,KRIS BRAND SPICES KRIS RED CHILLI POWDER,*****,*****,20,India,Tanzania,
09092190,KRIS BRAND SPICES KRIS CORRIANDER POWDER,*****,*****,3,India,Tanzania,
33074100,DHOOP CONES WOOD SPICE NANDITA BRAND,*****,*****,6,India,Tanzania,
09109990,SPICES POWDER 1KG MIX  24x1kgx20ctn=480 nt wt   ;  n t ,*****,*****,20,India,Tanzania,
09109100,SPICES MASALA MIX  144X100GX25CTN=360NT W,*****,*****,25,India,Tanzania,
09109990,SPICES MASALA MIX 100GM  120X100GX56CTN=6,*****,*****,56,India,Tanzania,
12079940,SPICES PACK IN PLASTIC POUCH-HDPE BAG:KOKUM BLACK WET 20X200 GM   15 CTN   ;  BAG :KOKUM ,*****,*****,60,India,Tanzania,
09109990,SPICES PACK IN PLASTIC POUCH-HDPE BAG:BAY LEAVES 20X60 GM   25 CTN   ;  BAG :BAY ,*****,*****,30,India,Tanzania,
13019013,SPICES PACK IN PLASTIC POUCH-HDPE BAG:HING POWDER 20X100 GM   30 CTN   ;  BAG :HING ,*****,*****,60,India,Tanzania,
09109100,SPICES PACK IN PLASTIC POUCH-HDPE BAG:GARAM MASALA WHOLE 20X200 GM   10 CTN   ;  BAG :GARAM ,*****,*****,40,India,Tanzania,
09109990,SPICES PACK IN PLASTIC POUCH-HDPE BAG:CURRY LEAVES 20X50 GM   25 CTN   ;  BAG :CURRY ,*****,*****,25,India,Tanzania,
09061110,SPICES PACK IN PLASTIC POUCH-HDPE BAG:CINNAMON STICK 20X200 GM   20 CTN   ;  BAG :CINNAMON ,*****,*****,80,India,Tanzania,
09042219,SPICES PACK IN PLASTIC POUCH-HDPE BAG:CHILLI WHOLE W-O STEM 20X100 GM   50 CTN   ;  BAG :CHILLI  ;  CTN ;   ,*****,*****,100,India,Tanzania,
73239390,FURNITURE FITTINGS AND HARDWARE AS PROFORMA INV. NO INA 21-Spice Pull-Out Cargo Series W234 ;  PROFO RMA  ;  Car go ,*****,*****,10,India,Tanzania,
09109100,SPICE MIX   ASSORTED MASALA  ,*****,*****,6,India,Tanzania,
21039040,PERI PERI SPICE 21039040  HSN  Code,*****,*****,240,India,Tanzania,
84388090,SPICES MIXER MACHINE HS84388090,*****,*****,1,India,Tanzania,
09042211,MIX CHILI SPICES,*****,*****,3984,India,Tanzania,
09103030,MIX SPICES - TURMERIC,*****,*****,1862,India,Tanzania,
69101000,SANITARYWARE-SPICE SET-WASHBASIN + PEDESTAL ;  PEDES TAL,*****,*****,100,India,Tanzania,
69101000,SANITARYWARE-SPICE SET-WASHBASIN + PEDESTAL ;  PEDES TAL,*****,*****,100,India,Tanzania,
19041020,MAKAI POHA 63 BAGS  PACKING IN BAGS   INDIAN SPICES OTHER FOOD PROD    DETAILED SAS PER INV. CUM PACKING LIST   ;    I NDIAN  ;  S AS ,*****,*****,63,India,Tanzania,
10063090,MASURI RICE 114 BAGS  PACKING IN BAGS   INDIAN SPICES OTHER FOOD PROD    DET AILS AS PER INV. CUM PACKING LIST  ,*****,*****,114,India,Tanzania,
20019000,PICKLES 10 CTN  PACKING IN CTN  INDIAN SPICES OTHER FOOD PROD    DE TAILS AS PER INV. CUM PACKING LIST   ;  CTN   INDIAN  20019000HSN  Code,*****,*****,10,India,Tanzania,
19041020,POHA 30 BAGS  PACKING IN BAGS  INDIAN SPICES OTHER FOOD PROD  DETAILEDED AS PER INV. CUM PACKING LIST ;  INDIA N ,*****,*****,30,India,Tanzania,
19041020,KURMURA 15 BAGS  PACKING IN BAGS   INDIAN SPICES OTHER FOOD PROD    DETAILEDED A SPER INV. CUM PACKING LIST   ;    INDI AN  ;  S PER ,*****,*****,15,India,Tanzania,
25010010,INDIAN SALT 50 BAGS  PACKING IN BAGS   INDIAN SPICES OTHER FOOD PROD    DETAI LS AS PER INV. CUM PACKING LIST   ;     INDIAN  25010010HSN  Code,*****,*****,50,India,Tanzania,
19030000,SAGO 07 BAGS  PACKING IN BAGS   INDIANSPICES OTHER FOOD PROD    DETAILEDED AS PER INV. CUM PACKING LIST   ;    INDIAN SPICES ,*****,*****,7,India,Tanzania,
19049000,FRYUMS 838 BAGS  PACKING IN BAGS   IN DIAN SPICES OTHER FOOD PROD    DETAILEDED AS PER INV. CUM PACKING LIST  ,*****,*****,838,India,Tanzania,
10063090,MASURI RICE -4-CTN PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;  CTN S  ;    DETAI LS ,*****,*****,4,India,Tanzania,
09093129,CUMIN -20-CTN PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED ASPER INV. CUM PACKING LIST   ;    IN DIAN  ;  AS PER ,*****,*****,20,India,Tanzania,
19041090,POHA -20-CTN PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;    IND IAN ,*****,*****,20,India,Tanzania,
21069099,KHAKHRA-19-CTN PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;    I NDIAN  ;  A S  21069099HSN  Code,*****,*****,19,India,Tanzania,
11010000,WHEAT FLOUR -151-CTN PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;  CART ONS  ;    DET AILS ,*****,*****,151,India,Tanzania,
07132010,KABULI CHANA -20-CTN PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;  CART ONS  ;    DET AILS ,*****,*****,20,India,Tanzania,
19041090,KURMURA -10-CTN PACKING IN CTN INDIAN SPICES OTHER FOOD PROD   DETAILEDED AS PER INV. CUM PACKING LIST   ;   INDIAN ,*****,*****,10,India,Tanzania,
09042211,CHILLY POWDER-15-CTN PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;  CART ONS  ;    DET AILS ,*****,*****,15,India,Tanzania,
25010010,INDIAN SALT -350-CTN PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;  CART ONS  ;    DET AILS  25010010HSN  Code,*****,*****,350,India,Tanzania,
19049000,FRYUMS -98-CTN PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;    I NDIAN  ;  A S ,*****,*****,98,India,Tanzania,
09021020,TEA FLAKES-7-CTN PACKING IN CTN  INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;  CTN   INDIAN ,*****,*****,7,India,Tanzania,
21039090,SEZWAN CHUTNEY -5-CTN PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;  CAR TONS  ;    DE TAILS  21039090HSN  Code,*****,*****,5,India,Tanzania,
20019000,PICKLES -10-CTN PACKING IN CTN INDIAN SPICES OTHER FOOD PROD   DETAILEDED AS PER INV. CUM PACKING LIST   ;   INDIAN  20019000HSN  Code,*****,*****,10,India,Tanzania,
08045090,SPICES Aamchur Powder,*****,*****,50,India,Tanzania,
09109100,SPICES Curry Powder Hot,*****,*****,50,India,Tanzania,
09109100,SPICES Chhas Masala,*****,*****,45,India,Tanzania,
09103030,SPICES Turmeric Powder,*****,*****,500,India,Tanzania,
09109100,SPICES Bay Levas,*****,*****,45,India,Tanzania,
09096139,SPICES Feenal Seeds,*****,*****,250,India,Tanzania,
12119023,SPICES Curry Leaves,*****,*****,36,India,Tanzania,
09109100,SPICES Kadhi Masala,*****,*****,22.50,India,Tanzania,
09109100,SPICES Khichori Masala,*****,*****,22.50,India,Tanzania,
10085000,SPICES Quina Seeds,*****,*****,150,India,Tanzania,
12099190,SPICES Chia Seeds,*****,*****,250,India,Tanzania,
09093111,SPICES Cumin Seeds,*****,*****,1000,India,Tanzania,
09041200,SPICES Black Papper Powder,*****,*****,50,India,Tanzania,
09041130,SPICES Black Papper whole,*****,*****,90,India,Tanzania,
09042219,SPICES Chilly Crushed,*****,*****,50,India,Tanzania,
09042211,SPICES Chilly Powder Ex Hot,*****,*****,250,India,Tanzania,
09042211,SPICES Chilly Powder Ex Hot,*****,*****,250,India,Tanzania,
09109100,SPICES Coriender Cumin Powder,*****,*****,500,India,Tanzania,
09109914,SPICES Ajwain Seeds,*****,*****,100,India,Tanzania,
09096119,SPICES Anister,*****,*****,45,India,Tanzania,
09061110,SPICES Cinamon India,*****,*****,45,India,Tanzania,
09071090,SPICES Clove Whole,*****,*****,135,India,Tanzania,
12074090,SPICES Seesam Seeds Black,*****,*****,50,India,Tanzania,
12074090,SPICES Seesam Seeds Nature,*****,*****,100,India,Tanzania,
09109100,SPICES Curry Powder Mild,*****,*****,50,India,Tanzania,
09101210,SPICES Suth Powder,*****,*****,25,India,Tanzania,
09041200,SPICES Black Papper Crushed,*****,*****,25,India,Tanzania,
09042211,SPICES Chilly Powder,*****,*****,250,India,Tanzania,
09042211,SPICES Chilly Powder,*****,*****,250,India,Tanzania,
12079990,SPICES Alsi Seeds,*****,*****,100,India,Tanzania,
09042120,SPICES Chilly Whole Steamless,*****,*****,100,India,Tanzania,
09109100,SPICES HING,*****,*****,11.25,India,Tanzania,
21069099,NAMKEENS -24 CTNS-PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED ASPER INV. CUM PACKING LIST   ;    IN DIAN  ;  AS PER  21069099  HSN  Code,*****,*****,24,India,Tanzania,
19041090,MAKHANA -5 CTNS-PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;    INDI AN  ;  P ER ,*****,*****,5,India,Tanzania,
11029090,IDLY RAWA -15 CTNS-PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;    I NDIAN  ;  A S ,*****,*****,15,India,Tanzania,
11062010,SAGO -8 CTNS-PACKING IN CTN   INDIANSPICES OTHER FOOD PROD     DETAILEDED AS PERINV. CUM PACKING LIST   ;    INDIAN SPICES  ;  PER INV. ,*****,*****,8,India,Tanzania,
10063090,MASURI RICE -145 CTNS-PACKING IN CTN  INDIAN SPICES OTHER FOOD PROD     DETAILED S AS PER INV. CUM PACKING LIST   ;  CTN   INDIAN ,*****,*****,145,India,Tanzania,
09109913,DILL SEED -5 CTNS-PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED ASPER INV. CUM PACKING LIST   ;    IN DIAN  ;  AS PER ,*****,*****,5,India,Tanzania,
09092190,DHANIA JEERA POWDER-12 CTNS-PACKING IN CTN INDIAN SPICES OTHER FOOD PROD   DETAILEDED AS PER INV. CUM PACKING LIST   ;  C ARTONS  ;   DETAILEDED ,*****,*****,12,India,Tanzania,
19021900,VERMICILLI -10 CTNS-PACKING IN CTN INDIAN SPICES OTHER FOOD PROD   DETAILEDED AS PER INV. CUM PACKING LIST   ;   INDIAN ,*****,*****,10,India,Tanzania,
11010000,WHEAT FLOUR -40 CTNS-PACKING IN CTN  INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;  CTN   INDIAN ,*****,*****,40,India,Tanzania,
09042211,CHILLY POWDER-9 CTNS-PACKING IN CTN  INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;  CTN   INDIAN ,*****,*****,9,India,Tanzania,
19059040,PAPAD -21 CTNS-PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;    INDIA N  ;  PE R ,*****,*****,21,India,Tanzania,
21039090,SEZWAN CHUTNEY -5 CTNS-PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;  CTN S  ;    DETAI LS  21039090  HSN  Code,*****,*****,5,India,Tanzania,
21069099,FALOODA MIX-17 CTNS-PACKING IN CTN   INDIAN SPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   21069099  HSN  Code,*****,*****,17,India,Tanzania,
19041090,POHA -25 CTNS-PACKING IN CTN   INDIANSPICES OTHER FOOD PROD     DETAILEDED AS PER INV. CUM PACKING LIST   ;    INDIAN SPICES ,*****,*****,25,India,Tanzania,
