HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
44151000,WDN. SPICE BOX,*****,*****,16,India,Thailand,
20059900,VEGITABLE SNACKS- TC SPICED SWT-CUMIN &,*****,*****,256,India,Thailand,
73239490,SPICE >> SS SPICE BOX,*****,*****,1,India,Thailand,
44151000,BOX >> SPICE BOX WDN. SPICE BOX,*****,*****,1,India,Thailand,
44219990,WDN >> WDN SPICE WDN SPICE GRINDER,*****,*****,4,India,Thailand,
09109990,SPICES >> SPICES  100 GM X 180 PCS. X 1 CTN  ,*****,*****,90,India,Thailand,
09109990,SPICES >> SPICES  100 GM X 180 PCS. X 1 CTN  ,*****,*****,360,India,Thailand,
09109990,SPICES >> SPICES   100 GM X 180 PCS. X 1 CTN  ,*****,*****,36,India,Thailand,
09109990,SPICES >> SPICES   500 GM X 40 PCS. X 1 CTN  ,*****,*****,200,India,Thailand,
09109990,SPICES >> SPICES  100 GM X 180 PCS. X 1 CTN  ,*****,*****,54,India,Thailand,
09109990,SPICES >> SPICES   100 GM X 160 PCS. X 1 CTN  ,*****,*****,160,India,Thailand,
09109990,SPICES >> SPICES  100 GM X 180 PCS. X 1 CTN  ,*****,*****,54,India,Thailand,
09109990,SPICES >> SPICES   100 GM X 160 PCS. X 1 CTN  ,*****,*****,160,India,Thailand,
09109990,SPICES >> SPICES  100 GM X 180 PCS. X 1 CTN  ,*****,*****,36,India,Thailand,
21039040,SEASONING >> SPICE MIX SEASONING,*****,*****,5000,India,Thailand,
20059900,VEGETABLE >> VEGETABLE SNACKS VEGETABLE SNACKS-TC SPICED SWT-CUMIN & P,*****,*****,160,India,Thailand,
21039040,SEASONING >> SPICE MIX SEASONING   D2003079  ,*****,*****,10000,India,Thailand,
20059900,VEGETABLE >> VEGETABLE SNACKS VEGETABLE SNACKS-TC SPICED SWT-CUMIN & P,*****,*****,192,India,Thailand,
09109100,MASALA >> MASALA POWDER SPICES MASALA POWDER & PASTE Spice - Rasam Powder 200g -Exp. ML     20 CTNS     ;  Ras am ,*****,*****,96,India,Thailand,
09109100,MASALA >> MASALA POWDER SPICES MASALA POWDER & PASTE Spice - Sambar Powder 200g-Export     20 CTNS     ;  Sam bar ,*****,*****,192,India,Thailand,
09083290,SPICES >> SPICES PRODUCTS-4 IN 1SPICE BOOK 330 GM,*****,*****,10,India,Thailand,
09083290,SPICES >> SPICES PRODUCTS-6IN 1SPICE BOOK 680 GM,*****,*****,10,India,Thailand,
33072000,DEODORANTS >> PERSONAL DEODORANTS PERSONAL DEODORANTS - Wild Stone -FORESTSPICE 150 ML ;  -FOREST SPICE ,*****,*****,480,India,Thailand,
090002,"CHILLI POWDER, PERI-PERI SPICE MIX UN TREATED",*****,*****,202,India,Thailand,
21039040,SEASONING >> SPICE MIX SEASONING D2003079,*****,*****,5000,India,Thailand,
20059900,VEGETABLE >> VEGETABLE SNACKS VEGETABLE SNACKS-TC SPICED SWT-CUMIN & PEPPER 12X120G-IO ;  P EPPER ,*****,*****,178,India,Thailand,
09109100,MASALA >> MASALA POWDER Masala Powder & Paste Spice - Spiced Chu,*****,*****,120,India,Thailand,
09109100,MASALA >> MASALA POWDER Masala Powder & Paste Spice - Rasam Powd,*****,*****,72,India,Thailand,
09109100,MASALA >> MASALA POWDER SPICES MASALA POWDER & PASTE Spicy Samba,*****,*****,36,India,Thailand,
09109100,MASALA >> MASALA POWDER Masala Powder & Paste Spice - Puliyogare,*****,*****,72,India,Thailand,
09109100,MASALA >> MASALA POWDER Masala Powder & Paste Spice - Sambar Pow,*****,*****,192,India,Thailand,
22021090,BEVERAGES >> ALCOHOLIC BEVERAGES NON-ALCOHOLIC BEVERAGES: SPICED GRAPEFRU 22021090   HS Code,*****,*****,18,India,Thailand,
21039040,MIXED >> SPICE MIXED SPICE MIXED DC 1562 ZA4922 21039040   HS Code,*****,*****,5000,India,Thailand,
22021090,BEVERAGES >> ALCOHOLIC BEVERAGES NON-ALCOHOLIC BEVERAGES: SPICED GRAPEFRU HS : 22021090,*****,*****,18,India,Thailand,
09101190,MASALA >> GARAM MASALA ASSORTED FOOD ITEMS-SPICE -GARAM MASALAASSORTED FOOD ITEMS-SPICE -GARAM MASALA ;  MASALA ASSORTED ,*****,*****,35,India,Thailand,
33072000,DEODORANTS >> PERSONAL DEODORANTS PERSONAL DEODORANTS - Wild Stone ForestSpice - Tester 150ML ;  Forest Spice ,*****,*****,96,India,Thailand,
33072000,DEODORANTS >> PERSONAL DEODORANTS PERSONAL DEODORANTS - Wild Stone ForestSpice 150ML ;  Forest Spice ,*****,*****,960,India,Thailand,
20059900,VEGETABLE >> VEGETABLE SNACKS VEGETABLE SNACKS - TC SPICED SWEETS CUMIN & PEPPER 12 X 120G ;  CUMI N  20059900 HSN ,*****,*****,192,India,Thailand,
070302,GARLIC-SPICES,*****,*****,5820,India,Thailand,
