HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109990,SPICES MASALA MIX - MDH,*****,*****,8,India,Togo,
09109990,SPICES MASALA MIX - EVEREST,*****,*****,14,India,Togo,
09109100,Assorted Spices,*****,*****,192,India,Togo,
09109100,Assorted Spices,*****,*****,192,India,Togo,
09109100,Assorted Spices,*****,*****,192,India,Togo,
09109100,SPICES MASALA MIX- EVEREST,*****,*****,20,India,Togo,
09109990,SPICES (MASALE),*****,*****,255,India,Togo,
09109100,ASSORTED SPICES,*****,*****,101,India,Togo,
09109100,SPICES MASALA MIX,*****,*****,57,India,Togo,
09109100,ASSORTED SPICES,*****,*****,318,India,Togo,
09109100,SPICES MASALA MIX,*****,*****,13,India,Togo,
09109100,SPICES MASALA MIX,*****,*****,18,India,Togo,
09109100,SPICES MASALA,*****,*****,4,India,Togo,
09109100,MIXED SPICES (10G X 40 SACHETS X 8 PKTS/ CTN),*****,*****,250,India,Togo,
09093200,ASSORTED SPICES,*****,*****,4,India,Togo,
09109939,SPICES MASALA,*****,*****,4,India,Togo,
09109100,MIXED SPICES (10GX40 SACHETSX8 PKTS/CTN,*****,*****,250,India,Togo,
09109100,MIXED SPICES (10G X 40 SACHETS X 8 PKTS/ CTN),*****,*****,250,India,Togo,
09109100,MIXED SPICES 10G X 40 SACHETS X 8 PKTS/C TN,*****,*****,250,India,Togo,
09109100,ASSORTED SPICES. 130 CTN (DETAILS AS PER INVOICE AND PACKING LIST),*****,*****,130,India,Togo,
09109100,ASSORTED SPICES. 130 CTN (DETAILS AS PER,*****,*****,130,India,Togo,
09109939,SPICES MASALA MIX TATA,*****,*****,8,India,Togo,
09109939,SPICES MASALA MIX MDH,*****,*****,12,India,Togo,
09109939,SPICES MASALA MIX MDH,*****,*****,12,India,Togo,
09109939,SPICES MASALA MIX EVEREST,*****,*****,7,India,Togo,
09109939,SPICES MASALA MIX EVEREST,*****,*****,7,India,Togo,
09109939,SPICES MASALA MIX TATA,*****,*****,8,India,Togo,
09109100,MIXED SPICES (10G X 40 SACHETS X 8  PKTS /CTN),*****,*****,150,India,Togo,
09109100,MIXED SPICES ( 10G X 40 SACHETS X 8 PKTS /CTN ),*****,*****,116,India,Togo,
09109919,SPICES MIX ASSORTED,*****,*****,9,India,Togo,
