HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
9103090,MIX BLENDED SPICES 74 BAGS,*****,*****,1279,India,Trinidad,
9103090,MIX SPICES 92 BAGS,*****,*****,1779,India,Trinidad,
9103090,MIX SPICES 92 BAGS,*****,*****,1779,India,Trinidad,
9109100,SPICE >> ASSORTED SHREEGUN WHOLE SPICE MIX,*****,*****,625.55,India,Trinidad,
33029011,FRAGRANCES >> FRAGRANCES:FR-22310 Suavatel Red Spice,*****,*****,200,India,Trinidad,
9109100,SPICE >> SHREEGUN WHOLE SPICE MIX,*****,*****,405.30,India,Trinidad,
98049000,GROCERY >> GROCERY -     ASSORTED INDIAN SPICES         PERS,*****,*****,31.50,India,Trinidad,
21039090,READY >> READY-TO-COOK VEG. SPICE MIX     51-55 GMS,*****,*****,960,India,Trinidad,
9109100,MASALA >> MASALA POWDER SPICES MASALA POWDER & PASTE Spice - Sambar Powder 200g-7.05 oz     10 CTNS     ;  Sam bar,*****,*****,48,India,Trinidad,
9109912,"FENUGREEK >> FENUGREEK SEEDS FENUGREEK SEEDS   PKGN : HDPE BAGS OF 25KGS    GINGER, SAFFRON, TURMERIC CURCUMA, THYME, BAY LEAVES, CURRY AND OTHER SPICES",*****,*****,24,India,Trinidad,
9109912,"FENUGREEK >> FENUGREEK SEEDS FENUGREEK SEEDS   PKGN : HDPE BAGS OF 25KGS    GINGER, SAFFRON, TURMERIC CURCUMA, THYME, BAY LEAVES, CURRY AND OTHER SPICES",*****,*****,24,India,Trinidad,
33019029,OLEORESIN >> OLEORESIN PAPRIKA AQUA SPICE PARRIKA   OLEORESIN PAPRIKA W-S   ;  W- S  ,*****,*****,25,India,Trinidad,
9109990,MASALA >> SHREEGUN SPICE MIX MASALA,*****,*****,196,India,Trinidad,
33029011,FRAGRANCES >> FRAGRANCES:FR-22310 SUAVATEL RED SPICE BATCH NO.7357   ;   BATCH,*****,*****,150,India,Trinidad,
21069099,SPICE >> VEG. SPICE MIX   120 GMS     50 PACKET   HS21069099,*****,*****,50,India,Trinidad,
21069099,SPICE >> VEG. SPICE MIX   50 - 80 GMS     720 PACKET   ;  PACKET    HS21069099,*****,*****,720,India,Trinidad,
