HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
33019029,ALL SPICES OLEORESIN 40% PKD IN HDPE DRUM WITH CTN ;  DRU M ,*****,*****,20,India,Ukraine,
39241090,TABLEWARE KITCHENWARE ORTHER HOUSEHOLD ARTICLES MADE OF PLASTICS : SPICE BOX 6 PCS SETS ;  A RTICLES  ;  P CS ,*****,*****,1872,India,Ukraine,
09109990,ROOPAK CHILLY SPICES,*****,*****,1,India,Ukraine,
09109990,ROOPAK CURRY SPICES,*****,*****,2,India,Ukraine,
09109990,ROOPAK CHILLY SPICES,*****,*****,1,India,Ukraine,
09109990,ROOPAK CURRY SPICES,*****,*****,2,India,Ukraine,
98049000,GROCERY - SPICES -   SALT     PERSONAL ANDHOUSEHOLD ITEMS   ;  AND HOUSEHOLD ,*****,*****,20,India,Ukraine,
33021010,SPICE DROPS LEMONGRASS : 5 ml bottle.   ASPER INV.   ;    AS  ,*****,*****,0.10,India,Ukraine,
33021010,SPICE DROPS ROSE: 5 ml bottle   AS PER INV.   ;  IN VOICE  ,*****,*****,0.10,India,Ukraine,
33021010,SPICE DROPS VANILLA : 5 ml bottle.   AS PER INV.   ;  P ER ,*****,*****,0.40,India,Ukraine,
33021010,SPICE DROPS ROSEMARY: 5 ml bottle.   AS PER INV.   ;  P ER ,*****,*****,0.20,India,Ukraine,
33021010,SPICE DROPS SPEARMINT: 5 ml bottle.   ASPER INV.   ;    AS PER ,*****,*****,0.20,India,Ukraine,
33021010,SPICE DROPS TEA MASALA: 5 ml bottle.   ASPER INV.   ;    AS  ,*****,*****,0.20,India,Ukraine,
33021010,SPICE DROPS ORANGE: 5 ml bottle.   AS PERINV.   ;  PER  ,*****,*****,0.10,India,Ukraine,
33021010,SPICE DROPS CARDAMOM: 5 ml bottle.   AS PER INV.   ;  P ER ,*****,*****,0.10,India,Ukraine,
33021010,SPICE DROPS MULLED WINE: 5 ml bottle.   AS PER INV.   ;    A S ,*****,*****,0.20,India,Ukraine,
33019022,AQUA SPICE CAPSICUM  OLEORESIN CAPSICUM W-S   ;  W -S  ,*****,*****,100,India,Ukraine,
30049011,50. ROW TULSI LICORICE SPICE 25 IB ORGAN,*****,*****,240,India,Ukraine,
30049011,50. ROW TULSI LICORICE SPICE 25 IB ORGAN,*****,*****,240,India,Ukraine,
33021010,Spice Drops Lavender 5 ml bottle. (AS PE R INVOICE),*****,*****,0.20,India,Ukraine,
33021010,Spice Drops Coriander Seed: 5 ml bottle. (AS PER INVOICE),*****,*****,0.10,India,Ukraine,
33021010,Spice Drops Cardamom: 5 ml bofrle (AS PE R INVOICE),*****,*****,0.30,India,Ukraine,
33021010,Spice Drops Cinnamon 5 ml bottle (AS PER INVOICE),*****,*****,0.20,India,Ukraine,
