HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,SPICES >> ASSORTED SPICES ASSORTED SPICES,*****,*****,20,India,United Arab Emirates,
09109100,MIX >> SPICE MIX EVERESTTasteeto Pasta Spice Mix 38 38,*****,*****,2,India,United Arab Emirates,
09109100,SPICES >> ASSORTED SPICES ASSORTED SPICES,*****,*****,20,India,United Arab Emirates,
09109939,ASSORTED >> ASSORTED SPICES ASSORTED SPICES,*****,*****,5,India,United Arab Emirates,
39241090,SPICE >> SPICE STAND SPICE STAND -1,*****,*****,360.53,India,United Arab Emirates,
09101210,ASSORTED >> ASSORTED SPICES ASSORTED SPICES,*****,*****,10,India,United Arab Emirates,
09109939,ASSORTED >> ASSORTED SPICES ASSORTED SPICES,*****,*****,20,India,United Arab Emirates,
09109100,MIX >> SPICE MIX EVERESTTasteeto Pizza Spice Mix 38 38,*****,*****,2,India,United Arab Emirates,
74181039,BRASS >> BRASS SPICE BRASS SPICE BOX,*****,*****,40,India,United Arab Emirates,
09109100,SPICES >> ASSORTED SPICES ASSORTED SPICES,*****,*****,20,India,United Arab Emirates,
09109100,MIX >> SPICE MIX 60 G KORMA SPICE MIX PKD IN DUPLEX PAPER,*****,*****,21.60,India,United Arab Emirates,
09109100,MIX >> SPICE MIX 150 G SAUDI SPICE MIX PKD IN PET BOTTLE,*****,*****,54,India,United Arab Emirates,
21039040,MIX >> SPICE MIX IDLI KARAM POWDER IDLI-SPICE MIX,*****,*****,158.40,India,United Arab Emirates,
21039040,SNACKS >> SNACKS SPICE NALLA KARAM POWDER RICE & SNACKS SPICE,*****,*****,14.40,India,United Arab Emirates,
09101210,MASALA >> MASALA INDIAN BONE MASALA  INDIAN SPICE POWDERS,*****,*****,500,India,United Arab Emirates,
09101210,MASALA >> MASALA INDIAN BRAIN MASALA INDIAN SPICE POWDERS,*****,*****,80,India,United Arab Emirates,
09101210,MASALA >> MASALA INDIAN CHICKEN 65 MASALA INDIAN SPICE POWDERS,*****,*****,500,India,United Arab Emirates,
09101210,MASALA >> MASALA INDIAN BIRIYANI MASALA INDIAN SPICE POWDERS ,*****,*****,500,India,United Arab Emirates,
09042211,POWDER >> CHILI POWDER RED CHILI POWDER INDIAN SPICE POWDERS,*****,*****,200,India,United Arab Emirates,
09101210,MASALA >> MASALA INDIAN FISH FRY MASALA INDIAN SPICE POWDERS ,*****,*****,100,India,United Arab Emirates,
21039040,MIX >> SPICE MIX IDLI KARAM POWDER IDLI-SPICE MIX,*****,*****,158.40,India,United Arab Emirates,
21039040,SNACKS >> SNACKS SPICE NALLA KARAM POWDER RICE & SNACKS SPICE,*****,*****,14.40,India,United Arab Emirates,
13019029,ALMOND >> ALMOND GUM ALMOND GUM OR BADAM PISIN INDIAN SPICE,*****,*****,100,India,United Arab Emirates,
