HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,SPICE MIX FOR FISH MASALA200GMS -# UK -,*****,*****,36,India,United Kingdom,
09109100,SPICE MIX FOR GARAM MASALA 100GMS -# UK,*****,*****,36,India,United Kingdom,
09109100,SPICE MIX FOR MEAT MASALA200GMS - UK - 1,*****,*****,120,India,United Kingdom,
09109100,SPICE MIX FOR CHICKEN MASALA 200GMS - UK,*****,*****,120,India,United Kingdom,
09109100,SPICE MIX FOR BIRIYANI MASALA 100GM - UK,*****,*****,21.60,India,United Kingdom,
09109100,SPICE MIX FOR SAMBHAR POWDER 200GMS - UK,*****,*****,120,India,United Kingdom,
09109100,SPICE MIX FOR MEATULARTHUMASALA 100GMS-U,*****,*****,21.60,India,United Kingdom,
09109100,SPICES MW CHICKEN TIKKA MIX 80 G X 72 PO,*****,*****,25,India,United Kingdom,
09109100,SPICES MW CHICKEN JALFREI MIX 50 G X 72,*****,*****,25,India,United Kingdom,
09109100,SPICES MW CHICKEN CURRY MIX 80 G X 72 PO,*****,*****,25,India,United Kingdom,
09109100,SPICES MW BUTTER CHICKEN MIX 50 G X 72 P,*****,*****,25,India,United Kingdom,
73239420,DESIGNER SPICE CONTAINER MASALA DABBA,*****,*****,40,India,United Kingdom,
80070090,"INDIAN 8"" Tin Plate Spice Box - KC279",*****,*****,45,India,United Kingdom,
44209090,INDIAN WOODEN BOX Wooden Spice Box,*****,*****,550,India,United Kingdom,
12119099,NATURES SAPPAN WOOD & SPICE MAX,*****,*****,25,India,United Kingdom,
44219990,WOODEN SPICE BOX,*****,*****,20,India,United Kingdom,
33019090,FRAGRANCE OIL-10ML-WINTER SPICE-22,*****,*****,462.50,India,United Kingdom,
09109929,BLENDED SPICES 20 X 3.5 Oz,*****,*****,10,India,United Kingdom,
19059040,PUPPODOMS SPICED 1800NOS X240CTNS PACK,*****,*****,432000,India,United Kingdom,
44219190,Spice box for indian masala kitchen,*****,*****,1,India,United Kingdom,
39239090,Plastic masla spice box multi coloured 7,*****,*****,10,India,United Kingdom,
44219190,masala spice box for kitchen,*****,*****,1,India,United Kingdom,
09109100,SPICES MASALA POWDER & PASTE - Spice - M,*****,*****,270,India,United Kingdom,
09109100,SPICES MASALA POWDER & PASTE - Vangibath,*****,*****,225,India,United Kingdom,
09109100,SPICES MASALA POWDER & PASTE - Spice - S,*****,*****,360,India,United Kingdom,
44219990,HANDICRAFTS OF ACACIA WOOD/ SPICE BOX W/,*****,*****,104,India,United Kingdom,
44219990,HANDICRAFTS OF ACACIA WOOD/ SPICE BOX W/,*****,*****,104,India,United Kingdom,
