HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
09109100,Mix Spices Masala,*****,*****,400,India,United States,
71141110,SILVER LEMON AND SPICE   METAL - SILVER C,*****,*****,1,India,United States,
63039100,100% COTTON POWERLOOM MADE UPS - PREMITIVE SPICE SHOWER CURTAIN ;  PREMITI VE ,*****,*****,20,India,United States,
09109100,AMRITSARI PANEER TIKKA SPICE MIX 50 gm x48 pkt-CHANA MASALA SPICE MIX 60 gm x48pkt-DAL MAKHANI SPICE MIX 50 gmx48 pkt ;  x 48  ;  x48 pkt-DAL ,*****,*****,290,India,United States,
09109100,DUM ALOO SPICE MIX -MALAI KOFTA SPICE MIX -METHI MUTTER MALAI SPICE MIX 50 gm x48 pkt ;  MI X  ;  x 48 ,*****,*****,140,India,United States,
09109100,NONG METHI MUTTER MALAI SPICE MIX- NONGPALAK PANEER SPICE MIX- NONG PANEER MAKHANWALA SPICE MIX 50 gm x 48 pkt ;  NONG PALAK  ;  MAKH ANWALA ,*****,*****,190,India,United States,
09109100,NONG VEG KADHAI SPICE MIX -NONG VEG KOLHAPURI SPICE MIX 50 gm x 48 pkt ;  KOLH APURI ,*****,*****,60,India,United States,
21041090,MISSAL RASSA SPICE MIX 75 gm x 48 pkt,*****,*****,70,India,United States,
09109939,SPICES HUSK SPENT NES CURRY LEAVES POWDER ;  POWDE R,*****,*****,20,India,United States,
21069099,PAVBHAJI SPICE MIX  60 gm x 48 pkt,*****,*****,50,India,United States,
09109100,BHUNA GOSHT SPICE MIX 65 gm x 40 pkt  ITEM NO 1 TO 10 SUPLR T.INV. NO.2023395293 GSTIN NO.27AADCR7449C1ZB   ;  pkt  ITE M  ;  G STIN ,*****,*****,25,India,United States,
09109100,PALAK PANEER SPICE MIX 50 gm x48pkt- PANEER BHURJI SPICE MIX 30 gm x48 pkt -PANEER BUTTER MASALA SPICE MIX 50 gm x48 pkt ;  PAN EER  ;  -PANE ER ,*****,*****,300,India,United States,
09109100,PANEER MAKHANWALA SPICE MIX -PANEER TIKKA MASALA SPICE MIX 50 gm x 48 pkt ;  TIKK A ,*****,*****,350,India,United States,
09109100,SHAHI PANEER SPICE MIX  60 gm x48 pkt-VEG BIRYANI SPICE  MIX-VEG KADHAI SPICE MIX-VEG KOLHAPURI SPICE MIX 50 gm x 48 pkt ;  pkt-VE G  ;  MI X-VEG ,*****,*****,160,India,United States,
09109100,SPICES MIXTRS OF TWO OR MORS SPICES PRODUCTS OF DIFF HDG ;  PROD UCTS ,*****,*****,76,India,United States,
63026090,COTTON OF 495 COSTCO OP SPICE BEACH FLAMINGOFLOCK ;  FLAM INGOFLOCK,*****,*****,1661.52,India,United States,
63026090,COTTON OF 495 COSTCO OP SPICE BEACH LOCALSBCHCLUB ;  LOCA LSBCHCLUB,*****,*****,1391.04,India,United States,
09109100,GARAM MASALA WHOLE   WHOLE MIX BLENDED SPICES   20 x 200g ;  SP ICES   ,*****,*****,50,India,United States,
09109100,SPICES MASALA POWDER & PASTE Spice - Chana Masala - 100g - Exp   125 CTNS   ;  Cha na ,*****,*****,450,India,United States,
09109100,SPICES MASALA POWDER & PASTE Spice - Puliyogare Powder 200g-7.05 oz   375 CTNS   ;  Pul iyogare ,*****,*****,1800,India,United States,
76151090,ALUMINUM KITCHEN BLENDER   END USE MIXINGSPICES-HERBS   HAND OPERATED EZ-3 ;  MIXING SPICES-HERBS   ,*****,*****,600,India,United States,
76151090,ALUMINUM KITCHEN BLENDER   END USE MIXINGSPICES-HERBS   HAND OPERATED EZ-7 ;  MIXING SPICES-HERBS   ,*****,*****,600,India,United States,
70109000,EMPTY GLASS BOTTLES-4.000 OZ SPICE JAR TONES   OTHER DETAILEDED AS PER INV.   ;  T ONES ,*****,*****,69120,India,United States,
09109100,GARAM MASALA WHOLE   WHOLE MIX BLENDED SPICES   20 x 200g ;  SP ICES   ,*****,*****,50,India,United States,
09109100,PANCHPURAN   MIXED WHOLE SPICES   20 x 200g ;  200 g,*****,*****,30,India,United States,
19059090,READY TO EAT PRO.FOOD  FROZEN  PAC.IN LAM.POU.COCKTAIL VEG.SPRING ROLLS  CRISPY ROLLS FILLED WITH SPICED VEGETABLES   AS INV. ;  LAM. POU.COCKTAIL  ;  ROL LS ,*****,*****,415.80,India,United States,
09109100,SPICES MASALA POWDER & PASTE Spice - Puliyogare Powder 200g-7.05 oz   125 CTNS   ;  Pul iyogare ,*****,*****,450,India,United States,
09109100,SPICES MASALA POWDER & PASTE Spice - Vangibath Powder 100g-3.52 oz   125 CTNS   ;  Van gibath ,*****,*****,450,India,United States,
63026090,COTTON OF 495 COSTCO OP SPICE BEACH FLAMINGOFLOCK ;  FLAM INGOFLOCK,*****,*****,1661.52,India,United States,
63026090,COTTON OF 495 COSTCO OP SPICE BEACH LOCALSBCHCLUB ;  LOCA LSBCHCLUB,*****,*****,1391.04,India,United States,
63026090,COTTON OF 495 COSTCO OP SPICE BEACH PALMSTRIPE BL ;  PALM STRIPE ,*****,*****,1391.04,India,United States,
63026090,COTTON OF 495 COSTCO OP SPICE BEACH VINTAGE OMBRE ;  VINT AGE ,*****,*****,1120.56,India,United States,
63026090,COTTON OF 495 COSTCO OP SPICE BEACH PALMSTRIPE BL ;  PALM STRIPE ,*****,*****,1391.04,India,United States,
09109100,BARA MASALA   MIX WHOLE SPICES   20 x 200g,*****,*****,30,India,United States,
09109100,PANCHPURAN   MIXED WHOLE SPICES   20 x 200g ;  200 g,*****,*****,30,India,United States,
09109100,Hot Mix Spices Masala,*****,*****,60,India,United States,
