HS Code,ProductDescription,Shipper Name,Consignee Name,StandardQty,Country Of Origin,CountryofDestination,
48211090,"PAPER PRINTED MATERIAL : 25OZ Dust Cover""BERGAMOT SPICE Item#TDB2501DI-  324-00-4787 ;  Cover ""BERGAMOT  ;  Item#TDB2501DI-  324-00- ; 4787",*****,*****,43500,India,Vietnam,
48211090,"PAPER PRINTED MATERIAL -35OZ DUST COVER""HARVEST SPICE""-ITEM-TSC3502DI-  324-00-3454   ;  COVER"" HARVEST  ;  SPICE""-ITEM-TSC3502DI-  324-00-34 54  ",*****,*****,25200,India,Vietnam,
48211090,"PAPER PRINTED MATERIAL -25OZ DUST COVER""HARVEST SPICE"" -ITEM-TEC0702DI-  324-00-3603   ;  COVER ""HARVEST  ;  -ITEM-TEC0702DI-  324-00 -3603  ",*****,*****,28500,India,Vietnam,
48211090,"PAPER PRINTED MATERIAL -4OZ DUST COVER ""HARVEST SPICE"" ITEM-TFC0702DI-  324-00-9 305  ",*****,*****,61000,India,Vietnam,
09109990,OTHER SPICES N E S SPICES   500 GM X 40 PCS  ;  P CS ,*****,*****,200,India,Vietnam,
09109990,OTHER SPICES N E S SPICES   500 GM X 40 PKT   ;  P KT  ,*****,*****,40,India,Vietnam,
09109990,OTHER SPICES N E S SPICES   100 GM X 180PCS  ;  180 PCS ,*****,*****,54,India,Vietnam,
09109990,OTHER SPICES N E S SPICES   100 GM X 120BOX   ;  120 BOX  ,*****,*****,60,India,Vietnam,
09109990,OTHER SPICES N E S SPICES   50 GM X 120 BOX  ;  B OX ,*****,*****,12,India,Vietnam,
09109990,OTHER SPICES N E S SPICES   500 GM X 12 PCS  ;  P CS ,*****,*****,54,India,Vietnam,
09109990,OTHER SPICES N E S SPICES   500 GM X 30 PCS  ;  P CS ,*****,*****,15,India,Vietnam,
09109990,OTHER SPICES N E S SPICES   100 GM X 160PCS  ;  160 PCS ,*****,*****,96,India,Vietnam,
09109990,OTHER SPICES N E S SPICES   100 GM X 120BOX   ;  120 BOX  ,*****,*****,48,India,Vietnam,
09109990,OTHER SPICES N E S SPICES   500 GM X 40 PCS   ,*****,*****,200,India,Vietnam,
09109990,OTHER SPICES N E S SPICES   100 GM X 100PCS  ;  100 PCS ,*****,*****,20,India,Vietnam,
09081110,Mace Spice (Jaivitri),*****,*****,8,India,Vietnam,
09081110,Mace Spice (Jaivitri),*****,*****,8,India,Vietnam,
09081110,Mace Spice (Jaivitri),*****,*****,8,India,Vietnam,
07122000,Sliced ,*****,*****,15918,India,Vietnam,
09042110,"Dried chilies, scientific name: Capsicum annuum, unprocessed, 560bao, 25kg / bag, 14 tons, manufacturers: AGROCROPS SPICES PRIVATE LIMITED, goods are exempt from VAT under No. 219 of 2013. New 100%",*****,*****,14,India,Vietnam,
09096190,"Cumin seeds (scientific name: cuminum cyminum) .hang has been preliminarily processed dry cleaning, unsuitable for planting, not used as a medicinal, used as a spice. They are not on the list of cities",*****,*****,13,India,Vietnam,
09103000,"Stick Turmeric turmeric (Indian Spice), no effect",*****,*****,4,India,Vietnam,
21039029,"Everest Spices, Indian Curry Powder Brand 50 gr",*****,*****,1,India,Vietnam,
21039029,"Everest Spices, Spice 100g Brand india",*****,*****,3,India,Vietnam,
02023000,"Frozen boneless buffalo meat India, part of the shredded meat (trimming), unprocessed, not marinated spices, NSX: 10/2020 - HSD: 9/2021, Brand: AL Hamzah, a new 100%",*****,*****,2000,India,Vietnam,
02023000,"Frozen boneless buffalo meat India, part of lean neck (neck meat), unprocessed, not marinated spices, NSX: 10/2020 - HSD: 9/2021, Brand: AL Hamzah, a new 100%",*****,*****,3940,India,Vietnam,
02023000,"Frozen boneless buffalo meat India, top loin meat part exchange (cube roll), unprocessed, not marinated spices, NSX: 10/2020 - HSD: 9/2021, Brand: AL Hamzah, the new 100 %",*****,*****,1500,India,Vietnam,
02023000,"Frozen boneless buffalo meat India, the core part of lean meat shoulder (chuk tender), unprocessed, not marinated spices, NSX: 10/2020 - HSD: 9/2021, Brand: AL Hamzah, the new 100 %",*****,*****,920,India,Vietnam,
02023000,"Frozen boneless buffalo meat India, lean thighs section (top side), unprocessed, not marinated spices, NSX: 10/2020 - HSD: 9/2021, Brand: AL Hamzah, a new 100%",*****,*****,1900,India,Vietnam,
02023000,"Frozen boneless buffalo meat India, part of the thigh meat (kasila), unprocessed, not marinated spices, NSX: 10/2020 - HSD: 9/2021, Brand: AL Hamzah, a new 100%",*****,*****,940,India,Vietnam,
